time,births,population,reported_cases
44.01923,12,19387,0
44.0608967,12,19340,0
44.1025633,12,19299,0
44.14423,12,19262,0
44.1858967,12,19230,0
44.2275633,12,19202,0
44.26923,12,19178,0
44.3108967,12,19159,5
44.3525633,12,19144,5
44.39423,12,19132,3
44.4358967,12,19124,15
44.4775633,12,19119,12
44.51923,12,19118,17
44.5608967,12,19120,0
44.6025633,12,19126,0
44.64423,12,19134,5
44.6858967,12,19145,6
44.7275633,12,19158,4
44.76923,12,19174,2
44.8108967,13,19192,1
44.8525633,13,19213,0
44.89423,13,19235,0
44.9358967,13,19259,0
44.9775633,13,19285,0
45.01923,13,19313,0
45.0608967,13,19342,0
45.1025633,13,19372,0
45.14423,13,19404,1
45.1858967,13,19436,8
45.2275633,14,19470,6
45.26923,14,19505,2
45.3108967,14,19540,0
45.3525633,14,19576,2
45.39423,14,19613,3
45.4358967,14,19650,1
45.4775633,14,19687,5
45.51923,14,19725,2
45.5608967,15,19762,9
45.6025633,15,19800,0
45.64423,15,19838,1
45.6858967,15,19875,0
45.7275633,15,19912,0
45.76923,15,19949,0
45.8108967,15,19985,0
45.8525633,16,20021,0
45.89423,16,20056,0
45.9358967,16,20090,0
45.9775633,16,20123,0
46.01923,16,20155,0
46.0608967,16,20185,0
46.1025633,16,20215,0
46.14423,17,20244,0
46.1858967,17,20272,0
46.2275633,17,20298,0
46.26923,17,20324,0
46.3108967,17,20349,0
46.3525633,17,20373,0
46.39423,17,20396,0
46.4358967,17,20418,0
46.4775633,18,20439,0
46.51923,18,20460,0
46.5608967,18,20480,3
46.6025633,18,20499,7
46.64423,18,20517,8
46.6858967,18,20535,0
46.7275633,18,20552,0
46.76923,18,20568,0
46.8108967,18,20584,1
46.8525633,18,20600,1
46.89423,18,20614,1
46.9358967,18,20629,14
46.9775633,18,20643,56
47.01923,18,20656,45
47.0608967,18,20669,24
47.1025633,18,20682,1
47.14423,18,20694,0
47.1858967,18,20706,0
47.2275633,18,20717,18
47.26923,18,20728,8
47.3108967,17,20738,3
47.3525633,17,20748,3
47.39423,17,20758,2
47.4358967,17,20767,2
47.4775633,17,20775,0
47.51923,17,20784,2
47.5608967,17,20791,0
47.6025633,17,20798,0
47.64423,16,20805,0
47.6858967,16,20811,0
47.7275633,16,20817,1
47.76923,16,20822,0
47.8108967,16,20826,2
47.8525633,16,20830,0
47.89423,16,20834,0
47.9358967,15,20837,0
47.9775633,15,20839,0
48.01923,15,20841,0
48.0608967,15,20842,0
48.1025633,15,20843,0
48.14423,15,20843,0
48.1858967,15,20843,0
48.2275633,15,20843,0
48.26923,15,20842,0
48.3108967,14,20841,0
48.3525633,14,20840,3
48.39423,14,20838,4
48.4358967,14,20837,4
48.4775633,14,20835,0
48.51923,14,20833,0
48.5608967,14,20831,0
48.6025633,14,20829,3
48.64423,14,20827,1
48.6858967,14,20826,6
48.7275633,14,20824,11
48.76923,14,20823,2
48.8108967,14,20822,1
48.8525633,14,20821,1
48.89423,14,20820,22
48.9358967,14,20820,29
48.9775633,14,20820,11
49.01923,14,20820,0
49.0608967,14,20821,8
49.1025633,14,20823,4
49.14423,13,20824,14
49.1858967,13,20826,5
49.2275633,13,20828,13
49.26923,13,20830,53
49.3108967,13,20832,17
49.3525633,13,20834,4
49.39423,13,20836,1
49.4358967,13,20838,1
49.4775633,13,20839,0
49.51923,13,20840,0
49.5608967,13,20841,0
49.6025633,13,20842,0
49.64423,13,20841,1
49.6858967,13,20841,0
49.7275633,13,20839,0
49.76923,13,20837,0
49.8108967,13,20834,0
49.8525633,13,20831,0
49.89423,13,20826,0
49.9358967,13,20821,0
49.9775633,13,20814,0
50.01923,13,20806,0
50.0608967,13,20797,0
50.1025633,13,20788,0
50.14423,13,20777,0
50.1858967,13,20765,1
50.2275633,13,20753,0
50.26923,13,20740,0
50.3108967,13,20727,0
50.3525633,13,20713,0
50.39423,13,20699,0
50.4358967,13,20685,0
50.4775633,13,20671,0
50.51923,13,20656,2
50.5608967,13,20642,0
50.6025633,13,20628,0
50.64423,13,20614,0
50.6858967,13,20600,1
50.7275633,13,20587,4
50.76923,13,20575,0
50.8108967,13,20563,1
50.8525633,13,20552,0
50.89423,13,20541,2
50.9358967,12,20532,1
50.9775633,12,20524,4
51.01923,12,20517,0
51.0608967,12,20511,21
51.1025633,12,20506,6
51.14423,12,20502,4
51.1858967,12,20499,16
51.2275633,12,20497,28
51.26923,12,20496,44
51.3108967,12,20495,37
51.3525633,12,20495,58
51.39423,12,20495,67
51.4358967,12,20496,13
51.4775633,12,20497,38
51.51923,12,20498,8
51.5608967,12,20499,2
51.6025633,12,20501,1
51.64423,12,20502,0
51.6858967,12,20503,1
51.7275633,12,20504,2
51.76923,12,20505,0
51.8108967,12,20506,0
51.8525633,12,20505,0
51.89423,12,20505,0
51.9358967,12,20503,1
51.9775633,12,20501,4
52.01923,12,20499,6
52.0608967,12,20495,0
52.1025633,12,20490,0
52.14423,12,20485,0
52.1858967,12,20479,0
52.2275633,12,20473,4
52.26923,12,20466,2
52.3108967,12,20459,0
52.3525633,12,20451,0
52.39423,12,20442,0
52.43589670000001,12,20434,0
52.47756329999999,12,20425,0
52.51923000000001,12,20415,0
52.56089670000001,12,20406,0
