time,births,population,reported_cases
44.01923,13,13932,0
44.0608967,13,13897,0
44.1025633,13,13865,0
44.14423,13,13837,0
44.1858967,12,13812,1
44.2275633,12,13791,0
44.26923,12,13774,0
44.3108967,12,13759,2
44.3525633,12,13748,1
44.39423,11,13740,0
44.4358967,11,13734,0
44.4775633,11,13732,0
44.51923,11,13732,4
44.5608967,11,13734,0
44.6025633,11,13740,2
44.64423,11,13747,1
44.6858967,11,13757,1
44.7275633,11,13769,11
44.76923,10,13782,13
44.8108967,10,13798,14
44.8525633,10,13816,23
44.89423,10,13835,44
44.9358967,10,13855,12
44.9775633,10,13878,43
45.01923,10,13901,113
45.0608967,10,13926,47
45.1025633,10,13951,32
45.14423,10,13978,15
45.1858967,10,14006,6
45.2275633,10,14035,0
45.26923,10,14064,0
45.3108967,10,14094,0
45.3525633,10,14125,1
45.39423,10,14157,4
45.4358967,11,14188,1
45.4775633,11,14221,0
45.51923,11,14253,0
45.5608967,11,14286,0
45.6025633,11,14318,1
45.64423,11,14351,0
45.6858967,11,14384,0
45.7275633,11,14416,2
45.76923,11,14449,0
45.8108967,11,14481,0
45.8525633,12,14513,0
45.89423,12,14544,0
45.9358967,12,14574,0
45.9775633,12,14604,0
46.01923,12,14633,0
46.0608967,12,14662,0
46.1025633,13,14689,0
46.14423,13,14716,0
46.1858967,13,14742,0
46.2275633,13,14768,0
46.26923,13,14793,0
46.3108967,13,14816,0
46.3525633,13,14840,0
46.39423,14,14862,0
46.4358967,14,14884,0
46.4775633,14,14905,0
46.51923,14,14926,0
46.5608967,14,14946,0
46.6025633,14,14965,1
46.64423,14,14984,2
46.6858967,15,15002,0
46.7275633,15,15020,0
46.76923,15,15036,0
46.8108967,15,15053,0
46.8525633,15,15069,0
46.89423,15,15084,2
46.9358967,15,15098,0
46.9775633,15,15113,0
47.01923,15,15126,0
47.0608967,15,15139,2
47.1025633,15,15152,36
47.14423,15,15164,29
47.1858967,15,15176,31
47.2275633,15,15187,85
47.26923,15,15198,24
47.3108967,15,15208,40
47.3525633,15,15217,28
47.39423,15,15227,32
