time,births,population,reported_cases
44.01923,32,35034,0
44.0608967,31,35004,0
44.1025633,31,34978,0
44.14423,31,34957,0
44.1858967,31,34939,1
44.2275633,31,34926,2
44.26923,30,34918,0
44.3108967,30,34913,0
44.3525633,30,34912,3
44.39423,30,34915,2
44.4358967,30,34921,10
44.4775633,30,34931,2
44.51923,30,34945,16
44.5608967,30,34961,4
44.6025633,30,34981,4
44.64423,30,35004,0
44.6858967,30,35030,0
44.7275633,30,35059,13
44.76923,30,35091,27
44.8108967,30,35125,80
44.8525633,30,35161,54
44.89423,30,35201,47
44.9358967,30,35242,1
44.9775633,30,35286,13
45.01923,30,35331,4
45.0608967,30,35379,6
45.1025633,30,35428,0
45.14423,31,35480,3
45.1858967,31,35533,6
45.2275633,31,35587,7
45.26923,31,35643,13
45.3108967,31,35700,4
45.3525633,31,35759,13
45.39423,31,35819,9
45.4358967,31,35880,2
45.4775633,31,35941,8
45.51923,32,36004,22
45.5608967,32,36068,12
45.6025633,32,36132,7
45.64423,32,36197,2
45.6858967,32,36262,4
45.7275633,32,36328,0
45.76923,32,36394,11
45.8108967,32,36460,17
45.8525633,33,36526,1
45.89423,33,36592,0
45.9358967,33,36659,0
45.9775633,33,36725,0
46.01923,33,36790,0
46.0608967,33,36856,0
46.1025633,33,36921,0
46.14423,33,36985,0
46.1858967,33,37049,0
46.2275633,33,37113,0
46.26923,34,37175,0
46.3108967,34,37238,0
46.3525633,34,37299,2
46.39423,34,37360,3
46.4358967,34,37420,0
46.4775633,34,37480,0
46.51923,34,37538,0
46.5608967,34,37596,0
46.6025633,34,37653,0
46.64423,34,37709,0
46.6858967,34,37763,1
46.7275633,34,37817,1
46.76923,34,37870,0
46.8108967,34,37921,0
46.8525633,34,37972,3
46.89423,34,38021,25
46.9358967,34,38069,73
46.9775633,34,38115,80
47.01923,34,38161,74
47.0608967,34,38205,36
47.1025633,34,38247,76
47.14423,34,38288,60
47.1858967,34,38328,42
47.2275633,34,38366,37
47.26923,34,38403,15
47.3108967,33,38439,29
47.3525633,33,38473,6
47.39423,33,38506,4
47.4358967,33,38537,2
47.4775633,33,38567,10
47.51923,33,38596,18
47.5608967,33,38623,9
47.6025633,33,38648,2
47.64423,33,38673,4
47.6858967,33,38695,4
47.7275633,33,38717,0
47.76923,33,38737,2
47.8108967,33,38755,0
47.8525633,33,38772,0
47.89423,32,38787,0
47.9358967,32,38801,0
47.9775633,32,38814,2
48.01923,32,38825,0
48.0608967,32,38835,1
48.1025633,32,38843,1
48.14423,32,38850,2
48.1858967,32,38856,6
48.2275633,32,38861,15
48.26923,32,38865,78
48.3108967,32,38868,61
48.3525633,32,38871,99
48.39423,32,38872,119
48.4358967,32,38874,62
48.4775633,32,38875,37
48.51923,32,38876,4
48.5608967,32,38876,2
48.6025633,31,38877,2
48.64423,31,38878,6
48.6858967,31,38878,1
48.7275633,31,38879,0
48.76923,31,38881,0
48.8108967,31,38883,0
48.8525633,31,38885,0
48.89423,31,38888,0
48.9358967,31,38892,0
48.9775633,31,38897,0
49.01923,31,38903,2
49.0608967,31,38910,2
49.1025633,31,38917,1
49.14423,31,38926,1
49.1858967,31,38935,4
49.2275633,31,38945,14
49.26923,31,38956,11
49.3108967,31,38967,2
49.3525633,31,38978,4
49.39423,31,38989,3
49.4358967,31,39001,3
49.4775633,31,39013,9
49.51923,31,39025,9
49.5608967,31,39036,20
49.6025633,31,39048,10
49.64423,31,39059,4
49.6858967,30,39070,0
49.7275633,30,39080,2
49.76923,30,39090,2
49.8108967,30,39099,0
49.8525633,30,39108,0
49.89423,30,39115,2
49.9358967,30,39122,5
49.9775633,30,39127,7
50.01923,30,39132,7
50.0608967,30,39135,0
50.1025633,30,39137,1
50.14423,30,39139,2
50.1858967,30,39139,0
50.2275633,30,39138,4
50.26923,30,39136,2
50.3108967,30,39134,4
50.3525633,29,39131,30
50.39423,29,39127,49
50.4358967,29,39122,54
50.4775633,29,39117,57
50.51923,29,39111,49
50.5608967,29,39104,30
50.6025633,29,39098,19
50.64423,29,39090,28
50.6858967,29,39083,4
50.7275633,29,39075,8
50.76923,29,39067,0
