time,births,population,reported_cases
44.01923,22,21871,2
44.0608967,22,21799,0
44.1025633,21,21741,4
44.14423,21,21698,10
44.1858967,20,21668,18
44.2275633,20,21652,11
44.26923,20,21649,18
44.3108967,20,21657,14
44.3525633,19,21677,10
44.39423,19,21708,2
44.4358967,19,21749,1
44.4775633,19,21800,2
44.51923,19,21861,7
44.5608967,19,21930,0
44.6025633,19,22006,0
44.64423,19,22091,0
44.6858967,19,22182,0
44.7275633,19,22279,0
44.76923,19,22382,0
44.8108967,19,22491,2
44.8525633,19,22603,0
44.89423,19,22720,0
44.9358967,19,22840,0
44.9775633,19,22963,0
45.01923,19,23088,0
45.0608967,20,23215,0
45.1025633,20,23343,0
45.14423,20,23472,1
45.1858967,20,23602,10
45.2275633,20,23733,63
45.26923,21,23863,18
45.3108967,21,23993,13
45.3525633,21,24122,31
45.39423,21,24250,70
45.4358967,22,24377,38
45.4775633,22,24502,3
45.51923,22,24625,26
45.5608967,22,24746,13
45.6025633,23,24864,4
45.64423,23,24978,2
45.6858967,23,25089,0
45.7275633,23,25197,2
45.76923,23,25300,0
45.8108967,24,25399,2
45.8525633,24,25492,0
45.89423,24,25581,0
45.9358967,24,25664,0
45.9775633,25,25741,0
46.01923,25,25812,2
46.0608967,25,25877,0
46.1025633,25,25935,0
46.14423,25,25988,1
46.1858967,25,26036,0
46.2275633,26,26079,2
46.26923,26,26118,20
46.3108967,26,26152,20
46.3525633,26,26183,15
46.39423,26,26211,10
46.4358967,26,26235,12
46.4775633,26,26257,14
46.51923,26,26276,11
46.5608967,26,26293,21
46.6025633,26,26309,4
46.64423,26,26324,3
46.6858967,26,26337,7
46.7275633,26,26351,0
46.76923,26,26364,0
46.8108967,26,26377,0
46.8525633,26,26391,3
46.89423,26,26406,2
46.9358967,26,26422,6
46.9775633,26,26440,7
47.01923,26,26459,4
47.0608967,26,26481,1
47.1025633,26,26505,36
47.14423,26,26531,27
47.1858967,25,26558,26
47.2275633,25,26587,16
47.26923,25,26617,16
47.3108967,25,26649,18
47.3525633,25,26681,7
47.39423,25,26714,3
47.4358967,24,26748,9
47.4775633,24,26782,12
47.51923,24,26817,82
47.5608967,24,26852,5
47.6025633,24,26887,0
47.64423,24,26922,2
47.6858967,23,26956,0
47.7275633,23,26990,2
47.76923,23,27024,0
47.8108967,23,27056,0
47.8525633,23,27088,2
47.89423,23,27119,1
47.9358967,23,27148,0
47.9775633,22,27176,0
48.01923,22,27202,0
48.0608967,22,27227,2
48.1025633,22,27250,1
48.14423,22,27271,3
48.1858967,22,27291,6
48.2275633,22,27310,15
48.26923,22,27328,24
48.3108967,22,27344,5
48.3525633,22,27359,53
48.39423,22,27374,125
48.4358967,22,27387,79
48.4775633,22,27400,24
48.51923,22,27412,4
48.5608967,22,27423,23
48.6025633,22,27433,7
48.64423,22,27443,4
48.6858967,22,27453,0
48.7275633,22,27462,0
48.76923,22,27471,0
48.8108967,22,27480,0
48.8525633,22,27489,0
48.89423,22,27497,0
48.9358967,22,27506,2
48.9775633,22,27515,0
49.01923,22,27524,4
49.0608967,22,27534,4
49.1025633,21,27543,24
49.14423,21,27553,25
49.1858967,21,27563,26
49.2275633,21,27573,13
49.26923,21,27583,22
49.3108967,21,27593,8
49.3525633,21,27604,13
49.39423,21,27614,3
49.4358967,21,27625,10
49.4775633,21,27635,8
49.51923,21,27645,2
49.5608967,21,27655,4
49.6025633,21,27665,0
49.64423,21,27675,1
49.6858967,21,27685,0
49.7275633,20,27695,0
49.76923,20,27704,0
49.8108967,20,27713,0
49.8525633,20,27722,0
49.89423,20,27730,0
49.9358967,20,27738,0
49.9775633,20,27746,0
50.01923,20,27753,0
50.0608967,19,27760,0
50.1025633,19,27767,0
50.14423,19,27773,0
50.1858967,19,27779,0
50.2275633,19,27784,2
50.26923,19,27789,0
50.3108967,19,27794,1
50.3525633,18,27798,1
50.39423,18,27802,11
50.4358967,18,27805,10
50.4775633,18,27808,2
50.51923,18,27811,2
50.5608967,18,27813,5
50.6025633,18,27816,29
50.64423,18,27817,20
50.6858967,17,27819,9
50.7275633,17,27820,7
50.76923,17,27821,4
50.8108967,17,27821,2
50.8525633,17,27822,1
50.89423,17,27821,3
50.9358967,17,27821,7
50.9775633,17,27820,7
51.01923,17,27820,35
51.0608967,17,27818,28
51.1025633,17,27817,89
51.14423,17,27815,103
51.1858967,17,27813,93
51.2275633,17,27811,132
51.26923,17,27809,151
51.3108967,17,27807,40
51.3525633,17,27804,28
51.39423,17,27802,13
51.4358967,17,27799,7
51.4775633,17,27796,1
51.51923,17,27793,0
51.5608967,17,27790,0
51.6025633,17,27787,0
51.64423,17,27784,0
51.6858967,18,27781,0
51.7275633,18,27778,0
51.76923,18,27775,0
51.8108967,18,27772,0
51.8525633,18,27769,1
51.89423,18,27766,0
51.9358967,18,27764,0
51.9775633,18,27761,0
52.01923,18,27759,0
52.0608967,18,27757,1
52.1025633,18,27755,0
52.14423,18,27753,1
52.1858967,18,27751,2
52.2275633,18,27750,2
52.26923,18,27749,0
52.3108967,18,27749,1
52.3525633,18,27749,0
52.39423,18,27749,4
52.43589670000001,18,27750,0
52.47756329999999,18,27751,2
52.51923000000001,18,27753,13
52.56089670000001,18,27755,9
52.60256329999999,18,27758,1
52.64423000000001,18,27761,24
52.68589670000001,18,27765,12
52.72756329999999,18,27770,2
52.76923000000001,18,27776,11
52.81089670000001,18,27782,63
52.85256329999999,18,27789,90
52.89423000000001,18,27796,47
52.93589670000001,18,27805,22
52.97756329999999,18,27815,15
53.01923000000001,18,27825,81
53.06089670000001,18,27836,57
53.10256329999999,18,27848,29
53.14423000000001,18,27861,19
53.18589670000001,18,27874,19
53.22756329999999,17,27888,15
53.26923000000001,17,27903,11
53.31089670000001,17,27917,4
53.35256329999999,17,27933,1
53.39423000000001,17,27948,0
53.43589670000001,17,27963,0
53.47756329999999,17,27979,0
53.51923000000001,17,27995,0
53.56089670000001,17,28010,0
53.60256329999999,17,28026,0
53.64423000000001,17,28041,0
53.68589670000001,17,28056,0
53.72756329999999,17,28070,0
53.76923000000001,17,28084,0
53.81089670000001,17,28098,0
53.85256329999999,17,28111,0
53.89423000000001,17,28123,0
53.93589670000001,17,28134,0
53.97756329999999,17,28145,0
54.01923000000001,17,28154,0
54.06089670000001,18,28163,0
54.10256329999999,18,28171,0
54.14423000000001,18,28178,0
54.18589670000001,18,28185,0
54.22756329999999,18,28192,0
54.26923000000001,18,28198,0
54.31089670000001,18,28205,0
54.35256329999999,18,28212,0
54.39423000000001,18,28219,0
54.43589670000001,18,28226,1
54.47756329999999,18,28235,0
54.51923000000001,19,28244,0
54.56089670000001,19,28254,0
54.60256329999999,19,28265,1
54.64423000000001,19,28278,1
54.68589670000001,19,28292,0
54.72756329999999,19,28307,0
54.76923000000001,19,28325,0
54.81089670000001,19,28344,0
54.85256329999999,19,28365,1
54.89423000000001,20,28389,0
54.93589670000001,20,28415,0
54.97756329999999,20,28443,0
55.01923000000001,20,28475,2
55.06089670000001,20,28509,20
55.10256329999999,20,28545,94
55.14423000000001,20,28584,144
55.18589670000001,20,28625,170
55.22756329999999,20,28668,152
55.26923000000001,20,28712,97
55.31089670000001,20,28758,42
55.35256329999999,20,28805,13
55.39423000000001,20,28853,2
55.43589670000001,21,28901,0
55.47756329999999,21,28951,0
55.51923000000001,21,29000,2
55.56089670000001,21,29050,0
55.60256329999999,21,29100,0
55.64423000000001,21,29149,0
55.68589670000001,21,29198,0
55.72756329999999,21,29247,0
55.76923000000001,21,29294,0
55.81089670000001,21,29340,0
55.85256329999999,21,29385,1
55.89423000000001,21,29428,0
55.93589670000001,21,29470,0
55.97756329999999,21,29510,2
56.01923000000001,21,29547,0
56.06089670000001,21,29582,0
56.10256329999999,21,29615,0
56.14423000000001,21,29646,0
56.18589670000001,21,29675,0
56.22756329999999,21,29702,0
56.26923000000001,21,29727,0
56.31089670000001,21,29751,0
56.35256329999999,21,29773,0
56.39423000000001,22,29793,0
56.43589670000001,22,29812,1
56.47756329999999,22,29830,2
56.51923000000001,22,29846,0
56.56089670000001,22,29862,0
56.60256329999999,22,29876,0
56.64423000000001,22,29889,5
56.68589670000001,22,29902,0
56.72756329999999,22,29914,0
56.76923000000001,22,29925,0
56.81089670000001,22,29936,0
56.85256329999999,22,29946,0
56.89423000000001,22,29956,0
56.93589670000001,22,29965,0
56.97756329999999,22,29975,0
57.01923000000001,22,29984,0
57.06089670000001,22,29994,1
57.10256329999999,22,30003,22
57.14423000000001,22,30013,65
57.18589670000001,23,30022,110
57.22756329999999,23,30032,162
57.26923000000001,23,30042,92
57.31089670000001,23,30052,35
57.35256329999999,23,30062,63
57.39423000000001,23,30073,29
57.43589670000001,23,30084,20
57.47756329999999,23,30095,51
57.51923000000001,23,30107,2
57.56089670000001,23,30119,11
57.60256329999999,23,30131,2
57.64423000000001,23,30144,4
57.68589670000001,23,30158,1
57.72756329999999,23,30172,0
57.76923000000001,23,30187,0
57.81089670000001,23,30202,0
57.85256329999999,23,30218,0
57.89423000000001,23,30235,0
57.93589670000001,23,30252,0
57.97756329999999,23,30270,0
58.01923000000001,23,30289,0
58.06089670000001,23,30308,0
58.10256329999999,23,30329,0
58.14423000000001,23,30349,0
58.18589670000001,23,30370,0
58.22756329999999,23,30391,0
58.26923000000001,23,30412,0
58.31089670000001,23,30433,0
58.35256329999999,23,30453,2
58.39423000000001,23,30473,4
58.43589670000001,23,30492,2
58.47756329999999,23,30510,0
58.51923000000001,23,30527,4
58.56089670000001,23,30543,4
58.60256329999999,23,30558,0
58.64423000000001,23,30571,4
58.68589670000001,23,30582,5
58.72756329999999,22,30592,0
58.76923000000001,22,30600,2
58.81089670000001,22,30606,15
58.85256329999999,22,30609,44
58.89423000000001,22,30610,59
58.93589670000001,22,30608,62
58.97756329999999,22,30604,35
59.01923000000001,22,30596,68
59.06089670000001,22,30586,14
59.10256329999999,22,30573,46
59.14423000000001,22,30558,29
59.18589670000001,22,30541,33
59.22756329999999,22,30523,36
59.26923000000001,22,30503,13
59.31089670000001,22,30482,7
59.35256329999999,22,30461,4
59.39423000000001,22,30439,3
59.43589670000001,23,30418,2
59.47756329999999,23,30397,1
59.51923000000001,23,30376,2
59.56089670000001,23,30356,0
59.60256329999999,23,30338,0
59.64423000000001,23,30321,1
59.68589670000001,23,30306,0
59.72756329999999,23,30294,0
59.76923000000001,23,30284,0
59.81089670000001,23,30277,0
59.85256329999999,23,30273,0
59.89423000000001,23,30273,0
59.93589670000001,23,30276,0
59.97756329999999,24,30284,0
60.01923000000001,24,30296,2
60.06089670000001,24,30313,0
60.10256329999999,24,30334,0
60.14423000000001,24,30359,0
60.18589670000001,24,30388,0
60.22756329999999,24,30420,2
60.26923000000001,24,30455,0
60.31089670000001,24,30493,0
60.35256329999999,24,30534,1
60.39423000000001,24,30577,0
60.43589670000001,24,30622,1
60.47756329999999,25,30669,2
60.51923000000001,25,30717,2
60.56089670000001,25,30766,0
60.60256329999999,25,30817,0
60.64423000000001,25,30868,0
60.68589670000001,25,30919,0
60.72756329999999,25,30971,0
60.76923000000001,25,31022,0
60.81089670000001,25,31073,1
60.85256329999999,25,31123,1
60.89423000000001,25,31172,2
60.93589670000001,25,31220,3
60.97756329999999,25,31266,18
61.01923000000001,25,31310,35
61.06089670000001,25,31353,44
61.10256329999999,25,31393,27
61.14423000000001,25,31432,38
61.18589670000001,25,31469,152
61.22756329999999,25,31504,127
61.26923000000001,25,31538,162
61.31089670000001,25,31570,83
61.35256329999999,25,31601,3
61.39423000000001,25,31631,2
61.43589670000001,25,31660,0
61.47756329999999,25,31687,0
61.51923000000001,25,31714,0
61.56089670000001,24,31739,2
61.60256329999999,24,31764,1
61.64423000000001,24,31789,7
61.68589670000001,24,31812,0
61.72756329999999,24,31835,0
61.76923000000001,24,31858,0
61.81089670000001,24,31880,0
61.85256329999999,24,31902,0
61.89423000000001,24,31924,0
61.93589670000001,24,31946,0
61.97756329999999,24,31968,0
62.01923000000001,24,31990,0
62.06089670000001,24,32012,0
62.10256329999999,24,32035,0
62.14423000000001,24,32057,0
62.18589670000001,24,32080,0
62.22756329999999,25,32104,0
62.26923000000001,25,32127,0
62.31089670000001,25,32151,0
62.35256329999999,25,32175,0
62.39423000000001,25,32200,0
62.43589670000001,25,32225,0
62.47756329999999,25,32250,0
62.51923000000001,25,32276,0
62.56089670000001,25,32303,0
62.60256329999999,26,32330,0
62.64423000000001,26,32358,3
62.68589670000001,26,32386,1
62.72756329999999,26,32415,0
62.76923000000001,26,32444,0
62.81089670000001,26,32474,0
62.85256329999999,27,32505,0
62.89423000000001,27,32536,0
62.93589670000001,27,32569,5
62.97756329999999,27,32602,15
63.01923000000001,27,32636,2
63.06089670000001,27,32670,3
63.10256329999999,28,32706,7
63.14423000000001,28,32742,19
63.18589670000001,28,32779,56
63.22756329999999,28,32817,71
63.26923000000001,28,32855,55
63.31089670000001,29,32894,71
63.35256329999999,29,32933,32
63.39423000000001,29,32973,32
63.43589670000001,29,33014,56
63.47756329999999,30,33055,78
63.51923000000001,30,33097,11
63.56089670000001,30,33139,28
63.60256329999999,30,33181,5
63.64423000000001,30,33224,7
63.68589670000001,30,33267,3
63.72756329999999,31,33310,0
63.76923000000001,31,33354,0
63.81089670000001,31,33398,0
63.85256329999999,31,33442,0
63.89423000000001,31,33487,0
63.93589670000001,31,33531,0
63.97756329999999,31,33576,0
