time,births,population,reported_cases
44.01923,156,189617,7
44.0608967,153,188637,7
44.1025633,151,187834,9
44.14423,149,187200,8
44.1858967,147,186729,11
44.2275633,146,186415,24
44.26923,145,186250,15
44.3108967,144,186229,12
44.3525633,143,186344,10
44.39423,142,186590,18
44.4358967,142,186959,3
44.4775633,142,187445,11
44.51923,142,188042,18
44.5608967,143,188743,7
44.6025633,143,189541,3
44.64423,144,190429,3
44.6858967,145,191403,9
44.7275633,146,192453,6
44.76923,148,193575,18
44.8108967,149,194762,17
44.8525633,150,196007,29
44.89423,152,197303,51
44.9358967,154,198644,71
44.9775633,156,200024,67
45.01923,158,201435,77
45.0608967,160,202873,139
45.1025633,162,204333,243
45.14423,164,205811,326
45.1858967,166,207303,238
45.2275633,168,208805,219
45.26923,171,210312,259
45.3108967,173,211820,153
45.3525633,176,213326,134
45.39423,178,214825,102
45.4358967,180,216312,130
45.4775633,183,217785,93
45.51923,185,219237,40
45.5608967,188,220667,29
45.6025633,190,222068,9
45.64423,192,223437,20
45.6858967,195,224770,10
45.7275633,197,226063,7
45.76923,199,227312,15
45.8108967,201,228511,35
45.8525633,203,229658,46
45.89423,205,230748,29
45.9358967,207,231777,15
45.9775633,209,232740,27
46.01923,211,233634,0
46.0608967,213,234458,8
46.1025633,214,235215,3
46.14423,216,235909,6
46.1858967,217,236543,7
46.2275633,218,237121,12
46.26923,219,237645,7
46.3108967,220,238121,11
46.3525633,221,238550,38
46.39423,222,238937,75
46.4358967,223,239284,55
46.4775633,223,239596,56
46.51923,224,239876,100
46.5608967,224,240127,172
46.6025633,225,240353,119
46.64423,225,240557,61
46.6858967,225,240742,21
46.7275633,225,240912,12
46.76923,225,241071,7
46.8108967,225,241222,7
46.8525633,225,241368,15
46.89423,225,241513,42
46.9358967,224,241661,40
46.9775633,224,241814,48
47.01923,223,241976,57
47.0608967,223,242149,48
47.1025633,222,242332,136
47.14423,221,242523,288
47.1858967,220,242723,256
47.2275633,219,242929,183
47.26923,218,243142,138
47.3108967,217,243361,140
47.3525633,216,243584,90
47.39423,215,243811,75
47.4358967,214,244041,197
47.4775633,213,244273,45
47.51923,212,244506,36
47.5608967,210,244740,34
47.6025633,209,244973,29
47.64423,208,245204,12
47.6858967,206,245433,5
47.7275633,205,245659,1
47.76923,204,245881,0
47.8108967,203,246099,2
47.8525633,201,246310,2
47.89423,200,246515,2
47.9358967,199,246713,2
47.9775633,198,246902,5
48.01923,196,247082,13
48.0608967,195,247253,5
48.1025633,194,247415,43
48.14423,193,247568,71
48.1858967,192,247714,109
48.2275633,191,247852,252
48.26923,190,247984,416
48.3108967,189,248109,372
48.3525633,188,248229,339
48.39423,187,248343,280
48.4358967,186,248453,160
48.4775633,186,248559,94
48.51923,185,248660,115
48.5608967,184,248759,87
48.6025633,183,248855,46
48.64423,182,248949,30
48.6858967,182,249042,29
48.7275633,181,249133,10
48.76923,180,249224,9
48.8108967,179,249314,6
48.8525633,179,249406,7
48.89423,178,249498,3
48.9358967,177,249592,3
48.9775633,177,249687,3
49.01923,176,249786,9
49.0608967,175,249887,36
49.1025633,175,249990,68
49.14423,174,250094,69
49.1858967,174,250199,125
49.2275633,173,250305,160
49.26923,172,250410,173
49.3108967,172,250514,300
49.3525633,171,250617,135
49.39423,171,250718,96
49.4358967,170,250816,229
49.4775633,170,250911,168
49.51923,169,251003,111
49.5608967,169,251090,130
49.6025633,168,251172,60
49.64423,168,251249,34
49.6858967,167,251320,14
49.7275633,167,251384,23
49.76923,166,251441,49
49.8108967,166,251490,27
49.8525633,166,251531,14
49.89423,165,251563,9
49.9358967,165,251585,9
49.9775633,164,251598,2
50.01923,164,251600,7
50.0608967,164,251591,7
50.1025633,163,251572,15
50.14423,163,251545,34
50.1858967,163,251509,17
50.2275633,162,251466,18
50.26923,162,251416,15
50.3108967,162,251361,7
50.3525633,162,251300,21
50.39423,161,251235,60
50.4358967,161,251167,74
50.4775633,161,251096,40
50.51923,160,251023,29
50.5608967,160,250949,57
50.6025633,160,250875,74
50.64423,160,250801,60
50.6858967,160,250728,38
50.7275633,159,250657,25
50.76923,159,250589,4
50.8108967,159,250525,10
50.8525633,159,250465,70
50.89423,158,250410,58
50.9358967,158,250362,161
50.9775633,158,250320,315
51.01923,158,250285,385
51.0608967,158,250258,265
51.1025633,157,250239,401
51.14423,157,250226,932
51.1858967,157,250219,729
51.2275633,157,250217,448
51.26923,156,250220,610
51.3108967,156,250228,260
51.3525633,156,250240,226
51.39423,156,250255,181
51.4358967,156,250273,123
51.4775633,155,250292,34
51.51923,155,250314,35
51.5608967,155,250337,14
51.6025633,155,250360,11
51.64423,154,250383,3
51.6858967,154,250405,4
51.7275633,154,250427,1
51.76923,154,250446,7
51.8108967,154,250464,0
51.8525633,154,250479,1
51.89423,153,250490,4
51.9358967,153,250497,1
51.9775633,153,250500,0
52.01923,153,250498,2
52.0608967,153,250491,6
52.1025633,153,250480,1
52.14423,152,250463,3
52.1858967,152,250443,10
52.2275633,152,250420,22
52.26923,152,250393,10
52.3108967,152,250363,12
52.3525633,152,250331,3
52.39423,152,250296,9
52.43589670000001,152,250260,72
52.47756329999999,152,250223,144
52.51923000000001,152,250185,152
52.56089670000001,152,250146,152
52.60256329999999,152,250107,167
52.64423000000001,152,250068,96
52.68589670000001,152,250030,24
52.72756329999999,152,249993,17
52.76923000000001,152,249957,10
52.81089670000001,152,249923,9
52.85256329999999,152,249891,31
52.89423000000001,152,249861,93
52.93589670000001,152,249835,102
52.97756329999999,152,249811,52
53.01923000000001,152,249791,299
53.06089670000001,153,249775,450
53.10256329999999,153,249763,893
53.14423000000001,153,249753,1098
53.18589670000001,153,249746,809
53.22756329999999,154,249742,538
53.26923000000001,154,249741,197
53.31089670000001,154,249741,135
53.35256329999999,154,249743,46
53.39423000000001,154,249747,24
53.43589670000001,155,249752,62
53.47756329999999,155,249758,8
53.51923000000001,155,249764,0
53.56089670000001,155,249771,6
53.60256329999999,155,249778,1
53.64423000000001,156,249785,4
53.68589670000001,156,249792,6
53.72756329999999,156,249798,2
53.76923000000001,156,249803,2
53.81089670000001,156,249806,0
53.85256329999999,156,249808,1
53.89423000000001,156,249809,0
53.93589670000001,156,249807,0
53.97756329999999,156,249803,0
54.01923000000001,155,249797,0
54.06089670000001,155,249787,0
54.10256329999999,155,249776,0
54.14423000000001,154,249762,0
54.18589670000001,154,249746,1
54.22756329999999,154,249728,0
54.26923000000001,153,249708,0
54.31089670000001,153,249687,0
54.35256329999999,152,249665,1
54.39423000000001,152,249641,2
54.43589670000001,151,249617,9
54.47756329999999,151,249592,6
54.51923000000001,150,249566,2
54.56089670000001,150,249540,22
54.60256329999999,150,249514,21
54.64423000000001,149,249488,22
54.68589670000001,149,249463,7
54.72756329999999,149,249438,13
54.76923000000001,148,249414,2
54.81089670000001,148,249390,4
54.85256329999999,148,249368,3
54.89423000000001,148,249347,2
54.93589670000001,148,249327,7
54.97756329999999,148,249309,17
55.01923000000001,148,249293,144
55.06089670000001,148,249279,145
