time,births,population,reported_cases
44.01923,89,91513,7
44.0608967,88,91013,2
44.1025633,87,90590,5
44.14423,85,90240,13
44.1858967,84,89961,4
44.2275633,83,89749,12
44.26923,82,89603,0
44.3108967,82,89518,2
44.3525633,81,89492,0
44.39423,80,89523,3
44.4358967,80,89607,4
44.4775633,79,89741,4
44.51923,79,89923,15
44.5608967,79,90150,4
44.6025633,79,90419,0
44.64423,79,90726,1
44.6858967,79,91070,0
44.7275633,79,91447,0
44.76923,79,91854,2
44.8108967,79,92289,2
44.8525633,79,92749,2
44.89423,80,93230,6
44.9358967,80,93730,21
44.9775633,81,94246,38
45.01923,81,94776,90
45.0608967,82,95316,125
45.1025633,83,95865,213
45.14423,83,96422,208
45.1858967,84,96984,160
45.2275633,85,97549,215
45.26923,86,98117,99
45.3108967,87,98685,109
45.3525633,88,99251,49
45.39423,89,99815,31
45.4358967,90,100373,24
45.4775633,91,100924,16
45.51923,92,101466,7
45.5608967,93,101999,14
45.6025633,94,102519,9
45.64423,95,103025,2
45.6858967,96,103515,12
45.7275633,97,103989,1
45.76923,98,104443,0
45.8108967,99,104876,0
45.8525633,100,105286,0
45.89423,101,105672,0
45.9358967,102,106032,1
45.9775633,103,106364,0
46.01923,104,106666,9
46.0608967,105,106938,0
46.1025633,106,107182,3
46.14423,107,107399,0
46.1858967,108,107592,2
46.2275633,109,107761,4
46.26923,110,107909,11
46.3108967,110,108038,44
46.3525633,111,108148,99
46.39423,112,108241,107
46.4358967,112,108320,97
46.4775633,113,108386,83
46.51923,114,108441,66
46.5608967,114,108486,49
46.6025633,114,108523,46
46.64423,115,108553,33
46.6858967,115,108579,12
46.7275633,115,108603,9
46.76923,115,108624,11
46.8108967,115,108647,10
46.8525633,115,108671,4
46.89423,115,108700,9
46.9358967,115,108733,10
46.9775633,115,108774,5
47.01923,114,108824,18
47.0608967,114,108884,27
47.1025633,113,108952,27
47.14423,113,109029,19
47.1858967,112,109113,88
47.2275633,111,109205,82
47.26923,110,109303,74
47.3108967,109,109408,98
47.3525633,108,109517,59
47.39423,107,109632,139
47.4358967,106,109752,7
47.4775633,105,109875,12
47.51923,104,110001,50
47.5608967,103,110130,21
47.6025633,102,110260,13
47.64423,101,110393,8
47.6858967,100,110526,1
47.7275633,99,110659,11
47.76923,98,110793,6
47.8108967,97,110925,11
47.8525633,96,111056,10
47.89423,95,111185,8
47.9358967,94,111312,12
47.9775633,93,111435,0
48.01923,93,111555,0
48.0608967,92,111670,0
48.1025633,91,111783,6
48.14423,91,111891,13
48.1858967,90,111997,27
48.2275633,90,112100,95
48.26923,89,112200,132
48.3108967,89,112297,56
48.3525633,88,112393,88
48.39423,88,112487,128
48.4358967,88,112579,93
48.4775633,88,112670,56
48.51923,87,112759,13
48.5608967,87,112848,29
48.6025633,87,112937,15
48.64423,87,113025,8
48.6858967,87,113113,14
48.7275633,86,113201,17
48.76923,86,113289,42
48.8108967,86,113379,73
48.8525633,86,113469,45
48.89423,86,113560,170
48.9358967,86,113653,160
48.9775633,85,113748,98
49.01923,85,113845,154
49.0608967,85,113943,82
49.1025633,85,114043,25
49.14423,85,114144,74
49.1858967,84,114245,45
49.2275633,84,114345,65
49.26923,84,114444,62
49.3108967,84,114542,25
49.3525633,83,114637,26
49.39423,83,114730,34
49.4358967,83,114819,6
49.4775633,82,114904,13
49.51923,82,114985,2
49.5608967,82,115060,3
49.6025633,82,115130,1
49.64423,81,115194,2
49.6858967,81,115251,3
49.7275633,81,115300,2
49.76923,80,115342,2
49.8108967,80,115375,0
49.8525633,80,115398,1
49.89423,80,115412,2
49.9358967,79,115416,1
49.9775633,79,115409,0
50.01923,79,115390,0
50.0608967,79,115360,3
50.1025633,78,115319,23
50.14423,78,115268,34
50.1858967,78,115209,46
50.2275633,78,115141,85
50.26923,78,115066,60
50.3108967,78,114984,53
50.3525633,77,114896,31
50.39423,77,114804,34
50.4358967,77,114707,70
50.4775633,77,114607,79
50.51923,77,114504,119
50.5608967,77,114400,132
50.6025633,77,114295,82
50.64423,76,114189,53
50.6858967,76,114085,4
50.7275633,76,113981,14
50.76923,76,113881,2
50.8108967,76,113783,21
50.8525633,76,113689,0
50.89423,76,113600,4
50.9358967,76,113516,12
50.9775633,76,113439,22
51.01923,76,113369,97
51.0608967,76,113306,65
51.1025633,75,113250,143
51.14423,75,113201,196
51.1858967,75,113159,407
51.2275633,75,113123,204
51.26923,75,113093,159
51.3108967,75,113068,43
51.3525633,75,113049,37
51.39423,75,113035,19
51.4358967,75,113025,9
51.4775633,75,113020,3
51.51923,75,113019,11
51.5608967,75,113022,4
51.6025633,75,113028,7
51.64423,75,113037,7
51.6858967,75,113049,5
51.7275633,75,113064,7
51.76923,75,113080,11
51.8108967,75,113099,6
51.8525633,75,113120,2
51.89423,75,113141,1
51.9358967,75,113164,4
51.9775633,75,113187,4
52.01923,75,113211,2
52.0608967,75,113235,2
52.1025633,75,113259,0
52.14423,76,113284,6
52.1858967,76,113309,2
52.2275633,76,113335,3
52.26923,76,113362,5
52.3108967,76,113389,11
52.3525633,77,113416,1
52.39423,77,113445,0
52.43589670000001,77,113475,9
52.47756329999999,77,113505,24
52.51923000000001,78,113537,74
52.56089670000001,78,113569,119
52.60256329999999,78,113603,174
52.64423000000001,78,113639,97
52.68589670000001,78,113675,58
52.72756329999999,78,113713,55
52.76923000000001,79,113752,72
52.81089670000001,79,113793,145
52.85256329999999,79,113836,146
52.89423000000001,79,113880,243
52.93589670000001,79,113926,307
52.97756329999999,79,113973,168
53.01923000000001,79,114023,212
53.06089670000001,79,114075,154
53.10256329999999,79,114128,189
53.14423000000001,79,114182,157
53.18589670000001,79,114238,165
53.22756329999999,79,114295,86
53.26923000000001,79,114353,68
53.31089670000001,78,114412,15
53.35256329999999,78,114471,21
53.39423000000001,78,114530,14
53.43589670000001,78,114589,21
53.47756329999999,77,114648,15
53.51923000000001,77,114707,20
53.56089670000001,77,114766,10
53.60256329999999,77,114823,1
