time,births,population,reported_cases
44.01923,26,22617,0
44.0608967,26,22611,0
44.1025633,25,22608,0
44.14423,25,22606,1
44.1858967,25,22607,1
44.2275633,25,22609,3
44.26923,25,22613,0
44.3108967,25,22619,1
44.3525633,25,22626,0
44.39423,24,22635,0
44.4358967,24,22645,11
44.4775633,24,22656,3
44.51923,24,22668,2
44.5608967,24,22682,0
44.6025633,24,22697,4
44.64423,24,22712,22
44.6858967,24,22729,0
44.7275633,23,22746,6
44.76923,23,22764,50
44.8108967,23,22782,95
44.8525633,23,22801,280
44.89423,23,22820,174
44.9358967,23,22840,22
44.9775633,23,22859,8
45.01923,23,22879,0
45.0608967,23,22899,12
45.1025633,23,22919,3
45.14423,23,22939,7
45.1858967,23,22959,10
45.2275633,23,22978,17
45.26923,23,22998,8
45.3108967,23,23017,8
45.3525633,23,23036,3
45.39423,23,23055,4
45.4358967,23,23074,0
45.4775633,23,23092,0
45.51923,23,23110,0
45.5608967,23,23127,2
45.6025633,23,23144,0
45.64423,23,23160,0
45.6858967,23,23175,0
45.7275633,23,23190,0
45.76923,23,23205,0
45.8108967,23,23218,0
45.8525633,24,23231,0
45.89423,24,23243,0
45.9358967,24,23254,0
45.9775633,24,23265,0
46.01923,24,23274,0
46.0608967,24,23283,0
46.1025633,24,23290,0
46.14423,24,23297,0
46.1858967,24,23304,0
46.2275633,24,23309,0
46.26923,25,23315,0
46.3108967,25,23319,0
46.3525633,25,23324,1
46.39423,25,23328,0
46.4358967,25,23333,0
46.4775633,25,23337,0
46.51923,25,23341,2
46.5608967,25,23345,0
46.6025633,25,23350,0
46.64423,25,23355,0
46.6858967,25,23360,0
46.7275633,25,23365,0
46.76923,25,23372,0
46.8108967,25,23378,0
46.8525633,25,23386,0
46.89423,25,23394,1
46.9358967,25,23404,0
46.9775633,25,23414,0
47.01923,25,23425,0
47.0608967,25,23438,1
47.1025633,25,23451,7
47.14423,25,23466,10
47.1858967,25,23481,85
47.2275633,24,23497,17
47.26923,24,23514,102
47.3108967,24,23531,78
47.3525633,24,23550,57
47.39423,24,23568,174
47.4358967,23,23587,130
47.4775633,23,23607,36
47.51923,23,23627,38
47.5608967,23,23647,26
47.6025633,23,23668,1
47.64423,22,23688,9
47.6858967,22,23709,0
