time,births,population,reported_cases
44.01923,5,8524,0
44.0608967,5,8502,0
44.1025633,4,8481,0
44.14423,4,8463,0
44.1858967,4,8447,0
44.2275633,4,8432,0
44.26923,4,8419,0
44.3108967,4,8408,0
44.3525633,4,8399,0
44.39423,4,8391,0
44.4358967,4,8384,0
44.4775633,4,8379,0
44.51923,4,8375,0
44.5608967,4,8371,0
44.6025633,4,8369,0
44.64423,4,8368,0
44.6858967,4,8368,0
44.7275633,4,8369,0
44.76923,4,8370,0
44.8108967,4,8371,0
44.8525633,4,8374,0
44.89423,4,8376,0
44.9358967,4,8379,0
44.9775633,4,8382,4
45.01923,4,8386,0
45.0608967,4,8389,1
45.1025633,4,8392,38
45.14423,4,8395,28
45.1858967,4,8399,28
45.2275633,4,8402,39
45.26923,4,8405,4
45.3108967,4,8408,15
45.3525633,4,8410,3
45.39423,4,8413,0
45.4358967,4,8415,0
45.4775633,4,8417,0
45.51923,5,8418,0
45.5608967,5,8419,0
45.6025633,5,8420,0
45.64423,5,8420,0
45.6858967,5,8419,0
45.7275633,5,8418,0
45.76923,5,8417,0
45.8108967,5,8415,0
45.8525633,5,8412,0
45.89423,5,8408,0
45.9358967,5,8404,0
45.9775633,6,8399,0
46.01923,6,8393,0
46.0608967,6,8387,0
46.1025633,6,8379,0
46.14423,6,8371,0
46.1858967,6,8363,0
46.2275633,6,8354,0
46.26923,6,8344,0
46.3108967,6,8335,0
46.3525633,6,8325,0
46.39423,6,8315,0
46.4358967,6,8305,0
46.4775633,7,8295,0
46.51923,7,8285,0
46.5608967,7,8275,0
46.6025633,7,8265,0
46.64423,7,8256,0
46.6858967,7,8247,0
46.7275633,7,8239,0
46.76923,7,8231,0
46.8108967,7,8224,0
46.8525633,7,8218,0
46.89423,7,8213,0
46.9358967,7,8208,0
46.9775633,7,8204,0
47.01923,7,8202,0
47.0608967,7,8201,2
47.1025633,7,8200,0
47.14423,7,8201,1
47.1858967,7,8202,6
47.2275633,7,8203,3
47.26923,7,8206,0
47.3108967,7,8208,1
47.3525633,7,8211,0
47.39423,7,8214,0
47.4358967,7,8217,4
47.4775633,7,8220,4
47.51923,7,8223,8
47.5608967,7,8225,3
47.6025633,7,8227,1
47.64423,7,8228,0
47.6858967,7,8229,0
47.7275633,7,8229,0
47.76923,7,8228,0
47.8108967,7,8226,0
47.8525633,6,8223,0
47.89423,6,8218,0
47.9358967,6,8213,0
47.9775633,6,8206,0
48.01923,6,8197,0
48.0608967,6,8186,0
48.1025633,6,8175,0
48.14423,6,8162,0
48.1858967,6,8147,0
48.2275633,6,8132,0
48.26923,6,8116,0
48.3108967,6,8100,1
48.3525633,6,8083,4
48.39423,6,8065,1
48.4358967,6,8048,3
48.4775633,6,8031,0
48.51923,6,8013,0
48.5608967,6,7996,0
48.6025633,6,7980,0
48.64423,6,7964,0
48.6858967,6,7949,0
48.7275633,6,7935,0
48.76923,6,7922,0
48.8108967,6,7910,0
48.8525633,6,7900,0
48.89423,6,7891,0
48.9358967,6,7884,0
48.9775633,6,7879,0
49.01923,6,7876,0
49.0608967,6,7875,0
49.1025633,6,7876,0
49.14423,6,7879,1
49.1858967,6,7884,0
49.2275633,6,7890,0
49.26923,6,7899,0
49.3108967,6,7908,0
49.3525633,6,7919,1
49.39423,6,7932,1
49.4358967,6,7946,0
49.4775633,6,7960,0
49.51923,6,7976,0
49.5608967,6,7993,0
49.6025633,6,8011,0
49.64423,6,8029,0
49.6858967,6,8048,0
49.7275633,6,8067,0
49.76923,6,8087,0
49.8108967,6,8108,0
49.8525633,6,8128,0
49.89423,6,8149,0
49.9358967,6,8170,1
49.9775633,6,8191,0
50.01923,6,8212,4
50.0608967,6,8232,2
50.1025633,6,8252,0
50.14423,6,8272,0
50.1858967,6,8291,0
50.2275633,6,8310,0
50.26923,6,8328,0
