time,births,population,reported_cases
44.01923,43,46837,0
44.0608967,43,46690,0
44.1025633,42,46559,0
44.14423,42,46443,0
44.1858967,41,46342,1
44.2275633,41,46255,0
44.26923,40,46182,0
44.3108967,40,46122,0
44.3525633,39,46075,1
44.39423,39,46040,0
44.4358967,39,46018,0
44.4775633,38,46006,0
44.51923,38,46006,0
44.5608967,38,46016,0
44.6025633,38,46037,3
44.64423,37,46067,0
44.6858967,37,46106,4
44.7275633,37,46154,1
44.76923,37,46210,39
44.8108967,37,46274,26
44.8525633,37,46345,2
44.89423,37,46424,6
44.9358967,37,46508,9
44.9775633,37,46599,27
45.01923,37,46695,15
45.0608967,37,46796,28
45.1025633,37,46902,149
45.14423,37,47013,191
45.1858967,37,47127,140
45.2275633,38,47246,80
45.26923,38,47367,32
45.3108967,38,47492,13
45.3525633,38,47619,10
45.39423,39,47748,5
45.4358967,39,47880,0
45.4775633,39,48013,0
45.51923,40,48147,0
45.5608967,40,48282,2
45.6025633,40,48418,0
45.64423,41,48554,0
45.6858967,41,48689,1
45.7275633,42,48824,0
45.76923,42,48959,2
45.8108967,42,49092,0
45.8525633,43,49223,0
45.89423,43,49352,0
45.9358967,44,49480,0
45.9775633,44,49604,0
46.01923,45,49726,0
46.0608967,45,49844,0
46.1025633,46,49959,0
46.14423,46,50072,0
46.1858967,47,50181,1
46.2275633,47,50287,0
46.26923,48,50390,0
46.3108967,48,50490,0
46.3525633,49,50587,0
46.39423,49,50682,1
46.4358967,50,50773,3
46.4775633,50,50862,0
46.51923,50,50948,0
46.5608967,51,51031,0
46.6025633,51,51111,1
46.64423,51,51189,0
46.6858967,52,51264,1
46.7275633,52,51337,4
46.76923,52,51407,0
46.8108967,52,51474,11
46.8525633,53,51539,30
46.89423,53,51602,190
46.9358967,53,51662,105
46.9775633,53,51720,34
47.01923,53,51775,11
47.0608967,53,51828,6
47.1025633,52,51879,1
47.14423,52,51928,6
47.1858967,52,51974,3
47.2275633,52,52019,0
47.26923,51,52061,13
47.3108967,51,52101,11
47.3525633,51,52140,30
47.39423,50,52176,43
47.4358967,50,52211,6
47.4775633,50,52244,25
47.51923,49,52275,25
47.5608967,49,52304,34
47.6025633,48,52331,3
47.64423,48,52357,3
47.6858967,48,52382,2
47.7275633,47,52405,4
47.76923,47,52426,0
47.8108967,46,52446,2
47.8525633,46,52465,0
47.89423,46,52482,1
47.9358967,45,52498,3
47.9775633,45,52513,24
48.01923,45,52526,43
48.0608967,45,52539,26
48.1025633,45,52550,23
48.14423,44,52561,18
48.1858967,44,52570,29
48.2275633,44,52579,14
48.26923,44,52588,24
48.3108967,44,52595,13
48.3525633,44,52603,28
48.39423,44,52610,37
48.4358967,44,52617,4
48.4775633,44,52624,28
48.51923,44,52631,0
48.5608967,44,52637,0
48.6025633,44,52644,1
48.64423,45,52652,5
48.6858967,45,52659,4
48.7275633,45,52668,2
48.76923,45,52676,2
48.8108967,45,52686,0
48.8525633,45,52696,0
48.89423,45,52707,2
48.9358967,45,52719,1
48.9775633,45,52732,2
49.01923,45,52747,9
49.0608967,45,52762,13
49.1025633,45,52779,9
49.14423,44,52796,8
49.1858967,44,52814,9
49.2275633,44,52833,23
49.26923,44,52853,58
49.3108967,44,52872,50
49.3525633,44,52893,50
49.39423,44,52913,63
49.4358967,43,52933,68
49.4775633,43,52953,30
49.51923,43,52973,102
49.5608967,43,52992,42
49.6025633,43,53011,19
49.64423,43,53029,8
49.6858967,42,53047,8
49.7275633,42,53063,0
49.76923,42,53079,0
49.8108967,42,53093,0
49.8525633,42,53106,0
49.89423,42,53118,0
49.9358967,42,53128,0
49.9775633,42,53136,0
50.01923,41,53143,0
50.0608967,41,53148,2
50.1025633,41,53151,2
50.14423,41,53152,13
50.1858967,41,53152,19
50.2275633,41,53150,14
50.26923,41,53147,15
50.3108967,41,53143,21
50.3525633,41,53138,12
50.39423,41,53132,53
50.4358967,42,53124,61
50.4775633,42,53116,57
50.51923,42,53108,37
50.5608967,42,53098,48
50.6025633,42,53089,45
50.64423,42,53078,14
50.6858967,42,53068,10
50.7275633,42,53057,7
50.76923,42,53047,6
50.8108967,42,53036,8
50.8525633,42,53025,6
50.89423,42,53015,15
50.9358967,42,53005,9
50.9775633,42,52995,60
51.01923,42,52986,134
51.0608967,42,52977,89
51.1025633,42,52969,56
51.14423,42,52962,49
51.1858967,41,52955,39
51.2275633,41,52949,44
51.26923,41,52943,15
51.3108967,41,52937,19
51.3525633,41,52933,11
51.39423,41,52928,11
51.4358967,41,52924,6
51.4775633,41,52921,22
51.51923,40,52918,19
51.5608967,40,52915,6
51.6025633,40,52913,8
51.64423,40,52911,3
51.6858967,40,52910,4
51.7275633,40,52909,2
51.76923,39,52908,0
51.8108967,39,52908,0
51.8525633,39,52908,0
51.89423,39,52908,10
51.9358967,39,52909,1
51.9775633,39,52909,0
52.01923,39,52911,4
52.0608967,39,52912,2
52.1025633,39,52914,0
52.14423,39,52916,0
52.1858967,39,52918,0
52.2275633,39,52920,0
52.26923,39,52923,0
52.3108967,39,52926,1
52.3525633,39,52929,4
52.39423,39,52932,10
52.43589670000001,39,52935,29
52.47756329999999,39,52938,27
52.51923000000001,39,52942,59
52.56089670000001,39,52946,80
52.60256329999999,39,52950,51
52.64423000000001,39,52954,57
52.68589670000001,39,52958,16
52.72756329999999,39,52962,4
52.76923000000001,39,52966,10
52.81089670000001,39,52970,7
52.85256329999999,39,52975,12
52.89423000000001,39,52979,9
52.93589670000001,39,52983,19
52.97756329999999,39,52988,14
53.01923000000001,40,52992,6
53.06089670000001,40,52996,11
53.10256329999999,40,53001,59
53.14423000000001,40,53005,108
53.18589670000001,40,53009,129
53.22756329999999,40,53014,124
53.26923000000001,40,53018,50
53.31089670000001,40,53022,75
53.35256329999999,40,53026,46
53.39423000000001,40,53030,34
53.43589670000001,40,53034,8
53.47756329999999,40,53038,7
53.51923000000001,40,53042,0
53.56089670000001,40,53046,1
53.60256329999999,40,53050,0
53.64423000000001,40,53053,0
53.68589670000001,40,53057,0
53.72756329999999,40,53060,0
53.76923000000001,40,53064,2
53.81089670000001,40,53067,0
53.85256329999999,40,53070,0
53.89423000000001,40,53073,0
53.93589670000001,40,53076,0
53.97756329999999,40,53079,1
54.01923000000001,40,53081,0
54.06089670000001,40,53084,0
54.10256329999999,40,53086,1
54.14423000000001,40,53088,0
54.18589670000001,40,53090,0
54.22756329999999,40,53092,0
54.26923000000001,40,53095,0
54.31089670000001,40,53097,2
54.35256329999999,40,53099,0
54.39423000000001,40,53101,0
54.43589670000001,40,53103,0
54.47756329999999,40,53105,2
54.51923000000001,40,53108,0
54.56089670000001,39,53110,0
54.60256329999999,39,53113,0
54.64423000000001,39,53116,0
54.68589670000001,39,53119,0
54.72756329999999,39,53122,0
54.76923000000001,39,53125,0
54.81089670000001,39,53129,0
54.85256329999999,39,53133,0
54.89423000000001,39,53138,2
54.93589670000001,39,53142,3
54.97756329999999,39,53147,7
55.01923000000001,39,53153,13
55.06089670000001,39,53158,13
55.10256329999999,39,53164,76
55.14423000000001,38,53171,175
55.18589670000001,38,53177,206
55.22756329999999,38,53184,193
55.26923000000001,38,53190,95
55.31089670000001,38,53197,101
55.35256329999999,38,53204,41
55.39423000000001,38,53211,49
55.43589670000001,38,53217,22
55.47756329999999,38,53224,1
55.51923000000001,38,53230,6
55.56089670000001,38,53236,0
55.60256329999999,38,53242,3
