time,births,population,reported_cases
44.01923,6,6200,0
44.0608967,5,6172,0
44.1025633,5,6143,0
44.14423,5,6116,1
44.1858967,5,6089,0
44.2275633,5,6063,0
44.26923,5,6037,0
44.3108967,5,6012,2
44.3525633,5,5988,0
44.39423,5,5965,0
44.4358967,5,5942,0
44.4775633,5,5920,0
44.51923,5,5899,0
44.5608967,5,5879,0
44.6025633,5,5860,0
44.64423,5,5841,0
44.6858967,5,5823,0
44.7275633,5,5807,0
44.76923,5,5791,0
44.8108967,5,5776,0
44.8525633,5,5762,0
44.89423,5,5749,0
44.9358967,5,5737,0
44.9775633,5,5726,0
45.01923,5,5717,0
45.0608967,5,5708,0
45.1025633,5,5700,0
45.14423,5,5693,0
45.1858967,5,5687,0
45.2275633,4,5683,0
45.26923,4,5679,0
45.3108967,4,5676,0
45.3525633,4,5674,0
45.39423,4,5673,0
45.4358967,4,5673,3
45.4775633,4,5674,0
45.51923,4,5676,0
45.5608967,4,5679,0
45.6025633,5,5683,0
45.64423,5,5688,0
45.6858967,5,5694,0
45.7275633,5,5700,3
45.76923,5,5707,4
45.8108967,5,5716,1
45.8525633,5,5725,7
45.89423,5,5735,4
45.9358967,5,5746,10
45.9775633,5,5757,3
46.01923,5,5770,0
46.0608967,5,5783,5
46.1025633,5,5797,3
46.14423,5,5812,4
46.1858967,5,5827,3
46.2275633,5,5843,0
46.26923,5,5859,2
46.3108967,5,5875,0
46.3525633,5,5892,1
46.39423,5,5909,1
46.4358967,6,5926,3
46.4775633,6,5943,0
46.51923,6,5960,0
46.5608967,6,5977,0
46.6025633,6,5993,0
46.64423,6,6010,0
46.6858967,6,6026,0
46.7275633,6,6042,0
46.76923,6,6057,0
46.8108967,6,6072,0
46.8525633,6,6086,0
46.89423,6,6100,0
46.9358967,6,6112,0
46.9775633,6,6124,0
47.01923,6,6135,0
47.0608967,6,6145,0
47.1025633,6,6154,0
47.14423,6,6162,0
47.1858967,6,6170,0
47.2275633,6,6177,0
47.26923,6,6183,0
47.3108967,5,6188,12
47.3525633,5,6193,0
47.39423,5,6198,0
47.4358967,5,6202,0
47.4775633,5,6205,0
47.51923,5,6209,0
47.5608967,5,6212,0
47.6025633,5,6214,2
47.64423,5,6217,0
47.6858967,5,6220,0
47.7275633,5,6222,0
47.76923,5,6224,0
47.8108967,4,6227,2
47.8525633,4,6229,0
47.89423,4,6232,0
47.9358967,4,6235,0
47.9775633,4,6238,0
48.01923,4,6242,0
48.0608967,4,6245,1
48.1025633,4,6250,0
48.14423,4,6254,6
48.1858967,4,6259,8
48.2275633,4,6263,38
48.26923,4,6268,27
48.3108967,5,6274,7
48.3525633,5,6279,2
48.39423,5,6284,9
48.4358967,5,6290,22
48.4775633,5,6296,15
48.51923,5,6301,10
48.5608967,5,6307,9
48.6025633,5,6312,3
48.64423,5,6318,0
48.6858967,5,6324,0
48.7275633,5,6329,0
48.76923,5,6334,0
48.8108967,5,6339,0
48.8525633,5,6344,0
48.89423,5,6349,0
48.9358967,5,6354,0
48.9775633,5,6358,0
49.01923,5,6362,0
49.0608967,5,6365,0
49.1025633,5,6369,0
49.14423,5,6372,0
49.1858967,5,6375,0
49.2275633,5,6378,0
49.26923,5,6380,0
49.3108967,5,6382,0
49.3525633,5,6385,0
49.39423,5,6387,0
49.4358967,5,6389,0
49.4775633,5,6390,2
49.51923,5,6392,0
49.5608967,5,6394,0
49.6025633,5,6395,0
49.64423,5,6397,0
49.6858967,5,6398,1
49.7275633,5,6399,0
49.76923,5,6401,0
49.8108967,5,6402,1
49.8525633,5,6404,0
49.89423,5,6406,0
49.9358967,5,6407,0
49.9775633,5,6409,0
50.01923,5,6411,0
50.0608967,5,6413,0
50.1025633,5,6415,7
50.14423,5,6417,5
50.1858967,5,6420,8
50.2275633,5,6422,3
50.26923,5,6424,27
50.3108967,5,6427,34
50.3525633,5,6429,10
50.39423,5,6432,3
50.4358967,5,6434,4
50.4775633,5,6437,0
50.51923,5,6439,2
50.5608967,5,6442,0
50.6025633,5,6444,0
50.64423,5,6446,1
50.6858967,5,6448,0
50.7275633,5,6450,0
50.76923,5,6452,0
50.8108967,5,6454,0
50.8525633,5,6456,0
50.89423,5,6457,0
50.9358967,5,6458,0
50.9775633,5,6459,2
51.01923,5,6460,2
51.0608967,5,6461,0
51.1025633,5,6462,0
51.14423,5,6462,0
51.1858967,5,6462,0
51.2275633,5,6462,7
51.26923,5,6462,0
