time,births,population,reported_cases
44.01923,132,155295,0
44.0608967,130,154749,6
44.1025633,128,154297,1
44.14423,126,153937,5
44.1858967,125,153663,7
44.2275633,123,153474,4
44.26923,122,153365,2
44.3108967,121,153333,5
44.3525633,120,153375,2
44.39423,119,153486,0
44.4358967,119,153664,2
44.4775633,118,153905,2
44.51923,118,154205,0
44.5608967,118,154562,4
44.6025633,118,154970,1
44.64423,118,155428,1
44.6858967,118,155931,4
44.7275633,119,156477,1
44.76923,119,157060,2
44.8108967,120,157679,3
44.8525633,120,158329,4
44.89423,121,159007,4
44.9358967,122,159709,7
44.9775633,123,160433,55
45.01923,124,161174,122
45.0608967,125,161930,179
45.1025633,126,162698,403
45.14423,127,163476,577
45.1858967,129,164262,560
45.2275633,130,165054,242
45.26923,131,165850,87
45.3108967,133,166647,52
45.3525633,134,167444,39
45.39423,135,168237,17
45.4358967,137,169025,15
45.4775633,138,169807,3
45.51923,140,170578,2
45.5608967,141,171338,1
45.6025633,142,172084,3
45.64423,144,172814,3
45.6858967,145,173526,1
45.7275633,147,174217,0
45.76923,148,174886,0
45.8108967,149,175530,4
45.8525633,150,176147,1
45.89423,152,176734,0
45.9358967,153,177291,0
45.9775633,154,177813,0
46.01923,155,178300,0
46.0608967,156,178751,0
46.1025633,157,179168,1
46.14423,158,179553,1
46.1858967,158,179907,1
46.2275633,159,180232,8
46.26923,160,180531,2
46.3108967,160,180804,2
46.3525633,161,181055,10
46.39423,161,181285,15
46.4358967,161,181495,25
46.4775633,162,181688,87
46.51923,162,181866,103
46.5608967,162,182030,63
46.6025633,162,182182,42
46.64423,162,182324,19
46.6858967,162,182458,9
46.7275633,162,182586,10
46.76923,161,182709,20
46.8108967,161,182830,50
46.8525633,160,182951,66
46.89423,160,183072,94
46.9358967,159,183197,74
46.9775633,159,183327,48
47.01923,158,183464,109
47.0608967,157,183608,102
47.1025633,156,183759,147
47.14423,155,183916,271
47.1858967,154,184079,121
47.2275633,153,184246,86
47.26923,152,184416,78
47.3108967,150,184590,56
47.3525633,149,184765,38
47.39423,148,184942,23
47.4358967,147,185120,41
47.4775633,145,185298,56
47.51923,144,185474,40
47.5608967,143,185649,24
47.6025633,141,185822,29
47.64423,140,185992,2
47.6858967,139,186157,2
47.7275633,137,186318,0
47.76923,136,186473,4
47.8108967,135,186622,0
47.8525633,134,186765,0
47.89423,133,186899,1
47.9358967,132,187025,0
47.9775633,131,187141,1
48.01923,130,187248,0
48.0608967,129,187344,31
48.1025633,128,187431,49
48.14423,127,187509,49
48.1858967,126,187578,87
48.2275633,126,187639,169
48.26923,125,187694,183
48.3108967,125,187741,167
48.3525633,124,187783,223
48.39423,124,187819,139
48.4358967,123,187850,122
48.4775633,123,187877,76
48.51923,122,187901,39
48.5608967,122,187921,48
48.6025633,122,187939,23
48.64423,121,187955,12
48.6858967,121,187970,15
48.7275633,121,187984,8
48.76923,121,187997,0
48.8108967,121,188012,0
48.8525633,121,188027,4
48.89423,120,188045,4
48.9358967,120,188064,7
48.9775633,120,188087,16
49.01923,120,188112,31
49.0608967,120,188142,28
49.1025633,120,188174,46
49.14423,120,188210,77
49.1858967,119,188247,68
49.2275633,119,188287,111
49.26923,119,188327,100
49.3108967,119,188369,170
49.3525633,119,188411,95
49.39423,119,188454,111
49.4358967,118,188496,151
49.4775633,118,188537,129
49.51923,118,188577,83
49.5608967,118,188615,60
49.6025633,118,188651,36
49.64423,118,188684,24
49.6858967,117,188714,1
49.7275633,117,188741,1
49.76923,117,188764,2
49.8108967,117,188783,0
49.8525633,116,188796,1
49.89423,116,188805,2
49.9358967,116,188808,2
49.9775633,115,188804,0
50.01923,115,188795,2
50.0608967,115,188778,5
50.1025633,114,188756,1
50.14423,114,188727,3
50.1858967,113,188694,9
50.2275633,113,188655,51
50.26923,113,188612,63
50.3108967,112,188565,37
50.3525633,112,188515,55
50.39423,111,188461,109
50.4358967,111,188405,145
50.4775633,111,188346,91
50.51923,110,188286,68
50.5608967,110,188224,33
50.6025633,109,188161,25
50.64423,109,188098,29
50.6858967,109,188035,20
50.7275633,108,187972,0
50.76923,108,187910,7
50.8108967,108,187849,12
50.8525633,107,187790,7
50.89423,107,187733,13
50.9358967,107,187678,56
50.9775633,107,187626,148
51.01923,107,187578,264
51.0608967,106,187534,232
51.1025633,106,187492,413
51.14423,106,187454,565
51.1858967,106,187419,429
51.2275633,106,187386,437
51.26923,106,187356,253
51.3108967,106,187328,318
51.3525633,106,187302,151
51.39423,106,187278,132
51.4358967,106,187256,82
51.4775633,107,187235,44
51.51923,107,187215,9
51.5608967,107,187196,4
51.6025633,107,187178,10
51.64423,107,187160,7
51.6858967,107,187143,10
51.7275633,107,187125,5
51.76923,107,187108,0
51.8108967,108,187090,0
51.8525633,108,187072,0
51.89423,108,187053,0
51.9358967,108,187033,0
51.9775633,108,187012,0
52.01923,108,186989,0
52.0608967,108,186965,9
52.1025633,108,186940,11
52.14423,108,186913,35
52.1858967,109,186884,33
52.2275633,109,186855,42
52.26923,109,186823,67
52.3108967,109,186791,115
52.3525633,109,186757,51
52.39423,109,186723,52
52.43589670000001,109,186687,40
52.47756329999999,109,186649,44
52.51923000000001,109,186611,54
52.56089670000001,109,186572,60
52.60256329999999,109,186531,61
52.64423000000001,108,186490,38
52.68589670000001,108,186447,6
52.72756329999999,108,186404,1
52.76923000000001,108,186360,10
52.81089670000001,108,186315,45
52.85256329999999,108,186269,71
52.89423000000001,108,186222,43
52.93589670000001,108,186174,36
52.97756329999999,108,186126,47
53.01923000000001,108,186077,181
53.06089670000001,108,186028,240
53.10256329999999,107,185978,423
53.14423000000001,107,185928,368
53.18589670000001,107,185877,396
53.22756329999999,107,185826,388
53.26923000000001,107,185775,362
53.31089670000001,107,185725,75
53.35256329999999,106,185674,23
53.39423000000001,106,185624,22
53.43589670000001,106,185574,14
53.47756329999999,106,185525,20
53.51923000000001,106,185476,4
53.56089670000001,105,185428,8
53.60256329999999,105,185381,9
53.64423000000001,105,185335,3
53.68589670000001,105,185291,0
53.72756329999999,104,185247,0
53.76923000000001,104,185205,4
53.81089670000001,104,185164,5
53.85256329999999,104,185125,8
53.89423000000001,104,185087,7
53.93589670000001,103,185051,7
53.97756329999999,103,185017,0
54.01923000000001,103,184986,0
54.06089670000001,103,184956,4
54.10256329999999,102,184928,2
54.14423000000001,102,184902,0
54.18589670000001,102,184878,0
54.22756329999999,102,184855,2
54.26923000000001,101,184834,0
54.31089670000001,101,184814,2
54.35256329999999,101,184796,0
54.39423000000001,101,184778,15
54.43589670000001,101,184762,10
54.47756329999999,100,184747,7
54.51923000000001,100,184733,13
54.56089670000001,100,184720,6
54.60256329999999,100,184707,10
54.64423000000001,100,184695,2
54.68589670000001,100,184683,4
54.72756329999999,100,184672,0
54.76923000000001,100,184661,0
54.81089670000001,100,184650,5
54.85256329999999,100,184639,0
54.89423000000001,100,184628,4
54.93589670000001,100,184617,4
54.97756329999999,100,184606,11
55.01923000000001,101,184595,31
55.06089670000001,101,184583,33
55.10256329999999,101,184570,15
55.14423000000001,102,184558,26
55.18589670000001,102,184544,114
55.22756329999999,102,184531,238
55.26923000000001,103,184517,358
55.31089670000001,103,184502,338
55.35256329999999,104,184487,237
55.39423000000001,104,184472,172
55.43589670000001,105,184456,335
55.47756329999999,105,184440,148
55.51923000000001,106,184424,55
55.56089670000001,106,184407,59
55.60256329999999,107,184389,67
55.64423000000001,107,184371,38
55.68589670000001,108,184353,17
55.72756329999999,108,184334,6
55.76923000000001,109,184315,0
55.81089670000001,110,184295,12
55.85256329999999,110,184275,4
55.89423000000001,111,184254,20
55.93589670000001,111,184233,21
55.97756329999999,112,184212,17
56.01923000000001,112,184190,9
56.06089670000001,113,184167,2
56.10256329999999,113,184145,4
56.14423000000001,113,184121,5
56.18589670000001,114,184098,25
56.22756329999999,114,184074,51
56.26923000000001,114,184049,85
56.31089670000001,115,184025,80
56.35256329999999,115,184000,107
56.39423000000001,115,183975,164
56.43589670000001,116,183950,104
56.47756329999999,116,183924,27
56.51923000000001,116,183899,9
56.56089670000001,116,183873,21
56.60256329999999,117,183847,7
56.64423000000001,117,183821,7
56.68589670000001,117,183795,2
56.72756329999999,117,183769,2
56.76923000000001,117,183743,2
56.81089670000001,117,183717,0
56.85256329999999,117,183691,1
56.89423000000001,118,183665,2
56.93589670000001,118,183639,5
56.97756329999999,118,183614,1
57.01923000000001,118,183588,9
57.06089670000001,118,183563,7
57.10256329999999,118,183538,73
57.14423000000001,118,183513,139
57.18589670000001,118,183488,195
57.22756329999999,117,183463,154
57.26923000000001,117,183438,166
57.31089670000001,117,183413,255
57.35256329999999,117,183389,206
57.39423000000001,117,183364,165
57.43589670000001,117,183340,164
57.47756329999999,117,183315,86
57.51923000000001,117,183290,79
57.56089670000001,117,183266,55
57.60256329999999,117,183241,52
57.64423000000001,116,183216,13
57.68589670000001,116,183191,8
57.72756329999999,116,183166,9
57.76923000000001,116,183141,2
57.81089670000001,116,183116,2
57.85256329999999,116,183091,1
57.89423000000001,116,183065,0
57.93589670000001,116,183040,0
57.97756329999999,116,183014,0
58.01923000000001,116,182988,0
58.06089670000001,116,182962,6
58.10256329999999,116,182936,1
58.14423000000001,116,182910,0
58.18589670000001,116,182884,0
58.22756329999999,116,182859,2
58.26923000000001,116,182835,4
58.31089670000001,116,182811,3
58.35256329999999,116,182789,13
58.39423000000001,116,182768,26
58.43589670000001,116,182748,81
58.47756329999999,116,182729,64
58.51923000000001,116,182713,98
58.56089670000001,116,182698,165
58.60256329999999,116,182685,115
58.64423000000001,116,182675,40
58.68589670000001,116,182667,18
58.72756329999999,117,182661,9
58.76923000000001,117,182659,16
58.81089670000001,117,182659,7
58.85256329999999,117,182662,18
58.89423000000001,117,182668,32
58.93589670000001,117,182678,104
58.97756329999999,117,182691,147
59.01923000000001,118,182708,192
59.06089670000001,118,182729,200
59.10256329999999,118,182753,371
59.14423000000001,118,182780,282
59.18589670000001,118,182809,239
59.22756329999999,119,182841,133
59.26923000000001,119,182875,164
59.31089670000001,119,182910,52
59.35256329999999,119,182946,32
59.39423000000001,119,182983,27
59.43589670000001,120,183021,28
59.47756329999999,120,183058,23
59.51923000000001,120,183096,20
59.56089670000001,120,183132,13
59.60256329999999,120,183168,20
59.64423000000001,121,183203,9
59.68589670000001,121,183235,1
59.72756329999999,121,183266,0
59.76923000000001,121,183294,0
59.81089670000001,122,183319,0
59.85256329999999,122,183342,0
59.89423000000001,122,183360,0
59.93589670000001,122,183375,0
59.97756329999999,123,183386,0
60.01923000000001,123,183392,2
60.06089670000001,123,183394,0
60.10256329999999,123,183391,1
60.14423000000001,123,183385,3
60.18589670000001,124,183375,0
60.22756329999999,124,183361,0
60.26923000000001,124,183345,2
60.31089670000001,124,183327,12
60.35256329999999,125,183306,6
60.39423000000001,125,183283,2
60.43589670000001,125,183259,0
60.47756329999999,125,183234,2
60.51923000000001,125,183208,0
60.56089670000001,126,183182,0
60.60256329999999,126,183156,1
60.64423000000001,126,183130,4
60.68589670000001,126,183104,1
60.72756329999999,126,183080,0
60.76923000000001,127,183057,0
60.81089670000001,127,183036,0
60.85256329999999,127,183017,0
60.89423000000001,127,183000,0
60.93589670000001,127,182986,0
60.97756329999999,127,182975,9
61.01923000000001,128,182967,11
61.06089670000001,128,182963,20
61.10256329999999,128,182962,57
61.14423000000001,128,182964,175
61.18589670000001,128,182969,159
61.22756329999999,128,182977,409
61.26923000000001,128,182987,773
61.31089670000001,129,182999,445
61.35256329999999,129,183013,344
61.39423000000001,129,183029,415
61.43589670000001,129,183046,309
61.47756329999999,129,183065,171
61.51923000000001,129,183084,79
61.56089670000001,129,183104,49
61.60256329999999,129,183125,9
61.64423000000001,129,183145,10
61.68589670000001,130,183166,4
61.72756329999999,130,183187,4
61.76923000000001,130,183207,0
61.81089670000001,130,183226,0
61.85256329999999,130,183245,1
61.89423000000001,130,183262,0
61.93589670000001,130,183279,0
61.97756329999999,130,183293,0
62.01923000000001,130,183306,0
62.06089670000001,130,183316,0
62.10256329999999,130,183325,7
62.14423000000001,130,183332,1
62.18589670000001,130,183337,4
62.22756329999999,130,183340,4
62.26923000000001,130,183342,2
62.31089670000001,130,183341,0
62.35256329999999,131,183340,0
62.39423000000001,131,183336,0
62.43589670000001,131,183331,29
62.47756329999999,131,183324,43
62.51923000000001,131,183316,26
62.56089670000001,131,183306,13
62.60256329999999,131,183294,16
62.64423000000001,131,183282,14
62.68589670000001,131,183268,19
62.72756329999999,131,183252,6
62.76923000000001,131,183235,9
62.81089670000001,131,183217,5
62.85256329999999,131,183198,7
62.89423000000001,131,183177,32
62.93589670000001,131,183156,24
62.97756329999999,131,183133,23
63.01923000000001,131,183109,46
63.06089670000001,132,183084,74
63.10256329999999,132,183058,101
63.14423000000001,132,183032,175
63.18589670000001,132,183005,303
63.22756329999999,132,182977,352
63.26923000000001,132,182950,321
63.31089670000001,132,182923,258
63.35256329999999,132,182895,153
63.39423000000001,132,182868,70
63.43589670000001,133,182842,47
63.47756329999999,133,182816,41
63.51923000000001,133,182791,46
63.56089670000001,133,182767,32
63.60256329999999,133,182745,59
63.64423000000001,133,182723,17
63.68589670000001,134,182704,7
63.72756329999999,134,182685,3
63.76923000000001,134,182669,0
63.81089670000001,134,182655,4
63.85256329999999,135,182643,0
63.89423000000001,135,182633,0
63.93589670000001,135,182626,0
63.97756329999999,135,182621,0
