time,births,population,reported_cases
44.01923,4,5156,0
44.0608967,4,5144,0
44.1025633,4,5133,0
44.14423,4,5122,0
44.1858967,4,5112,0
44.2275633,4,5102,0
44.26923,3,5092,0
44.3108967,3,5083,0
44.3525633,3,5075,0
44.39423,3,5067,0
44.4358967,3,5059,0
44.4775633,3,5052,0
44.51923,3,5045,0
44.5608967,3,5038,0
44.6025633,3,5032,0
44.64423,3,5026,0
44.6858967,3,5021,0
44.7275633,3,5016,0
44.76923,3,5011,0
44.8108967,3,5007,0
44.8525633,3,5003,0
44.89423,3,4999,0
44.9358967,3,4996,0
44.9775633,3,4993,0
45.01923,3,4990,0
45.0608967,3,4987,0
45.1025633,3,4985,0
45.14423,4,4983,0
45.1858967,4,4981,0
45.2275633,4,4979,1
45.26923,4,4978,0
45.3108967,4,4977,5
45.3525633,4,4976,11
45.39423,4,4975,17
45.4358967,4,4975,10
45.4775633,4,4974,0
45.51923,4,4974,0
45.5608967,4,4974,0
45.6025633,4,4974,0
45.64423,4,4975,0
45.6858967,4,4976,0
45.7275633,4,4976,0
45.76923,4,4977,0
45.8108967,4,4978,0
45.8525633,5,4980,0
45.89423,5,4981,0
45.9358967,5,4982,0
45.9775633,5,4984,0
46.01923,5,4986,0
46.0608967,5,4988,0
46.1025633,5,4990,1
46.14423,5,4992,0
46.1858967,5,4994,0
46.2275633,5,4996,0
46.26923,5,4999,0
46.3108967,5,5001,0
46.3525633,5,5004,0
46.39423,5,5007,0
46.4358967,5,5010,0
46.4775633,5,5013,0
46.51923,5,5017,0
46.5608967,5,5020,0
46.6025633,5,5024,0
46.64423,5,5027,0
46.6858967,5,5031,0
46.7275633,5,5035,0
46.76923,5,5040,0
46.8108967,5,5044,0
46.8525633,5,5049,0
46.89423,5,5053,0
46.9358967,5,5058,0
46.9775633,5,5063,0
47.01923,5,5068,0
47.0608967,5,5074,3
47.1025633,5,5079,5
47.14423,5,5085,3
47.1858967,5,5091,0
47.2275633,5,5097,0
47.26923,4,5103,0
47.3108967,4,5109,0
47.3525633,4,5115,1
47.39423,4,5121,0
47.4358967,4,5127,4
47.4775633,4,5133,3
47.51923,4,5140,0
47.5608967,4,5146,2
47.6025633,4,5152,0
47.64423,3,5158,2
47.6858967,3,5164,1
47.7275633,3,5170,4
47.76923,3,5176,0
47.8108967,3,5182,0
47.8525633,3,5187,0
47.89423,3,5193,0
47.9358967,3,5198,0
47.9775633,3,5203,0
48.01923,3,5208,0
48.0608967,3,5213,0
48.1025633,3,5218,0
48.14423,3,5222,1
48.1858967,3,5226,0
48.2275633,3,5230,0
48.26923,3,5234,0
48.3108967,3,5238,0
48.3525633,3,5242,0
48.39423,3,5245,0
48.4358967,3,5249,0
48.4775633,3,5252,1
48.51923,3,5255,4
48.5608967,3,5258,0
48.6025633,4,5261,3
48.64423,4,5264,5
48.6858967,4,5267,10
48.7275633,4,5270,7
48.76923,4,5273,25
48.8108967,4,5275,9
48.8525633,4,5278,63
48.89423,4,5281,39
48.9358967,4,5283,22
48.9775633,4,5286,11
49.01923,4,5288,23
49.0608967,4,5291,2
49.1025633,4,5293,0
49.14423,4,5296,0
49.1858967,4,5298,0
49.2275633,4,5301,0
49.26923,4,5303,0
49.3108967,4,5305,0
49.3525633,4,5307,0
49.39423,4,5310,0
49.4358967,4,5312,1
49.4775633,4,5314,0
49.51923,4,5316,4
49.5608967,4,5318,0
49.6025633,4,5319,0
49.64423,4,5321,2
49.6858967,4,5322,0
49.7275633,4,5324,0
49.76923,4,5325,0
49.8108967,4,5326,0
49.8525633,4,5327,0
49.89423,4,5328,0
49.9358967,4,5328,0
49.9775633,4,5329,0
50.01923,4,5329,0
50.0608967,4,5329,0
50.1025633,4,5329,0
50.14423,4,5329,0
50.1858967,4,5328,0
50.2275633,4,5328,0
50.26923,4,5327,0
50.3108967,4,5326,0
50.3525633,4,5325,1
50.39423,4,5324,0
50.4358967,4,5323,0
50.4775633,4,5322,0
50.51923,4,5320,0
50.5608967,4,5319,2
50.6025633,4,5317,1
50.64423,4,5316,0
50.6858967,4,5314,0
50.7275633,3,5312,0
50.76923,3,5310,2
50.8108967,3,5308,2
50.8525633,3,5306,0
50.89423,3,5304,2
50.9358967,3,5302,0
50.9775633,3,5300,25
51.01923,3,5298,8
51.0608967,3,5296,4
51.1025633,3,5294,0
51.14423,3,5292,1
51.1858967,3,5290,3
51.2275633,3,5288,2
51.26923,3,5285,6
51.3108967,3,5283,27
51.3525633,3,5281,23
51.39423,3,5279,17
51.4358967,3,5277,3
51.4775633,3,5274,0
51.51923,3,5272,0
51.5608967,3,5270,0
51.6025633,3,5268,1
51.64423,3,5265,3
51.6858967,3,5263,11
51.7275633,3,5260,15
51.76923,3,5258,8
51.8108967,3,5256,2
51.8525633,3,5253,0
51.89423,3,5251,0
51.9358967,3,5248,0
51.9775633,3,5245,0
52.01923,3,5243,0
52.0608967,3,5240,2
52.1025633,3,5237,0
52.14423,3,5235,0
52.1858967,3,5232,0
52.2275633,3,5229,0
52.26923,3,5226,0
52.3108967,3,5224,1
52.3525633,3,5221,0
52.39423,3,5218,0
52.43589670000001,3,5215,0
52.47756329999999,3,5212,1
52.51923000000001,3,5209,0
52.56089670000001,3,5206,0
52.60256329999999,4,5203,0
52.64423000000001,4,5200,2
52.68589670000001,4,5197,1
52.72756329999999,4,5194,1
52.76923000000001,4,5191,0
52.81089670000001,4,5188,0
52.85256329999999,4,5185,0
52.89423000000001,4,5183,5
52.93589670000001,4,5180,11
52.97756329999999,4,5177,5
53.01923000000001,4,5174,19
53.06089670000001,4,5171,1
53.10256329999999,4,5168,0
53.14423000000001,4,5165,3
53.18589670000001,4,5162,1
53.22756329999999,4,5159,0
53.26923000000001,4,5157,0
53.31089670000001,4,5154,4
53.35256329999999,4,5152,20
53.39423000000001,4,5149,33
53.43589670000001,3,5147,13
53.47756329999999,3,5145,14
53.51923000000001,3,5144,0
53.56089670000001,3,5142,19
53.60256329999999,3,5140,0
53.64423000000001,3,5139,1
53.68589670000001,3,5138,0
53.72756329999999,3,5138,0
53.76923000000001,3,5137,0
53.81089670000001,3,5137,0
53.85256329999999,3,5137,0
53.89423000000001,3,5137,0
53.93589670000001,3,5138,1
53.97756329999999,3,5139,0
54.01923000000001,3,5141,0
54.06089670000001,3,5142,0
54.10256329999999,3,5145,0
54.14423000000001,3,5147,0
54.18589670000001,3,5149,0
54.22756329999999,3,5152,0
54.26923000000001,3,5155,0
54.31089670000001,3,5159,0
54.35256329999999,3,5162,0
54.39423000000001,3,5165,0
54.43589670000001,3,5169,0
54.47756329999999,3,5173,0
54.51923000000001,3,5176,0
54.56089670000001,3,5180,0
54.60256329999999,3,5183,0
54.64423000000001,3,5187,0
54.68589670000001,3,5190,0
54.72756329999999,3,5194,0
54.76923000000001,3,5197,0
54.81089670000001,3,5200,0
54.85256329999999,3,5202,0
54.89423000000001,3,5205,0
54.93589670000001,3,5207,0
54.97756329999999,3,5209,0
55.01923000000001,3,5211,0
55.06089670000001,3,5212,0
55.10256329999999,3,5213,0
55.14423000000001,4,5214,1
55.18589670000001,4,5214,1
55.22756329999999,4,5214,6
55.26923000000001,4,5214,6
55.31089670000001,4,5214,9
55.35256329999999,4,5213,6
55.39423000000001,4,5212,1
55.43589670000001,4,5211,2
55.47756329999999,4,5210,0
55.51923000000001,4,5209,0
55.56089670000001,4,5208,4
55.60256329999999,4,5206,0
55.64423000000001,4,5205,7
55.68589670000001,4,5203,0
55.72756329999999,4,5201,0
55.76923000000001,4,5200,0
55.81089670000001,4,5198,0
55.85256329999999,4,5196,0
55.89423000000001,4,5194,0
55.93589670000001,4,5193,0
55.97756329999999,4,5191,0
56.01923000000001,4,5189,0
56.06089670000001,4,5188,0
56.10256329999999,4,5186,0
56.14423000000001,4,5185,1
56.18589670000001,4,5184,0
56.22756329999999,4,5182,0
56.26923000000001,4,5181,0
56.31089670000001,4,5180,0
56.35256329999999,4,5179,0
56.39423000000001,4,5178,1
56.43589670000001,4,5177,0
56.47756329999999,4,5176,0
56.51923000000001,4,5175,0
56.56089670000001,4,5174,2
56.60256329999999,4,5174,0
56.64423000000001,4,5173,0
56.68589670000001,4,5173,0
56.72756329999999,4,5172,0
56.76923000000001,4,5172,0
56.81089670000001,4,5171,0
56.85256329999999,4,5171,0
56.89423000000001,4,5171,0
56.93589670000001,4,5170,0
56.97756329999999,4,5170,0
57.01923000000001,4,5170,0
57.06089670000001,4,5170,0
57.10256329999999,4,5170,0
57.14423000000001,4,5170,0
57.18589670000001,4,5170,0
57.22756329999999,4,5170,0
57.26923000000001,4,5170,0
57.31089670000001,4,5170,4
57.35256329999999,4,5170,14
57.39423000000001,4,5170,14
57.43589670000001,4,5170,14
57.47756329999999,4,5170,13
57.51923000000001,4,5170,15
57.56089670000001,4,5171,45
57.60256329999999,4,5171,16
57.64423000000001,4,5171,11
57.68589670000001,4,5171,1
57.72756329999999,4,5171,1
57.76923000000001,4,5171,0
57.81089670000001,4,5171,0
57.85256329999999,4,5171,0
57.89423000000001,4,5171,0
57.93589670000001,4,5170,0
57.97756329999999,4,5170,0
58.01923000000001,4,5170,2
58.06089670000001,4,5170,0
58.10256329999999,4,5169,0
58.14423000000001,4,5169,0
58.18589670000001,4,5168,0
58.22756329999999,4,5167,0
58.26923000000001,4,5167,0
58.31089670000001,4,5166,1
58.35256329999999,4,5165,0
58.39423000000001,4,5164,0
58.43589670000001,4,5163,0
58.47756329999999,4,5162,0
58.51923000000001,4,5161,1
58.56089670000001,4,5160,0
58.60256329999999,4,5158,0
58.64423000000001,4,5157,0
58.68589670000001,4,5155,0
58.72756329999999,4,5154,0
58.76923000000001,3,5152,0
58.81089670000001,3,5150,0
58.85256329999999,3,5148,0
58.89423000000001,3,5146,0
58.93589670000001,3,5144,0
58.97756329999999,3,5141,0
59.01923000000001,3,5139,0
59.06089670000001,3,5136,0
59.10256329999999,3,5134,0
59.14423000000001,3,5131,0
59.18589670000001,3,5128,0
59.22756329999999,3,5125,0
59.26923000000001,3,5122,0
59.31089670000001,3,5120,0
59.35256329999999,3,5117,1
59.39423000000001,3,5114,1
59.43589670000001,3,5111,0
59.47756329999999,3,5109,1
59.51923000000001,3,5106,0
59.56089670000001,3,5104,2
59.60256329999999,4,5101,6
59.64423000000001,4,5099,3
59.68589670000001,4,5097,1
59.72756329999999,4,5096,0
59.76923000000001,4,5094,0
59.81089670000001,4,5093,0
59.85256329999999,4,5092,0
59.89423000000001,4,5091,0
59.93589670000001,4,5090,0
59.97756329999999,4,5090,0
60.01923000000001,4,5090,0
60.06089670000001,4,5091,0
60.10256329999999,4,5091,27
60.14423000000001,4,5092,8
