time,births,population,reported_cases
44.01923,22,27126,0
44.0608967,22,27019,0
44.1025633,21,26927,0
44.14423,21,26848,0
44.1858967,21,26782,0
44.2275633,21,26728,13
44.26923,21,26686,13
44.3108967,21,26655,3
44.3525633,20,26635,0
44.39423,20,26624,1
44.4358967,20,26623,0
44.4775633,20,26630,0
44.51923,20,26645,0
44.5608967,20,26668,0
44.6025633,20,26697,0
44.64423,20,26733,3
44.6858967,20,26774,0
44.7275633,20,26820,0
44.76923,20,26870,0
44.8108967,20,26925,1
44.8525633,20,26982,1
44.89423,20,27041,7
44.9358967,20,27103,0
44.9775633,20,27166,0
45.01923,20,27229,2
45.0608967,20,27293,21
45.1025633,20,27357,43
45.14423,20,27420,30
45.1858967,20,27483,167
45.2275633,20,27545,348
45.26923,21,27606,255
45.3108967,21,27666,45
45.3525633,21,27725,19
45.39423,21,27782,1
45.4358967,21,27837,4
45.4775633,21,27890,3
45.51923,21,27941,0
45.5608967,22,27989,3
45.6025633,22,28034,1
45.64423,22,28076,2
45.6858967,22,28115,1
45.7275633,22,28151,0
45.76923,22,28182,0
45.8108967,23,28210,0
45.8525633,23,28234,0
45.89423,23,28253,0
45.9358967,23,28267,0
45.9775633,23,28277,0
46.01923,24,28281,0
46.0608967,24,28281,0
46.1025633,24,28276,0
46.14423,24,28268,0
46.1858967,24,28256,0
46.2275633,25,28243,0
46.26923,25,28227,0
46.3108967,25,28210,1
46.3525633,25,28193,2
46.39423,25,28176,2
46.4358967,26,28160,0
46.4775633,26,28145,0
46.51923,26,28132,0
46.5608967,26,28122,0
46.6025633,26,28115,3
46.64423,26,28112,2
46.6858967,26,28114,0
46.7275633,27,28121,0
46.76923,27,28134,4
46.8108967,27,28153,1
46.8525633,27,28179,28
46.89423,27,28214,80
46.9358967,27,28256,91
46.9775633,27,28308,35
47.01923,27,28370,22
47.0608967,27,28441,3
47.1025633,27,28520,0
47.14423,27,28608,2
47.1858967,27,28702,0
47.2275633,27,28803,0
47.26923,27,28908,2
47.3108967,27,29018,0
47.3525633,26,29130,0
47.39423,26,29246,0
47.4358967,26,29362,4
47.4775633,26,29479,1
47.51923,26,29596,0
47.5608967,26,29712,1
47.6025633,26,29825,0
47.64423,26,29935,0
47.6858967,25,30041,0
47.7275633,25,30143,0
47.76923,25,30238,0
47.8108967,25,30327,2
47.8525633,25,30408,0
47.89423,25,30481,0
47.9358967,25,30544,0
47.9775633,25,30596,2
48.01923,24,30638,0
48.0608967,24,30668,0
48.1025633,24,30687,0
48.14423,24,30697,0
48.1858967,24,30697,0
48.2275633,24,30689,0
48.26923,24,30674,0
48.3108967,24,30651,8
48.3525633,24,30623,4
48.39423,24,30589,16
48.4358967,24,30551,12
48.4775633,24,30509,4
48.51923,24,30464,7
48.5608967,24,30417,0
48.6025633,24,30369,1
48.64423,24,30319,0
48.6858967,24,30270,2
48.7275633,24,30222,6
48.76923,24,30175,36
48.8108967,24,30131,92
48.8525633,24,30089,83
48.89423,24,30052,103
48.9358967,24,30019,63
48.9775633,24,29992,19
49.01923,24,29971,9
49.0608967,24,29956,3
49.1025633,24,29948,4
49.14423,24,29945,4
49.1858967,24,29947,11
49.2275633,24,29954,2
49.26923,24,29965,2
49.3108967,24,29981,5
49.3525633,24,30000,4
49.39423,24,30022,0
49.4358967,24,30046,2
49.4775633,24,30073,0
49.51923,24,30102,0
49.5608967,24,30133,2
49.6025633,24,30164,0
49.64423,24,30197,0
49.6858967,24,30229,0
49.7275633,24,30261,0
49.76923,24,30293,0
49.8108967,24,30324,0
49.8525633,24,30353,0
49.89423,24,30381,0
49.9358967,24,30406,0
49.9775633,24,30429,0
50.01923,24,30449,0
50.0608967,24,30465,0
50.1025633,24,30479,0
50.14423,24,30490,0
50.1858967,24,30498,0
50.2275633,24,30504,0
50.26923,24,30507,0
50.3108967,24,30509,0
50.3525633,24,30508,0
50.39423,24,30507,0
50.4358967,24,30503,1
50.4775633,24,30498,2
50.51923,24,30493,4
50.5608967,24,30486,10
50.6025633,24,30479,14
50.64423,24,30471,2
50.6858967,25,30463,7
50.7275633,25,30454,0
50.76923,25,30446,0
50.8108967,25,30438,1
50.8525633,25,30430,0
50.89423,25,30424,0
50.9358967,25,30417,1
50.9775633,24,30412,0
51.01923,24,30408,2
51.0608967,24,30406,4
51.1025633,24,30404,9
51.14423,24,30404,21
51.1858967,24,30404,96
51.2275633,24,30406,121
51.26923,24,30409,92
51.3108967,24,30412,141
51.3525633,24,30416,108
51.39423,23,30421,19
51.4358967,23,30426,7
51.4775633,23,30432,11
51.51923,23,30439,0
51.5608967,23,30445,4
51.6025633,23,30452,2
51.64423,23,30460,0
51.6858967,23,30467,0
51.7275633,22,30474,0
51.76923,22,30482,0
51.8108967,22,30489,0
51.8525633,22,30497,3
51.89423,22,30504,0
51.9358967,22,30510,3
51.9775633,22,30517,0
52.01923,22,30523,0
52.0608967,22,30528,4
52.1025633,22,30533,51
52.14423,22,30538,83
52.1858967,22,30543,96
