time,births,population,reported_cases
44.01923,85,91331,0
44.0608967,82,90826,2
44.1025633,80,90393,13
44.14423,78,90031,36
44.1858967,76,89736,16
44.2275633,75,89506,22
44.26923,73,89337,11
44.3108967,72,89228,11
44.3525633,71,89175,9
44.39423,70,89176,8
44.4358967,69,89228,9
44.4775633,69,89327,14
44.51923,68,89473,24
44.5608967,68,89660,30
44.6025633,67,89888,19
44.64423,67,90153,4
44.6858967,67,90452,1
44.7275633,67,90783,0
44.76923,67,91142,0
44.8108967,68,91528,0
44.8525633,68,91937,1
44.89423,68,92366,0
44.9358967,69,92813,1
44.9775633,69,93276,8
45.01923,70,93750,2
45.0608967,71,94235,4
45.1025633,72,94728,31
45.14423,72,95228,79
45.1858967,73,95732,99
45.2275633,74,96240,93
45.26923,75,96749,160
45.3108967,76,97258,109
45.3525633,77,97765,106
45.39423,78,98268,112
45.4358967,79,98767,74
45.4775633,80,99258,31
45.51923,82,99740,26
45.5608967,83,100212,18
45.6025633,84,100672,10
45.64423,85,101118,3
45.6858967,86,101548,1
45.7275633,87,101962,6
45.76923,88,102356,9
45.8108967,89,102730,0
45.8525633,90,103081,1
45.89423,91,103409,1
45.9358967,92,103710,1
45.9775633,93,103984,0
46.01923,94,104229,0
46.0608967,95,104445,1
46.1025633,95,104633,11
46.14423,96,104795,27
46.1858967,97,104933,45
46.2275633,97,105047,44
46.26923,98,105140,74
46.3108967,98,105214,69
46.3525633,99,105269,42
46.39423,99,105308,46
46.4358967,99,105332,61
46.4775633,100,105342,55
46.51923,100,105341,65
46.5608967,100,105330,37
46.6025633,100,105310,37
46.64423,100,105283,31
46.6858967,100,105251,4
46.7275633,100,105215,4
46.76923,99,105177,4
46.8108967,99,105138,0
46.8525633,99,105101,4
46.89423,98,105066,39
46.9358967,98,105035,38
46.9775633,97,105010,12
47.01923,97,104993,11
47.0608967,96,104984,25
47.1025633,95,104982,71
47.14423,94,104987,86
47.1858967,94,104999,69
47.2275633,93,105017,90
47.26923,92,105040,24
47.3108967,91,105069,20
47.3525633,90,105101,10
47.39423,89,105138,18
47.4358967,87,105178,18
47.4775633,86,105222,20
47.51923,85,105267,18
47.5608967,84,105315,57
47.6025633,83,105363,23
47.64423,82,105413,13
47.6858967,81,105463,17
47.7275633,80,105513,4
47.76923,79,105563,9
47.8108967,78,105611,24
47.8525633,77,105657,15
47.89423,76,105701,36
47.9358967,75,105743,50
47.9775633,74,105781,59
48.01923,74,105815,43
48.0608967,73,105846,22
48.1025633,72,105873,35
48.14423,72,105896,72
48.1858967,71,105916,69
48.2275633,71,105933,36
48.26923,70,105947,35
48.3108967,70,105959,29
48.3525633,70,105968,49
48.39423,70,105974,27
48.4358967,69,105979,30
48.4775633,69,105982,12
48.51923,69,105983,13
48.5608967,69,105983,25
48.6025633,69,105981,19
48.64423,69,105979,9
48.6858967,68,105976,5
48.7275633,68,105972,6
48.76923,68,105968,2
48.8108967,68,105964,11
48.8525633,68,105960,25
48.89423,68,105957,18
48.9358967,68,105953,18
48.9775633,68,105951,21
49.01923,68,105949,19
49.0608967,68,105949,67
49.1025633,67,105949,78
49.14423,67,105949,138
49.1858967,67,105949,107
49.2275633,67,105949,93
49.26923,67,105948,56
49.3108967,67,105946,83
49.3525633,66,105943,49
49.39423,66,105938,75
49.4358967,66,105932,54
49.4775633,66,105923,32
49.51923,66,105912,15
49.5608967,65,105898,13
49.6025633,65,105881,6
49.64423,65,105860,2
49.6858967,65,105836,1
49.7275633,65,105807,1
49.76923,64,105775,0
49.8108967,64,105737,2
49.8525633,64,105695,1
49.89423,64,105647,1
49.9358967,64,105594,1
49.9775633,63,105534,0
50.01923,63,105469,4
50.0608967,63,105397,4
50.1025633,63,105320,1
50.14423,63,105238,3
50.1858967,63,105151,9
50.2275633,63,105060,26
50.26923,62,104966,39
50.3108967,62,104868,22
50.3525633,62,104769,28
50.39423,62,104667,46
50.4358967,62,104564,97
50.4775633,62,104460,163
50.51923,62,104355,74
50.5608967,62,104251,45
50.6025633,62,104148,25
50.64423,62,104046,50
50.6858967,62,103945,14
50.7275633,62,103847,5
50.76923,61,103752,2
50.8108967,61,103660,11
50.8525633,61,103572,34
50.89423,61,103489,29
50.9358967,61,103410,27
50.9775633,61,103337,53
51.01923,61,103270,182
51.0608967,61,103209,90
51.1025633,61,103153,95
51.14423,61,103104,253
51.1858967,61,103058,417
51.2275633,61,103018,267
51.26923,61,102982,199
51.3108967,61,102949,78
51.3525633,61,102920,37
51.39423,61,102893,24
51.4358967,61,102870,14
51.4775633,61,102848,3
51.51923,60,102828,0
51.5608967,60,102810,0
51.6025633,60,102793,6
51.64423,60,102776,1
51.6858967,60,102759,1
51.7275633,60,102742,3
51.76923,60,102725,0
51.8108967,60,102707,1
51.8525633,60,102687,1
51.89423,60,102665,1
51.9358967,60,102642,1
51.9775633,59,102615,0
52.01923,59,102586,0
52.0608967,59,102554,2
52.1025633,59,102519,1
52.14423,59,102481,0
52.1858967,59,102440,4
52.2275633,59,102398,2
52.26923,59,102353,4
52.3108967,58,102306,5
52.3525633,58,102257,4
52.39423,58,102206,4
52.43589670000001,58,102155,14
52.47756329999999,58,102101,18
52.51923000000001,58,102047,30
52.56089670000001,57,101992,18
52.60256329999999,57,101936,14
52.64423000000001,57,101879,35
52.68589670000001,57,101823,13
