time,births,population,reported_cases
44.01923,7,8848,4
44.0608967,7,8823,2
44.1025633,7,8801,1
44.14423,6,8781,5
44.1858967,6,8763,1
44.2275633,6,8747,2
44.26923,6,8733,0
44.3108967,6,8720,9
44.3525633,6,8710,9
44.39423,6,8701,5
44.4358967,6,8694,1
44.4775633,6,8688,2
44.51923,6,8684,11
44.5608967,6,8681,4
44.6025633,6,8679,4
44.64423,6,8679,0
44.6858967,6,8679,0
44.7275633,6,8680,0
44.76923,6,8682,0
44.8108967,6,8685,0
44.8525633,6,8689,0
44.89423,6,8693,0
44.9358967,6,8697,0
44.9775633,6,8702,0
45.01923,6,8707,0
45.0608967,6,8713,3
45.1025633,6,8718,0
45.14423,6,8724,1
45.1858967,6,8730,1
45.2275633,6,8736,0
45.26923,6,8742,0
45.3108967,6,8747,0
45.3525633,6,8753,9
45.39423,6,8758,0
45.4358967,6,8764,1
45.4775633,6,8769,0
45.51923,6,8773,0
45.5608967,6,8778,0
45.6025633,6,8782,0
45.64423,6,8786,0
45.6858967,6,8789,0
45.7275633,6,8791,0
45.76923,6,8793,0
45.8108967,7,8795,0
45.8525633,7,8796,0
45.89423,7,8796,0
45.9358967,7,8795,0
45.9775633,7,8794,0
46.01923,7,8792,0
46.0608967,7,8789,0
46.1025633,7,8785,1
46.14423,7,8781,0
46.1858967,7,8776,0
46.2275633,7,8770,0
46.26923,7,8764,0
46.3108967,7,8758,0
46.3525633,7,8752,0
46.39423,8,8745,0
46.4358967,8,8739,0
46.4775633,8,8732,0
46.51923,8,8725,0
46.5608967,8,8719,0
46.6025633,8,8712,0
46.64423,8,8706,0
46.6858967,8,8701,0
46.7275633,8,8696,0
46.76923,8,8691,0
46.8108967,8,8687,0
46.8525633,8,8684,0
46.89423,8,8682,0
46.9358967,8,8680,0
46.9775633,8,8680,0
47.01923,8,8680,0
47.0608967,8,8682,0
47.1025633,8,8684,0
47.14423,8,8688,0
47.1858967,8,8692,0
47.2275633,8,8697,0
47.26923,8,8703,2
47.3108967,8,8710,0
47.3525633,8,8717,27
47.39423,8,8724,75
47.4358967,8,8732,86
47.4775633,8,8740,9
47.51923,8,8749,12
47.5608967,8,8758,2
47.6025633,8,8767,2
47.64423,8,8776,0
47.6858967,8,8786,0
47.7275633,7,8795,0
47.76923,7,8804,1
47.8108967,7,8813,2
47.8525633,7,8822,0
47.89423,7,8830,0
47.9358967,7,8838,0
47.9775633,7,8846,0
48.01923,7,8853,0
48.0608967,7,8860,0
48.1025633,7,8866,0
48.14423,7,8872,1
48.1858967,7,8878,0
48.2275633,7,8883,0
48.26923,7,8888,0
48.3108967,7,8893,0
48.3525633,7,8898,0
48.39423,7,8903,0
48.4358967,7,8909,0
48.4775633,7,8914,0
48.51923,7,8919,0
48.5608967,7,8925,0
48.6025633,7,8931,0
48.64423,7,8938,0
48.6858967,7,8945,0
48.7275633,7,8953,0
48.76923,7,8961,0
48.8108967,7,8970,0
48.8525633,7,8979,0
48.89423,7,8990,0
48.9358967,7,9001,0
48.9775633,7,9013,0
49.01923,7,9026,2
49.0608967,7,9040,0
49.1025633,7,9056,0
49.14423,7,9072,1
49.1858967,7,9089,0
49.2275633,7,9107,0
49.26923,7,9125,0
49.3108967,7,9145,1
49.3525633,7,9165,1
49.39423,7,9186,0
49.4358967,7,9207,1
49.4775633,7,9230,2
49.51923,7,9252,0
49.5608967,7,9276,0
49.6025633,7,9300,0
49.64423,7,9324,0
49.6858967,7,9349,0
49.7275633,7,9374,2
49.76923,7,9399,0
