time,births,population,reported_cases
44.01923,29,28772,0
44.0608967,29,28699,0
44.1025633,28,28636,0
44.14423,28,28583,1
44.1858967,27,28540,0
44.2275633,27,28507,0
44.26923,26,28483,0
44.3108967,26,28468,0
44.3525633,26,28461,0
44.39423,25,28463,1
44.4358967,25,28472,6
44.4775633,25,28488,1
44.51923,25,28511,0
44.5608967,25,28541,0
44.6025633,24,28576,0
44.64423,24,28618,0
44.6858967,24,28665,0
44.7275633,24,28716,0
44.76923,24,28773,0
44.8108967,24,28833,55
44.8525633,24,28898,32
44.89423,25,28965,55
44.9358967,25,29036,86
44.9775633,25,29110,16
45.01923,25,29185,24
45.0608967,25,29263,70
45.1025633,25,29342,7
45.14423,26,29423,9
45.1858967,26,29505,15
45.2275633,26,29588,5
45.26923,26,29672,13
45.3108967,27,29756,24
45.3525633,27,29841,15
45.39423,27,29925,7
45.4358967,28,30010,0
45.4775633,28,30094,0
45.51923,28,30177,0
45.5608967,28,30259,0
45.6025633,29,30340,0
45.64423,29,30420,0
45.6858967,29,30498,0
45.7275633,30,30575,0
45.76923,30,30649,0
45.8108967,30,30720,0
45.8525633,31,30790,0
45.89423,31,30856,0
45.9358967,31,30919,0
45.9775633,32,30979,0
46.01923,32,31036,0
46.0608967,32,31088,0
46.1025633,33,31138,0
46.14423,33,31184,0
46.1858967,33,31227,0
46.2275633,33,31268,2
46.26923,34,31306,0
46.3108967,34,31341,0
46.3525633,34,31375,0
46.39423,34,31406,0
46.4358967,35,31436,0
46.4775633,35,31464,0
46.51923,35,31491,0
46.5608967,35,31517,0
46.6025633,35,31541,0
46.64423,35,31565,0
46.6858967,36,31589,6
46.7275633,36,31612,2
46.76923,36,31635,4
46.8108967,36,31658,5
46.8525633,36,31682,4
46.89423,36,31706,4
46.9358967,36,31730,5
46.9775633,36,31756,11
47.01923,36,31782,24
47.0608967,36,31810,68
47.1025633,36,31839,108
47.14423,36,31869,67
47.1858967,36,31900,20
47.2275633,36,31931,14
47.26923,36,31964,10
47.3108967,36,31996,6
47.3525633,36,32030,5
47.39423,36,32064,0
47.4358967,35,32098,0
47.4775633,35,32132,2
47.51923,35,32166,1
47.5608967,35,32201,1
47.6025633,35,32235,0
47.64423,35,32269,2
47.6858967,35,32303,0
47.7275633,35,32337,2
47.76923,35,32370,0
47.8108967,35,32402,0
47.8525633,34,32434,3
47.89423,34,32465,7
47.9358967,34,32495,19
47.9775633,34,32525,1
48.01923,34,32553,0
48.0608967,34,32580,2
48.1025633,34,32606,1
48.14423,34,32632,8
48.1858967,34,32656,12
48.2275633,34,32680,2
48.26923,34,32703,4
48.3108967,34,32725,5
48.3525633,34,32747,5
48.39423,34,32768,6
48.4358967,34,32788,4
48.4775633,34,32809,6
48.51923,34,32829,4
48.5608967,34,32849,14
48.6025633,34,32868,21
48.64423,34,32888,22
48.6858967,34,32907,21
48.7275633,34,32927,21
48.76923,34,32946,24
48.8108967,34,32966,69
48.8525633,34,32986,79
48.89423,34,33007,42
48.9358967,34,33027,21
48.9775633,33,33048,9
49.01923,33,33070,20
49.0608967,33,33092,12
49.1025633,33,33115,32
49.14423,33,33137,36
49.1858967,33,33160,15
49.2275633,33,33183,20
49.26923,33,33206,40
49.3108967,33,33228,35
49.3525633,33,33250,21
49.39423,33,33271,26
49.4358967,33,33292,43
49.4775633,33,33312,14
49.51923,33,33331,7
49.5608967,33,33349,6
49.6025633,32,33366,0
49.64423,32,33381,0
49.6858967,32,33395,0
49.7275633,32,33407,2
49.76923,32,33418,0
49.8108967,32,33427,2
49.8525633,32,33434,0
49.89423,32,33438,1
49.9358967,32,33441,0
49.9775633,32,33441,0
50.01923,32,33439,2
50.0608967,32,33434,0
50.1025633,32,33427,4
50.14423,32,33418,2
50.1858967,32,33407,0
50.2275633,32,33394,1
50.26923,32,33380,2
50.3108967,32,33365,6
50.3525633,32,33348,6
50.39423,32,33331,6
50.4358967,32,33313,0
50.4775633,32,33295,0
50.51923,32,33276,0
50.5608967,32,33257,2
50.6025633,32,33239,0
50.64423,33,33221,0
50.6858967,33,33203,0
