time,births,population,reported_cases
44.01923,2,1481,0
44.0608967,2,1489,0
44.1025633,1,1496,1
44.14423,1,1504,0
44.1858967,1,1511,0
44.2275633,1,1519,0
44.26923,1,1526,0
44.3108967,1,1533,0
44.3525633,1,1539,1
44.39423,1,1546,0
44.4358967,1,1552,0
44.4775633,1,1559,0
44.51923,1,1565,0
44.5608967,1,1571,0
44.6025633,1,1576,0
44.64423,1,1582,0
44.6858967,1,1587,0
44.7275633,1,1592,0
44.76923,1,1597,0
44.8108967,1,1601,0
44.8525633,1,1606,0
44.89423,1,1610,0
44.9358967,1,1614,0
44.9775633,1,1617,0
45.01923,1,1621,0
45.0608967,1,1624,0
45.1025633,1,1626,0
45.14423,1,1629,0
45.1858967,1,1631,0
45.2275633,1,1633,4
45.26923,1,1635,0
45.3108967,1,1637,0
45.3525633,1,1638,0
45.39423,1,1639,0
45.4358967,1,1640,0
45.4775633,1,1641,0
45.51923,1,1641,2
45.5608967,1,1642,0
45.6025633,1,1642,0
45.64423,1,1641,0
45.6858967,1,1641,1
45.7275633,1,1640,0
45.76923,1,1639,0
45.8108967,1,1638,0
45.8525633,1,1637,8
45.89423,1,1636,18
45.9358967,1,1634,4
45.9775633,1,1632,0
46.01923,1,1630,0
46.0608967,1,1628,0
46.1025633,1,1625,0
46.14423,1,1623,0
46.1858967,1,1620,0
46.2275633,1,1617,0
46.26923,1,1614,0
46.3108967,1,1611,0
46.3525633,1,1608,0
46.39423,1,1605,0
46.4358967,1,1602,0
46.4775633,1,1599,0
46.51923,1,1596,0
46.5608967,1,1593,0
46.6025633,1,1591,0
46.64423,1,1588,0
46.6858967,1,1585,0
46.7275633,1,1582,0
46.76923,1,1580,0
46.8108967,1,1578,0
46.8525633,1,1576,1
46.89423,1,1574,0
46.9358967,1,1572,0
46.9775633,1,1571,0
47.01923,1,1569,0
47.0608967,1,1569,0
47.1025633,1,1568,0
47.14423,1,1567,0
47.1858967,1,1567,0
47.2275633,1,1567,0
47.26923,1,1567,0
47.3108967,1,1568,0
47.3525633,1,1568,0
47.39423,1,1569,0
47.4358967,1,1569,0
47.4775633,1,1570,0
47.51923,1,1571,0
47.5608967,1,1572,0
47.6025633,1,1573,0
47.64423,1,1574,0
47.6858967,1,1575,0
47.7275633,1,1575,0
47.76923,1,1576,0
47.8108967,1,1577,0
47.8525633,1,1578,0
47.89423,1,1579,0
47.9358967,1,1579,0
47.9775633,1,1580,0
48.01923,1,1580,0
48.0608967,1,1580,0
48.1025633,1,1580,0
48.14423,1,1580,0
48.1858967,1,1580,0
48.2275633,1,1580,0
48.26923,1,1580,0
48.3108967,1,1580,0
48.3525633,1,1579,0
48.39423,1,1579,0
48.4358967,1,1579,0
48.4775633,1,1578,0
48.51923,1,1578,0
48.5608967,1,1578,2
48.6025633,1,1577,0
48.64423,1,1577,0
48.6858967,1,1577,0
48.7275633,1,1577,0
48.76923,1,1577,0
48.8108967,1,1577,0
48.8525633,1,1578,0
48.89423,1,1578,0
48.9358967,1,1579,0
48.9775633,1,1579,0
49.01923,1,1580,0
49.0608967,1,1582,0
49.1025633,1,1583,0
49.14423,1,1585,0
49.1858967,1,1586,0
49.2275633,1,1588,0
49.26923,1,1590,0
49.3108967,1,1592,0
49.3525633,1,1593,0
49.39423,1,1595,0
49.4358967,1,1597,0
49.4775633,1,1599,0
49.51923,1,1601,0
49.5608967,1,1603,0
49.6025633,1,1604,0
49.64423,1,1606,0
49.6858967,1,1607,0
49.7275633,1,1608,0
49.76923,1,1609,0
49.8108967,1,1610,0
49.8525633,1,1610,0
49.89423,1,1611,0
49.9358967,1,1611,0
49.9775633,1,1610,0
50.01923,1,1610,0
50.0608967,1,1609,0
50.1025633,1,1607,0
50.14423,1,1606,1
50.1858967,1,1604,0
50.2275633,1,1602,0
50.26923,1,1600,0
50.3108967,1,1598,2
50.3525633,1,1595,3
50.39423,1,1593,19
50.4358967,1,1590,29
50.4775633,1,1588,11
50.51923,1,1585,2
50.5608967,1,1583,7
50.6025633,1,1580,0
50.64423,1,1578,1
50.6858967,1,1576,0
50.7275633,1,1574,0
50.76923,1,1572,0
