time,births,population,reported_cases
44.01923,8,8200,0
44.0608967,8,8179,0
44.1025633,8,8166,1
44.14423,8,8163,1
44.1858967,8,8168,0
44.2275633,8,8181,0
44.26923,8,8201,0
44.3108967,8,8230,0
44.3525633,8,8265,0
44.39423,8,8307,2
44.4358967,8,8356,0
44.4775633,8,8410,0
44.51923,8,8471,0
44.5608967,8,8537,0
44.6025633,8,8608,0
44.64423,8,8684,0
44.6858967,8,8765,0
44.7275633,8,8850,0
44.76923,9,8939,0
44.8108967,9,9031,0
44.8525633,9,9127,0
44.89423,9,9225,0
44.9358967,9,9326,0
44.9775633,9,9430,0
45.01923,9,9535,0
45.0608967,9,9642,0
45.1025633,9,9750,2
45.14423,9,9860,0
45.1858967,9,9970,0
45.2275633,9,10082,0
45.26923,9,10194,0
45.3108967,9,10306,0
45.3525633,9,10418,0
45.39423,9,10531,0
45.4358967,10,10643,0
45.4775633,10,10754,0
45.51923,10,10864,0
45.5608967,10,10974,0
45.6025633,10,11082,0
45.64423,10,11189,0
45.6858967,10,11294,1
45.7275633,10,11397,0
45.76923,10,11499,0
45.8108967,10,11597,0
45.8525633,11,11694,0
45.89423,11,11787,0
45.9358967,11,11877,0
45.9775633,11,11965,0
46.01923,11,12048,0
46.0608967,11,12128,0
46.1025633,11,12205,0
46.14423,11,12278,0
46.1858967,12,12349,0
46.2275633,12,12416,0
46.26923,12,12480,0
46.3108967,12,12541,0
46.3525633,12,12599,0
46.39423,12,12655,0
46.4358967,12,12708,0
46.4775633,12,12759,0
46.51923,12,12807,0
46.5608967,13,12853,0
46.6025633,13,12897,0
46.64423,13,12939,0
46.6858967,13,12979,0
46.7275633,13,13017,0
46.76923,13,13054,0
46.8108967,13,13089,0
46.8525633,13,13122,0
46.89423,13,13154,0
46.9358967,13,13185,0
46.9775633,13,13215,0
47.01923,13,13243,0
47.0608967,13,13271,0
47.1025633,13,13297,0
47.14423,13,13323,0
47.1858967,13,13347,0
47.2275633,13,13371,0
47.26923,13,13393,0
47.3108967,13,13415,0
47.3525633,13,13435,0
47.39423,13,13455,0
47.4358967,13,13474,0
47.4775633,13,13491,0
47.51923,13,13508,0
47.5608967,13,13524,0
47.6025633,13,13538,0
47.64423,13,13552,0
47.6858967,13,13565,0
47.7275633,13,13577,0
47.76923,12,13587,0
47.8108967,12,13597,0
47.8525633,12,13606,0
47.89423,12,13614,0
47.9358967,12,13621,0
47.9775633,12,13627,0
48.01923,12,13632,0
48.0608967,12,13636,0
48.1025633,12,13640,0
48.14423,12,13643,0
48.1858967,12,13645,0
48.2275633,12,13647,0
48.26923,12,13649,0
48.3108967,12,13651,0
48.3525633,12,13653,0
48.39423,12,13655,6
48.4358967,12,13657,78
48.4775633,12,13660,99
48.51923,12,13664,37
48.5608967,12,13668,8
48.6025633,12,13674,17
48.64423,12,13680,2
48.6858967,12,13688,0
48.7275633,12,13697,0
48.76923,12,13708,0
48.8108967,12,13720,0
48.8525633,12,13734,0
48.89423,12,13750,0
48.9358967,11,13768,0
48.9775633,11,13788,0
49.01923,11,13811,0
49.0608967,11,13836,0
49.1025633,11,13863,0
49.14423,11,13892,0
49.1858967,11,13923,0
49.2275633,11,13956,0
49.26923,11,13990,0
49.3108967,11,14026,1
49.3525633,11,14062,2
49.39423,11,14101,0
49.4358967,11,14139,1
49.4775633,11,14179,1
49.51923,11,14220,0
49.5608967,11,14261,0
49.6025633,11,14302,0
49.64423,11,14343,0
49.6858967,11,14384,0
49.7275633,11,14426,0
49.76923,11,14466,0
49.8108967,11,14507,0
49.8525633,11,14547,0
49.89423,11,14586,0
49.9358967,11,14624,0
49.9775633,11,14661,0
50.01923,11,14696,5
50.0608967,11,14731,1
50.1025633,11,14764,0
50.14423,11,14796,2
50.1858967,10,14826,0
50.2275633,10,14855,6
50.26923,10,14883,7
50.3108967,10,14910,15
50.3525633,10,14936,0
50.39423,10,14961,1
50.4358967,10,14984,8
50.4775633,10,15006,0
50.51923,10,15027,0
50.5608967,10,15048,0
50.6025633,10,15067,2
50.64423,10,15085,0
50.6858967,10,15102,0
50.7275633,9,15118,0
50.76923,9,15133,0
50.8108967,9,15147,0
50.8525633,9,15160,0
50.89423,9,15173,0
50.9358967,9,15184,0
50.9775633,9,15195,0
51.01923,9,15204,0
51.0608967,9,15213,0
51.1025633,9,15221,2
51.14423,9,15229,5
51.1858967,9,15235,5
51.2275633,9,15241,14
51.26923,9,15246,51
51.3108967,9,15250,88
51.3525633,9,15254,90
51.39423,10,15256,74
51.4358967,10,15258,15
51.4775633,10,15259,10
51.51923,10,15259,2
51.5608967,10,15259,0
51.6025633,10,15258,2
51.64423,10,15256,0
51.6858967,10,15253,0
51.7275633,10,15250,0
51.76923,10,15246,0
51.8108967,10,15241,0
51.8525633,10,15235,0
51.89423,10,15229,0
51.9358967,10,15222,0
51.9775633,11,15214,0
52.01923,11,15206,0
52.0608967,11,15197,0
52.1025633,11,15188,0
52.14423,11,15178,0
52.1858967,11,15167,0
52.2275633,11,15157,0
52.26923,11,15146,2
52.3108967,11,15135,2
52.3525633,11,15124,1
52.39423,11,15114,0
52.43589670000001,11,15103,0
52.47756329999999,11,15093,0
52.51923000000001,11,15083,0
52.56089670000001,11,15074,0
52.60256329999999,11,15065,0
52.64423000000001,11,15057,2
52.68589670000001,11,15050,0
52.72756329999999,11,15043,0
52.76923000000001,11,15038,0
52.81089670000001,11,15034,0
52.85256329999999,11,15031,2
