time,births,population,reported_cases
44.01923,19,23012,0
44.0608967,19,22939,0
44.1025633,19,22875,0
44.14423,18,22821,3
44.1858967,18,22776,0
44.2275633,18,22740,0
44.26923,18,22713,0
44.3108967,18,22694,0
44.3525633,17,22682,0
44.39423,17,22678,0
44.4358967,17,22681,0
44.4775633,17,22690,0
44.51923,17,22706,0
44.5608967,17,22727,0
44.6025633,17,22754,1
44.64423,17,22786,0
44.6858967,17,22822,0
44.7275633,17,22863,0
44.76923,17,22908,0
44.8108967,17,22956,0
44.8525633,17,23008,0
44.89423,17,23062,10
44.9358967,17,23119,0
44.9775633,17,23178,8
45.01923,17,23238,55
45.0608967,18,23300,14
45.1025633,18,23362,13
45.14423,18,23426,2
45.1858967,18,23490,2
45.2275633,18,23555,2
45.26923,18,23620,0
45.3108967,18,23685,0
45.3525633,19,23750,2
45.39423,19,23814,1
45.4358967,19,23878,4
45.4775633,19,23940,0
45.51923,19,24002,0
45.5608967,20,24062,0
45.6025633,20,24121,0
45.64423,20,24178,0
45.6858967,20,24233,0
45.7275633,20,24285,0
45.76923,21,24336,0
45.8108967,21,24383,0
45.8525633,21,24428,0
45.89423,21,24470,0
45.9358967,21,24508,0
45.9775633,22,24543,0
46.01923,22,24574,0
46.0608967,22,24601,0
46.1025633,22,24625,0
46.14423,22,24645,0
46.1858967,23,24663,0
46.2275633,23,24678,0
46.26923,23,24690,0
46.3108967,23,24700,0
46.3525633,23,24708,0
46.39423,23,24714,0
46.4358967,23,24719,0
46.4775633,23,24723,2
46.51923,24,24726,0
46.5608967,24,24728,0
46.6025633,24,24729,0
46.64423,24,24730,0
46.6858967,24,24732,1
46.7275633,24,24734,0
46.76923,24,24736,0
46.8108967,24,24739,0
46.8525633,24,24743,4
46.89423,24,24748,17
46.9358967,24,24755,49
46.9775633,24,24764,56
47.01923,24,24775,46
47.0608967,24,24788,46
47.1025633,24,24804,8
47.14423,24,24820,0
47.1858967,24,24839,0
47.2275633,23,24859,0
47.26923,23,24881,0
47.3108967,23,24903,0
47.3525633,23,24927,0
47.39423,23,24952,0
47.4358967,23,24977,0
47.4775633,23,25003,0
47.51923,23,25029,0
47.5608967,23,25056,0
47.6025633,23,25082,0
47.64423,22,25109,4
47.6858967,22,25135,0
47.7275633,22,25161,1
47.76923,22,25187,0
47.8108967,22,25211,0
47.8525633,22,25235,0
47.89423,22,25258,1
47.9358967,22,25279,0
47.9775633,22,25300,0
48.01923,22,25318,0
48.0608967,22,25336,0
48.1025633,22,25351,2
48.14423,22,25366,2
48.1858967,22,25378,0
48.2275633,22,25390,4
48.26923,22,25400,13
48.3108967,22,25409,33
48.3525633,22,25416,66
48.39423,22,25423,92
48.4358967,22,25428,91
48.4775633,22,25433,59
48.51923,22,25436,42
48.5608967,22,25439,17
48.6025633,22,25440,6
48.64423,22,25441,6
48.6858967,22,25441,5
48.7275633,22,25440,0
48.76923,22,25438,0
48.8108967,22,25436,0
48.8525633,22,25434,0
48.89423,22,25430,0
48.9358967,21,25427,1
48.9775633,21,25422,0
49.01923,21,25418,4
49.0608967,21,25413,2
49.1025633,21,25408,0
49.14423,21,25402,1
49.1858967,21,25397,1
49.2275633,21,25391,0
49.26923,21,25385,0
49.3108967,21,25378,0
49.3525633,20,25372,7
49.39423,20,25366,25
49.4358967,20,25359,19
49.4775633,20,25352,4
49.51923,20,25346,0
49.5608967,20,25339,8
49.6025633,19,25333,8
49.64423,19,25326,10
49.6858967,19,25320,3
49.7275633,19,25314,17
49.76923,19,25308,9
49.8108967,19,25302,5
49.8525633,19,25297,0
49.89423,19,25292,14
49.9358967,19,25287,30
49.9775633,19,25282,18
50.01923,18,25278,13
50.0608967,18,25274,6
50.1025633,18,25271,12
50.14423,18,25267,19
50.1858967,18,25264,18
50.2275633,18,25262,13
50.26923,19,25259,7
50.3108967,19,25256,12
50.3525633,19,25254,23
50.39423,19,25251,28
50.4358967,19,25249,15
50.4775633,19,25246,16
50.51923,19,25243,35
50.5608967,19,25241,10
50.6025633,19,25237,30
50.64423,19,25234,19
50.6858967,19,25231,6
50.7275633,19,25227,6
50.76923,19,25222,0
50.8108967,19,25218,4
50.8525633,19,25213,2
50.89423,20,25207,4
50.9358967,20,25201,2
50.9775633,20,25194,1
51.01923,20,25187,0
51.0608967,20,25179,0
51.1025633,20,25170,0
51.14423,20,25162,1
51.1858967,20,25153,6
51.2275633,20,25144,19
51.26923,20,25136,33
51.3108967,20,25128,48
51.3525633,19,25120,50
51.39423,19,25114,33
51.4358967,19,25108,47
51.4775633,19,25103,45
51.51923,19,25100,18
51.5608967,19,25098,6
51.6025633,19,25097,7
51.64423,19,25098,2
51.6858967,19,25101,0
51.7275633,19,25106,0
51.76923,19,25113,15
51.8108967,19,25123,14
51.8525633,19,25135,5
51.89423,19,25149,2
51.9358967,19,25167,3
51.9775633,19,25188,3
52.01923,19,25211,2
52.0608967,19,25238,3
52.1025633,19,25268,4
52.14423,19,25300,9
52.1858967,19,25334,17
52.2275633,19,25371,11
52.26923,19,25409,32
52.3108967,19,25448,29
52.3525633,19,25488,6
52.39423,19,25529,9
52.43589670000001,19,25571,11
52.47756329999999,19,25612,12
52.51923000000001,19,25653,6
52.56089670000001,19,25694,9
52.60256329999999,19,25734,19
52.64423000000001,19,25773,13
52.68589670000001,19,25811,4
52.72756329999999,20,25847,2
52.76923000000001,20,25881,0
52.81089670000001,20,25913,4
52.85256329999999,20,25942,8
52.89423000000001,20,25968,5
52.93589670000001,20,25991,8
52.97756329999999,20,26011,34
53.01923000000001,20,26027,38
53.06089670000001,20,26039,36
53.10256329999999,20,26047,49
53.14423000000001,20,26053,50
53.18589670000001,20,26055,34
53.22756329999999,19,26054,10
53.26923000000001,19,26051,9
53.31089670000001,19,26045,15
53.35256329999999,19,26038,13
53.39423000000001,19,26028,9
53.43589670000001,19,26017,2
53.47756329999999,19,26005,2
53.51923000000001,19,25991,2
53.56089670000001,19,25977,0
53.60256329999999,19,25962,1
53.64423000000001,19,25947,0
53.68589670000001,19,25932,1
53.72756329999999,19,25917,2
53.76923000000001,19,25902,2
53.81089670000001,18,25888,0
53.85256329999999,18,25875,1
53.89423000000001,18,25863,0
53.93589670000001,18,25853,0
53.97756329999999,18,25844,0
54.01923000000001,18,25837,0
54.06089670000001,18,25832,2
54.10256329999999,18,25829,0
54.14423000000001,18,25829,0
54.18589670000001,18,25830,0
54.22756329999999,18,25833,0
54.26923000000001,18,25838,0
54.31089670000001,18,25844,2
54.35256329999999,18,25853,4
54.39423000000001,18,25863,3
54.43589670000001,18,25875,18
54.47756329999999,19,25889,26
54.51923000000001,19,25904,20
54.56089670000001,19,25921,22
54.60256329999999,19,25940,29
54.64423000000001,19,25960,18
54.68589670000001,19,25982,10
54.72756329999999,19,26005,6
54.76923000000001,19,26029,2
54.81089670000001,19,26055,0
54.85256329999999,19,26083,0
54.89423000000001,19,26111,1
54.93589670000001,19,26141,3
54.97756329999999,20,26173,1
55.01923000000001,20,26205,0
55.06089670000001,20,26239,9
55.10256329999999,20,26274,21
55.14423000000001,20,26310,64
55.18589670000001,20,26347,51
55.22756329999999,20,26385,80
55.26923000000001,20,26424,64
55.31089670000001,20,26465,31
55.35256329999999,20,26506,57
55.39423000000001,20,26548,50
55.43589670000001,21,26591,29
55.47756329999999,21,26635,14
55.51923000000001,21,26679,15
55.56089670000001,21,26725,28
55.60256329999999,21,26771,0
55.64423000000001,21,26818,0
55.68589670000001,21,26865,0
55.72756329999999,21,26913,2
55.76923000000001,21,26962,0
55.81089670000001,21,27011,0
55.85256329999999,22,27061,0
55.89423000000001,22,27111,0
55.93589670000001,22,27161,0
55.97756329999999,22,27212,0
56.01923000000001,22,27264,0
56.06089670000001,22,27315,0
56.10256329999999,22,27368,1
56.14423000000001,22,27420,0
56.18589670000001,23,27473,0
56.22756329999999,23,27525,0
56.26923000000001,23,27579,0
56.31089670000001,23,27632,0
56.35256329999999,23,27686,0
56.39423000000001,23,27740,0
56.43589670000001,24,27794,1
56.47756329999999,24,27848,0
56.51923000000001,24,27903,0
56.56089670000001,24,27957,0
56.60256329999999,24,28012,0
56.64423000000001,24,28067,1
56.68589670000001,24,28122,1
56.72756329999999,25,28177,4
56.76923000000001,25,28233,0
56.81089670000001,25,28288,0
56.85256329999999,25,28343,0
56.89423000000001,25,28399,1
56.93589670000001,25,28455,1
56.97756329999999,25,28510,10
57.01923000000001,26,28566,42
