time,births,population,reported_cases
44.01923,4,4544,0
44.0608967,4,4525,0
44.1025633,4,4507,0
44.14423,4,4491,0
44.1858967,4,4477,0
44.2275633,4,4465,0
44.26923,4,4454,0
44.3108967,4,4445,0
44.3525633,4,4437,1
44.39423,4,4431,3
44.4358967,4,4426,1
44.4775633,4,4423,12
44.51923,4,4420,0
44.5608967,4,4419,15
44.6025633,4,4419,6
44.64423,4,4420,3
44.6858967,4,4422,0
44.7275633,4,4424,0
44.76923,4,4428,0
44.8108967,4,4432,0
44.8525633,4,4437,0
44.89423,4,4443,0
44.9358967,4,4449,0
44.9775633,4,4456,0
45.01923,3,4463,0
45.0608967,3,4471,0
45.1025633,3,4479,0
45.14423,3,4487,0
45.1858967,3,4496,0
45.2275633,3,4504,0
45.26923,3,4513,0
45.3108967,3,4522,0
45.3525633,3,4532,0
45.39423,3,4541,0
45.4358967,3,4550,0
45.4775633,3,4559,0
45.51923,3,4569,2
45.5608967,3,4578,0
45.6025633,3,4587,0
45.64423,4,4595,0
45.6858967,4,4604,0
45.7275633,4,4612,0
45.76923,4,4620,0
45.8108967,4,4628,0
45.8525633,4,4635,0
45.89423,4,4642,0
45.9358967,4,4648,0
45.9775633,4,4654,0
46.01923,4,4659,0
46.0608967,4,4664,0
46.1025633,4,4668,0
46.14423,4,4672,0
46.1858967,4,4676,0
46.2275633,4,4679,0
46.26923,4,4681,0
46.3108967,4,4683,0
46.3525633,4,4685,0
46.39423,4,4687,0
46.4358967,4,4688,0
46.4775633,4,4690,0
46.51923,4,4691,0
46.5608967,4,4692,0
46.6025633,4,4693,0
46.64423,4,4693,0
46.6858967,4,4694,0
46.7275633,4,4695,0
46.76923,4,4696,0
46.8108967,4,4697,0
46.8525633,4,4698,0
46.89423,4,4699,0
46.9358967,4,4700,0
46.9775633,4,4702,0
47.01923,4,4704,0
47.0608967,4,4706,0
47.1025633,4,4708,0
47.14423,4,4711,0
47.1858967,4,4714,0
47.2275633,4,4717,0
47.26923,4,4720,0
47.3108967,4,4723,0
47.3525633,4,4727,0
47.39423,4,4730,0
47.4358967,4,4733,0
47.4775633,4,4737,0
47.51923,4,4740,0
47.5608967,4,4744,0
47.6025633,3,4747,0
47.64423,3,4751,0
47.6858967,3,4754,0
47.7275633,3,4757,1
47.76923,3,4760,0
47.8108967,3,4763,0
47.8525633,3,4766,0
47.89423,3,4768,0
47.9358967,3,4770,0
47.9775633,3,4772,0
48.01923,3,4774,0
48.0608967,3,4775,0
48.1025633,3,4776,0
48.14423,3,4777,0
48.1858967,3,4777,1
48.2275633,3,4778,0
48.26923,3,4778,0
48.3108967,3,4778,0
48.3525633,3,4778,0
48.39423,3,4778,0
48.4358967,3,4777,0
48.4775633,3,4777,0
48.51923,3,4777,0
48.5608967,3,4776,0
48.6025633,3,4776,0
48.64423,3,4775,0
48.6858967,3,4775,0
48.7275633,3,4774,0
48.76923,4,4774,0
48.8108967,4,4774,0
48.8525633,4,4774,0
48.89423,4,4774,0
48.9358967,4,4774,0
48.9775633,4,4775,0
49.01923,4,4775,0
49.0608967,4,4776,0
49.1025633,4,4777,19
49.14423,4,4779,50
49.1858967,4,4780,26
49.2275633,4,4782,7
49.26923,4,4784,7
49.3108967,4,4786,0
49.3525633,4,4788,0
49.39423,3,4790,0
49.4358967,3,4792,0
49.4775633,3,4795,0
49.51923,3,4797,0
49.5608967,3,4800,0
49.6025633,3,4802,0
49.64423,3,4805,0
49.6858967,3,4808,0
49.7275633,3,4810,0
49.76923,3,4813,0
49.8108967,3,4816,0
49.8525633,3,4818,0
49.89423,3,4821,0
49.9358967,3,4823,0
49.9775633,3,4826,0
50.01923,3,4828,0
50.0608967,3,4830,0
50.1025633,3,4833,0
50.14423,3,4835,0
50.1858967,3,4837,0
50.2275633,3,4839,0
50.26923,3,4841,0
50.3108967,3,4843,0
50.3525633,3,4845,0
50.39423,3,4846,0
50.4358967,3,4848,0
50.4775633,3,4850,4
50.51923,3,4852,0
50.5608967,3,4854,0
50.6025633,3,4855,0
50.64423,3,4857,0
50.6858967,3,4859,0
50.7275633,3,4861,0
50.76923,3,4862,0
50.8108967,3,4864,0
50.8525633,3,4866,0
50.89423,3,4868,0
50.9358967,3,4870,0
50.9775633,3,4872,0
51.01923,3,4874,0
51.0608967,3,4876,0
51.1025633,3,4878,1
51.14423,3,4880,0
51.1858967,3,4883,13
51.2275633,3,4885,15
51.26923,3,4887,25
51.3108967,3,4889,25
51.3525633,3,4891,27
51.39423,3,4893,38
51.4358967,3,4894,23
51.4775633,3,4896,15
51.51923,3,4897,4
51.5608967,3,4899,0
51.6025633,3,4900,0
51.64423,3,4901,0
51.6858967,3,4901,0
51.7275633,3,4902,0
51.76923,3,4902,0
51.8108967,3,4902,0
51.8525633,3,4901,0
51.89423,3,4901,0
51.9358967,3,4899,0
51.9775633,3,4898,0
52.01923,3,4896,0
52.0608967,3,4894,0
52.1025633,3,4891,0
52.14423,3,4888,0
52.1858967,3,4885,0
52.2275633,3,4882,0
52.26923,3,4879,0
52.3108967,3,4875,0
52.3525633,3,4871,0
52.39423,3,4867,0
52.43589670000001,3,4863,2
52.47756329999999,3,4859,0
52.51923000000001,3,4856,0
52.56089670000001,3,4852,1
52.60256329999999,3,4848,2
52.64423000000001,3,4845,0
52.68589670000001,3,4841,0
52.72756329999999,3,4838,0
52.76923000000001,3,4835,0
52.81089670000001,3,4833,0
52.85256329999999,3,4831,0
52.89423000000001,3,4829,0
52.93589670000001,3,4827,0
52.97756329999999,3,4826,0
53.01923000000001,3,4826,0
53.06089670000001,3,4826,0
53.10256329999999,3,4826,0
53.14423000000001,3,4827,0
53.18589670000001,3,4828,0
53.22756329999999,3,4830,0
53.26923000000001,3,4832,0
53.31089670000001,3,4834,10
53.35256329999999,3,4836,1
53.39423000000001,3,4839,0
53.43589670000001,3,4842,0
53.47756329999999,3,4845,0
53.51923000000001,3,4848,2
53.56089670000001,3,4851,2
53.60256329999999,3,4854,0
53.64423000000001,3,4857,0
53.68589670000001,3,4860,0
53.72756329999999,3,4864,0
53.76923000000001,3,4867,0
53.81089670000001,3,4869,0
53.85256329999999,3,4872,0
53.89423000000001,3,4875,0
