time,births,population,reported_cases
44.01923,7,8587,0
44.0608967,7,8563,0
44.1025633,7,8541,0
44.14423,6,8521,0
44.1858967,6,8502,0
44.2275633,6,8485,0
44.26923,6,8470,0
44.3108967,6,8455,0
44.3525633,5,8443,0
44.39423,5,8432,0
44.4358967,5,8422,0
44.4775633,5,8414,0
44.51923,5,8407,0
44.5608967,5,8401,1
44.6025633,5,8397,0
44.64423,5,8394,0
44.6858967,5,8393,0
44.7275633,5,8392,0
44.76923,5,8393,0
44.8108967,5,8396,0
44.8525633,5,8399,9
44.89423,5,8404,5
44.9358967,6,8410,2
44.9775633,6,8417,0
45.01923,6,8425,6
45.0608967,6,8434,3
45.1025633,6,8444,6
45.14423,6,8456,11
45.1858967,6,8468,4
45.2275633,6,8482,1
45.26923,7,8496,0
45.3108967,7,8511,3
45.3525633,7,8527,1
45.39423,7,8544,0
45.4358967,7,8562,0
45.4775633,7,8580,0
45.51923,7,8600,0
45.5608967,7,8619,0
45.6025633,7,8640,0
45.64423,8,8661,0
45.6858967,8,8683,0
45.7275633,8,8706,0
45.76923,8,8729,0
45.8108967,8,8752,0
45.8525633,8,8776,1
45.89423,8,8800,3
45.9358967,8,8825,8
45.9775633,8,8850,7
46.01923,8,8876,4
46.0608967,8,8902,6
46.1025633,8,8928,0
46.14423,8,8954,1
46.1858967,8,8980,0
46.2275633,8,9006,0
46.26923,8,9033,0
46.3108967,7,9059,0
46.3525633,7,9085,0
46.39423,7,9111,0
46.4358967,7,9137,7
46.4775633,7,9162,9
46.51923,7,9187,0
46.5608967,7,9212,11
46.6025633,7,9236,7
46.64423,7,9260,8
46.6858967,7,9283,14
46.7275633,6,9305,1
46.76923,6,9326,0
46.8108967,6,9347,0
46.8525633,6,9367,0
46.89423,6,9386,1
46.9358967,6,9404,0
46.9775633,6,9421,4
47.01923,6,9437,0
47.0608967,6,9452,4
47.1025633,6,9466,6
47.14423,6,9479,6
47.1858967,6,9490,11
47.2275633,6,9501,49
47.26923,6,9511,30
47.3108967,6,9520,18
47.3525633,6,9528,18
47.39423,6,9536,5
47.4358967,6,9542,6
47.4775633,6,9548,3
47.51923,6,9553,5
47.5608967,6,9558,9
47.6025633,6,9562,2
47.64423,6,9565,2
47.6858967,6,9568,0
47.7275633,6,9570,0
47.76923,6,9572,5
47.8108967,6,9574,2
47.8525633,6,9575,0
47.89423,6,9575,0
47.9358967,6,9576,0
47.9775633,6,9576,0
48.01923,6,9576,0
48.0608967,6,9576,0
48.1025633,6,9575,3
48.14423,6,9575,14
48.1858967,6,9575,9
48.2275633,6,9575,4
48.26923,6,9575,0
48.3108967,6,9575,0
48.3525633,6,9576,3
48.39423,6,9578,5
48.4358967,6,9580,3
48.4775633,6,9583,0
48.51923,6,9586,0
48.5608967,6,9591,0
48.6025633,6,9596,0
48.64423,6,9603,1
48.6858967,6,9610,3
48.7275633,6,9619,6
48.76923,6,9630,0
48.8108967,5,9641,0
48.8525633,5,9654,6
48.89423,5,9669,0
48.9358967,5,9685,0
48.9775633,5,9703,13
49.01923,5,9723,6
49.0608967,5,9745,2
49.1025633,5,9769,11
49.14423,5,9794,1
49.1858967,5,9820,12
49.2275633,5,9848,24
49.26923,5,9876,17
49.3108967,5,9906,19
49.3525633,5,9936,12
49.39423,5,9967,3
49.4358967,5,9998,0
49.4775633,5,10030,0
49.51923,5,10061,0
49.5608967,5,10093,0
49.6025633,5,10124,0
49.64423,5,10156,0
49.6858967,5,10186,0
49.7275633,5,10216,0
49.76923,5,10246,0
49.8108967,5,10274,0
49.8525633,5,10301,0
49.89423,5,10327,0
49.9358967,5,10351,0
49.9775633,5,10374,0
50.01923,5,10396,0
50.0608967,5,10415,0
50.1025633,5,10433,0
50.14423,5,10449,2
50.1858967,5,10464,3
50.2275633,5,10477,1
50.26923,5,10489,0
50.3108967,5,10499,0
50.3525633,5,10509,0
50.39423,5,10517,3
50.4358967,5,10524,11
50.4775633,6,10530,15
50.51923,6,10536,4
50.5608967,6,10540,17
50.6025633,6,10544,3
50.64423,6,10547,5
50.6858967,6,10550,1
50.7275633,6,10552,0
50.76923,6,10554,0
50.8108967,6,10555,0
50.8525633,6,10556,0
50.89423,6,10558,0
50.9358967,6,10558,0
50.9775633,6,10559,0
51.01923,6,10561,0
51.0608967,6,10562,9
51.1025633,6,10563,0
51.14423,6,10564,2
51.1858967,6,10565,0
51.2275633,6,10566,6
51.26923,6,10568,17
51.3108967,6,10568,19
51.3525633,6,10569,28
51.39423,6,10569,4
51.4358967,6,10570,31
51.4775633,6,10569,32
51.51923,6,10569,61
51.5608967,6,10568,16
51.6025633,6,10566,3
51.64423,6,10564,3
51.6858967,6,10562,0
51.7275633,6,10559,0
51.76923,6,10555,0
51.8108967,6,10550,4
51.8525633,6,10545,4
51.89423,6,10539,22
51.9358967,6,10532,10
51.9775633,6,10525,5
52.01923,6,10516,8
52.0608967,6,10506,1
52.1025633,6,10496,2
52.14423,6,10485,4
52.1858967,6,10472,2
52.2275633,6,10460,0
52.26923,6,10446,1
52.3108967,6,10431,1
52.3525633,6,10416,3
52.39423,6,10400,0
52.43589670000001,6,10383,2
52.47756329999999,6,10366,6
52.51923000000001,6,10348,0
52.56089670000001,6,10329,2
52.60256329999999,7,10310,0
52.64423000000001,7,10290,0
52.68589670000001,7,10269,0
52.72756329999999,7,10248,0
52.76923000000001,7,10227,0
52.81089670000001,7,10205,0
52.85256329999999,7,10183,0
52.89423000000001,7,10160,1
52.93589670000001,7,10136,0
52.97756329999999,7,10113,0
53.01923000000001,7,10089,0
53.06089670000001,7,10065,0
53.10256329999999,7,10041,0
53.14423000000001,7,10017,0
53.18589670000001,7,9993,0
53.22756329999999,7,9970,0
53.26923000000001,7,9949,0
53.31089670000001,7,9928,0
53.35256329999999,7,9909,8
53.39423000000001,7,9892,13
53.43589670000001,7,9876,8
53.47756329999999,7,9863,12
53.51923000000001,7,9852,0
53.56089670000001,6,9844,3
53.60256329999999,6,9839,0
53.64423000000001,6,9836,0
53.68589670000001,6,9838,0
53.72756329999999,6,9842,0
53.76923000000001,6,9851,0
53.81089670000001,6,9864,0
53.85256329999999,6,9881,1
53.89423000000001,6,9903,0
53.93589670000001,6,9929,1
53.97756329999999,6,9961,0
54.01923000000001,6,9998,0
54.06089670000001,6,10040,0
54.10256329999999,6,10086,16
54.14423000000001,6,10137,43
54.18589670000001,6,10191,27
54.22756329999999,6,10249,14
54.26923000000001,6,10308,4
54.31089670000001,6,10370,13
54.35256329999999,6,10433,10
54.39423000000001,6,10497,27
54.43589670000001,6,10561,14
54.47756329999999,6,10624,5
54.51923000000001,6,10687,0
54.56089670000001,6,10748,2
54.60256329999999,6,10808,0
54.64423000000001,6,10865,0
54.68589670000001,6,10919,0
54.72756329999999,6,10969,0
54.76923000000001,6,11015,0
54.81089670000001,6,11056,0
54.85256329999999,6,11092,0
54.89423000000001,6,11123,0
54.93589670000001,6,11147,0
54.97756329999999,6,11164,2
55.01923000000001,7,11174,2
55.06089670000001,7,11176,1
55.10256329999999,7,11171,1
55.14423000000001,7,11160,6
55.18589670000001,7,11142,3
55.22756329999999,7,11120,1
55.26923000000001,7,11092,0
55.31089670000001,7,11060,0
55.35256329999999,7,11024,0
55.39423000000001,7,10984,0
55.43589670000001,7,10942,0
55.47756329999999,7,10897,0
55.51923000000001,7,10850,2
55.56089670000001,7,10802,2
55.60256329999999,7,10753,0
55.64423000000001,7,10703,0
55.68589670000001,7,10654,0
55.72756329999999,7,10606,0
55.76923000000001,7,10558,0
55.81089670000001,7,10513,2
55.85256329999999,7,10469,0
55.89423000000001,7,10428,0
55.93589670000001,7,10390,0
55.97756329999999,7,10357,0
56.01923000000001,7,10327,0
56.06089670000001,7,10302,0
56.10256329999999,7,10280,0
56.14423000000001,7,10263,0
56.18589670000001,7,10250,0
56.22756329999999,7,10240,0
56.26923000000001,7,10234,0
56.31089670000001,7,10231,0
56.35256329999999,7,10231,0
56.39423000000001,7,10234,0
56.43589670000001,7,10239,1
56.47756329999999,7,10247,25
56.51923000000001,7,10257,43
56.56089670000001,7,10269,25
56.60256329999999,7,10283,19
56.64423000000001,7,10299,1
56.68589670000001,7,10316,0
56.72756329999999,7,10334,0
56.76923000000001,7,10353,2
56.81089670000001,7,10374,0
56.85256329999999,7,10394,1
56.89423000000001,7,10416,0
56.93589670000001,7,10437,0
56.97756329999999,7,10458,0
57.01923000000001,7,10480,0
57.06089670000001,7,10501,1
57.10256329999999,7,10522,7
57.14423000000001,7,10542,4
57.18589670000001,7,10562,1
57.22756329999999,7,10581,4
57.26923000000001,7,10600,0
57.31089670000001,7,10619,0
57.35256329999999,7,10636,0
57.39423000000001,7,10653,3
57.43589670000001,7,10669,9
57.47756329999999,7,10685,6
