time,births,population,reported_cases
44.01923,2,1941,0
44.0608967,2,1928,0
44.1025633,1,1917,0
44.14423,1,1908,0
44.1858967,1,1900,0
44.2275633,1,1893,0
44.26923,1,1888,0
44.3108967,1,1884,3
44.3525633,1,1881,6
44.39423,1,1880,14
44.4358967,1,1879,6
44.4775633,1,1880,22
44.51923,1,1882,0
44.5608967,1,1884,0
44.6025633,1,1887,0
44.64423,1,1891,0
44.6858967,1,1896,0
44.7275633,1,1902,0
44.76923,1,1908,0
44.8108967,1,1914,0
44.8525633,1,1921,0
44.89423,1,1928,0
44.9358967,1,1936,0
44.9775633,1,1944,0
45.01923,1,1952,0
45.0608967,1,1960,0
45.1025633,1,1968,0
45.14423,1,1976,0
45.1858967,1,1985,0
45.2275633,1,1993,0
45.26923,1,2001,0
45.3108967,1,2010,2
45.3525633,1,2018,0
45.39423,1,2025,0
45.4358967,1,2033,0
45.4775633,1,2041,0
45.51923,1,2048,0
45.5608967,1,2055,0
45.6025633,1,2061,0
45.64423,1,2068,0
45.6858967,1,2073,0
45.7275633,1,2079,0
45.76923,1,2084,0
45.8108967,2,2088,0
45.8525633,2,2092,0
45.89423,2,2095,0
45.9358967,2,2097,0
45.9775633,2,2099,0
46.01923,2,2100,0
46.0608967,2,2101,0
46.1025633,2,2101,0
46.14423,2,2100,0
46.1858967,2,2099,0
46.2275633,2,2097,0
46.26923,1,2095,0
46.3108967,1,2092,0
46.3525633,1,2089,1
46.39423,1,2086,0
46.4358967,1,2083,0
46.4775633,1,2079,0
46.51923,1,2075,0
46.5608967,1,2072,0
46.6025633,1,2068,0
46.64423,1,2064,0
46.6858967,1,2060,0
46.7275633,1,2056,0
46.76923,1,2053,0
46.8108967,1,2050,0
46.8525633,1,2047,0
46.89423,1,2044,0
46.9358967,1,2042,0
46.9775633,1,2040,0
47.01923,1,2038,0
47.0608967,1,2038,0
47.1025633,1,2037,0
47.14423,1,2037,0
47.1858967,1,2038,0
47.2275633,1,2038,0
47.26923,1,2040,0
47.3108967,1,2041,0
47.3525633,2,2043,0
47.39423,2,2046,0
47.4358967,2,2048,2
47.4775633,2,2051,0
47.51923,2,2054,0
47.5608967,2,2057,0
47.6025633,2,2061,0
47.64423,2,2064,0
47.6858967,2,2068,0
47.7275633,2,2072,0
47.76923,2,2076,0
47.8108967,2,2080,0
47.8525633,2,2084,0
47.89423,2,2088,0
47.9358967,2,2093,0
47.9775633,2,2097,0
48.01923,2,2101,0
48.0608967,2,2105,0
48.1025633,2,2109,0
48.14423,1,2113,0
48.1858967,1,2117,0
48.2275633,1,2121,0
48.26923,1,2125,0
48.3108967,1,2128,0
48.3525633,1,2132,0
48.39423,1,2136,1
48.4358967,1,2139,0
48.4775633,1,2142,0
48.51923,1,2146,0
48.5608967,1,2149,0
48.6025633,1,2152,0
48.64423,1,2155,1
48.6858967,1,2158,0
48.7275633,1,2161,0
48.76923,1,2163,0
48.8108967,1,2166,0
48.8525633,1,2168,0
48.89423,1,2171,0
48.9358967,1,2173,0
48.9775633,1,2175,0
49.01923,1,2177,0
49.0608967,1,2179,0
49.1025633,1,2180,0
49.14423,1,2182,0
49.1858967,1,2183,1
49.2275633,1,2185,12
49.26923,1,2186,72
49.3108967,1,2187,10
49.3525633,1,2188,3
49.39423,1,2189,2
49.4358967,1,2190,1
49.4775633,1,2191,0
49.51923,1,2191,0
49.5608967,1,2192,0
49.6025633,1,2193,2
49.64423,2,2193,1
49.6858967,2,2194,0
49.7275633,2,2195,0
49.76923,2,2195,0
49.8108967,2,2196,0
49.8525633,2,2196,0
49.89423,2,2197,0
49.9358967,2,2197,0
49.9775633,2,2198,0
50.01923,2,2198,0
50.0608967,2,2199,0
50.1025633,2,2199,0
50.14423,2,2200,0
50.1858967,2,2201,0
50.2275633,2,2202,0
50.26923,2,2202,0
50.3108967,2,2203,0
50.3525633,2,2204,0
50.39423,2,2205,0
50.4358967,2,2207,0
50.4775633,2,2208,0
50.51923,2,2209,0
50.5608967,2,2211,0
50.6025633,2,2212,0
50.64423,2,2214,0
50.6858967,2,2216,0
50.7275633,2,2218,0
50.76923,1,2220,0
50.8108967,1,2222,0
50.8525633,1,2224,0
50.89423,1,2227,0
50.9358967,1,2230,1
50.9775633,1,2232,0
51.01923,1,2235,0
51.0608967,1,2239,2
51.1025633,1,2242,1
51.14423,1,2246,14
51.1858967,1,2249,3
51.2275633,1,2253,0
51.26923,1,2257,0
51.3108967,1,2260,0
51.3525633,1,2264,0
51.39423,1,2268,0
51.4358967,1,2272,1
51.4775633,1,2275,0
51.51923,1,2279,0
51.5608967,1,2282,0
51.6025633,1,2286,0
