time,births,population,reported_cases
44.01923,15,16204,0
44.0608967,15,16152,0
44.1025633,15,16107,10
44.14423,15,16067,0
44.1858967,15,16034,0
44.2275633,14,16007,2
44.26923,14,15985,2
44.3108967,14,15968,5
44.3525633,14,15956,7
44.39423,14,15949,2
44.4358967,14,15946,0
44.4775633,14,15947,2
44.51923,14,15951,2
44.5608967,14,15960,0
44.6025633,14,15971,5
44.64423,14,15986,1
44.6858967,14,16003,0
44.7275633,14,16022,0
44.76923,14,16044,0
44.8108967,14,16067,0
44.8525633,14,16093,1
44.89423,14,16119,1
44.9358967,14,16146,0
44.9775633,14,16175,0
45.01923,14,16203,0
45.0608967,14,16232,4
45.1025633,14,16261,4
45.14423,14,16291,4
45.1858967,14,16320,6
45.2275633,14,16349,3
45.26923,14,16378,4
45.3108967,14,16406,14
45.3525633,14,16434,57
45.39423,14,16462,53
45.4358967,14,16489,29
45.4775633,15,16515,16
45.51923,15,16540,15
45.5608967,15,16565,38
45.6025633,15,16588,11
45.64423,15,16611,9
45.6858967,15,16632,12
45.7275633,15,16651,12
45.76923,15,16670,9
45.8108967,15,16686,2
45.8525633,15,16701,0
45.89423,15,16715,0
45.9358967,15,16726,0
45.9775633,16,16736,0
46.01923,16,16743,4
46.0608967,16,16749,0
46.1025633,16,16752,0
46.14423,16,16754,1
46.1858967,16,16755,0
46.2275633,16,16754,0
46.26923,16,16753,0
46.3108967,16,16750,0
46.3525633,16,16747,1
46.39423,16,16744,0
46.4358967,16,16740,1
46.4775633,16,16736,0
46.51923,16,16733,0
46.5608967,16,16730,2
46.6025633,17,16727,1
46.64423,17,16725,0
46.6858967,17,16725,1
46.7275633,17,16725,2
46.76923,17,16727,0
46.8108967,17,16730,2
46.8525633,17,16735,0
46.89423,17,16742,0
46.9358967,17,16751,0
46.9775633,17,16763,0
47.01923,17,16777,0
47.0608967,17,16793,4
47.1025633,17,16812,6
47.14423,17,16833,27
47.1858967,17,16855,22
47.2275633,17,16878,10
47.26923,17,16901,29
47.3108967,17,16925,11
47.3525633,18,16949,62
47.39423,18,16973,88
47.4358967,18,16995,122
47.4775633,18,17017,36
47.51923,18,17037,15
47.5608967,18,17055,4
47.6025633,18,17071,0
47.64423,18,17085,0
47.6858967,18,17095,0
47.7275633,18,17102,1
47.76923,18,17105,0
47.8108967,18,17105,0
47.8525633,18,17099,0
47.89423,18,17089,0
47.9358967,18,17074,0
47.9775633,18,17054,0
48.01923,18,17027,2
48.0608967,18,16995,2
48.1025633,18,16958,0
48.14423,18,16919,0
48.1858967,18,16877,1
48.2275633,18,16834,3
48.26923,18,16791,4
48.3108967,18,16749,4
48.3525633,17,16709,2
48.39423,17,16674,3
48.4358967,17,16642,4
48.4775633,17,16617,1
48.51923,17,16598,2
48.5608967,17,16587,2
48.6025633,17,16586,0
48.64423,17,16595,0
48.6858967,17,16615,1
48.7275633,17,16648,2
48.76923,17,16694,0
48.8108967,17,16755,0
48.8525633,16,16832,0
48.89423,16,16927,3
48.9358967,16,17039,3
48.9775633,16,17171,1
49.01923,16,17323,2
49.0608967,16,17495,7
49.1025633,16,17685,19
49.14423,16,17892,65
49.1858967,16,18112,55
49.2275633,16,18345,47
49.26923,16,18587,41
49.3108967,15,18838,63
49.3525633,15,19094,21
49.39423,15,19355,13
49.4358967,15,19617,12
49.4775633,15,19880,6
49.51923,15,20140,0
49.5608967,15,20396,0
49.6025633,15,20646,0
49.64423,15,20888,0
49.6858967,15,21119,0
49.7275633,15,21339,0
49.76923,15,21544,0
49.8108967,15,21733,0
49.8525633,15,21903,0
49.89423,14,22053,0
49.9358967,14,22181,0
49.9775633,14,22285,0
50.01923,14,22362,0
50.0608967,14,22413,0
50.1025633,14,22440,0
50.14423,14,22444,0
50.1858967,14,22427,0
50.2275633,14,22393,0
50.26923,14,22342,0
50.3108967,14,22277,3
50.3525633,14,22200,4
50.39423,14,22113,1
50.4358967,14,22018,3
50.4775633,14,21917,4
50.51923,14,21813,2
50.5608967,14,21706,0
50.6025633,14,21600,0
50.64423,14,21496,2
50.6858967,15,21397,1
50.7275633,15,21304,0
50.76923,15,21219,0
50.8108967,15,21145,0
50.8525633,15,21084,1
50.89423,15,21038,0
50.9358967,15,21008,0
50.9775633,15,20997,0
51.01923,15,21007,2
51.0608967,15,21039,12
51.1025633,15,21090,28
51.14423,15,21159,34
51.1858967,15,21246,43
51.2275633,15,21348,140
51.26923,15,21464,91
51.3108967,15,21592,62
51.3525633,15,21732,49
51.39423,15,21881,35
51.4358967,15,22038,7
51.4775633,15,22202,0
51.51923,15,22371,0
51.5608967,15,22544,5
51.6025633,15,22719,0
51.64423,15,22895,2
51.6858967,15,23070,0
51.7275633,15,23243,0
51.76923,15,23413,4
51.8108967,15,23577,0
51.8525633,15,23735,0
51.89423,15,23885,0
51.9358967,15,24026,0
51.9775633,15,24155,0
52.01923,15,24272,0
52.0608967,15,24377,2
52.1025633,15,24468,0
52.14423,15,24548,0
52.1858967,15,24616,0
52.2275633,16,24674,0
52.26923,16,24720,0
52.3108967,16,24757,0
52.3525633,16,24783,1
52.39423,16,24801,2
52.43589670000001,16,24810,5
52.47756329999999,16,24811,4
52.51923000000001,16,24804,22
52.56089670000001,17,24790,3
52.60256329999999,17,24769,7
52.64423000000001,17,24741,7
52.68589670000001,17,24708,0
52.72756329999999,17,24670,0
52.76923000000001,17,24626,0
52.81089670000001,17,24579,0
52.85256329999999,17,24527,0
52.89423000000001,18,24472,2
52.93589670000001,18,24414,15
52.97756329999999,18,24353,8
53.01923000000001,18,24291,17
53.06089670000001,18,24227,44
53.10256329999999,18,24161,45
53.14423000000001,18,24094,70
53.18589670000001,18,24027,73
53.22756329999999,18,23958,73
53.26923000000001,18,23890,94
53.31089670000001,18,23821,45
53.35256329999999,18,23752,9
53.39423000000001,19,23684,1
53.43589670000001,19,23616,0
53.47756329999999,19,23549,13
53.51923000000001,19,23483,0
53.56089670000001,19,23418,0
53.60256329999999,19,23355,1
53.64423000000001,19,23294,1
53.68589670000001,19,23235,1
53.72756329999999,19,23178,0
53.76923000000001,19,23123,0
53.81089670000001,19,23072,0
53.85256329999999,19,23023,0
53.89423000000001,19,22978,1
53.93589670000001,19,22937,0
53.97756329999999,19,22899,0
54.01923000000001,19,22865,0
54.06089670000001,19,22835,0
54.10256329999999,19,22809,0
54.14423000000001,19,22787,0
54.18589670000001,19,22769,0
54.22756329999999,19,22754,0
54.26923000000001,19,22743,2
54.31089670000001,18,22734,0
54.35256329999999,18,22729,0
54.39423000000001,18,22727,0
54.43589670000001,18,22727,0
54.47756329999999,18,22730,0
54.51923000000001,18,22736,0
54.56089670000001,18,22744,0
54.60256329999999,18,22754,0
54.64423000000001,18,22766,0
54.68589670000001,18,22780,0
54.72756329999999,18,22796,0
54.76923000000001,18,22813,0
54.81089670000001,18,22831,0
54.85256329999999,18,22851,1
54.89423000000001,18,22872,1
54.93589670000001,18,22894,0
54.97756329999999,18,22917,0
55.01923000000001,18,22941,0
55.06089670000001,18,22965,0
55.10256329999999,18,22990,1
55.14423000000001,18,23015,2
55.18589670000001,18,23041,1
55.22756329999999,18,23067,2
55.26923000000001,18,23093,0
55.31089670000001,18,23120,34
55.35256329999999,18,23147,78
55.39423000000001,18,23174,136
55.43589670000001,18,23201,59
55.47756329999999,18,23228,22
55.51923000000001,18,23256,7
55.56089670000001,18,23283,10
55.60256329999999,18,23311,49
55.64423000000001,18,23338,17
55.68589670000001,18,23365,1
55.72756329999999,18,23392,4
55.76923000000001,18,23419,0
55.81089670000001,18,23445,0
55.85256329999999,18,23471,0
55.89423000000001,18,23497,0
55.93589670000001,18,23522,0
55.97756329999999,18,23547,0
56.01923000000001,19,23571,0
56.06089670000001,19,23595,0
56.10256329999999,19,23618,0
56.14423000000001,19,23641,0
56.18589670000001,19,23664,0
56.22756329999999,19,23686,0
56.26923000000001,20,23709,2
56.31089670000001,20,23731,0
56.35256329999999,20,23753,0
56.39423000000001,20,23776,1
56.43589670000001,20,23799,0
56.47756329999999,21,23822,0
56.51923000000001,21,23845,2
56.56089670000001,21,23869,0
56.60256329999999,21,23894,0
56.64423000000001,21,23919,0
56.68589670000001,21,23944,0
56.72756329999999,22,23971,0
56.76923000000001,22,23998,0
56.81089670000001,22,24027,0
56.85256329999999,22,24056,0
56.89423000000001,22,24087,0
56.93589670000001,23,24119,0
56.97756329999999,23,24152,0
57.01923000000001,23,24186,17
57.06089670000001,23,24222,11
57.10256329999999,23,24259,4
57.14423000000001,23,24297,2
57.18589670000001,23,24336,2
57.22756329999999,23,24376,13
57.26923000000001,23,24417,2
57.31089670000001,24,24458,41
57.35256329999999,24,24500,68
57.39423000000001,24,24542,23
57.43589670000001,24,24585,52
57.47756329999999,24,24628,62
57.51923000000001,24,24671,24
57.56089670000001,24,24713,9
57.60256329999999,24,24756,31
57.64423000000001,24,24798,3
57.68589670000001,24,24840,0
57.72756329999999,24,24881,3
57.76923000000001,24,24922,0
57.81089670000001,24,24962,0
57.85256329999999,24,25001,0
57.89423000000001,24,25039,0
57.93589670000001,24,25076,0
57.97756329999999,24,25111,0
58.01923000000001,24,25146,4
58.06089670000001,24,25179,0
58.10256329999999,24,25210,0
58.14423000000001,24,25241,0
58.18589670000001,24,25272,0
58.22756329999999,24,25302,0
58.26923000000001,23,25332,0
58.31089670000001,23,25363,0
58.35256329999999,23,25394,3
58.39423000000001,23,25426,2
58.43589670000001,23,25458,0
58.47756329999999,23,25492,0
58.51923000000001,23,25528,0
58.56089670000001,23,25565,1
58.60256329999999,23,25604,0
58.64423000000001,23,25646,0
58.68589670000001,23,25690,3
58.72756329999999,23,25736,1
58.76923000000001,23,25786,0
58.81089670000001,23,25840,0
58.85256329999999,23,25896,0
58.89423000000001,23,25957,0
58.93589670000001,23,26022,3
58.97756329999999,23,26091,0
59.01923000000001,23,26165,4
59.06089670000001,23,26243,11
59.10256329999999,23,26325,26
59.14423000000001,23,26411,65
59.18589670000001,23,26500,70
59.22756329999999,24,26591,53
59.26923000000001,24,26685,109
59.31089670000001,24,26781,46
59.35256329999999,24,26878,12
59.39423000000001,24,26976,22
59.43589670000001,24,27074,44
59.47756329999999,25,27172,6
59.51923000000001,25,27270,7
59.56089670000001,25,27367,8
59.60256329999999,25,27462,3
59.64423000000001,25,27555,4
59.68589670000001,26,27646,1
59.72756329999999,26,27735,0
59.76923000000001,26,27820,0
59.81089670000001,27,27901,0
59.85256329999999,27,27978,0
59.89423000000001,27,28050,0
59.93589670000001,27,28118,0
59.97756329999999,28,28179,4
60.01923000000001,28,28235,0
60.06089670000001,28,28285,2
60.10256329999999,29,28329,2
60.14423000000001,29,28368,5
60.18589670000001,29,28404,0
60.22756329999999,30,28435,0
60.26923000000001,30,28463,0
60.31089670000001,30,28489,0
60.35256329999999,31,28512,0
60.39423000000001,31,28535,2
60.43589670000001,31,28556,0
60.47756329999999,32,28577,0
60.51923000000001,32,28598,0
60.56089670000001,32,28621,0
60.60256329999999,33,28644,0
60.64423000000001,33,28670,0
60.68589670000001,33,28698,0
60.72756329999999,33,28729,0
60.76923000000001,34,28764,0
60.81089670000001,34,28803,0
60.85256329999999,34,28847,0
60.89423000000001,34,28896,0
60.93589670000001,34,28952,0
60.97756329999999,35,29014,0
61.01923000000001,35,29083,2
61.06089670000001,35,29159,5
61.10256329999999,35,29242,13
61.14423000000001,35,29331,41
61.18589670000001,35,29425,38
61.22756329999999,35,29525,88
61.26923000000001,35,29629,89
61.31089670000001,35,29738,50
61.35256329999999,35,29849,159
61.39423000000001,35,29964,125
61.43589670000001,35,30082,44
61.47756329999999,35,30201,16
61.51923000000001,35,30322,7
61.56089670000001,35,30444,11
61.60256329999999,35,30566,7
61.64423000000001,35,30688,1
61.68589670000001,34,30809,1
61.72756329999999,34,30929,0
61.76923000000001,34,31048,9
61.81089670000001,34,31164,10
61.85256329999999,34,31278,10
61.89423000000001,34,31388,20
61.93589670000001,34,31495,15
61.97756329999999,34,31597,1
62.01923000000001,34,31694,0
62.06089670000001,34,31787,0
62.10256329999999,34,31875,1
62.14423000000001,34,31958,0
62.18589670000001,34,32038,0
62.22756329999999,34,32113,2
62.26923000000001,34,32185,7
62.31089670000001,34,32253,0
62.35256329999999,34,32319,5
62.39423000000001,34,32381,1
62.43589670000001,35,32441,6
62.47756329999999,35,32499,1
62.51923000000001,35,32554,4
62.56089670000001,35,32608,0
62.60256329999999,35,32661,0
62.64423000000001,35,32712,1
62.68589670000001,35,32763,1
62.72756329999999,36,32812,0
62.76923000000001,36,32862,0
62.81089670000001,36,32911,0
62.85256329999999,36,32960,0
62.89423000000001,36,33010,1
62.93589670000001,37,33060,18
62.97756329999999,37,33112,22
63.01923000000001,37,33164,22
63.06089670000001,37,33219,10
63.10256329999999,37,33275,6
63.14423000000001,38,33334,63
63.18589670000001,38,33397,14
63.22756329999999,38,33464,38
63.26923000000001,38,33535,52
63.31089670000001,39,33611,56
63.35256329999999,39,33693,33
63.39423000000001,39,33782,94
63.43589670000001,39,33877,86
63.47756329999999,40,33979,34
63.51923000000001,40,34090,17
63.56089670000001,40,34209,32
63.60256329999999,40,34338,0
63.64423000000001,41,34476,7
63.68589670000001,41,34625,0
63.72756329999999,41,34785,0
63.76923000000001,41,34956,2
63.81089670000001,42,35139,0
63.85256329999999,42,35335,1
63.89423000000001,42,35545,0
63.93589670000001,42,35768,0
63.97756329999999,42,36006,0
