time,births,population,reported_cases
44.01923,11,17115,0
44.0608967,11,17046,0
44.1025633,10,16985,0
44.14423,10,16930,0
44.1858967,10,16883,0
44.2275633,10,16842,0
44.26923,9,16807,0
44.3108967,9,16779,0
44.3525633,9,16756,3
44.39423,9,16739,1
44.4358967,9,16728,4
44.4775633,9,16721,4
44.51923,9,16719,7
44.5608967,9,16722,10
44.6025633,9,16728,9
44.64423,9,16739,1
44.6858967,9,16753,0
44.7275633,9,16771,0
44.76923,9,16792,0
44.8108967,9,16815,0
44.8525633,9,16841,0
44.89423,10,16870,2
44.9358967,10,16900,0
44.9775633,10,16932,4
45.01923,10,16966,4
45.0608967,10,17000,9
45.1025633,10,17036,40
45.14423,11,17073,30
45.1858967,11,17110,15
45.2275633,11,17148,5
45.26923,11,17186,26
45.3108967,11,17225,2
45.3525633,12,17263,0
45.39423,12,17301,0
45.4358967,12,17339,1
45.4775633,12,17377,0
45.51923,12,17414,0
45.5608967,13,17450,0
45.6025633,13,17485,1
45.64423,13,17519,0
45.6858967,13,17552,1
45.7275633,14,17583,0
45.76923,14,17613,0
45.8108967,14,17641,0
45.8525633,14,17667,1
45.89423,14,17690,0
45.9358967,15,17712,0
45.9775633,15,17731,0
46.01923,15,17747,0
46.0608967,15,17761,0
46.1025633,15,17772,0
46.14423,15,17781,0
46.1858967,15,17788,0
46.2275633,15,17792,0
46.26923,16,17795,0
46.3108967,16,17796,0
46.3525633,16,17796,0
46.39423,16,17794,0
46.4358967,16,17791,0
46.4775633,16,17788,2
46.51923,16,17783,0
46.5608967,16,17777,0
46.6025633,16,17772,1
46.64423,16,17765,0
46.6858967,16,17759,0
46.7275633,16,17752,0
46.76923,16,17746,0
46.8108967,16,17740,0
46.8525633,16,17734,1
46.89423,16,17729,3
46.9358967,16,17725,5
46.9775633,16,17721,2
47.01923,16,17719,9
47.0608967,16,17718,8
47.1025633,16,17718,9
47.14423,15,17719,6
47.1858967,15,17721,14
47.2275633,15,17724,16
47.26923,15,17728,19
47.3108967,15,17732,12
47.3525633,15,17737,8
47.39423,15,17743,14
47.4358967,15,17749,4
47.4775633,15,17756,2
47.51923,14,17763,0
47.5608967,14,17771,1
47.6025633,14,17778,0
47.64423,14,17786,0
47.6858967,14,17794,0
47.7275633,14,17802,0
47.76923,14,17810,0
47.8108967,14,17818,0
47.8525633,13,17825,0
47.89423,13,17833,0
47.9358967,13,17840,0
47.9775633,13,17847,0
48.01923,13,17853,0
48.0608967,13,17859,0
48.1025633,13,17864,0
48.14423,13,17869,0
48.1858967,13,17873,0
48.2275633,13,17877,0
48.26923,13,17881,0
48.3108967,13,17885,0
48.3525633,12,17888,0
48.39423,12,17891,0
48.4358967,12,17894,3
48.4775633,12,17896,1
48.51923,12,17899,0
48.5608967,12,17901,0
48.6025633,12,17904,1
48.64423,12,17906,4
48.6858967,12,17909,2
48.7275633,12,17911,2
48.76923,12,17913,13
48.8108967,12,17916,2
48.8525633,12,17919,17
48.89423,12,17922,7
48.9358967,12,17925,12
48.9775633,12,17928,9
49.01923,12,17932,7
49.0608967,12,17936,16
49.1025633,12,17940,9
