time,births,population,reported_cases
44.01923,16,17455,0
44.0608967,16,17426,0
44.1025633,16,17402,0
44.14423,15,17384,0
44.1858967,15,17370,0
44.2275633,15,17361,0
44.26923,15,17357,0
44.3108967,15,17356,0
44.3525633,15,17360,0
44.39423,14,17368,0
44.4358967,14,17379,0
44.4775633,14,17394,0
44.51923,14,17412,0
44.5608967,14,17433,0
44.6025633,14,17456,0
44.64423,14,17483,0
44.6858967,14,17511,0
44.7275633,14,17542,0
44.76923,14,17575,0
44.8108967,14,17609,0
44.8525633,14,17645,0
44.89423,14,17682,0
44.9358967,14,17720,0
44.9775633,14,17759,0
45.01923,14,17798,0
45.0608967,14,17838,0
45.1025633,14,17879,2
45.14423,14,17919,12
45.1858967,14,17960,22
45.2275633,14,18001,23
45.26923,14,18042,42
45.3108967,14,18082,82
45.3525633,14,18123,62
45.39423,15,18163,25
45.4358967,15,18202,2
45.4775633,15,18241,2
45.51923,15,18279,0
45.5608967,15,18316,0
45.6025633,15,18352,0
45.64423,15,18388,1
45.6858967,16,18422,0
45.7275633,16,18454,0
45.76923,16,18486,0
45.8108967,16,18516,0
45.8525633,16,18544,0
45.89423,17,18571,0
45.9358967,17,18596,0
45.9775633,17,18618,0
46.01923,17,18639,0
46.0608967,17,18658,0
46.1025633,18,18675,1
46.14423,18,18691,0
46.1858967,18,18705,0
46.2275633,18,18717,0
46.26923,18,18729,0
46.3108967,18,18739,0
46.3525633,19,18749,0
46.39423,19,18758,0
46.4358967,19,18766,0
46.4775633,19,18774,0
46.51923,19,18783,0
46.5608967,19,18791,0
46.6025633,20,18799,0
46.64423,20,18807,0
46.6858967,20,18817,0
46.7275633,20,18826,0
46.76923,20,18837,2
46.8108967,20,18849,0
46.8525633,20,18862,0
46.89423,20,18876,0
46.9358967,20,18892,0
46.9775633,20,18910,0
47.01923,20,18929,0
47.0608967,20,18951,0
47.1025633,20,18974,1
47.14423,20,18998,0
47.1858967,20,19024,0
47.2275633,20,19052,0
47.26923,20,19080,2
47.3108967,20,19109,1
47.3525633,19,19139,0
47.39423,19,19169,0
47.4358967,19,19200,0
47.4775633,19,19231,1
47.51923,19,19261,33
47.5608967,19,19292,80
47.6025633,19,19322,44
47.64423,18,19352,14
47.6858967,18,19381,6
47.7275633,18,19409,13
47.76923,18,19436,15
47.8108967,18,19462,10
47.8525633,18,19487,5
47.89423,17,19510,3
47.9358967,17,19531,0
47.9775633,17,19550,0
48.01923,17,19568,0
48.0608967,17,19583,4
48.1025633,17,19596,2
48.14423,17,19607,4
48.1858967,17,19617,14
48.2275633,16,19624,34
48.26923,16,19631,15
48.3108967,16,19635,17
48.3525633,16,19639,20
48.39423,16,19641,16
48.4358967,16,19642,18
48.4775633,16,19642,13
48.51923,16,19641,15
48.5608967,16,19639,0
48.6025633,16,19637,0
48.64423,16,19634,0
48.6858967,16,19630,0
48.7275633,16,19626,0
48.76923,16,19622,0
48.8108967,16,19618,0
48.8525633,16,19614,0
48.89423,16,19610,2
48.9358967,16,19606,1
48.9775633,16,19602,0
49.01923,16,19599,0
49.0608967,16,19596,2
49.1025633,15,19593,1
49.14423,15,19591,0
49.1858967,15,19589,3
49.2275633,15,19587,4
49.26923,15,19585,0
49.3108967,15,19583,4
49.3525633,15,19581,8
49.39423,15,19578,1
49.4358967,15,19576,2
49.4775633,15,19573,1
49.51923,15,19569,0
