time,births,population,reported_cases
44.01923,77,75965,0
44.0608967,76,75606,0
44.1025633,75,75301,1
44.14423,74,75049,1
44.1858967,73,74848,3
44.2275633,72,74694,0
44.26923,71,74587,0
44.3108967,71,74525,2
44.3525633,70,74504,3
44.39423,70,74524,7
44.4358967,70,74581,9
44.4775633,70,74674,2
44.51923,69,74801,7
44.5608967,69,74960,13
44.6025633,69,75148,6
44.64423,70,75364,1
44.6858967,70,75606,0
44.7275633,70,75870,0
44.76923,70,76156,0
44.8108967,71,76461,2
44.8525633,71,76784,4
44.89423,72,77121,4
44.9358967,72,77471,7
44.9775633,73,77832,23
45.01923,74,78202,132
45.0608967,74,78578,163
45.1025633,75,78961,358
45.14423,76,79348,280
45.1858967,77,79739,321
45.2275633,77,80132,139
45.26923,78,80526,130
45.3108967,79,80920,18
45.3525633,80,81313,22
45.39423,81,81703,12
45.4358967,82,82089,18
45.4775633,83,82471,7
45.51923,84,82846,0
45.5608967,84,83214,0
45.6025633,85,83573,0
45.64423,86,83923,0
45.6858967,87,84262,2
45.7275633,88,84588,0
45.76923,89,84902,2
45.8108967,89,85200,4
45.8525633,90,85483,0
45.89423,91,85749,0
45.9358967,92,85997,0
45.9775633,92,86225,0
46.01923,93,86433,0
46.0608967,94,86621,0
46.1025633,94,86789,0
46.14423,95,86939,0
46.1858967,95,87073,1
46.2275633,95,87191,2
46.26923,96,87296,2
46.3108967,96,87387,0
46.3525633,96,87468,1
46.39423,97,87538,0
46.4358967,97,87600,0
46.4775633,97,87655,2
46.51923,97,87703,0
46.5608967,97,87747,0
46.6025633,97,87787,1
46.64423,97,87826,1
46.6858967,97,87863,1
46.7275633,97,87902,0
46.76923,97,87942,4
46.8108967,97,87985,6
46.8525633,97,88033,1
46.89423,96,88087,17
46.9358967,96,88149,37
46.9775633,96,88218,12
47.01923,95,88298,22
47.0608967,95,88388,26
47.1025633,95,88487,52
47.14423,94,88594,80
47.1858967,94,88709,88
47.2275633,93,88830,92
47.26923,92,88956,53
47.3108967,92,89087,54
47.3525633,91,89221,53
47.39423,91,89359,166
47.4358967,90,89497,316
47.4775633,89,89637,184
47.51923,89,89776,52
47.5608967,88,89914,27
47.6025633,88,90050,12
47.64423,87,90183,8
47.6858967,87,90312,0
47.7275633,86,90436,1
47.76923,85,90555,7
47.8108967,85,90666,6
47.8525633,84,90770,4
47.89423,84,90865,0
47.9358967,84,90950,0
47.9775633,83,91025,0
48.01923,83,91088,2
48.0608967,83,91139,2
48.1025633,83,91180,6
48.14423,82,91211,1
48.1858967,82,91234,2
48.2275633,82,91248,0
48.26923,82,91255,0
48.3108967,82,91256,0
48.3525633,82,91252,2
48.39423,82,91244,1
48.4358967,82,91232,3
48.4775633,82,91218,5
48.51923,82,91202,28
48.5608967,82,91186,72
48.6025633,82,91170,72
48.64423,82,91155,27
48.6858967,82,91143,20
48.7275633,82,91133,21
48.76923,82,91127,80
48.8108967,82,91127,183
48.8525633,82,91132,262
48.89423,82,91144,432
