time,births,population,reported_cases
44.01923,152,184750,4
44.0608967,148,184102,12
44.1025633,145,183569,5
44.14423,142,183149,11
44.1858967,140,182835,19
44.2275633,138,182625,10
44.26923,136,182512,13
44.3108967,134,182493,31
44.3525633,133,182563,31
44.39423,132,182718,57
44.4358967,131,182953,53
44.4775633,130,183263,69
44.51923,130,183644,35
44.5608967,129,184092,8
44.6025633,129,184602,34
44.64423,130,185169,8
44.6858967,130,185790,11
44.7275633,130,186459,8
44.76923,131,187172,2
44.8108967,132,187924,21
44.8525633,133,188711,38
44.89423,134,189529,31
44.9358967,135,190372,18
44.9775633,136,191237,19
45.01923,138,192119,49
45.0608967,139,193014,46
45.1025633,140,193919,194
45.14423,142,194833,284
45.1858967,144,195751,320
45.2275633,145,196672,470
45.26923,147,197593,422
45.3108967,148,198511,156
45.3525633,150,199424,126
45.39423,152,200328,109
45.4358967,154,201222,80
45.4775633,155,202102,65
45.51923,157,202966,29
45.5608967,159,203811,22
45.6025633,160,204634,14
45.64423,162,205434,2
45.6858967,163,206206,1
45.7275633,165,206949,1
45.76923,166,207659,0
45.8108967,168,208335,0
45.8525633,169,208973,0
45.89423,170,209571,0
45.9358967,171,210126,2
45.9775633,172,210636,2
46.01923,173,211097,0
46.0608967,174,211510,2
46.1025633,174,211877,3
46.14423,175,212202,1
46.1858967,175,212487,5
46.2275633,176,212736,11
46.26923,176,212950,4
46.3108967,176,213133,15
46.3525633,176,213287,45
46.39423,176,213416,72
46.4358967,176,213523,84
46.4775633,176,213610,76
46.51923,175,213680,71
46.5608967,175,213736,57
46.6025633,174,213780,44
46.64423,174,213817,43
46.6858967,173,213848,24
46.7275633,173,213876,6
46.76923,172,213905,29
46.8108967,171,213937,52
46.8525633,170,213975,193
46.89423,169,214022,184
46.9358967,168,214080,205
46.9775633,168,214154,288
47.01923,167,214244,232
47.0608967,166,214353,208
47.1025633,165,214479,138
47.14423,163,214620,171
47.1858967,162,214776,177
47.2275633,161,214945,167
47.26923,160,215125,52
47.3108967,159,215315,40
47.3525633,158,215514,38
47.39423,157,215721,36
47.4358967,156,215933,43
47.4775633,155,216150,47
47.51923,153,216371,27
47.5608967,152,216593,17
47.6025633,151,216816,21
47.64423,150,217037,6
47.6858967,149,217257,3
47.7275633,148,217473,0
47.76923,147,217684,2
47.8108967,146,217889,0
47.8525633,145,218086,0
47.89423,145,218274,0
47.9358967,144,218451,0
47.9775633,143,218616,2
48.01923,143,218769,40
48.0608967,142,218907,15
48.1025633,141,219033,50
48.14423,141,219148,61
48.1858967,140,219251,133
48.2275633,140,219345,85
48.26923,140,219429,159
48.3108967,139,219506,102
48.3525633,139,219575,96
48.39423,139,219638,103
48.4358967,139,219695,57
48.4775633,138,219748,78
48.51923,138,219797,38
48.5608967,138,219844,21
48.6025633,138,219889,16
48.64423,138,219933,9
48.6858967,137,219977,3
48.7275633,137,220021,5
48.76923,137,220068,4
48.8108967,137,220117,9
48.8525633,137,220170,18
48.89423,136,220228,10
48.9358967,136,220291,7
48.9775633,136,220360,4
49.01923,136,220436,24
49.0608967,135,220520,116
49.1025633,135,220610,261
49.14423,134,220705,415
49.1858967,134,220805,406
49.2275633,134,220909,253
49.26923,133,221015,128
49.3108967,133,221122,144
49.3525633,132,221231,68
49.39423,132,221339,73
49.4358967,131,221446,35
49.4775633,131,221551,21
49.51923,130,221653,2
49.5608967,130,221750,14
49.6025633,129,221843,3
49.64423,129,221930,3
49.6858967,128,222011,4
49.7275633,128,222083,1
49.76923,128,222147,2
49.8108967,127,222201,2
49.8525633,127,222245,2
49.89423,127,222277,3
49.9358967,126,222296,2
49.9775633,126,222303,0
50.01923,126,222294,2
50.0608967,126,222272,2
50.1025633,126,222236,4
50.14423,126,222188,7
50.1858967,126,222128,8
50.2275633,126,222057,31
50.26923,126,221977,29
50.3108967,126,221888,98
50.3525633,126,221791,80
50.39423,126,221688,145
50.4358967,126,221578,131
50.4775633,127,221464,118
50.51923,127,221345,119
50.5608967,127,221224,70
50.6025633,127,221101,57
50.64423,127,220976,29
50.6858967,128,220851,15
50.7275633,128,220727,8
50.76923,128,220604,2
50.8108967,128,220485,8
50.8525633,128,220368,6
50.89423,128,220257,1
50.9358967,129,220151,26
50.9775633,129,220051,43
51.01923,129,219958,91
51.0608967,129,219873,116
51.1025633,129,219796,197
51.14423,129,219725,416
51.1858967,129,219660,442
51.2275633,129,219602,254
51.26923,129,219548,302
51.3108967,129,219500,154
51.3525633,128,219456,178
51.39423,128,219416,116
51.4358967,128,219379,82
51.4775633,128,219346,56
51.51923,128,219315,51
51.5608967,128,219287,24
51.6025633,127,219260,7
51.64423,127,219234,0
51.6858967,127,219209,1
51.7275633,127,219185,16
51.76923,127,219160,2
51.8108967,126,219135,1
51.8525633,126,219108,0
51.89423,126,219081,0
51.9358967,126,219051,1
51.9775633,125,219019,0
52.01923,125,218983,13
52.0608967,125,218945,0
