time,births,population,reported_cases
44.01923,14,14724,0
44.0608967,14,14693,0
44.1025633,14,14667,0
44.14423,14,14646,0
44.1858967,14,14629,0
44.2275633,13,14617,0
44.26923,13,14608,0
44.3108967,13,14604,0
44.3525633,13,14604,0
44.39423,13,14607,0
44.4358967,13,14614,0
44.4775633,13,14624,0
44.51923,13,14637,0
44.5608967,13,14653,0
44.6025633,13,14672,0
44.64423,13,14693,0
44.6858967,14,14716,0
44.7275633,14,14742,2
44.76923,14,14770,0
44.8108967,14,14799,0
44.8525633,14,14830,0
44.89423,14,14863,16
44.9358967,14,14896,32
44.9775633,15,14931,16
45.01923,15,14967,2
45.0608967,15,15003,8
45.1025633,15,15040,59
45.14423,15,15077,63
45.1858967,16,15115,79
45.2275633,16,15153,69
45.26923,16,15191,28
45.3108967,16,15229,9
45.3525633,16,15268,0
45.39423,16,15306,2
45.4358967,17,15344,0
45.4775633,17,15381,4
45.51923,17,15419,0
45.5608967,17,15455,0
45.6025633,17,15491,0
45.64423,18,15526,0
45.6858967,18,15560,0
45.7275633,18,15594,0
45.76923,18,15626,0
45.8108967,18,15657,0
45.8525633,18,15687,0
45.89423,18,15715,0
45.9358967,18,15742,0
45.9775633,19,15767,0
46.01923,19,15791,0
46.0608967,19,15812,0
46.1025633,19,15833,0
46.14423,19,15851,0
46.1858967,19,15869,0
46.2275633,19,15885,0
46.26923,19,15900,0
46.3108967,19,15914,0
46.3525633,19,15928,1
46.39423,19,15940,0
46.4358967,19,15952,0
46.4775633,19,15964,8
46.51923,19,15975,19
46.5608967,19,15986,23
46.6025633,19,15997,47
46.64423,19,16008,40
46.6858967,19,16019,24
46.7275633,19,16030,25
46.76923,18,16042,17
46.8108967,18,16054,11
46.8525633,18,16067,1
46.89423,18,16081,0
46.9358967,18,16095,0
46.9775633,18,16111,0
47.01923,18,16128,0
47.0608967,18,16146,1
47.1025633,18,16165,2
47.14423,18,16185,0
47.1858967,18,16206,0
47.2275633,18,16228,0
47.26923,18,16250,0
47.3108967,18,16273,0
47.3525633,18,16297,1
47.39423,18,16321,4
47.4358967,18,16345,0
47.4775633,18,16370,1
47.51923,18,16394,0
47.5608967,18,16419,0
47.6025633,18,16444,0
47.64423,18,16468,0
47.6858967,18,16493,1
47.7275633,18,16517,0
47.76923,18,16541,0
47.8108967,18,16564,2
47.8525633,18,16586,0
47.89423,18,16608,1
47.9358967,18,16629,0
47.9775633,18,16650,0
48.01923,18,16669,0
48.0608967,18,16687,2
48.1025633,18,16704,1
48.14423,18,16721,1
48.1858967,18,16736,4
48.2275633,18,16751,29
48.26923,18,16764,71
48.3108967,18,16777,54
48.3525633,18,16789,60
48.39423,18,16801,64
48.4358967,18,16811,84
48.4775633,18,16821,56
48.51923,18,16831,19
48.5608967,18,16839,5
48.6025633,18,16847,4
48.64423,18,16855,1
48.6858967,18,16862,0
48.7275633,18,16868,0
48.76923,18,16874,0
48.8108967,18,16880,0
48.8525633,18,16885,0
48.89423,18,16889,0
48.9358967,18,16894,0
48.9775633,18,16898,0
49.01923,18,16902,0
49.0608967,18,16905,0
49.1025633,18,16908,0
49.14423,18,16911,0
49.1858967,18,16914,0
49.2275633,18,16917,2
49.26923,18,16919,2
49.3108967,18,16921,0
49.3525633,17,16923,0
49.39423,17,16925,0
49.4358967,17,16927,0
49.4775633,17,16928,2
49.51923,17,16930,0
49.5608967,17,16931,0
49.6025633,17,16932,0
49.64423,17,16933,1
49.6858967,17,16934,1
49.7275633,17,16935,0
49.76923,17,16936,0
49.8108967,17,16937,1
49.8525633,17,16937,4
49.89423,17,16938,3
49.9358967,17,16939,6
49.9775633,17,16940,13
50.01923,17,16940,4
50.0608967,17,16941,28
50.1025633,17,16942,5
50.14423,17,16943,8
50.1858967,17,16944,2
50.2275633,17,16944,1
50.26923,17,16945,0
50.3108967,17,16947,0
50.3525633,17,16948,0
50.39423,17,16949,0
50.4358967,17,16951,0
50.4775633,17,16952,0
50.51923,17,16954,0
50.5608967,17,16956,0
50.6025633,17,16958,4
50.64423,17,16960,5
50.6858967,17,16963,5
50.7275633,17,16966,14
50.76923,17,16969,24
50.8108967,17,16972,47
50.8525633,17,16975,62
50.89423,17,16979,60
50.9358967,17,16983,18
50.9775633,17,16988,39
51.01923,17,16992,28
51.0608967,17,16997,11
51.1025633,17,17002,6
51.14423,17,17008,4
51.1858967,17,17013,2
51.2275633,17,17019,0
51.26923,17,17024,2
51.3108967,17,17030,8
51.3525633,17,17035,54
51.39423,17,17041,17
51.4358967,17,17046,6
51.4775633,17,17051,3
51.51923,17,17056,13
51.5608967,17,17061,22
51.6025633,17,17065,20
51.64423,17,17069,9
51.6858967,16,17073,4
51.7275633,16,17076,3
51.76923,16,17078,0
51.8108967,16,17080,5
51.8525633,16,17081,11
51.89423,16,17082,11
51.9358967,16,17082,7
51.9775633,16,17081,1
52.01923,16,17079,2
52.0608967,16,17077,2
52.1025633,16,17073,0
52.14423,16,17069,1
52.1858967,16,17065,2
52.2275633,16,17060,2
52.26923,16,17054,2
52.3108967,16,17048,1
52.3525633,16,17041,19
52.39423,16,17035,26
52.43589670000001,16,17028,26
52.47756329999999,16,17020,16
52.51923000000001,16,17013,36
52.56089670000001,16,17006,34
52.60256329999999,16,16998,13
52.64423000000001,16,16991,19
52.68589670000001,16,16984,0
52.72756329999999,16,16977,0
52.76923000000001,16,16970,0
52.81089670000001,16,16963,6
52.85256329999999,16,16957,0
52.89423000000001,16,16952,4
52.93589670000001,16,16947,12
52.97756329999999,16,16942,11
53.01923000000001,15,16938,39
53.06089670000001,15,16935,19
53.10256329999999,15,16932,9
53.14423000000001,15,16930,8
53.18589670000001,15,16929,1
53.22756329999999,15,16928,0
53.26923000000001,15,16927,0
53.31089670000001,15,16927,0
53.35256329999999,15,16927,1
53.39423000000001,15,16927,0
53.43589670000001,15,16928,0
53.47756329999999,15,16928,0
