time,births,population,reported_cases
44.01923,24,26595,0
44.0608967,24,26507,0
44.1025633,23,26432,0
44.14423,23,26368,0
44.1858967,23,26315,0
44.2275633,23,26273,2
44.26923,23,26241,0
44.3108967,23,26219,0
44.3525633,22,26206,0
44.39423,22,26202,2
44.4358967,22,26207,2
44.4775633,22,26219,0
44.51923,22,26240,2
44.5608967,22,26267,4
44.6025633,22,26301,5
44.64423,22,26341,0
44.6858967,22,26387,1
44.7275633,22,26438,0
44.76923,22,26494,0
44.8108967,22,26554,2
44.8525633,22,26618,25
44.89423,23,26686,19
44.9358967,23,26757,1
44.9775633,23,26830,34
45.01923,23,26905,7
45.0608967,23,26982,4
45.1025633,23,27061,11
45.14423,23,27141,25
45.1858967,23,27222,30
45.2275633,23,27305,34
45.26923,24,27388,48
45.3108967,24,27473,46
45.3525633,24,27558,21
45.39423,24,27643,13
45.4358967,24,27729,12
45.4775633,24,27816,17
45.51923,24,27902,0
45.5608967,24,27988,0
45.6025633,25,28074,0
45.64423,25,28159,2
45.6858967,25,28244,0
45.7275633,25,28328,0
45.76923,25,28412,0
45.8108967,25,28494,0
45.8525633,25,28575,0
45.89423,25,28655,0
45.9358967,25,28733,0
45.9775633,25,28810,0
46.01923,25,28884,0
46.0608967,25,28957,0
46.1025633,25,29029,0
46.14423,25,29099,0
46.1858967,25,29169,1
46.2275633,25,29239,2
46.26923,25,29308,0
46.3108967,25,29378,2
46.3525633,25,29449,0
46.39423,25,29520,0
46.4358967,25,29593,0
46.4775633,25,29668,2
46.51923,25,29744,0
46.5608967,25,29823,4
46.6025633,25,29905,4
46.64423,25,29990,2
46.6858967,25,30078,1
46.7275633,25,30170,0
46.76923,25,30267,9
46.8108967,25,30367,15
46.8525633,25,30473,37
46.89423,25,30584,35
46.9358967,24,30700,30
46.9775633,24,30822,12
47.01923,24,30950,9
47.0608967,24,31084,4
47.1025633,24,31223,19
47.14423,24,31366,8
47.1858967,24,31511,27
47.2275633,24,31658,29
47.26923,24,31806,15
47.3108967,24,31953,31
47.3525633,24,32099,8
47.39423,24,32243,18
47.4358967,23,32383,31
47.4775633,23,32518,14
47.51923,23,32647,3
47.5608967,23,32770,0
47.6025633,23,32885,4
47.64423,23,32992,0
47.6858967,23,33088,3
47.7275633,23,33174,0
47.76923,23,33247,0
47.8108967,23,33308,0
47.8525633,23,33354,2
47.89423,23,33386,0
47.9358967,23,33401,0
47.9775633,23,33399,0
48.01923,23,33378,0
48.0608967,22,33340,2
48.1025633,22,33285,1
48.14423,22,33214,16
48.1858967,22,33130,2
48.2275633,22,33034,3
48.26923,22,32926,7
48.3108967,22,32809,0
48.3525633,22,32684,0
48.39423,22,32553,1
48.4358967,22,32416,1
48.4775633,22,32276,9
48.51923,22,32133,0
48.5608967,22,31990,2
48.6025633,22,31847,1
48.64423,22,31706,4
48.6858967,22,31569,0
48.7275633,22,31437,0
48.76923,22,31312,0
48.8108967,22,31194,0
48.8525633,22,31086,0
48.89423,22,30989,0
48.9358967,22,30904,2
48.9775633,22,30832,3
49.01923,22,30776,20
49.0608967,22,30735,19
49.1025633,22,30709,105
49.14423,22,30696,127
49.1858967,22,30695,52
49.2275633,22,30706,40
49.26923,22,30728,87
49.3108967,22,30759,8
49.3525633,22,30798,4
49.39423,22,30845,4
49.4358967,22,30898,1
49.4775633,22,30956,0
49.51923,22,31019,0
49.5608967,22,31085,0
49.6025633,22,31154,1
49.64423,22,31223,2
49.6858967,22,31294,1
49.7275633,22,31363,0
49.76923,22,31431,0
49.8108967,22,31496,0
49.8525633,22,31558,0
49.89423,22,31614,0
49.9358967,22,31665,0
49.9775633,22,31709,0
50.01923,22,31746,0
50.0608967,22,31774,0
50.1025633,22,31796,0
50.14423,22,31811,0
50.1858967,22,31821,0
50.2275633,23,31826,0
50.26923,23,31827,4
50.3108967,23,31825,0
50.3525633,23,31821,1
50.39423,23,31816,3
50.4358967,23,31809,12
50.4775633,23,31803,15
50.51923,23,31798,68
50.5608967,23,31795,35
50.6025633,23,31795,39
50.64423,23,31798,5
50.6858967,23,31805,4
50.7275633,23,31817,0
50.76923,23,31836,0
50.8108967,23,31861,0
50.8525633,23,31893,0
50.89423,23,31934,0
50.9358967,23,31984,1
50.9775633,23,32043,4
51.01923,23,32114,4
51.0608967,23,32195,4
51.1025633,24,32287,0
51.14423,24,32387,8
51.1858967,24,32495,31
51.2275633,24,32611,4
51.26923,24,32734,39
51.3108967,24,32862,23
51.3525633,24,32995,13
51.39423,24,33132,8
51.4358967,24,33272,34
51.4775633,25,33415,3
51.51923,25,33558,2
51.5608967,25,33703,7
51.6025633,25,33847,12
51.64423,25,33990,1
51.6858967,25,34130,3
51.7275633,25,34268,0
51.76923,26,34403,0
51.8108967,26,34532,0
51.8525633,26,34657,0
51.89423,26,34775,1
51.9358967,26,34885,0
51.9775633,27,34988,0
52.01923,27,35082,0
52.0608967,27,35167,0
52.1025633,27,35244,1
52.14423,27,35314,0
52.1858967,28,35377,0
52.2275633,28,35434,1
52.26923,28,35487,0
52.3108967,28,35535,0
52.3525633,29,35579,2
52.39423,29,35621,0
52.43589670000001,29,35662,0
52.47756329999999,29,35701,0
52.51923000000001,29,35740,3
52.56089670000001,30,35779,14
52.60256329999999,30,35820,19
52.64423000000001,30,35863,6
52.68589670000001,30,35909,0
52.72756329999999,31,35959,0
52.76923000000001,31,36013,0
52.81089670000001,31,36072,2
52.85256329999999,31,36138,3
52.89423000000001,31,36210,2
52.93589670000001,32,36290,76
52.97756329999999,32,36379,67
53.01923000000001,32,36476,210
53.06089670000001,32,36583,215
53.10256329999999,32,36700,423
53.14423000000001,32,36824,301
53.18589670000001,33,36957,128
53.22756329999999,33,37098,17
53.26923000000001,33,37245,9
53.31089670000001,33,37400,8
53.35256329999999,33,37560,0
53.39423000000001,33,37727,4
53.43589670000001,33,37899,1
53.47756329999999,34,38076,4
53.51923000000001,34,38258,0
53.56089670000001,34,38443,0
53.60256329999999,34,38632,1
53.64423000000001,34,38824,0
53.68589670000001,34,39019,0
53.72756329999999,35,39217,0
