time,births,population,reported_cases
44.01923,10,10730,0
44.0608967,10,10730,0
44.1025633,10,10731,0
44.14423,10,10732,1
44.1858967,10,10733,0
44.2275633,10,10736,0
44.26923,10,10739,0
44.3108967,10,10742,3
44.3525633,10,10746,7
44.39423,10,10751,0
44.4358967,9,10756,2
44.4775633,9,10761,0
44.51923,9,10768,0
44.5608967,9,10774,0
44.6025633,9,10782,3
44.64423,9,10790,1
44.6858967,9,10798,6
44.7275633,9,10807,11
44.76923,9,10817,0
44.8108967,9,10827,5
44.8525633,9,10838,12
44.89423,9,10849,23
44.9358967,9,10861,79
44.9775633,9,10873,84
45.01923,9,10886,45
45.0608967,9,10900,15
45.1025633,9,10914,7
45.14423,9,10928,1
45.1858967,9,10943,0
45.2275633,9,10959,0
45.26923,10,10975,0
45.3108967,10,10992,0
45.3525633,10,11009,1
45.39423,10,11026,0
45.4358967,10,11044,1
45.4775633,10,11062,0
45.51923,10,11081,0
45.5608967,10,11100,0
45.6025633,10,11120,0
45.64423,10,11139,3
45.6858967,10,11160,5
45.7275633,10,11180,1
45.76923,11,11201,4
45.8108967,11,11222,2
45.8525633,11,11243,1
45.89423,11,11264,13
45.9358967,11,11286,44
45.9775633,11,11308,45
46.01923,11,11330,17
46.0608967,11,11353,4
46.1025633,11,11375,22
46.14423,11,11398,24
46.1858967,12,11420,10
46.2275633,12,11443,36
46.26923,12,11465,22
46.3108967,12,11487,5
46.3525633,12,11509,4
46.39423,12,11531,1
46.4358967,12,11553,0
46.4775633,12,11574,0
46.51923,12,11595,4
46.5608967,12,11615,4
46.6025633,12,11635,0
46.64423,12,11655,1
46.6858967,12,11673,0
46.7275633,12,11691,0
46.76923,12,11709,0
46.8108967,12,11725,0
46.8525633,12,11741,1
46.89423,12,11756,1
46.9358967,12,11770,0
46.9775633,12,11783,3
47.01923,12,11795,11
47.0608967,12,11807,6
47.1025633,12,11817,3
47.14423,12,11826,4
47.1858967,12,11834,3
47.2275633,12,11841,13
47.26923,12,11848,11
47.3108967,11,11854,4
47.3525633,11,11859,9
47.39423,11,11863,27
47.4358967,11,11867,3
47.4775633,11,11871,10
47.51923,11,11873,11
47.5608967,10,11876,13
47.6025633,10,11877,11
47.64423,10,11879,4
47.6858967,10,11880,1
47.7275633,10,11880,0
47.76923,10,11881,0
47.8108967,9,11881,0
47.8525633,9,11881,0
47.89423,9,11881,0
47.9358967,9,11880,0
47.9775633,9,11880,0
48.01923,9,11880,2
48.0608967,9,11880,0
48.1025633,9,11879,1
48.14423,9,11879,1
48.1858967,9,11879,0
48.2275633,9,11879,0
48.26923,9,11879,0
48.3108967,9,11879,2
48.3525633,9,11880,1
48.39423,9,11880,2
48.4358967,9,11881,4
48.4775633,9,11882,3
48.51923,9,11883,6
48.5608967,9,11884,0
48.6025633,9,11886,1
48.64423,9,11888,5
48.6858967,9,11890,4
48.7275633,10,11893,7
48.76923,10,11896,11
48.8108967,10,11899,46
48.8525633,10,11903,90
48.89423,10,11907,92
48.9358967,10,11912,35
48.9775633,10,11917,8
49.01923,10,11923,6
49.0608967,10,11929,6
49.1025633,10,11935,3
49.14423,10,11941,4
49.1858967,10,11948,5
49.2275633,10,11955,4
49.26923,10,11962,0
49.3108967,10,11969,0
49.3525633,10,11976,1
49.39423,10,11982,1
49.4358967,10,11988,1
49.4775633,10,11994,2
49.51923,10,12000,0
49.5608967,10,12004,0
49.6025633,10,12008,0
49.64423,10,12012,1
49.6858967,10,12015,0
49.7275633,10,12016,2
49.76923,10,12017,0
49.8108967,9,12017,1
49.8525633,9,12015,0
49.89423,9,12013,0
49.9358967,9,12009,0
49.9775633,9,12003,0
50.01923,9,11997,0
50.0608967,9,11988,0
50.1025633,9,11979,0
50.14423,9,11968,0
50.1858967,9,11957,1
50.2275633,9,11944,0
50.26923,9,11931,0
50.3108967,9,11918,0
50.3525633,9,11904,1
50.39423,9,11890,1
50.4358967,9,11876,0
50.4775633,9,11862,1
50.51923,9,11848,2
50.5608967,9,11835,4
50.6025633,9,11822,10
50.64423,9,11810,5
50.6858967,9,11799,0
50.7275633,9,11789,0
50.76923,9,11780,0
50.8108967,9,11772,0
50.8525633,9,11766,0
50.89423,9,11762,0
50.9358967,9,11760,1
50.9775633,9,11759,0
51.01923,9,11761,0
51.0608967,9,11765,4
51.1025633,9,11771,12
51.14423,9,11778,14
51.1858967,9,11787,27
51.2275633,9,11798,79
51.26923,9,11810,93
51.3108967,9,11823,43
51.3525633,9,11837,41
51.39423,9,11851,30
51.4358967,9,11866,17
51.4775633,9,11882,1
51.51923,9,11897,0
51.5608967,9,11913,4
51.6025633,9,11928,1
51.64423,8,11943,2
51.6858967,8,11957,1
51.7275633,8,11971,0
51.76923,8,11984,0
51.8108967,8,11996,0
51.8525633,8,12006,1
51.89423,8,12015,1
51.9358967,8,12022,0
51.9775633,8,12028,2
52.01923,8,12031,0
52.0608967,8,12033,0
52.1025633,8,12033,4
52.14423,8,12030,2
52.1858967,8,12027,8
52.2275633,8,12021,4
52.26923,8,12015,11
52.3108967,8,12007,12
52.3525633,8,11998,6
52.39423,8,11989,2
52.43589670000001,8,11978,6
52.47756329999999,8,11967,4
52.51923000000001,8,11955,4
52.56089670000001,8,11943,3
52.60256329999999,8,11931,0
52.64423000000001,8,11919,7
52.68589670000001,8,11907,3
52.72756329999999,8,11895,2
52.76923000000001,8,11883,0
52.81089670000001,8,11872,0
52.85256329999999,8,11861,0
52.89423000000001,8,11851,2
52.93589670000001,8,11842,1
52.97756329999999,8,11834,0
53.01923000000001,8,11827,2
53.06089670000001,8,11821,5
53.10256329999999,8,11817,8
53.14423000000001,8,11813,1
53.18589670000001,8,11811,4
53.22756329999999,8,11809,9
53.26923000000001,8,11809,24
53.31089670000001,8,11809,48
53.35256329999999,8,11810,26
53.39423000000001,8,11811,6
53.43589670000001,9,11813,5
53.47756329999999,9,11816,16
53.51923000000001,9,11819,9
53.56089670000001,9,11823,5
53.60256329999999,9,11827,5
53.64423000000001,9,11831,4
53.68589670000001,9,11836,3
53.72756329999999,9,11840,2
53.76923000000001,9,11845,0
53.81089670000001,9,11850,0
53.85256329999999,9,11855,0
53.89423000000001,9,11859,0
53.93589670000001,9,11864,0
53.97756329999999,9,11868,0
54.01923000000001,9,11872,13
54.06089670000001,9,11875,12
54.10256329999999,9,11879,4
54.14423000000001,9,11882,13
54.18589670000001,9,11884,13
54.22756329999999,9,11887,4
54.26923000000001,9,11889,13
54.31089670000001,9,11890,0
54.35256329999999,9,11892,1
54.39423000000001,9,11893,1
54.43589670000001,9,11894,1
54.47756329999999,9,11894,2
54.51923000000001,9,11895,0
54.56089670000001,9,11895,0
54.60256329999999,8,11895,0
54.64423000000001,8,11894,0
54.68589670000001,8,11893,0
54.72756329999999,8,11892,0
54.76923000000001,8,11891,0
54.81089670000001,8,11890,0
54.85256329999999,8,11888,0
54.89423000000001,8,11886,0
54.93589670000001,8,11884,0
54.97756329999999,8,11881,0
55.01923000000001,8,11879,0
55.06089670000001,8,11876,5
55.10256329999999,8,11873,38
55.14423000000001,8,11870,32
55.18589670000001,8,11866,25
55.22756329999999,8,11863,3
55.26923000000001,8,11860,9
55.31089670000001,8,11856,5
55.35256329999999,8,11852,0
55.39423000000001,8,11848,4
55.43589670000001,8,11845,3
55.47756329999999,8,11841,2
55.51923000000001,8,11837,0
55.56089670000001,8,11833,4
55.60256329999999,8,11830,6
55.64423000000001,8,11826,4
55.68589670000001,8,11822,4
55.72756329999999,8,11819,5
55.76923000000001,8,11816,4
55.81089670000001,8,11812,6
55.85256329999999,8,11809,1
55.89423000000001,8,11806,2
55.93589670000001,8,11804,1
55.97756329999999,8,11801,0
56.01923000000001,8,11799,2
56.06089670000001,8,11797,0
56.10256329999999,8,11795,1
56.14423000000001,8,11794,1
56.18589670000001,8,11793,1
56.22756329999999,8,11792,1
56.26923000000001,8,11791,0
56.31089670000001,8,11790,4
56.35256329999999,8,11790,0
56.39423000000001,8,11790,0
56.43589670000001,8,11790,0
56.47756329999999,8,11791,0
56.51923000000001,8,11792,0
56.56089670000001,9,11793,0
56.60256329999999,9,11794,0
56.64423000000001,9,11796,1
56.68589670000001,9,11798,0
56.72756329999999,9,11800,0
56.76923000000001,9,11802,0
56.81089670000001,9,11805,25
56.85256329999999,9,11808,19
56.89423000000001,9,11811,9
56.93589670000001,9,11814,30
56.97756329999999,9,11818,52
57.01923000000001,9,11822,108
57.06089670000001,9,11826,50
57.10256329999999,9,11831,33
57.14423000000001,9,11835,42
57.18589670000001,9,11840,12
57.22756329999999,9,11845,7
57.26923000000001,9,11850,4
57.31089670000001,9,11856,2
57.35256329999999,9,11861,5
57.39423000000001,9,11867,11
57.43589670000001,9,11873,16
57.47756329999999,9,11879,4
57.51923000000001,9,11884,2
57.56089670000001,9,11890,4
57.60256329999999,9,11896,0
57.64423000000001,9,11902,0
57.68589670000001,9,11908,0
57.72756329999999,9,11914,0
57.76923000000001,9,11920,0
57.81089670000001,9,11925,0
57.85256329999999,9,11931,0
57.89423000000001,9,11937,0
57.93589670000001,9,11942,0
57.97756329999999,9,11947,0
58.01923000000001,9,11952,0
58.06089670000001,9,11957,0
58.10256329999999,9,11962,0
58.14423000000001,9,11967,0
58.18589670000001,9,11971,0
58.22756329999999,9,11976,0
58.26923000000001,9,11980,0
58.31089670000001,9,11984,0
58.35256329999999,9,11988,0
58.39423000000001,9,11992,0
58.43589670000001,9,11997,0
58.47756329999999,9,12001,4
58.51923000000001,9,12005,1
58.56089670000001,9,12009,3
58.60256329999999,9,12013,0
58.64423000000001,9,12018,0
58.68589670000001,9,12022,1
58.72756329999999,9,12027,0
58.76923000000001,9,12031,0
58.81089670000001,9,12036,0
58.85256329999999,9,12041,0
58.89423000000001,9,12046,1
58.93589670000001,9,12051,1
58.97756329999999,9,12057,5
59.01923000000001,10,12063,32
59.06089670000001,10,12069,0
59.10256329999999,10,12075,3
59.14423000000001,10,12081,4
59.18589670000001,10,12087,30
59.22756329999999,10,12094,47
59.26923000000001,10,12101,17
59.31089670000001,10,12107,31
59.35256329999999,10,12114,33
59.39423000000001,10,12120,31
59.43589670000001,10,12127,16
59.47756329999999,10,12133,4
59.51923000000001,10,12139,0
59.56089670000001,10,12145,0
59.60256329999999,10,12151,2
59.64423000000001,10,12157,0
59.68589670000001,10,12162,0
59.72756329999999,10,12167,0
59.76923000000001,10,12172,0
59.81089670000001,10,12176,0
59.85256329999999,10,12180,0
59.89423000000001,10,12183,0
59.93589670000001,10,12186,0
59.97756329999999,10,12189,0
60.01923000000001,10,12191,0
60.06089670000001,10,12192,0
60.10256329999999,10,12193,0
60.14423000000001,10,12194,0
60.18589670000001,10,12194,1
60.22756329999999,10,12194,0
60.26923000000001,10,12193,0
60.31089670000001,10,12192,0
60.35256329999999,10,12191,1
60.39423000000001,10,12190,0
60.43589670000001,10,12189,0
60.47756329999999,10,12187,0
60.51923000000001,10,12186,0
60.56089670000001,10,12184,0
60.60256329999999,10,12183,0
60.64423000000001,10,12181,0
60.68589670000001,9,12180,0
60.72756329999999,9,12179,0
60.76923000000001,9,12178,0
60.81089670000001,9,12178,2
60.85256329999999,9,12178,2
60.89423000000001,9,12178,0
60.93589670000001,9,12178,9
60.97756329999999,9,12179,4
61.01923000000001,9,12181,4
61.06089670000001,9,12183,2
61.10256329999999,9,12185,1
61.14423000000001,9,12188,5
61.18589670000001,9,12191,3
61.22756329999999,9,12195,6
61.26923000000001,9,12199,32
61.31089670000001,9,12204,15
61.35256329999999,9,12209,39
61.39423000000001,9,12214,44
61.43589670000001,9,12219,34
61.47756329999999,9,12225,5
61.51923000000001,9,12231,0
61.56089670000001,9,12237,4
61.60256329999999,9,12243,4
61.64423000000001,9,12250,3
61.68589670000001,9,12257,5
61.72756329999999,9,12264,19
61.76923000000001,9,12270,56
61.81089670000001,10,12278,12
61.85256329999999,10,12285,10
61.89423000000001,10,12292,4
61.93589670000001,10,12299,0
61.97756329999999,10,12306,0
62.01923000000001,10,12313,0
62.06089670000001,10,12320,0
62.10256329999999,10,12327,0
62.14423000000001,10,12334,0
62.18589670000001,10,12341,0
62.22756329999999,10,12348,0
62.26923000000001,10,12355,0
62.31089670000001,10,12361,0
62.35256329999999,10,12368,0
62.39423000000001,10,12374,0
62.43589670000001,10,12380,0
62.47756329999999,10,12386,0
62.51923000000001,10,12392,0
62.56089670000001,10,12397,0
62.60256329999999,10,12403,0
62.64423000000001,10,12408,1
62.68589670000001,10,12412,1
62.72756329999999,10,12417,4
62.76923000000001,10,12421,0
62.81089670000001,10,12425,0
62.85256329999999,10,12429,0
62.89423000000001,10,12433,0
62.93589670000001,10,12436,3
62.97756329999999,10,12439,4
63.01923000000001,10,12441,45
63.06089670000001,10,12443,16
63.10256329999999,10,12445,56
63.14423000000001,10,12446,57
63.18589670000001,10,12447,37
63.22756329999999,10,12448,9
63.26923000000001,10,12448,11
63.31089670000001,10,12448,1
63.35256329999999,10,12448,8
63.39423000000001,10,12447,8
63.43589670000001,10,12446,20
63.47756329999999,10,12444,16
63.51923000000001,10,12442,19
63.56089670000001,10,12440,9
63.60256329999999,10,12437,6
63.64423000000001,10,12434,2
63.68589670000001,10,12430,0
63.72756329999999,10,12426,5
63.76923000000001,10,12422,0
63.81089670000001,10,12417,0
63.85256329999999,10,12412,6
63.89423000000001,10,12406,1
63.93589670000001,10,12400,0
63.97756329999999,10,12394,0
