time,births,population,reported_cases
44.01923,54,58959,0
44.0608967,53,58843,0
44.1025633,53,58751,1
44.14423,52,58681,3
44.1858967,52,58633,8
44.2275633,51,58605,17
44.26923,51,58596,25
44.3108967,50,58607,12
44.3525633,50,58634,22
44.39423,50,58679,10
44.4358967,50,58740,9
44.4775633,49,58815,10
44.51923,49,58905,4
44.5608967,49,59008,10
44.6025633,49,59123,0
44.64423,49,59249,0
44.6858967,49,59386,1
44.7275633,49,59532,0
44.76923,49,59687,0
44.8108967,49,59850,2
44.8525633,49,60019,1
44.89423,49,60195,1
44.9358967,49,60375,10
44.9775633,50,60559,35
45.01923,50,60747,132
45.0608967,50,60937,110
45.1025633,50,61128,170
45.14423,51,61322,123
45.1858967,51,61515,106
45.2275633,51,61709,124
45.26923,52,61903,91
45.3108967,52,62095,52
45.3525633,52,62287,19
45.39423,53,62476,17
45.4358967,53,62662,10
45.4775633,53,62846,2
45.51923,54,63025,0
45.5608967,54,63201,4
45.6025633,54,63371,1
45.64423,55,63537,1
45.6858967,55,63696,0
45.7275633,56,63849,0
45.76923,56,63995,0
45.8108967,56,64133,0
45.8525633,57,64263,0
45.89423,57,64384,2
45.9358967,58,64497,0
45.9775633,58,64599,0
46.01923,58,64691,0
46.0608967,59,64773,0
46.1025633,59,64845,1
46.14423,59,64908,0
46.1858967,60,64962,0
46.2275633,60,65007,0
46.26923,60,65046,0
46.3108967,60,65077,2
46.3525633,61,65102,1
46.39423,61,65122,0
46.4358967,61,65136,0
46.4775633,61,65145,1
46.51923,62,65150,7
46.5608967,62,65152,6
46.6025633,62,65150,9
46.64423,62,65147,12
46.6858967,62,65141,5
46.7275633,62,65135,2
46.76923,62,65127,0
46.8108967,62,65120,0
46.8525633,62,65113,8
46.89423,62,65107,9
46.9358967,62,65102,7
46.9775633,62,65100,20
47.01923,62,65101,84
47.0608967,62,65104,55
47.1025633,62,65110,182
47.14423,62,65119,154
47.1858967,61,65131,63
47.2275633,61,65145,32
47.26923,61,65161,16
47.3108967,61,65179,8
47.3525633,60,65198,18
47.39423,60,65220,8
47.4358967,60,65243,36
47.4775633,60,65267,3
47.51923,59,65293,2
47.5608967,59,65319,0
47.6025633,59,65347,0
47.64423,58,65375,0
47.6858967,58,65404,0
47.7275633,58,65433,1
47.76923,57,65462,0
47.8108967,57,65491,0
47.8525633,56,65520,0
47.89423,56,65549,0
47.9358967,56,65578,0
47.9775633,55,65605,0
