time,births,population,reported_cases
44.01923,3,4647,0
44.0608967,4,4703,0
44.1025633,4,4757,0
44.14423,4,4809,0
44.1858967,4,4858,0
44.2275633,4,4906,0
44.26923,4,4952,0
44.3108967,4,4996,0
44.3525633,4,5038,0
44.39423,4,5078,0
44.4358967,4,5117,0
44.4775633,4,5153,0
44.51923,4,5188,0
44.5608967,4,5220,0
44.6025633,4,5251,0
44.64423,4,5280,0
44.6858967,4,5308,0
44.7275633,4,5333,0
44.76923,4,5357,0
44.8108967,4,5379,0
44.8525633,4,5399,0
44.89423,4,5418,0
44.9358967,4,5434,0
44.9775633,4,5450,0
45.01923,4,5463,0
45.0608967,4,5475,0
45.1025633,4,5485,0
45.14423,4,5494,0
45.1858967,4,5501,0
45.2275633,4,5506,0
45.26923,4,5511,0
45.3108967,4,5513,0
45.3525633,4,5515,2
45.39423,3,5515,0
45.4358967,3,5515,4
45.4775633,3,5513,0
45.51923,3,5510,0
45.5608967,3,5506,0
45.6025633,3,5500,0
45.64423,3,5494,0
45.6858967,3,5487,0
45.7275633,3,5480,0
45.76923,3,5471,0
45.8108967,3,5462,0
45.8525633,3,5452,0
45.89423,3,5441,0
45.9358967,3,5430,0
45.9775633,3,5419,0
46.01923,3,5406,0
46.0608967,4,5394,0
46.1025633,4,5381,0
46.14423,4,5368,0
46.1858967,4,5354,0
46.2275633,4,5341,0
46.26923,4,5328,0
46.3108967,4,5315,0
46.3525633,4,5302,0
46.39423,4,5289,0
46.4358967,4,5277,0
46.4775633,4,5265,0
46.51923,4,5254,0
46.5608967,4,5244,0
46.6025633,4,5234,0
46.64423,4,5226,0
46.6858967,4,5218,0
46.7275633,4,5211,0
46.76923,4,5206,0
46.8108967,5,5201,0
46.8525633,5,5198,0
46.89423,5,5197,0
46.9358967,5,5197,0
46.9775633,5,5198,0
47.01923,5,5202,0
47.0608967,5,5207,1
47.1025633,5,5213,0
47.14423,5,5221,0
47.1858967,5,5230,0
47.2275633,5,5240,0
47.26923,5,5251,0
47.3108967,5,5262,0
47.3525633,4,5274,0
47.39423,4,5286,0
47.4358967,4,5299,1
47.4775633,4,5311,9
47.51923,4,5324,9
47.5608967,4,5336,0
47.6025633,4,5347,0
47.64423,4,5358,0
47.6858967,4,5368,0
47.7275633,4,5377,0
47.76923,4,5385,0
47.8108967,4,5391,0
47.8525633,4,5397,0
47.89423,4,5400,0
47.9358967,4,5402,0
47.9775633,4,5401,0
48.01923,4,5399,0
48.0608967,4,5394,0
48.1025633,4,5387,1
48.14423,4,5379,3
48.1858967,4,5368,0
48.2275633,4,5357,0
48.26923,4,5343,0
48.3108967,4,5329,0
48.3525633,4,5314,0
48.39423,4,5298,0
48.4358967,4,5281,0
48.4775633,4,5264,0
48.51923,4,5246,2
48.5608967,4,5228,0
48.6025633,4,5210,4
48.64423,4,5192,1
48.6858967,4,5175,0
48.7275633,4,5158,0
48.76923,4,5142,0
48.8108967,4,5126,0
48.8525633,4,5111,0
48.89423,4,5098,0
48.9358967,4,5086,0
