time,births,population,reported_cases
44.01923,98,132035,2
44.0608967,97,131411,3
44.1025633,97,130896,9
44.14423,96,130483,8
44.1858967,95,130170,4
44.2275633,95,129951,4
44.26923,95,129823,7
44.3108967,94,129781,2
44.3525633,94,129821,1
44.39423,94,129939,1
44.4358967,94,130130,0
44.4775633,94,130390,3
44.51923,94,130715,11
44.5608967,94,131101,4
44.6025633,94,131544,1
44.64423,95,132038,0
44.6858967,95,132580,0
44.7275633,95,133166,0
44.76923,96,133791,4
44.8108967,96,134451,2
44.8525633,97,135142,4
44.89423,97,135859,11
44.9358967,98,136599,18
44.9775633,99,137356,17
45.01923,99,138127,29
45.0608967,100,138909,30
45.1025633,101,139698,152
45.14423,101,140492,326
45.1858967,102,141290,283
45.2275633,103,142087,318
45.26923,104,142882,195
45.3108967,104,143673,189
45.3525633,105,144456,124
45.39423,106,145229,141
45.4358967,107,145991,82
45.4775633,108,146737,128
45.51923,108,147466,51
45.5608967,109,148176,17
45.6025633,110,148863,18
45.64423,111,149526,9
45.6858967,112,150161,1
45.7275633,112,150767,2
45.76923,113,151340,2
45.8108967,114,151879,1
45.8525633,114,152381,3
45.89423,115,152843,2
45.9358967,116,153262,7
45.9775633,116,153637,6
46.01923,117,153965,0
46.0608967,117,154246,2
46.1025633,118,154483,1
46.14423,118,154678,0
46.1858967,119,154834,1
46.2275633,119,154954,2
46.26923,119,155041,11
46.3108967,119,155098,8
46.3525633,120,155128,12
46.39423,120,155133,8
46.4358967,120,155117,28
46.4775633,120,155081,43
46.51923,120,155030,27
46.5608967,120,154965,46
46.6025633,120,154890,52
46.64423,120,154807,19
46.6858967,120,154720,5
46.7275633,120,154631,5
46.76923,119,154542,9
46.8108967,119,154458,32
46.8525633,119,154380,59
46.89423,118,154312,48
46.9358967,118,154256,50
46.9775633,117,154215,44
47.01923,117,154192,51
47.0608967,116,154188,40
47.1025633,116,154201,153
47.14423,115,154231,92
47.1858967,114,154276,83
47.2275633,113,154335,69
47.26923,113,154407,37
47.3108967,112,154490,42
47.3525633,111,154583,41
47.39423,110,154685,66
47.4358967,109,154795,70
47.4775633,109,154911,57
47.51923,108,155033,29
47.5608967,107,155158,7
47.6025633,106,155286,19
47.64423,105,155415,18
47.6858967,105,155545,7
47.7275633,104,155674,1
47.76923,103,155800,2
47.8108967,102,155922,0
47.8525633,102,156040,14
47.89423,101,156152,16
47.9358967,101,156256,10
47.9775633,100,156352,17
48.01923,100,156438,64
48.0608967,99,156514,40
48.1025633,99,156581,64
48.14423,99,156639,163
48.1858967,98,156689,205
48.2275633,98,156732,172
48.26923,98,156768,115
48.3108967,98,156798,66
48.3525633,98,156824,62
48.39423,98,156845,61
48.4358967,98,156863,20
48.4775633,98,156878,19
48.51923,98,156891,22
48.5608967,98,156902,16
48.6025633,98,156913,23
48.64423,98,156924,19
48.6858967,98,156936,10
48.7275633,98,156950,4
48.76923,98,156966,9
48.8108967,98,156985,3
48.8525633,99,157008,13
48.89423,99,157035,21
48.9358967,99,157068,26
48.9775633,99,157106,13
49.01923,99,157152,11
49.0608967,100,157204,28
49.1025633,100,157262,66
49.14423,100,157325,135
49.1858967,100,157392,161
49.2275633,100,157462,168
49.26923,100,157534,155
49.3108967,101,157608,115
49.3525633,101,157682,64
49.39423,101,157755,85
49.4358967,101,157827,87
49.4775633,101,157897,50
49.51923,101,157963,31
49.5608967,101,158026,15
49.6025633,101,158083,16
49.64423,101,158134,8
49.6858967,101,158179,0
49.7275633,101,158215,1
49.76923,101,158243,4
49.8108967,101,158262,0
49.8525633,101,158270,2
49.89423,101,158266,0
49.9358967,101,158250,0
49.9775633,101,158221,4
50.01923,100,158178,0
50.0608967,100,158121,20
50.1025633,100,158051,14
50.14423,100,157970,2
50.1858967,99,157878,4
50.2275633,99,157776,39
50.26923,99,157667,18
50.3108967,98,157550,60
50.3525633,98,157428,64
50.39423,98,157302,115
50.4358967,97,157172,203
50.4775633,97,157040,83
50.51923,96,156907,36
50.5608967,96,156775,55
50.6025633,96,156644,36
50.64423,95,156516,24
50.6858967,95,156391,9
50.7275633,94,156272,2
50.76923,94,156159,2
50.8108967,93,156053,1
50.8525633,93,155956,9
50.89423,93,155869,18
50.9358967,92,155793,96
50.9775633,92,155729,76
51.01923,91,155678,127
51.0608967,91,155642,86
51.1025633,91,155617,135
51.14423,90,155605,229
51.1858967,90,155604,255
51.2275633,90,155612,212
51.26923,89,155629,162
51.3108967,89,155655,88
51.3525633,89,155687,69
51.39423,89,155726,76
51.4358967,88,155770,72
51.4775633,88,155818,38
51.51923,88,155870,36
51.5608967,88,155923,19
51.6025633,88,155979,19
51.64423,87,156035,3
51.6858967,87,156090,2
51.7275633,87,156144,1
51.76923,87,156196,0
51.8108967,87,156245,0
51.8525633,87,156290,0
51.89423,87,156329,2
51.9358967,87,156363,6
51.9775633,87,156389,4
52.01923,87,156408,2
52.0608967,87,156418,1
52.1025633,87,156421,12
52.14423,87,156416,15
52.1858967,87,156405,18
52.2275633,87,156387,18
52.26923,87,156364,9
52.3108967,87,156335,21
52.3525633,87,156301,6
52.39423,87,156263,36
52.43589670000001,87,156221,30
52.47756329999999,87,156175,23
52.51923000000001,88,156127,8
52.56089670000001,88,156075,6
52.60256329999999,88,156022,9
52.64423000000001,88,155967,9
52.68589670000001,88,155911,13
52.72756329999999,88,155855,9
52.76923000000001,88,155798,9
52.81089670000001,88,155741,24
52.85256329999999,88,155685,111
52.89423000000001,88,155630,162
52.93589670000001,89,155577,138
52.97756329999999,89,155526,107
53.01923000000001,89,155478,291
53.06089670000001,89,155433,360
53.10256329999999,89,155390,562
53.14423000000001,89,155349,376
53.18589670000001,89,155311,239
53.22756329999999,89,155275,106
53.26923000000001,89,155241,71
53.31089670000001,89,155209,51
53.35256329999999,89,155178,7
53.39423000000001,89,155150,2
53.43589670000001,89,155122,7
53.47756329999999,89,155095,6
53.51923000000001,89,155070,0
53.56089670000001,88,155046,4
53.60256329999999,88,155022,4
53.64423000000001,88,154999,0
53.68589670000001,88,154976,0
53.72756329999999,88,154953,0
53.76923000000001,88,154931,0
53.81089670000001,88,154908,0
53.85256329999999,88,154885,0
53.89423000000001,88,154862,1
53.93589670000001,88,154838,1
53.97756329999999,88,154814,0
54.01923000000001,87,154788,0
54.06089670000001,87,154762,0
54.10256329999999,87,154735,1
54.14423000000001,87,154706,0
54.18589670000001,87,154677,1
54.22756329999999,87,154648,2
54.26923000000001,87,154617,0
54.31089670000001,87,154586,4
54.35256329999999,87,154554,1
54.39423000000001,86,154521,1
54.43589670000001,86,154488,2
54.47756329999999,86,154455,0
54.51923000000001,86,154420,0
54.56089670000001,86,154386,2
54.60256329999999,86,154350,2
54.64423000000001,86,154315,4
54.68589670000001,86,154279,1
54.72756329999999,86,154243,0
54.76923000000001,86,154206,0
54.81089670000001,86,154169,0
54.85256329999999,86,154132,1
54.89423000000001,86,154095,3
54.93589670000001,86,154058,8
54.97756329999999,86,154020,7
55.01923000000001,86,153983,33
55.06089670000001,86,153945,31
55.10256329999999,86,153908,64
55.14423000000001,86,153870,72
55.18589670000001,86,153833,114
55.22756329999999,87,153796,175
55.26923000000001,87,153759,315
55.31089670000001,87,153722,312
55.35256329999999,87,153686,195
55.39423000000001,87,153650,174
55.43589670000001,87,153615,210
55.47756329999999,87,153580,111
