time,births,population,reported_cases
44.01923,28,28641,0
44.0608967,28,28730,2
44.1025633,28,28819,2
44.14423,28,28908,1
44.1858967,28,28996,3
44.2275633,28,29083,3
44.26923,27,29170,0
44.3108967,27,29257,4
44.3525633,27,29342,0
44.39423,27,29427,0
44.4358967,27,29511,1
44.4775633,27,29594,0
44.51923,27,29675,0
44.5608967,27,29756,0
44.6025633,27,29835,0
44.64423,27,29913,1
44.6858967,26,29989,1
44.7275633,26,30064,0
44.76923,26,30137,0
44.8108967,26,30209,0
44.8525633,26,30279,0
44.89423,26,30347,1
44.9358967,26,30413,3
44.9775633,26,30476,1
45.01923,26,30538,0
45.0608967,26,30598,2
45.1025633,26,30655,33
45.14423,26,30710,152
45.1858967,26,30763,195
45.2275633,26,30814,101
45.26923,26,30863,33
45.3108967,26,30910,15
45.3525633,26,30954,1
45.39423,26,30996,0
45.4358967,27,31036,1
45.4775633,27,31074,0
45.51923,27,31110,0
45.5608967,27,31144,0
45.6025633,27,31175,0
45.64423,27,31205,1
45.6858967,27,31232,1
45.7275633,27,31257,0
45.76923,27,31280,0
45.8108967,27,31301,0
45.8525633,28,31320,1
45.89423,28,31337,0
45.9358967,28,31352,0
45.9775633,28,31364,0
46.01923,28,31375,0
46.0608967,28,31383,2
46.1025633,28,31390,1
46.14423,29,31395,0
46.1858967,29,31398,0
46.2275633,29,31401,0
46.26923,29,31402,0
46.3108967,29,31403,0
46.3525633,29,31403,1
46.39423,29,31402,0
46.4358967,29,31402,0
46.4775633,30,31401,0
46.51923,30,31400,0
46.5608967,30,31400,0
46.6025633,30,31400,1
46.64423,30,31402,4
46.6858967,30,31404,0
46.7275633,30,31407,0
46.76923,30,31411,0
46.8108967,30,31417,0
46.8525633,30,31425,0
46.89423,30,31435,1
46.9358967,30,31447,15
46.9775633,30,31461,37
47.01923,30,31478,28
47.0608967,30,31497,18
47.1025633,30,31519,13
47.14423,30,31543,7
47.1858967,30,31568,8
47.2275633,29,31596,10
47.26923,29,31625,2
47.3108967,29,31655,8
47.3525633,29,31686,22
47.39423,29,31718,39
47.4358967,29,31751,26
47.4775633,28,31784,30
47.51923,28,31817,5
47.5608967,28,31850,0
47.6025633,28,31884,6
47.64423,28,31916,10
47.6858967,28,31949,1
47.7275633,27,31980,0
47.76923,27,32010,7
47.8108967,27,32039,0
47.8525633,27,32067,0
47.89423,27,32093,4
47.9358967,27,32117,3
47.9775633,27,32139,4
48.01923,27,32159,2
48.0608967,27,32176,0
48.1025633,27,32191,4
48.14423,27,32205,10
48.1858967,27,32216,4
48.2275633,27,32226,5
48.26923,27,32234,17
48.3108967,27,32240,10
48.3525633,27,32246,4
48.39423,27,32250,16
48.4358967,27,32253,16
48.4775633,27,32256,6
48.51923,27,32258,15
48.5608967,27,32259,5
48.6025633,28,32260,1
48.64423,28,32260,1
48.6858967,28,32261,0
48.7275633,28,32262,0
48.76923,28,32263,0
48.8108967,28,32264,0
48.8525633,28,32266,0
48.89423,28,32269,0
48.9358967,28,32273,0
48.9775633,28,32277,0
49.01923,28,32283,0
49.0608967,28,32290,1
49.1025633,28,32298,8
49.14423,28,32306,16
49.1858967,28,32316,12
49.2275633,28,32326,3
49.26923,27,32336,7
49.3108967,27,32347,4
49.3525633,27,32358,4
49.39423,27,32369,3
49.4358967,27,32380,5
49.4775633,27,32391,5
49.51923,26,32401,4
49.5608967,26,32411,0
49.6025633,26,32420,0
49.64423,26,32428,0
49.6858967,26,32435,0
49.7275633,25,32440,0
49.76923,25,32445,0
49.8108967,25,32448,0
49.8525633,25,32450,0
49.89423,25,32449,0
49.9358967,25,32447,0
49.9775633,24,32443,0
50.01923,24,32437,0
50.0608967,24,32428,2
50.1025633,24,32418,5
50.14423,24,32406,1
50.1858967,24,32392,0
50.2275633,24,32377,0
50.26923,24,32361,0
50.3108967,24,32344,0
50.3525633,23,32326,1
50.39423,23,32307,0
50.4358967,23,32288,1
50.4775633,23,32269,2
50.51923,23,32250,20
50.5608967,23,32231,40
50.6025633,23,32213,10
50.64423,23,32196,19
50.6858967,23,32179,8
50.7275633,23,32163,28
50.76923,23,32148,37
50.8108967,23,32135,122
50.8525633,23,32124,243
50.89423,23,32115,130
50.9358967,23,32107,73
50.9775633,23,32102,57
51.01923,23,32099,7
51.0608967,23,32099,7
51.1025633,23,32101,1
51.14423,22,32105,2
51.1858967,22,32112,1
51.2275633,22,32120,0
51.26923,22,32130,0
51.3108967,22,32142,0
51.3525633,22,32156,4
51.39423,22,32171,2
51.4358967,22,32188,1
51.4775633,22,32205,3
51.51923,22,32224,2
51.5608967,22,32244,0
51.6025633,22,32265,0
51.64423,22,32286,0
51.6858967,22,32308,1
51.7275633,22,32331,0
51.76923,21,32353,0
51.8108967,21,32376,0
51.8525633,21,32399,0
51.89423,21,32423,0
51.9358967,21,32445,0
51.9775633,21,32468,0
52.01923,21,32490,4
52.0608967,21,32512,9
52.1025633,21,32533,26
52.14423,21,32554,18
52.1858967,21,32574,3
52.2275633,21,32593,0
52.26923,22,32612,1
52.3108967,22,32630,0
52.3525633,22,32647,0
52.39423,22,32664,6
52.43589670000001,22,32680,2
52.47756329999999,22,32695,0
52.51923000000001,22,32709,1
52.56089670000001,22,32723,3
52.60256329999999,22,32736,0
52.64423000000001,22,32748,2
52.68589670000001,22,32759,0
52.72756329999999,22,32769,0
52.76923000000001,22,32778,2
52.81089670000001,22,32786,0
52.85256329999999,22,32793,0
52.89423000000001,22,32799,0
52.93589670000001,22,32804,0
52.97756329999999,22,32808,0
53.01923000000001,23,32811,4
53.06089670000001,23,32813,13
53.10256329999999,23,32814,82
53.14423000000001,23,32814,161
53.18589670000001,23,32813,228
53.22756329999999,23,32811,173
53.26923000000001,23,32808,63
53.31089670000001,23,32805,6
53.35256329999999,23,32801,3
53.39423000000001,23,32797,5
53.43589670000001,23,32792,2
53.47756329999999,23,32787,3
53.51923000000001,23,32782,0
53.56089670000001,23,32776,2
53.60256329999999,23,32770,0
53.64423000000001,23,32764,0
53.68589670000001,23,32758,0
53.72756329999999,23,32752,0
53.76923000000001,23,32747,0
53.81089670000001,23,32741,0
53.85256329999999,23,32736,0
53.89423000000001,23,32731,0
53.93589670000001,23,32726,0
53.97756329999999,23,32722,0
54.01923000000001,23,32718,0
54.06089670000001,23,32715,0
54.10256329999999,23,32713,0
54.14423000000001,23,32711,0
54.18589670000001,23,32710,0
54.22756329999999,23,32709,2
54.26923000000001,23,32709,0
54.31089670000001,23,32710,0
54.35256329999999,23,32711,0
54.39423000000001,23,32713,1
54.43589670000001,23,32716,0
54.47756329999999,23,32719,0
54.51923000000001,23,32723,0
54.56089670000001,24,32728,2
54.60256329999999,24,32733,1
54.64423000000001,24,32739,0
54.68589670000001,24,32746,0
54.72756329999999,24,32753,0
54.76923000000001,24,32762,0
54.81089670000001,24,32770,0
54.85256329999999,24,32780,3
54.89423000000001,24,32790,0
54.93589670000001,24,32801,0
54.97756329999999,24,32813,0
55.01923000000001,24,32826,0
55.06089670000001,24,32839,0
55.10256329999999,24,32853,0
55.14423000000001,24,32868,2
55.18589670000001,24,32883,0
55.22756329999999,24,32899,0
55.26923000000001,24,32915,0
55.31089670000001,24,32931,4
55.35256329999999,24,32948,1
55.39423000000001,24,32965,7
55.43589670000001,24,32982,23
55.47756329999999,24,32999,25
55.51923000000001,24,33016,57
55.56089670000001,24,33033,104
55.60256329999999,24,33049,100
55.64423000000001,24,33066,55
55.68589670000001,24,33082,37
55.72756329999999,24,33098,13
55.76923000000001,24,33114,7
55.81089670000001,24,33129,26
55.85256329999999,24,33144,32
55.89423000000001,24,33158,39
55.93589670000001,24,33171,39
55.97756329999999,24,33184,39
56.01923000000001,24,33195,24
56.06089670000001,24,33206,21
56.10256329999999,24,33216,12
56.14423000000001,24,33226,3
56.18589670000001,24,33235,1
56.22756329999999,24,33243,23
56.26923000000001,24,33251,65
56.31089670000001,24,33258,20
56.35256329999999,24,33265,31
56.39423000000001,25,33272,75
56.43589670000001,25,33278,71
56.47756329999999,25,33284,52
56.51923000000001,25,33290,11
56.56089670000001,25,33296,24
56.60256329999999,25,33302,10
56.64423000000001,25,33308,0
56.68589670000001,25,33314,3
56.72756329999999,26,33320,0
56.76923000000001,26,33327,0
56.81089670000001,26,33334,0
56.85256329999999,26,33341,0
56.89423000000001,26,33348,0
56.93589670000001,26,33356,0
56.97756329999999,26,33365,0
57.01923000000001,26,33374,2
