time,births,population,reported_cases
44.01923,10,14051,0
44.0608967,10,14059,0
44.1025633,10,14074,3
44.14423,9,14095,0
44.1858967,9,14122,1
44.2275633,9,14154,0
44.26923,9,14192,0
44.3108967,9,14235,1
44.3525633,9,14283,28
44.39423,9,14335,139
44.4358967,9,14392,56
44.4775633,9,14452,28
44.51923,9,14517,17
44.5608967,9,14584,6
44.6025633,9,14655,0
44.64423,9,14728,1
44.6858967,9,14805,0
44.7275633,9,14883,0
44.76923,9,14963,2
44.8108967,9,15045,0
44.8525633,9,15128,0
44.89423,9,15213,1
44.9358967,9,15298,0
44.9775633,10,15384,0
45.01923,10,15470,7
45.0608967,10,15556,0
45.1025633,10,15642,0
45.14423,10,15727,0
45.1858967,11,15812,0
45.2275633,11,15897,4
45.26923,11,15981,0
45.3108967,11,16064,0
45.3525633,11,16145,0
45.39423,11,16226,5
45.4358967,12,16305,6
45.4775633,12,16383,0
45.51923,12,16459,44
45.5608967,12,16534,39
45.6025633,12,16606,0
45.64423,13,16677,2
45.6858967,13,16745,2
45.7275633,13,16810,0
45.76923,13,16873,0
45.8108967,13,16934,0
45.8525633,13,16991,0
45.89423,13,17046,0
45.9358967,13,17097,0
45.9775633,14,17146,0
46.01923,14,17190,0
46.0608967,14,17231,0
46.1025633,14,17269,0
46.14423,14,17304,0
46.1858967,14,17337,0
46.2275633,14,17366,3
46.26923,14,17393,0
46.3108967,14,17418,0
46.3525633,14,17442,0
46.39423,14,17463,2
46.4358967,14,17483,1
46.4775633,14,17501,0
46.51923,14,17519,0
46.5608967,14,17535,1
46.6025633,14,17551,0
46.64423,14,17567,0
46.6858967,14,17582,2
46.7275633,14,17597,2
46.76923,14,17612,0
46.8108967,14,17628,0
46.8525633,14,17644,0
46.89423,13,17661,0
46.9358967,13,17680,0
46.9775633,13,17699,0
47.01923,13,17720,2
47.0608967,13,17742,0
47.1025633,13,17766,0
47.14423,13,17791,0
47.1858967,13,17816,0
47.2275633,13,17843,2
47.26923,13,17870,0
47.3108967,13,17898,4
47.3525633,13,17926,3
47.39423,13,17954,47
47.4358967,13,17982,56
47.4775633,13,18009,39
47.51923,13,18036,29
47.5608967,13,18063,15
47.6025633,12,18089,21
47.64423,12,18113,2
47.6858967,12,18137,1
47.7275633,12,18159,1
47.76923,12,18180,0
47.8108967,12,18199,0
47.8525633,12,18216,0
47.89423,12,18232,0
47.9358967,12,18245,0
47.9775633,12,18255,0
48.01923,12,18263,2
48.0608967,12,18269,0
48.1025633,12,18272,0
48.14423,12,18273,1
48.1858967,12,18272,0
48.2275633,12,18269,8
48.26923,12,18265,7
48.3108967,12,18259,4
48.3525633,12,18253,0
48.39423,12,18245,1
48.4358967,12,18236,0
48.4775633,12,18227,3
48.51923,11,18217,5
48.5608967,11,18207,2
48.6025633,11,18197,3
48.64423,11,18188,0
48.6858967,11,18178,0
48.7275633,11,18169,0
48.76923,11,18161,0
48.8108967,11,18154,0
48.8525633,11,18149,0
48.89423,11,18144,0
48.9358967,11,18141,0
48.9775633,11,18140,0
49.01923,11,18141,2
49.0608967,11,18143,0
49.1025633,11,18148,0
49.14423,11,18154,0
49.1858967,11,18161,0
49.2275633,11,18169,2
49.26923,11,18179,0
49.3108967,11,18188,4
49.3525633,11,18199,4
49.39423,11,18210,1
49.4358967,11,18220,3
49.4775633,11,18231,1
49.51923,11,18241,10
49.5608967,11,18250,1
49.6025633,11,18259,1
49.64423,11,18267,0
49.6858967,11,18273,0
49.7275633,11,18278,0
49.76923,11,18281,0
49.8108967,11,18283,0
49.8525633,10,18282,0
49.89423,10,18279,0
49.9358967,10,18274,0
49.9775633,10,18266,2
50.01923,10,18254,0
50.0608967,10,18240,1
50.1025633,10,18224,5
50.14423,10,18204,13
50.1858967,10,18183,49
50.2275633,10,18160,230
50.26923,10,18134,83
50.3108967,10,18108,84
50.3525633,10,18080,30
50.39423,10,18051,15
50.4358967,10,18022,14
50.4775633,10,17992,13
50.51923,10,17962,0
50.5608967,9,17932,2
50.6025633,9,17902,3
50.64423,9,17873,0
50.6858967,9,17844,2
50.7275633,9,17817,0
50.76923,9,17791,0
50.8108967,9,17766,0
50.8525633,9,17743,0
50.89423,9,17722,0
50.9358967,9,17704,0
50.9775633,9,17688,0
51.01923,9,17674,2
51.0608967,9,17664,4
51.1025633,9,17656,1
51.14423,9,17650,1
51.1858967,9,17647,2
51.2275633,9,17646,3
51.26923,9,17646,2
51.3108967,9,17649,2
51.3525633,8,17653,1
51.39423,8,17658,1
51.4358967,8,17664,0
51.4775633,8,17672,0
51.51923,8,17680,2
51.5608967,8,17689,2
51.6025633,8,17698,1
51.64423,8,17707,0
51.6858967,8,17717,0
51.7275633,8,17726,0
51.76923,8,17735,0
51.8108967,8,17743,0
51.8525633,8,17751,2
51.89423,9,17758,0
51.9358967,9,17764,1
51.9775633,9,17768,0
52.01923,9,17771,0
52.0608967,9,17773,0
52.1025633,9,17773,0
52.14423,9,17772,1
52.1858967,9,17770,0
52.2275633,9,17767,0
52.26923,9,17763,0
52.3108967,9,17758,4
52.3525633,9,17753,2
52.39423,10,17747,1
52.43589670000001,10,17741,0
52.47756329999999,10,17734,1
52.51923000000001,10,17728,0
52.56089670000001,10,17721,2
52.60256329999999,10,17714,5
52.64423000000001,10,17708,2
52.68589670000001,10,17702,3
52.72756329999999,10,17696,0
52.76923000000001,10,17691,0
52.81089670000001,11,17687,2
52.85256329999999,11,17684,4
52.89423000000001,11,17681,11
52.93589670000001,11,17680,25
52.97756329999999,11,17680,35
53.01923000000001,11,17681,7
53.06089670000001,11,17683,9
53.10256329999999,11,17687,5
53.14423000000001,11,17692,30
53.18589670000001,11,17697,60
53.22756329999999,11,17704,65
53.26923000000001,11,17712,34
53.31089670000001,11,17721,11
53.35256329999999,11,17730,3
53.39423000000001,11,17740,0
53.43589670000001,11,17750,0
53.47756329999999,10,17761,0
53.51923000000001,10,17772,0
53.56089670000001,10,17784,0
53.60256329999999,10,17796,1
53.64423000000001,10,17808,0
53.68589670000001,10,17819,0
53.72756329999999,10,17831,0
53.76923000000001,10,17843,0
53.81089670000001,10,17854,0
53.85256329999999,10,17865,0
53.89423000000001,10,17876,0
53.93589670000001,10,17886,0
53.97756329999999,10,17895,0
54.01923000000001,9,17904,0
54.06089670000001,9,17912,0
54.10256329999999,9,17919,0
54.14423000000001,9,17926,1
54.18589670000001,9,17932,0
54.22756329999999,9,17937,0
54.26923000000001,9,17942,0
54.31089670000001,9,17946,0
54.35256329999999,9,17949,1
54.39423000000001,9,17952,0
54.43589670000001,9,17954,0
54.47756329999999,9,17956,0
54.51923000000001,9,17957,2
54.56089670000001,9,17958,2
54.60256329999999,9,17958,0
54.64423000000001,9,17958,0
54.68589670000001,9,17957,0
54.72756329999999,9,17956,0
54.76923000000001,9,17955,0
54.81089670000001,9,17953,0
54.85256329999999,9,17951,0
54.89423000000001,9,17948,0
54.93589670000001,9,17945,0
54.97756329999999,9,17942,0
55.01923000000001,9,17938,0
55.06089670000001,9,17935,0
55.10256329999999,9,17931,0
55.14423000000001,9,17927,0
55.18589670000001,9,17922,0
55.22756329999999,9,17918,2
55.26923000000001,9,17914,0
55.31089670000001,9,17910,13
55.35256329999999,9,17906,14
55.39423000000001,9,17902,6
55.43589670000001,9,17898,43
55.47756329999999,9,17895,51
55.51923000000001,9,17892,32
55.56089670000001,9,17890,18
55.60256329999999,9,17888,22
55.64423000000001,9,17886,16
55.68589670000001,9,17885,5
55.72756329999999,9,17884,0
55.76923000000001,9,17885,2
55.81089670000001,9,17885,0
55.85256329999999,9,17887,0
55.89423000000001,9,17890,0
55.93589670000001,9,17893,0
55.97756329999999,9,17897,0
56.01923000000001,9,17903,2
