time,births,population,reported_cases
44.01923,18,17931,0
44.0608967,18,17914,0
44.1025633,18,17901,0
44.14423,18,17892,0
44.1858967,18,17885,0
44.2275633,18,17882,0
44.26923,18,17883,9
44.3108967,18,17886,3
44.3525633,18,17892,4
44.39423,18,17901,2
44.4358967,18,17912,4
44.4775633,18,17926,2
44.51923,18,17942,0
44.5608967,18,17961,1
44.6025633,17,17981,1
44.64423,17,18003,1
44.6858967,17,18027,9
44.7275633,17,18053,20
44.76923,17,18080,11
44.8108967,17,18108,85
44.8525633,17,18138,91
44.89423,17,18168,85
44.9358967,17,18200,53
44.9775633,16,18232,23
45.01923,16,18265,15
45.0608967,16,18299,2
45.1025633,16,18333,1
45.14423,16,18367,2
45.1858967,16,18402,6
45.2275633,16,18436,2
45.26923,16,18471,2
45.3108967,16,18505,4
45.3525633,16,18540,1
45.39423,16,18574,1
45.4358967,16,18607,5
45.4775633,16,18641,6
45.51923,16,18673,4
45.5608967,16,18705,5
45.6025633,16,18736,3
45.64423,16,18766,2
45.6858967,16,18795,3
45.7275633,16,18823,0
45.76923,16,18849,0
45.8108967,16,18875,0
45.8525633,16,18899,0
45.89423,16,18921,0
45.9358967,16,18942,1
45.9775633,16,18961,2
46.01923,16,18978,4
46.0608967,16,18993,0
46.1025633,17,19006,0
46.14423,17,19018,1
46.1858967,17,19028,1
46.2275633,17,19036,0
46.26923,17,19042,2
46.3108967,17,19047,0
46.3525633,17,19051,5
46.39423,18,19053,17
46.4358967,18,19053,39
46.4775633,18,19053,24
46.51923,18,19051,32
46.5608967,18,19047,9
46.6025633,18,19043,14
46.64423,18,19037,6
46.6858967,19,19030,1
46.7275633,19,19023,11
46.76923,19,19014,0
46.8108967,19,19004,0
46.8525633,19,18994,0
46.89423,19,18982,0
46.9358967,19,18970,2
46.9775633,19,18957,4
47.01923,19,18944,6
47.0608967,19,18930,8
47.1025633,19,18915,2
47.14423,19,18900,0
47.1858967,19,18885,2
47.2275633,19,18869,2
47.26923,18,18853,1
47.3108967,18,18838,1
47.3525633,18,18822,1
47.39423,18,18807,5
47.4358967,18,18791,0
47.4775633,18,18777,6
47.51923,18,18762,4
47.5608967,17,18748,4
47.6025633,17,18735,0
47.64423,17,18723,1
47.6858967,17,18711,1
47.7275633,17,18700,0
47.76923,16,18691,0
47.8108967,16,18682,0
47.8525633,16,18675,3
47.89423,16,18669,17
47.9358967,16,18664,26
47.9775633,16,18661,144
48.01923,16,18659,86
48.0608967,15,18659,26
48.1025633,15,18661,22
48.14423,15,18664,8
48.1858967,15,18668,19
48.2275633,15,18673,13
48.26923,15,18679,15
48.3108967,15,18686,4
48.3525633,15,18694,6
48.39423,15,18703,2
48.4358967,15,18712,19
48.4775633,15,18721,11
48.51923,15,18731,4
48.5608967,15,18741,3
48.6025633,15,18751,0
48.64423,15,18762,0
48.6858967,15,18772,3
48.7275633,15,18781,2
48.76923,15,18791,0
48.8108967,15,18799,14
48.8525633,15,18808,24
48.89423,15,18815,9
48.9358967,15,18822,7
48.9775633,15,18827,9
49.01923,15,18832,13
49.0608967,15,18836,7
49.1025633,15,18838,8
49.14423,15,18839,6
49.1858967,15,18840,2
49.2275633,15,18839,4
49.26923,15,18837,0
49.3108967,15,18835,0
49.3525633,15,18832,3
49.39423,15,18827,0
49.4358967,15,18822,4
49.4775633,15,18816,0
49.51923,15,18810,6
49.5608967,15,18803,4
49.6025633,15,18795,0
49.64423,15,18786,4
49.6858967,15,18777,1
49.7275633,15,18767,0
49.76923,15,18756,9
49.8108967,15,18745,1
49.8525633,15,18734,22
49.89423,15,18722,22
49.9358967,15,18710,16
49.9775633,15,18697,34
50.01923,15,18684,15
50.0608967,15,18671,3
50.1025633,15,18657,6
50.14423,15,18643,6
50.1858967,15,18629,11
50.2275633,15,18615,14
50.26923,14,18600,19
50.3108967,14,18586,36
50.3525633,14,18571,58
50.39423,14,18557,18
50.4358967,14,18543,34
50.4775633,14,18529,5
50.51923,14,18515,9
50.5608967,14,18501,0
50.6025633,14,18487,1
50.64423,14,18474,3
50.6858967,14,18461,0
50.7275633,14,18449,3
50.76923,14,18437,0
50.8108967,14,18425,1
50.8525633,14,18414,0
50.89423,14,18404,0
50.9358967,14,18394,0
50.9775633,14,18385,0
51.01923,14,18376,0
51.0608967,14,18368,2
51.1025633,14,18361,0
51.14423,14,18355,0
51.1858967,14,18349,1
51.2275633,13,18344,3
51.26923,13,18339,2
51.3108967,13,18335,4
51.3525633,13,18332,5
51.39423,13,18329,6
51.4358967,13,18327,3
51.4775633,13,18325,15
51.51923,13,18323,0
51.5608967,13,18322,1
51.6025633,13,18321,5
51.64423,13,18321,9
51.6858967,13,18321,19
51.7275633,13,18321,10
51.76923,13,18322,15
51.8108967,13,18323,26
51.8525633,13,18324,44
51.89423,13,18326,61
51.9358967,13,18327,34
51.9775633,13,18329,33
52.01923,13,18331,0
52.0608967,13,18333,2
52.1025633,13,18335,0
52.14423,13,18338,1
52.1858967,13,18340,9
52.2275633,13,18343,7
52.26923,13,18345,5
52.3108967,13,18348,2
52.3525633,13,18351,5
52.39423,13,18353,2
52.43589670000001,13,18356,0
52.47756329999999,13,18359,0
52.51923000000001,13,18362,4
52.56089670000001,13,18365,0
52.60256329999999,13,18367,2
52.64423000000001,13,18370,1
52.68589670000001,13,18373,0
52.72756329999999,13,18375,1
52.76923000000001,13,18378,0
52.81089670000001,13,18380,0
52.85256329999999,13,18383,2
52.89423000000001,13,18385,6
52.93589670000001,13,18387,5
52.97756329999999,13,18389,6
53.01923000000001,13,18391,15
53.06089670000001,13,18393,18
53.10256329999999,13,18394,17
53.14423000000001,13,18395,34
53.18589670000001,13,18397,43
53.22756329999999,13,18398,37
53.26923000000001,13,18399,6
53.31089670000001,13,18400,27
53.35256329999999,13,18401,24
53.39423000000001,13,18402,9
53.43589670000001,13,18402,13
53.47756329999999,13,18403,6
53.51923000000001,13,18404,35
53.56089670000001,13,18404,16
53.60256329999999,14,18405,4
53.64423000000001,14,18405,8
53.68589670000001,14,18406,0
53.72756329999999,14,18406,0
53.76923000000001,14,18407,2
53.81089670000001,14,18407,0
53.85256329999999,14,18408,0
53.89423000000001,14,18408,0
53.93589670000001,14,18409,0
53.97756329999999,14,18410,0
54.01923000000001,14,18410,0
54.06089670000001,14,18411,0
54.10256329999999,14,18412,0
54.14423000000001,14,18413,0
54.18589670000001,14,18414,0
54.22756329999999,14,18415,2
54.26923000000001,14,18416,0
54.31089670000001,14,18417,0
54.35256329999999,14,18418,1
54.39423000000001,14,18419,0
54.43589670000001,14,18420,0
54.47756329999999,14,18421,0
54.51923000000001,14,18422,2
54.56089670000001,14,18423,0
54.60256329999999,14,18424,1
54.64423000000001,14,18424,0
54.68589670000001,14,18425,1
54.72756329999999,14,18426,0
54.76923000000001,14,18427,0
54.81089670000001,14,18428,0
54.85256329999999,14,18428,0
54.89423000000001,14,18429,0
54.93589670000001,14,18429,0
54.97756329999999,14,18430,0
55.01923000000001,14,18430,0
55.06089670000001,14,18430,1
55.10256329999999,14,18430,43
55.14423000000001,13,18431,110
55.18589670000001,13,18431,69
55.22756329999999,13,18430,39
55.26923000000001,13,18430,54
55.31089670000001,13,18430,40
55.35256329999999,13,18430,43
55.39423000000001,13,18429,39
55.43589670000001,13,18429,18
55.47756329999999,13,18428,14
55.51923000000001,13,18428,4
55.56089670000001,13,18427,3
55.60256329999999,13,18427,5
55.64423000000001,13,18426,0
55.68589670000001,13,18425,9
55.72756329999999,13,18425,4
55.76923000000001,13,18424,0
55.81089670000001,13,18423,0
55.85256329999999,13,18423,0
55.89423000000001,13,18422,0
55.93589670000001,13,18421,0
55.97756329999999,13,18420,0
56.01923000000001,13,18420,0
56.06089670000001,13,18419,0
56.10256329999999,13,18418,0
56.14423000000001,13,18418,0
56.18589670000001,13,18417,0
56.22756329999999,13,18416,0
56.26923000000001,13,18416,0
56.31089670000001,13,18415,0
56.35256329999999,13,18415,1
56.39423000000001,13,18415,1
56.43589670000001,13,18414,0
56.47756329999999,13,18414,0
56.51923000000001,14,18414,2
56.56089670000001,14,18414,0
56.60256329999999,14,18414,0
56.64423000000001,14,18414,0
56.68589670000001,14,18414,0
56.72756329999999,14,18415,0
56.76923000000001,14,18415,0
56.81089670000001,14,18416,0
56.85256329999999,14,18416,0
56.89423000000001,14,18417,0
56.93589670000001,14,18418,0
56.97756329999999,14,18419,0
57.01923000000001,14,18421,0
57.06089670000001,14,18422,0
57.10256329999999,14,18424,0
57.14423000000001,14,18425,0
57.18589670000001,14,18427,4
57.22756329999999,14,18429,26
57.26923000000001,14,18431,61
57.31089670000001,15,18433,63
57.35256329999999,15,18435,22
57.39423000000001,15,18437,11
57.43589670000001,15,18439,18
57.47756329999999,15,18441,12
57.51923000000001,14,18443,0
57.56089670000001,14,18445,9
57.60256329999999,14,18447,1
57.64423000000001,14,18449,0
57.68589670000001,14,18451,0
57.72756329999999,14,18453,0
57.76923000000001,14,18454,0
57.81089670000001,14,18456,2
57.85256329999999,14,18457,0
57.89423000000001,14,18458,0
57.93589670000001,14,18459,0
57.97756329999999,14,18460,0
58.01923000000001,14,18460,0
58.06089670000001,14,18460,0
58.10256329999999,14,18461,0
58.14423000000001,14,18461,0
58.18589670000001,14,18461,0
58.22756329999999,14,18461,0
58.26923000000001,14,18460,0
58.31089670000001,14,18460,0
58.35256329999999,14,18461,0
58.39423000000001,14,18461,2
58.43589670000001,14,18461,0
58.47756329999999,14,18462,0
58.51923000000001,14,18463,0
58.56089670000001,14,18464,0
58.60256329999999,14,18466,2
58.64423000000001,14,18468,2
58.68589670000001,14,18471,0
58.72756329999999,14,18474,0
58.76923000000001,14,18478,0
58.81089670000001,14,18482,4
58.85256329999999,14,18487,0
58.89423000000001,14,18492,0
58.93589670000001,14,18499,0
58.97756329999999,14,18506,0
59.01923000000001,14,18514,2
59.06089670000001,14,18522,0
59.10256329999999,14,18532,0
59.14423000000001,14,18541,0
59.18589670000001,14,18551,3
59.22756329999999,14,18561,5
59.26923000000001,14,18571,17
59.31089670000001,14,18580,15
59.35256329999999,14,18589,22
59.39423000000001,14,18597,31
59.43589670000001,14,18604,33
59.47756329999999,14,18610,18
59.51923000000001,14,18614,0
59.56089670000001,14,18618,26
59.60256329999999,14,18619,12
59.64423000000001,14,18618,2
59.68589670000001,14,18616,0
59.72756329999999,14,18611,0
59.76923000000001,14,18604,0
59.81089670000001,14,18594,0
59.85256329999999,14,18581,0
59.89423000000001,14,18565,0
59.93589670000001,14,18546,0
59.97756329999999,14,18524,0
60.01923000000001,14,18498,0
60.06089670000001,14,18468,0
60.10256329999999,14,18435,0
60.14423000000001,14,18399,1
60.18589670000001,14,18361,1
60.22756329999999,14,18320,0
60.26923000000001,14,18277,0
60.31089670000001,14,18233,0
60.35256329999999,14,18187,1
60.39423000000001,14,18140,0
60.43589670000001,14,18092,0
60.47756329999999,13,18043,0
60.51923000000001,13,17995,0
60.56089670000001,13,17946,0
60.60256329999999,13,17898,0
60.64423000000001,13,17851,0
60.68589670000001,13,17805,0
60.72756329999999,13,17760,0
60.76923000000001,13,17716,0
60.81089670000001,12,17675,0
60.85256329999999,12,17636,0
60.89423000000001,12,17599,0
60.93589670000001,12,17566,0
60.97756329999999,12,17535,2
61.01923000000001,12,17508,0
61.06089670000001,12,17484,4
61.10256329999999,12,17464,4
61.14423000000001,12,17447,37
61.18589670000001,12,17433,102
