time,births,population,reported_cases
44.01923,19,23119,0
44.0608967,19,22997,0
44.1025633,19,22888,0
44.14423,19,22792,0
44.1858967,19,22709,0
44.2275633,19,22638,2
44.26923,19,22578,0
44.3108967,18,22529,0
44.3525633,18,22491,2
44.39423,18,22463,2
44.4358967,18,22444,1
44.4775633,18,22435,4
44.51923,18,22434,2
44.5608967,18,22441,2
44.6025633,18,22456,4
44.64423,18,22478,2
44.6858967,18,22506,0
44.7275633,18,22540,8
44.76923,18,22580,2
44.8108967,18,22625,7
44.8525633,18,22675,7
44.89423,18,22729,10
44.9358967,18,22786,23
44.9775633,17,22846,31
45.01923,17,22909,2
45.0608967,18,22975,7
45.1025633,18,23042,7
45.14423,18,23110,1
45.1858967,18,23181,7
45.2275633,18,23252,0
45.26923,18,23323,15
45.3108967,18,23395,0
45.3525633,18,23468,1
45.39423,18,23540,2
45.4358967,18,23611,0
45.4775633,18,23682,0
45.51923,18,23752,0
45.5608967,18,23820,0
45.6025633,18,23887,0
45.64423,19,23951,0
45.6858967,19,24014,0
45.7275633,19,24074,0
45.76923,19,24131,0
45.8108967,19,24184,0
45.8525633,19,24235,0
45.89423,20,24281,0
45.9358967,20,24323,0
45.9775633,20,24361,0
46.01923,20,24395,0
46.0608967,20,24424,0
46.1025633,21,24448,0
46.14423,21,24468,0
46.1858967,21,24484,0
46.2275633,21,24497,0
46.26923,22,24507,0
46.3108967,22,24514,0
46.3525633,22,24518,0
46.39423,22,24520,0
46.4358967,22,24520,1
46.4775633,23,24519,0
46.51923,23,24516,0
46.5608967,23,24512,0
46.6025633,23,24507,0
46.64423,23,24502,2
46.6858967,24,24496,0
46.7275633,24,24491,0
46.76923,24,24486,0
46.8108967,24,24482,0
46.8525633,24,24478,0
46.89423,24,24477,0
46.9358967,24,24476,1
46.9775633,24,24478,0
47.01923,24,24482,0
47.0608967,24,24488,0
47.1025633,24,24497,9
47.14423,24,24508,20
47.1858967,24,24520,22
47.2275633,24,24534,37
47.26923,23,24550,76
47.3108967,23,24567,29
47.3525633,23,24586,19
47.39423,23,24606,15
47.4358967,23,24627,16
47.4775633,23,24649,23
47.51923,22,24671,3
47.5608967,22,24695,1
47.6025633,22,24718,4
47.64423,22,24742,1
47.6858967,21,24766,1
47.7275633,21,24791,0
47.76923,21,24815,2
47.8108967,21,24839,0
47.8525633,21,24862,0
47.89423,20,24885,0
47.9358967,20,24907,0
47.9775633,20,24929,0
48.01923,20,24949,0
48.0608967,20,24969,0
48.1025633,20,24987,0
48.14423,20,25005,1
48.1858967,20,25022,1
48.2275633,19,25038,0
48.26923,19,25053,0
48.3108967,19,25067,0
48.3525633,19,25081,1
48.39423,19,25094,2
48.4358967,19,25106,6
48.4775633,19,25118,21
48.51923,19,25129,11
48.5608967,19,25140,12
48.6025633,19,25151,10
48.64423,19,25161,8
48.6858967,19,25171,9
48.7275633,19,25181,5
48.76923,19,25190,18
48.8108967,19,25199,16
48.8525633,19,25208,68
48.89423,19,25217,28
48.9358967,19,25226,34
48.9775633,19,25235,13
49.01923,19,25244,9
49.0608967,19,25253,19
49.1025633,19,25262,15
49.14423,19,25272,31
49.1858967,19,25280,11
49.2275633,19,25289,2
49.26923,19,25298,0
49.3108967,18,25306,1
49.3525633,18,25314,0
49.39423,18,25322,2
49.4358967,18,25329,0
49.4775633,18,25336,0
49.51923,18,25343,0
49.5608967,18,25348,0
49.6025633,18,25353,0
49.64423,18,25358,0
49.6858967,18,25361,0
49.7275633,18,25364,0
49.76923,18,25366,0
49.8108967,18,25368,0
49.8525633,18,25368,0
49.89423,17,25367,0
49.9358967,17,25365,0
49.9775633,17,25362,0
50.01923,17,25358,0
50.0608967,17,25353,0
50.1025633,17,25346,0
50.14423,17,25339,0
50.1858967,17,25331,0
50.2275633,17,25322,0
50.26923,17,25313,0
50.3108967,17,25303,0
50.3525633,17,25292,4
50.39423,17,25281,4
50.4358967,17,25270,1
50.4775633,17,25259,8
50.51923,17,25248,9
50.5608967,17,25237,7
50.6025633,17,25226,0
50.64423,17,25215,1
50.6858967,17,25205,1
50.7275633,17,25195,0
50.76923,17,25186,2
50.8108967,17,25177,0
50.8525633,17,25170,9
50.89423,17,25163,10
50.9358967,16,25157,7
50.9775633,16,25152,8
51.01923,16,25148,92
51.0608967,16,25146,24
51.1025633,16,25145,12
51.14423,16,25144,62
51.1858967,16,25145,60
51.2275633,16,25147,73
51.26923,16,25149,44
51.3108967,16,25152,14
51.3525633,16,25156,17
51.39423,16,25160,16
51.4358967,16,25165,33
51.4775633,16,25170,12
51.51923,16,25175,13
51.5608967,16,25181,0
51.6025633,16,25186,1
51.64423,16,25192,0
51.6858967,16,25198,0
51.7275633,16,25203,0
51.76923,16,25208,2
51.8108967,16,25213,0
51.8525633,16,25218,0
51.89423,16,25222,1
51.9358967,16,25226,1
51.9775633,16,25229,0
52.01923,16,25231,0
52.0608967,16,25232,0
52.1025633,16,25233,0
52.14423,16,25234,0
52.1858967,16,25233,0
52.2275633,16,25232,6
52.26923,16,25231,21
52.3108967,16,25229,16
52.3525633,16,25226,1
52.39423,16,25224,9
52.43589670000001,16,25221,0
52.47756329999999,16,25217,7
52.51923000000001,16,25214,9
52.56089670000001,16,25210,13
52.60256329999999,16,25206,5
52.64423000000001,16,25202,0
52.68589670000001,16,25198,3
52.72756329999999,16,25194,0
52.76923000000001,17,25190,0
52.81089670000001,17,25186,2
52.85256329999999,17,25182,0
52.89423000000001,17,25178,1
52.93589670000001,16,25175,0
52.97756329999999,16,25172,3
53.01923000000001,16,25169,11
53.06089670000001,16,25166,9
53.10256329999999,16,25164,4
53.14423000000001,16,25162,2
53.18589670000001,16,25160,6
53.22756329999999,16,25159,8
53.26923000000001,16,25157,4
53.31089670000001,16,25156,5
53.35256329999999,16,25156,3
53.39423000000001,16,25155,12
53.43589670000001,16,25154,13
53.47756329999999,15,25154,22
53.51923000000001,15,25153,28
53.56089670000001,15,25153,60
53.60256329999999,15,25153,12
53.64423000000001,15,25153,2
53.68589670000001,15,25153,25
53.72756329999999,15,25152,0
53.76923000000001,15,25152,0
53.81089670000001,15,25152,0
53.85256329999999,15,25152,0
53.89423000000001,15,25151,1
53.93589670000001,15,25151,0
53.97756329999999,15,25150,0
54.01923000000001,15,25150,0
54.06089670000001,15,25149,0
54.10256329999999,15,25148,0
54.14423000000001,15,25147,1
54.18589670000001,15,25145,0
54.22756329999999,15,25144,0
54.26923000000001,15,25142,0
54.31089670000001,15,25141,0
54.35256329999999,15,25139,0
54.39423000000001,15,25138,1
54.43589670000001,15,25136,0
54.47756329999999,16,25134,0
54.51923000000001,16,25132,2
54.56089670000001,16,25130,4
54.60256329999999,16,25128,1
54.64423000000001,16,25126,0
54.68589670000001,16,25124,0
54.72756329999999,16,25122,0
54.76923000000001,16,25120,2
54.81089670000001,16,25118,0
54.85256329999999,16,25116,2
54.89423000000001,16,25115,10
54.93589670000001,16,25113,15
54.97756329999999,16,25111,8
55.01923000000001,16,25109,50
55.06089670000001,16,25108,42
55.10256329999999,16,25106,109
55.14423000000001,16,25104,48
55.18589670000001,16,25103,37
55.22756329999999,16,25101,45
55.26923000000001,16,25099,20
55.31089670000001,16,25098,6
55.35256329999999,16,25096,4
55.39423000000001,16,25094,0
55.43589670000001,16,25091,2
55.47756329999999,16,25089,13
55.51923000000001,16,25086,0
55.56089670000001,16,25083,0
55.60256329999999,16,25080,0
55.64423000000001,16,25076,0
55.68589670000001,16,25073,2
55.72756329999999,16,25068,0
55.76923000000001,16,25064,0
55.81089670000001,16,25059,2
55.85256329999999,15,25053,3
55.89423000000001,15,25047,0
55.93589670000001,15,25041,0
55.97756329999999,15,25034,0
56.01923000000001,15,25026,0
56.06089670000001,15,25018,0
