time,births,population,reported_cases
44.01923,3,3293,0
44.0608967,3,3284,2
44.1025633,3,3276,0
44.14423,3,3268,0
44.1858967,3,3262,0
44.2275633,3,3256,0
44.26923,3,3251,0
44.3108967,3,3247,0
44.3525633,3,3244,0
44.39423,3,3242,0
44.4358967,3,3240,0
44.4775633,3,3239,0
44.51923,3,3238,2
44.5608967,3,3238,0
44.6025633,3,3239,0
44.64423,3,3240,0
44.6858967,3,3242,0
44.7275633,3,3244,0
44.76923,3,3247,0
44.8108967,3,3250,0
44.8525633,3,3253,0
44.89423,3,3257,0
44.9358967,3,3261,0
44.9775633,3,3266,0
45.01923,3,3270,0
45.0608967,3,3275,0
45.1025633,3,3280,0
45.14423,3,3286,0
45.1858967,3,3291,0
45.2275633,3,3297,2
45.26923,3,3303,4
45.3108967,3,3309,3
45.3525633,3,3315,18
45.39423,3,3321,26
45.4358967,3,3327,7
45.4775633,3,3333,5
45.51923,3,3339,2
45.5608967,3,3345,0
45.6025633,3,3352,0
45.64423,3,3358,1
45.6858967,3,3364,1
45.7275633,3,3370,0
45.76923,3,3376,0
45.8108967,3,3382,0
45.8525633,3,3387,0
45.89423,3,3393,0
45.9358967,3,3398,0
45.9775633,3,3403,0
46.01923,3,3408,0
46.0608967,3,3413,0
46.1025633,3,3417,0
46.14423,3,3422,0
46.1858967,3,3426,0
46.2275633,3,3430,0
46.26923,3,3434,0
46.3108967,3,3437,0
46.3525633,3,3441,0
46.39423,3,3444,1
46.4358967,3,3448,0
46.4775633,3,3451,0
46.51923,3,3455,0
46.5608967,3,3458,0
46.6025633,3,3461,0
46.64423,3,3464,0
46.6858967,3,3468,0
46.7275633,3,3471,0
46.76923,3,3474,2
46.8108967,3,3478,0
46.8525633,3,3481,0
46.89423,3,3485,0
46.9358967,3,3488,0
46.9775633,3,3492,0
47.01923,3,3496,0
47.0608967,3,3500,0
47.1025633,3,3504,0
47.14423,3,3508,0
47.1858967,3,3513,0
47.2275633,3,3517,0
47.26923,3,3522,0
47.3108967,3,3526,0
47.3525633,3,3531,0
47.39423,3,3536,3
47.4358967,3,3540,0
47.4775633,3,3545,0
47.51923,3,3550,3
47.5608967,3,3554,3
47.6025633,3,3559,4
47.64423,3,3563,0
47.6858967,3,3568,0
47.7275633,3,3572,0
47.76923,3,3577,0
47.8108967,3,3581,0
47.8525633,3,3585,0
47.89423,3,3589,0
47.9358967,3,3593,0
47.9775633,3,3597,0
48.01923,3,3601,0
48.0608967,3,3604,1
48.1025633,3,3607,21
48.14423,3,3610,36
48.1858967,3,3613,8
48.2275633,3,3616,0
