time,births,population,reported_cases
44.01923,17,18087,0
44.0608967,17,18042,0
44.1025633,17,18003,4
44.14423,16,17969,1
44.1858967,16,17940,1
44.2275633,16,17915,3
44.26923,16,17896,4
44.3108967,16,17881,12
44.3525633,16,17870,12
44.39423,16,17864,22
44.4358967,15,17861,5
44.4775633,15,17862,3
44.51923,15,17867,0
44.5608967,15,17875,0
44.6025633,15,17886,0
44.64423,15,17900,0
44.6858967,15,17916,1
44.7275633,15,17935,0
44.76923,15,17957,0
44.8108967,15,17981,0
44.8525633,15,18006,0
44.89423,15,18034,0
44.9358967,15,18063,0
44.9775633,15,18093,0
45.01923,15,18125,0
45.0608967,15,18157,2
45.1025633,15,18191,2
45.14423,15,18225,11
45.1858967,15,18259,12
45.2275633,15,18295,9
45.26923,15,18330,2
45.3108967,15,18366,1
45.3525633,15,18402,2
45.39423,15,18439,0
45.4358967,15,18475,0
45.4775633,15,18510,0
45.51923,15,18546,0
45.5608967,15,18581,2
45.6025633,15,18615,3
45.64423,15,18649,0
45.6858967,15,18682,0
45.7275633,15,18714,4
45.76923,15,18744,2
45.8108967,16,18774,0
45.8525633,16,18802,0
45.89423,16,18829,0
45.9358967,16,18854,0
45.9775633,16,18878,0
46.01923,16,18900,0
46.0608967,16,18920,0
46.1025633,16,18938,0
46.14423,16,18955,0
46.1858967,17,18970,0
46.2275633,17,18984,0
46.26923,17,18996,0
46.3108967,17,19007,0
46.3525633,17,19017,0
46.39423,17,19026,0
46.4358967,17,19035,2
46.4775633,17,19042,0
46.51923,17,19049,0
46.5608967,18,19055,0
46.6025633,18,19060,3
46.64423,18,19066,0
46.6858967,18,19071,4
46.7275633,18,19076,2
46.76923,18,19080,0
46.8108967,18,19085,0
46.8525633,18,19090,1
46.89423,18,19095,0
46.9358967,18,19101,3
46.9775633,18,19107,2
47.01923,18,19113,0
47.0608967,18,19120,4
47.1025633,18,19128,5
47.14423,18,19136,8
47.1858967,18,19144,12
47.2275633,18,19153,3
47.26923,18,19162,11
47.3108967,18,19172,3
47.3525633,18,19182,2
47.39423,17,19191,6
47.4358967,17,19201,2
47.4775633,17,19211,0
47.51923,17,19221,1
47.5608967,17,19231,0
47.6025633,17,19241,0
47.64423,17,19251,0
47.6858967,17,19260,0
47.7275633,16,19270,0
47.76923,16,19279,0
47.8108967,16,19287,0
47.8525633,16,19295,0
47.89423,16,19303,0
47.9358967,16,19310,0
47.9775633,16,19317,0
48.01923,16,19323,0
48.0608967,15,19328,0
48.1025633,15,19333,0
48.14423,15,19337,0
48.1858967,15,19341,0
48.2275633,15,19344,3
48.26923,15,19347,0
48.3108967,15,19350,1
48.3525633,15,19352,7
48.39423,15,19354,12
48.4358967,14,19356,16
48.4775633,14,19358,6
48.51923,14,19360,2
48.5608967,14,19361,2
48.6025633,14,19363,4
48.64423,14,19365,2
48.6858967,14,19367,2
48.7275633,14,19369,6
48.76923,14,19371,74
48.8108967,14,19374,64
48.8525633,14,19376,36
48.89423,14,19380,57
48.9358967,14,19383,74
48.9775633,14,19388,18
49.01923,14,19392,11
49.0608967,14,19397,9
49.1025633,14,19403,0
49.14423,14,19409,2
