time,births,population,reported_cases
44.01923,13,17595,0
44.0608967,13,17525,0
44.1025633,13,17464,0
44.14423,13,17410,0
44.1858967,13,17363,0
44.2275633,12,17323,0
44.26923,12,17290,2
44.3108967,12,17263,0
44.3525633,12,17243,1
44.39423,12,17228,1
44.4358967,12,17219,0
44.4775633,12,17215,0
44.51923,12,17216,0
44.5608967,12,17222,2
44.6025633,11,17233,0
44.64423,11,17247,0
44.6858967,11,17266,0
44.7275633,11,17288,0
44.76923,11,17313,0
44.8108967,11,17342,1
44.8525633,11,17373,6
44.89423,11,17406,26
44.9358967,11,17442,40
44.9775633,11,17479,28
45.01923,11,17518,52
45.0608967,11,17559,111
45.1025633,11,17600,62
45.14423,12,17643,42
45.1858967,12,17686,53
45.2275633,12,17730,27
45.26923,12,17775,15
45.3108967,12,17820,3
45.3525633,12,17865,1
45.39423,12,17910,8
45.4358967,12,17955,1
45.4775633,12,17999,2
45.51923,12,18043,0
45.5608967,13,18086,7
45.6025633,13,18129,0
45.64423,13,18171,0
45.6858967,13,18211,0
45.7275633,13,18250,0
45.76923,13,18287,0
45.8108967,13,18323,0
45.8525633,13,18357,0
45.89423,14,18389,0
45.9358967,14,18419,0
45.9775633,14,18446,0
46.01923,14,18471,0
46.0608967,14,18494,0
46.1025633,14,18514,0
46.14423,14,18531,0
46.1858967,15,18547,0
46.2275633,15,18561,0
46.26923,15,18574,0
46.3108967,15,18584,0
46.3525633,15,18594,0
46.39423,15,18602,0
46.4358967,15,18610,0
46.4775633,15,18616,0
46.51923,15,18622,0
46.5608967,15,18628,2
46.6025633,16,18633,2
46.64423,16,18638,2
46.6858967,16,18643,0
46.7275633,16,18648,0
46.76923,16,18654,0
46.8108967,16,18660,0
46.8525633,16,18667,0
46.89423,16,18675,1
46.9358967,16,18684,0
46.9775633,16,18694,0
47.01923,16,18706,2
47.0608967,16,18719,5
47.1025633,15,18733,30
47.14423,15,18748,10
47.1858967,15,18765,40
47.2275633,15,18782,62
47.26923,15,18801,9
47.3108967,15,18819,2
47.3525633,15,18839,12
47.39423,15,18858,4
47.4358967,14,18878,4
47.4775633,14,18898,10
47.51923,14,18918,5
47.5608967,14,18938,1
47.6025633,14,18957,6
47.64423,14,18976,1
47.6858967,13,18995,1
47.7275633,13,19012,4
47.76923,13,19029,9
47.8108967,13,19045,0
47.8525633,13,19059,0
47.89423,13,19073,0
47.9358967,13,19085,0
47.9775633,13,19095,0
48.01923,13,19104,0
48.0608967,13,19111,0
48.1025633,13,19116,1
48.14423,13,19120,0
48.1858967,13,19123,0
48.2275633,13,19124,0
48.26923,13,19125,0
48.3108967,13,19124,0
48.3525633,13,19123,0
48.39423,13,19121,0
48.4358967,13,19118,0
48.4775633,13,19115,1
48.51923,13,19112,0
48.5608967,13,19108,0
48.6025633,13,19104,1
48.64423,13,19101,0
48.6858967,13,19097,0
48.7275633,13,19094,0
48.76923,13,19092,0
48.8108967,13,19089,6
48.8525633,13,19088,15
48.89423,14,19087,59
48.9358967,14,19088,73
48.9775633,14,19089,30
49.01923,14,19091,12
49.0608967,14,19095,9
49.1025633,14,19100,61
49.14423,14,19105,31
49.1858967,14,19112,24
49.2275633,14,19119,22
49.26923,14,19127,29
49.3108967,13,19135,15
49.3525633,13,19144,12
49.39423,13,19153,6
49.4358967,13,19162,1
49.4775633,13,19172,0
49.51923,13,19181,0
49.5608967,13,19189,0
49.6025633,13,19198,3
49.64423,13,19206,0
49.6858967,13,19214,1
49.7275633,13,19220,0
49.76923,13,19226,0
49.8108967,13,19231,0
49.8525633,13,19236,0
49.89423,12,19239,0
49.9358967,12,19240,0
49.9775633,12,19240,0
50.01923,12,19239,0
50.0608967,12,19237,0
50.1025633,12,19232,0
