time,births,population,reported_cases
44.01923,7,7458,0
44.0608967,7,7445,0
44.1025633,7,7434,0
44.14423,7,7425,0
44.1858967,7,7418,0
44.2275633,7,7412,0
44.26923,7,7408,0
44.3108967,7,7405,0
44.3525633,7,7404,0
44.39423,7,7404,0
44.4358967,7,7405,0
44.4775633,7,7407,0
44.51923,7,7411,0
44.5608967,7,7415,0
44.6025633,7,7421,0
44.64423,7,7427,0
44.6858967,7,7435,0
44.7275633,7,7443,0
44.76923,7,7452,0
44.8108967,7,7461,0
44.8525633,7,7471,0
44.89423,7,7482,0
44.9358967,7,7493,0
44.9775633,7,7505,0
45.01923,6,7517,0
45.0608967,6,7529,18
45.1025633,6,7541,6
45.14423,6,7554,6
45.1858967,6,7567,7
45.2275633,6,7579,4
45.26923,6,7592,0
45.3108967,6,7605,4
45.3525633,6,7618,5
45.39423,6,7631,2
45.4358967,6,7644,1
45.4775633,6,7657,0
45.51923,6,7669,0
45.5608967,6,7682,0
45.6025633,6,7694,0
45.64423,6,7706,0
45.6858967,6,7717,0
45.7275633,6,7728,0
45.76923,6,7739,0
45.8108967,6,7749,0
45.8525633,6,7759,0
45.89423,6,7768,0
45.9358967,6,7776,0
45.9775633,6,7784,0
46.01923,6,7791,0
46.0608967,6,7798,0
46.1025633,6,7804,0
46.14423,6,7809,0
46.1858967,7,7814,0
46.2275633,7,7818,0
46.26923,7,7821,0
46.3108967,7,7825,0
46.3525633,7,7827,0
46.39423,7,7830,0
46.4358967,7,7832,0
46.4775633,7,7833,2
46.51923,7,7835,0
46.5608967,7,7836,0
46.6025633,7,7836,0
46.64423,7,7837,0
46.6858967,7,7838,0
46.7275633,7,7838,0
46.76923,7,7838,0
46.8108967,7,7839,0
46.8525633,7,7839,0
46.89423,7,7839,1
46.9358967,7,7839,0
46.9775633,7,7840,0
47.01923,7,7840,0
47.0608967,7,7841,0
47.1025633,7,7842,0
47.14423,7,7843,0
47.1858967,7,7844,0
47.2275633,7,7845,0
47.26923,7,7846,0
47.3108967,7,7847,1
47.3525633,7,7849,0
47.39423,7,7850,2
47.4358967,7,7852,0
47.4775633,7,7854,5
47.51923,7,7856,15
47.5608967,7,7858,0
47.6025633,6,7859,3
47.64423,6,7861,0
47.6858967,6,7863,1
47.7275633,6,7866,0
47.76923,6,7868,0
47.8108967,6,7870,0
47.8525633,6,7872,0
47.89423,6,7874,0
47.9358967,6,7877,0
47.9775633,6,7879,2
48.01923,6,7881,2
48.0608967,6,7883,6
48.1025633,6,7886,32
48.14423,5,7888,41
48.1858967,5,7890,18
48.2275633,5,7893,3
48.26923,5,7895,4
48.3108967,5,7897,0
48.3525633,5,7900,3
48.39423,5,7903,3
48.4358967,5,7905,1
48.4775633,5,7908,0
48.51923,5,7911,2
48.5608967,5,7914,0
48.6025633,5,7917,0
48.64423,5,7920,1
48.6858967,5,7924,0
48.7275633,5,7927,0
48.76923,5,7931,0
48.8108967,5,7935,0
48.8525633,5,7939,0
48.89423,5,7943,1
48.9358967,5,7947,0
48.9775633,5,7951,8
49.01923,5,7956,11
49.0608967,5,7961,4
49.1025633,5,7966,17
49.14423,5,7971,51
49.1858967,5,7977,8
49.2275633,4,7982,7
49.26923,4,7987,0
49.3108967,4,7992,0
49.3525633,4,7998,5
49.39423,4,8003,0
49.4358967,4,8008,0
49.4775633,4,8012,0
49.51923,4,8017,0
49.5608967,4,8021,0
49.6025633,4,8025,1
49.64423,4,8029,0
49.6858967,4,8033,0
49.7275633,4,8036,0
49.76923,4,8038,0
49.8108967,4,8041,0
49.8525633,4,8042,0
49.89423,5,8044,0
49.9358967,5,8044,0
49.9775633,5,8044,0
50.01923,5,8044,0
50.0608967,5,8042,0
50.1025633,5,8041,0
50.14423,5,8038,0
50.1858967,5,8036,0
50.2275633,5,8032,0
50.26923,5,8029,0
50.3108967,5,8025,2
50.3525633,5,8021,1
50.39423,5,8016,4
50.4358967,5,8012,7
50.4775633,5,8007,3
50.51923,5,8003,0
50.5608967,5,7998,2
50.6025633,5,7993,0
50.64423,5,7988,0
50.6858967,5,7984,0
50.7275633,5,7980,1
50.76923,5,7975,0
50.8108967,5,7972,0
50.8525633,5,7968,1
50.89423,5,7965,3
50.9358967,5,7962,7
50.9775633,5,7960,4
51.01923,5,7958,0
51.0608967,5,7957,18
51.1025633,5,7956,29
51.14423,5,7956,33
51.1858967,5,7957,24
51.2275633,5,7957,3
51.26923,5,7958,7
51.3108967,6,7960,0
51.3525633,6,7962,0
51.39423,6,7964,0
51.4358967,6,7966,3
51.4775633,6,7969,0
51.51923,6,7972,0
51.5608967,6,7975,2
51.6025633,6,7978,0
51.64423,6,7981,0
51.6858967,6,7984,0
51.7275633,6,7988,0
51.76923,6,7991,0
51.8108967,6,7995,0
51.8525633,6,7998,0
51.89423,6,8002,0
51.9358967,6,8005,0
51.9775633,6,8008,2
52.01923,6,8011,4
52.0608967,6,8014,0
52.1025633,6,8017,1
52.14423,6,8020,0
52.1858967,6,8022,0
52.2275633,6,8025,0
52.26923,6,8027,0
52.3108967,6,8029,1
52.3525633,6,8031,0
52.39423,6,8033,0
52.43589670000001,6,8034,0
52.47756329999999,6,8036,3
52.51923000000001,6,8038,3
52.56089670000001,5,8039,0
52.60256329999999,5,8040,2
52.64423000000001,5,8042,2
52.68589670000001,5,8043,0
52.72756329999999,5,8044,0
52.76923000000001,5,8045,3
52.81089670000001,5,8046,0
52.85256329999999,5,8046,8
52.89423000000001,5,8047,1
52.93589670000001,5,8048,0
52.97756329999999,5,8049,0
53.01923000000001,5,8049,29
53.06089670000001,5,8050,24
53.10256329999999,5,8050,43
53.14423000000001,5,8051,37
53.18589670000001,5,8051,6
53.22756329999999,5,8052,11
53.26923000000001,5,8052,0
53.31089670000001,5,8053,2
53.35256329999999,5,8053,1
53.39423000000001,5,8054,1
53.43589670000001,5,8055,0
53.47756329999999,5,8055,0
53.51923000000001,5,8056,0
53.56089670000001,5,8057,0
53.60256329999999,5,8057,1
53.64423000000001,5,8058,1
53.68589670000001,5,8059,0
53.72756329999999,5,8060,0
53.76923000000001,5,8061,0
53.81089670000001,5,8063,0
53.85256329999999,5,8064,0
53.89423000000001,5,8066,0
53.93589670000001,5,8067,0
53.97756329999999,5,8069,0
54.01923000000001,5,8071,0
54.06089670000001,5,8073,0
54.10256329999999,5,8075,0
54.14423000000001,5,8078,0
54.18589670000001,5,8080,0
54.22756329999999,5,8083,0
54.26923000000001,5,8086,2
54.31089670000001,5,8088,6
54.35256329999999,5,8091,9
54.39423000000001,5,8095,21
54.43589670000001,5,8098,9
54.47756329999999,5,8101,5
54.51923000000001,5,8105,0
54.56089670000001,5,8108,0
54.60256329999999,5,8112,2
