time,births,population,reported_cases
44.01923,9,13235,0
44.0608967,8,13204,0
44.1025633,8,13177,0
44.14423,8,13152,0
44.1858967,8,13130,0
44.2275633,8,13111,0
44.26923,8,13094,0
44.3108967,8,13081,0
44.3525633,8,13069,1
44.39423,8,13060,0
44.4358967,8,13053,0
44.4775633,8,13049,0
44.51923,8,13046,2
44.5608967,8,13046,0
44.6025633,8,13047,0
44.64423,8,13051,0
44.6858967,8,13056,1
44.7275633,8,13063,2
44.76923,8,13071,0
44.8108967,8,13080,0
44.8525633,8,13091,0
44.89423,8,13104,0
44.9358967,8,13117,1
44.9775633,8,13132,0
45.01923,8,13147,0
45.0608967,9,13164,0
45.1025633,9,13181,9
45.14423,9,13199,30
45.1858967,9,13218,63
45.2275633,9,13237,60
45.26923,9,13257,2
45.3108967,9,13278,18
45.3525633,9,13299,9
45.39423,9,13321,1
45.4358967,9,13342,0
45.4775633,9,13365,0
45.51923,10,13387,0
45.5608967,10,13409,0
45.6025633,10,13432,0
45.64423,10,13455,0
45.6858967,10,13477,0
45.7275633,10,13500,0
45.76923,10,13522,0
45.8108967,10,13544,2
45.8525633,10,13566,0
45.89423,10,13587,0
45.9358967,10,13608,0
45.9775633,10,13629,0
46.01923,10,13649,2
46.0608967,10,13669,0
46.1025633,10,13688,0
46.14423,11,13706,0
46.1858967,11,13724,0
46.2275633,11,13742,0
46.26923,11,13759,0
46.3108967,11,13776,0
46.3525633,11,13792,0
46.39423,11,13808,0
46.4358967,11,13824,0
46.4775633,11,13840,0
46.51923,11,13855,0
46.5608967,11,13870,0
46.6025633,11,13885,1
46.64423,11,13899,1
46.6858967,11,13914,0
46.7275633,11,13928,0
46.76923,11,13942,0
46.8108967,11,13956,0
46.8525633,11,13970,0
46.89423,11,13984,0
46.9358967,11,13998,0
46.9775633,11,14012,2
47.01923,11,14027,2
47.0608967,11,14041,5
47.1025633,11,14055,34
47.14423,11,14069,17
47.1858967,11,14083,7
47.2275633,10,14097,12
47.26923,10,14111,0
47.3108967,10,14125,0
47.3525633,10,14138,35
47.39423,10,14152,33
47.4358967,10,14165,24
47.4775633,10,14178,8
47.51923,10,14190,5
47.5608967,10,14202,1
47.6025633,10,14214,0
47.64423,10,14225,0
