time,births,population,reported_cases
44.01923,13,15254,0
44.0608967,13,15145,0
44.1025633,12,15051,0
44.14423,12,14970,0
44.1858967,12,14904,0
44.2275633,11,14850,2
44.26923,11,14809,0
44.3108967,11,14780,0
44.3525633,11,14761,0
44.39423,11,14753,0
44.4358967,10,14755,0
44.4775633,10,14766,2
44.51923,10,14785,0
44.5608967,10,14813,0
44.6025633,10,14848,0
44.64423,10,14889,0
44.6858967,10,14936,0
44.7275633,10,14989,0
44.76923,10,15046,2
44.8108967,11,15108,0
44.8525633,11,15172,0
44.89423,11,15240,0
44.9358967,11,15310,3
44.9775633,11,15381,11
45.01923,11,15453,85
45.0608967,11,15526,43
45.1025633,11,15599,7
45.14423,11,15671,0
45.1858967,12,15743,0
45.2275633,12,15814,1
45.26923,12,15884,4
45.3108967,12,15953,2
45.3525633,12,16020,0
45.39423,12,16084,0
45.4358967,12,16146,10
45.4775633,12,16206,5
45.51923,12,16262,0
45.5608967,13,16315,4
45.6025633,13,16364,5
45.64423,13,16410,2
45.6858967,13,16451,0
45.7275633,13,16487,2
45.76923,13,16519,0
45.8108967,13,16545,0
45.8525633,13,16566,0
45.89423,13,16581,0
45.9358967,13,16589,0
45.9775633,13,16592,0
46.01923,13,16587,0
46.0608967,13,16576,0
46.1025633,13,16558,0
46.14423,13,16535,0
46.1858967,13,16508,0
46.2275633,13,16475,0
46.26923,13,16439,0
46.3108967,13,16400,2
46.3525633,13,16358,3
46.39423,12,16314,1
46.4358967,12,16269,0
46.4775633,12,16223,0
46.51923,12,16176,0
46.5608967,12,16130,5
46.6025633,12,16085,0
46.64423,12,16041,1
46.6858967,12,15999,0
46.7275633,12,15960,2
46.76923,13,15924,0
46.8108967,13,15892,0
46.8525633,13,15864,0
46.89423,13,15841,0
46.9358967,13,15824,0
46.9775633,13,15813,0
47.01923,14,15809,0
47.0608967,14,15811,0
47.1025633,14,15820,0
47.14423,15,15835,15
47.1858967,15,15856,15
47.2275633,16,15881,0
47.26923,16,15912,0
47.3108967,17,15947,0
47.3525633,17,15986,8
47.39423,18,16028,20
47.4358967,18,16073,24
47.4775633,18,16121,19
47.51923,19,16172,8
47.5608967,19,16224,2
47.6025633,20,16277,0
47.64423,20,16332,4
47.6858967,20,16387,0
47.7275633,21,16443,0
47.76923,21,16498,0
47.8108967,21,16552,2
47.8525633,21,16606,0
47.89423,21,16658,0
47.9358967,22,16708,0
47.9775633,22,16755,0
48.01923,21,16800,0
48.0608967,21,16843,0
48.1025633,21,16882,6
48.14423,21,16918,11
48.1858967,20,16952,23
48.2275633,20,16984,23
48.26923,20,17013,4
48.3108967,19,17040,8
48.3525633,19,17065,0
48.39423,18,17088,2
48.4358967,18,17109,14
48.4775633,17,17128,4
48.51923,17,17145,2
48.5608967,16,17161,7
48.6025633,15,17175,0
48.64423,15,17188,2
48.6858967,14,17200,1
48.7275633,14,17211,0
48.76923,13,17220,0
48.8108967,13,17229,0
48.8525633,12,17237,0
48.89423,12,17244,0
48.9358967,11,17251,0
48.9775633,11,17257,0
49.01923,10,17263,0
49.0608967,10,17268,0
49.1025633,10,17273,0
49.14423,10,17278,1
49.1858967,9,17282,1
49.2275633,9,17286,0
49.26923,9,17289,0
49.3108967,9,17292,22
49.3525633,9,17295,0
49.39423,9,17296,6
49.4358967,9,17298,11
49.4775633,9,17298,7
49.51923,9,17298,2
49.5608967,9,17297,0
49.6025633,9,17296,0
49.64423,9,17294,0
49.6858967,10,17291,0
49.7275633,10,17287,0
49.76923,10,17282,0
49.8108967,10,17277,0
49.8525633,10,17270,0
49.89423,10,17263,0
49.9358967,10,17255,0
49.9775633,10,17245,0
50.01923,10,17235,0
50.0608967,10,17224,4
50.1025633,10,17212,14
50.14423,10,17198,18
50.1858967,10,17185,52
50.2275633,10,17170,61
50.26923,10,17155,30
50.3108967,10,17140,11
50.3525633,10,17124,1
50.39423,10,17107,0
50.4358967,10,17091,0
50.4775633,10,17074,0
50.51923,10,17058,4
50.5608967,10,17041,11
50.6025633,10,17025,0
50.64423,10,17008,0
50.6858967,10,16992,0
50.7275633,10,16977,0
50.76923,10,16962,0
50.8108967,10,16947,0
50.8525633,10,16933,0
50.89423,10,16920,0
50.9358967,10,16907,0
50.9775633,10,16896,0
51.01923,9,16885,0
51.0608967,9,16876,1
51.1025633,9,16867,21
51.14423,9,16859,13
51.1858967,9,16852,4
51.2275633,9,16846,1
51.26923,9,16841,13
51.3108967,9,16836,35
51.3525633,9,16832,37
51.39423,9,16829,40
51.4358967,9,16826,18
51.4775633,9,16823,12
51.51923,9,16821,4
51.5608967,9,16820,5
51.6025633,9,16818,3
51.64423,9,16817,0
51.6858967,9,16816,0
51.7275633,9,16815,0
51.76923,9,16815,0
51.8108967,9,16814,0
51.8525633,9,16813,0
51.89423,9,16813,0
51.9358967,9,16812,0
51.9775633,9,16811,0
52.01923,9,16809,0
52.0608967,9,16808,0
52.1025633,9,16806,2
52.14423,10,16804,12
52.1858967,10,16802,0
52.2275633,10,16800,0
52.26923,10,16798,0
52.3108967,10,16797,0
52.3525633,10,16795,0
52.39423,10,16793,0
52.43589670000001,10,16791,0
52.47756329999999,10,16790,0
52.51923000000001,10,16789,0
52.56089670000001,10,16788,7
52.60256329999999,10,16788,68
52.64423000000001,10,16788,54
52.68589670000001,10,16788,9
52.72756329999999,10,16789,0
52.76923000000001,10,16790,0
52.81089670000001,10,16792,2
52.85256329999999,10,16795,0
52.89423000000001,10,16798,2
52.93589670000001,10,16802,0
52.97756329999999,10,16807,0
53.01923000000001,10,16813,4
53.06089670000001,10,16819,0
53.10256329999999,10,16826,10
53.14423000000001,10,16834,15
53.18589670000001,10,16842,16
53.22756329999999,10,16851,43
53.26923000000001,10,16861,43
53.31089670000001,10,16871,20
53.35256329999999,10,16881,4
53.39423000000001,10,16891,16
53.43589670000001,10,16902,10
53.47756329999999,10,16913,27
53.51923000000001,10,16924,13
53.56089670000001,10,16935,4
53.60256329999999,10,16946,5
53.64423000000001,10,16957,0
53.68589670000001,10,16968,0
53.72756329999999,10,16979,0
53.76923000000001,10,16990,0
53.81089670000001,10,17000,0
53.85256329999999,10,17009,1
53.89423000000001,10,17019,0
53.93589670000001,10,17028,0
53.97756329999999,10,17036,0
54.01923000000001,10,17043,0
54.06089670000001,10,17050,0
54.10256329999999,10,17057,0
54.14423000000001,10,17063,0
54.18589670000001,10,17068,0
54.22756329999999,10,17074,0
54.26923000000001,10,17079,0
54.31089670000001,10,17084,0
54.35256329999999,10,17088,0
54.39423000000001,10,17093,2
54.43589670000001,10,17098,4
54.47756329999999,9,17103,0
54.51923000000001,9,17108,0
54.56089670000001,9,17114,0
54.60256329999999,9,17120,0
54.64423000000001,9,17126,0
54.68589670000001,9,17133,0
54.72756329999999,9,17140,0
54.76923000000001,9,17149,0
54.81089670000001,9,17158,0
54.85256329999999,9,17167,0
54.89423000000001,9,17178,0
54.93589670000001,9,17190,0
54.97756329999999,10,17203,0
55.01923000000001,10,17217,0
55.06089670000001,10,17232,0
55.10256329999999,10,17248,0
55.14423000000001,10,17266,3
55.18589670000001,10,17284,0
55.22756329999999,10,17304,0
55.26923000000001,10,17324,0
55.31089670000001,10,17346,7
55.35256329999999,10,17369,3
55.39423000000001,10,17393,30
55.43589670000001,11,17417,69
55.47756329999999,11,17443,46
55.51923000000001,11,17469,38
55.56089670000001,11,17496,59
55.60256329999999,11,17525,34
55.64423000000001,11,17554,13
55.68589670000001,11,17583,2
55.72756329999999,11,17614,2
55.76923000000001,12,17645,0
55.81089670000001,12,17677,0
55.85256329999999,12,17710,0
55.89423000000001,12,17743,0
55.93589670000001,12,17777,0
55.97756329999999,12,17811,0
56.01923000000001,12,17846,0
56.06089670000001,12,17882,2
56.10256329999999,12,17918,1
56.14423000000001,12,17954,2
56.18589670000001,12,17991,1
56.22756329999999,12,18028,4
56.26923000000001,12,18065,0
56.31089670000001,12,18102,2
56.35256329999999,12,18139,1
56.39423000000001,12,18176,0
56.43589670000001,12,18212,0
56.47756329999999,12,18249,0
56.51923000000001,12,18285,0
56.56089670000001,12,18320,0
56.60256329999999,12,18356,0
56.64423000000001,12,18390,0
56.68589670000001,12,18424,1
56.72756329999999,12,18457,0
56.76923000000001,12,18489,0
56.81089670000001,12,18521,0
56.85256329999999,12,18551,0
56.89423000000001,12,18581,0
56.93589670000001,12,18609,0
56.97756329999999,12,18636,0
57.01923000000001,12,18662,0
57.06089670000001,12,18686,2
57.10256329999999,12,18709,0
57.14423000000001,13,18731,0
57.18589670000001,13,18752,1
57.22756329999999,13,18772,0
57.26923000000001,13,18792,0
57.31089670000001,13,18810,2
57.35256329999999,13,18827,1
57.39423000000001,13,18844,1
57.43589670000001,13,18860,3
57.47756329999999,13,18876,40
57.51923000000001,13,18891,51
57.56089670000001,13,18906,38
57.60256329999999,14,18921,60
57.64423000000001,14,18935,24
57.68589670000001,14,18949,5
57.72756329999999,14,18964,0
57.76923000000001,14,18978,0
57.81089670000001,14,18992,0
57.85256329999999,14,19006,0
57.89423000000001,14,19021,0
57.93589670000001,14,19036,0
57.97756329999999,14,19052,0
58.01923000000001,14,19067,0
58.06089670000001,14,19084,3
58.10256329999999,14,19101,8
58.14423000000001,14,19118,9
58.18589670000001,14,19135,35
58.22756329999999,14,19153,51
58.26923000000001,14,19171,27
58.31089670000001,14,19189,19
58.35256329999999,13,19208,7
58.39423000000001,13,19226,4
58.43589670000001,13,19245,0
58.47756329999999,13,19263,0
58.51923000000001,13,19282,0
58.56089670000001,13,19300,0
58.60256329999999,13,19318,0
58.64423000000001,13,19336,1
58.68589670000001,13,19353,1
58.72756329999999,13,19370,0
58.76923000000001,13,19387,0
58.81089670000001,12,19403,0
58.85256329999999,12,19419,0
58.89423000000001,12,19434,1
58.93589670000001,12,19449,11
58.97756329999999,12,19463,4
59.01923000000001,12,19476,6
59.06089670000001,12,19489,9
59.10256329999999,12,19501,0
59.14423000000001,12,19512,4
59.18589670000001,12,19524,2
59.22756329999999,12,19535,11
59.26923000000001,12,19547,11
59.31089670000001,12,19559,0
59.35256329999999,12,19572,0
59.39423000000001,13,19585,1
59.43589670000001,13,19599,3
59.47756329999999,13,19613,2
59.51923000000001,13,19630,0
59.56089670000001,13,19647,1
59.60256329999999,13,19666,1
59.64423000000001,13,19686,1
59.68589670000001,13,19708,0
59.72756329999999,13,19732,0
59.76923000000001,13,19759,0
59.81089670000001,13,19787,0
59.85256329999999,14,19818,0
