time,births,population,reported_cases
44.01923,33,52117,0
44.0608967,33,52111,22
44.1025633,33,52135,25
44.14423,33,52189,20
44.1858967,33,52270,17
44.2275633,33,52378,29
44.26923,33,52510,26
44.3108967,33,52667,22
44.3525633,33,52846,4
44.39423,33,53047,4
44.4358967,33,53267,1
44.4775633,33,53506,2
44.51923,33,53763,0
44.5608967,33,54036,1
44.6025633,33,54323,5
44.64423,33,54624,2
44.6858967,33,54937,5
44.7275633,34,55261,2
44.76923,34,55595,0
44.8108967,34,55937,0
44.8525633,34,56287,0
44.89423,34,56642,5
44.9358967,34,57001,11
44.9775633,35,57364,2
45.01923,35,57728,0
45.0608967,35,58094,4
45.1025633,35,58459,0
45.14423,36,58824,3
45.1858967,36,59188,8
45.2275633,36,59549,17
45.26923,37,59908,72
45.3108967,37,60263,47
45.3525633,37,60613,88
45.39423,37,60959,115
45.4358967,38,61299,93
45.4775633,38,61632,50
45.51923,38,61957,41
45.5608967,39,62275,16
45.6025633,39,62584,7
45.64423,39,62883,4
45.6858967,40,63172,0
45.7275633,40,63449,0
45.76923,40,63715,0
45.8108967,41,63969,0
45.8525633,41,64209,0
45.89423,41,64435,0
45.9358967,42,64646,0
45.9775633,42,64841,0
46.01923,42,65021,0
46.0608967,42,65184,0
46.1025633,43,65332,1
46.14423,43,65465,1
46.1858967,43,65584,0
46.2275633,43,65691,0
46.26923,44,65786,0
46.3108967,44,65871,0
46.3525633,44,65945,3
46.39423,44,66010,2
46.4358967,44,66067,4
46.4775633,45,66117,4
46.51923,45,66160,0
46.5608967,45,66198,2
46.6025633,45,66231,0
46.64423,45,66260,5
46.6858967,45,66287,2
46.7275633,45,66312,2
46.76923,45,66336,0
46.8108967,45,66359,0
46.8525633,45,66384,1
46.89423,45,66410,1
46.9358967,45,66439,4
46.9775633,44,66471,4
47.01923,44,66507,2
47.0608967,44,66549,7
47.1025633,44,66594,14
47.14423,43,66644,19
47.1858967,43,66697,22
47.2275633,43,66754,39
47.26923,42,66813,22
47.3108967,42,66875,1
47.3525633,42,66939,12
47.39423,41,67005,9
47.4358967,41,67072,3
47.4775633,40,67141,22
47.51923,40,67210,9
47.5608967,39,67279,12
47.6025633,39,67348,9
47.64423,38,67418,4
47.6858967,38,67486,6
47.7275633,38,67553,2
47.76923,37,67619,2
47.8108967,37,67683,2
47.8525633,36,67744,4
47.89423,36,67804,1
47.9358967,36,67860,3
47.9775633,35,67913,0
48.01923,35,67962,15
48.0608967,35,68008,4
48.1025633,35,68050,27
48.14423,35,68089,10
48.1858967,34,68125,62
48.2275633,34,68158,55
48.26923,34,68189,72
48.3108967,34,68217,69
48.3525633,34,68244,68
48.39423,34,68269,106
48.4358967,34,68292,48
48.4775633,34,68314,48
48.51923,34,68334,59
48.5608967,34,68354,34
48.6025633,34,68374,17
48.64423,34,68393,7
48.6858967,34,68412,3
48.7275633,34,68432,5
48.76923,34,68451,2
48.8108967,34,68472,1
48.8525633,34,68493,14
48.89423,34,68516,16
48.9358967,34,68540,7
48.9775633,34,68565,9
49.01923,34,68593,20
49.0608967,34,68622,31
49.1025633,34,68654,17
49.14423,34,68687,25
49.1858967,34,68721,22
49.2275633,34,68757,25
49.26923,34,68794,30
49.3108967,34,68832,22
49.3525633,33,68871,13
49.39423,33,68910,4
49.4358967,33,68950,22
49.4775633,33,68991,12
49.51923,33,69032,9
49.5608967,33,69073,2
49.6025633,33,69113,1
49.64423,33,69154,0
49.6858967,33,69194,0
49.7275633,33,69234,2
49.76923,32,69273,0
49.8108967,32,69311,0
49.8525633,32,69349,0
49.89423,32,69385,0
49.9358967,32,69419,0
49.9775633,32,69453,0
50.01923,32,69484,0
50.0608967,32,69514,0
50.1025633,32,69543,0
50.14423,32,69570,1
50.1858967,31,69595,0
50.2275633,31,69618,1
50.26923,31,69640,0
50.3108967,31,69660,0
50.3525633,31,69679,0
50.39423,31,69696,11
50.4358967,31,69712,18
50.4775633,31,69726,9
50.51923,31,69738,28
50.5608967,31,69749,65
50.6025633,31,69759,51
50.64423,31,69767,28
50.6858967,31,69774,19
50.7275633,31,69779,1
50.76923,31,69783,2
50.8108967,31,69786,10
50.8525633,31,69787,5
50.89423,31,69787,7
50.9358967,30,69785,18
50.9775633,30,69782,32
51.01923,30,69778,4
51.0608967,30,69772,2
51.1025633,30,69766,15
51.14423,30,69758,10
51.1858967,30,69749,4
51.2275633,30,69740,15
51.26923,30,69729,35
51.3108967,31,69718,189
51.3525633,31,69706,198
51.39423,31,69693,212
51.4358967,31,69680,132
51.4775633,31,69666,35
51.51923,31,69652,28
51.5608967,31,69638,11
51.6025633,31,69624,13
51.64423,31,69609,4
51.6858967,31,69594,0
51.7275633,31,69580,0
51.76923,31,69565,0
51.8108967,31,69551,0
51.8525633,31,69537,1
51.89423,31,69523,0
51.9358967,31,69509,0
51.9775633,31,69497,0
52.01923,31,69484,0
52.0608967,31,69473,2
52.1025633,31,69462,0
52.14423,31,69451,0
52.1858967,31,69442,0
52.2275633,31,69433,0
52.26923,31,69424,2
52.3108967,31,69416,1
52.3525633,31,69409,1
52.39423,31,69402,2
52.43589670000001,31,69396,4
52.47756329999999,31,69390,10
52.51923000000001,31,69386,12
52.56089670000001,31,69381,12
52.60256329999999,31,69377,6
52.64423000000001,31,69374,1
52.68589670000001,31,69372,0
52.72756329999999,31,69370,1
52.76923000000001,31,69368,0
52.81089670000001,31,69367,0
52.85256329999999,31,69367,0
52.89423000000001,31,69367,1
52.93589670000001,31,69368,6
52.97756329999999,31,69369,1
53.01923000000001,31,69371,24
53.06089670000001,32,69373,25
53.10256329999999,32,69376,81
53.14423000000001,32,69379,92
53.18589670000001,32,69383,76
53.22756329999999,32,69387,157
53.26923000000001,32,69392,256
53.31089670000001,32,69397,125
53.35256329999999,32,69402,33
53.39423000000001,32,69407,37
53.43589670000001,32,69413,25
53.47756329999999,32,69418,8
53.51923000000001,32,69424,7
53.56089670000001,33,69430,0
53.60256329999999,33,69436,1
53.64423000000001,33,69442,0
53.68589670000001,33,69448,1
53.72756329999999,33,69454,0
53.76923000000001,33,69460,0
53.81089670000001,33,69466,0
53.85256329999999,33,69472,0
53.89423000000001,33,69477,0
53.93589670000001,33,69482,0
53.97756329999999,33,69487,0
54.01923000000001,33,69492,0
54.06089670000001,33,69497,0
54.10256329999999,32,69501,0
54.14423000000001,32,69505,0
54.18589670000001,32,69509,0
54.22756329999999,32,69512,2
54.26923000000001,32,69516,0
54.31089670000001,32,69519,0
54.35256329999999,32,69522,0
54.39423000000001,32,69525,1
54.43589670000001,31,69528,0
54.47756329999999,31,69531,0
54.51923000000001,31,69535,0
54.56089670000001,31,69538,0
54.60256329999999,31,69541,5
54.64423000000001,31,69544,1
54.68589670000001,30,69548,3
54.72756329999999,30,69551,0
54.76923000000001,30,69555,0
54.81089670000001,30,69559,2
54.85256329999999,30,69563,1
54.89423000000001,30,69567,1
54.93589670000001,30,69572,0
54.97756329999999,30,69577,0
55.01923000000001,30,69583,0
55.06089670000001,29,69588,0
55.10256329999999,29,69594,3
55.14423000000001,29,69600,0
55.18589670000001,29,69607,2
55.22756329999999,29,69613,4
55.26923000000001,29,69620,9
55.31089670000001,29,69627,20
55.35256329999999,30,69633,20
55.39423000000001,30,69640,62
55.43589670000001,30,69646,117
