time,births,population,reported_cases
44.01923,18,25053,0
44.0608967,18,24957,0
44.1025633,18,24871,0
44.14423,17,24795,2
44.1858967,17,24728,0
44.2275633,16,24670,4
44.26923,16,24620,2
44.3108967,16,24578,0
44.3525633,15,24544,0
44.39423,15,24518,0
44.4358967,15,24499,0
44.4775633,15,24486,0
44.51923,15,24480,2
44.5608967,15,24480,0
44.6025633,14,24486,1
44.64423,14,24498,0
44.6858967,14,24514,10
44.7275633,14,24536,3
44.76923,14,24562,4
44.8108967,14,24591,22
44.8525633,14,24625,7
44.89423,14,24662,27
44.9358967,14,24703,34
44.9775633,14,24746,33
45.01923,15,24791,37
45.0608967,15,24839,35
45.1025633,15,24889,23
45.14423,15,24940,44
45.1858967,15,24993,33
45.2275633,15,25048,13
45.26923,15,25104,11
45.3108967,15,25160,4
45.3525633,16,25218,0
45.39423,16,25276,0
45.4358967,16,25335,0
45.4775633,16,25394,0
45.51923,16,25453,4
45.5608967,16,25512,0
45.6025633,16,25571,0
45.64423,17,25629,0
45.6858967,17,25687,0
45.7275633,17,25744,0
45.76923,17,25799,0
45.8108967,17,25854,0
45.8525633,17,25907,0
45.89423,18,25958,0
45.9358967,18,26008,1
45.9775633,18,26055,0
46.01923,18,26101,0
46.0608967,18,26144,0
46.1025633,18,26185,0
46.14423,18,26224,1
46.1858967,18,26261,1
46.2275633,18,26297,13
46.26923,18,26331,0
46.3108967,18,26363,2
46.3525633,18,26394,0
46.39423,19,26425,4
46.4358967,19,26454,1
46.4775633,19,26482,12
46.51923,19,26510,7
46.5608967,19,26537,15
46.6025633,19,26563,11
46.64423,19,26589,5
46.6858967,19,26615,0
46.7275633,19,26641,0
46.76923,18,26667,0
46.8108967,18,26694,0
46.8525633,18,26720,0
46.89423,18,26748,0
46.9358967,18,26776,3
46.9775633,18,26804,6
47.01923,18,26834,5
47.0608967,18,26864,37
47.1025633,18,26895,9
47.14423,18,26927,26
47.1858967,18,26959,13
47.2275633,18,26991,19
47.26923,18,27022,2
47.3108967,17,27053,1
47.3525633,17,27084,0
47.39423,17,27114,0
47.4358967,17,27142,0
47.4775633,17,27169,4
47.51923,17,27195,20
47.5608967,17,27219,46
47.6025633,17,27241,21
47.64423,16,27261,2
47.6858967,16,27279,0
47.7275633,16,27293,0
47.76923,16,27305,1
47.8108967,16,27314,0
47.8525633,16,27320,0
47.89423,16,27322,1
47.9358967,16,27320,2
47.9775633,16,27315,0
48.01923,16,27305,0
48.0608967,15,27291,0
48.1025633,15,27274,3
48.14423,15,27255,34
48.1858967,15,27234,67
48.2275633,15,27211,41
48.26923,15,27189,79
48.3108967,15,27167,38
48.3525633,15,27145,24
48.39423,15,27126,24
48.4358967,15,27109,49
48.4775633,15,27096,17
48.51923,15,27086,13
48.5608967,15,27081,1
48.6025633,15,27082,2
48.64423,15,27089,0
48.6858967,15,27102,0
48.7275633,15,27124,0
48.76923,15,27153,2
48.8108967,15,27192,0
48.8525633,15,27240,0
48.89423,16,27299,0
48.9358967,16,27369,0
48.9775633,16,27451,0
49.01923,16,27545,0
49.0608967,16,27652,2
49.1025633,16,27771,1
49.14423,16,27899,2
49.1858967,16,28037,1
49.2275633,17,28183,0
49.26923,17,28336,15
49.3108967,17,28495,12
49.3525633,17,28658,7
49.39423,17,28825,9
49.4358967,17,28994,13
49.4775633,17,29164,9
49.51923,18,29335,17
49.5608967,18,29505,8
49.6025633,18,29672,14
49.64423,18,29837,4
49.6858967,18,29997,0
49.7275633,18,30151,0
49.76923,18,30300,0
49.8108967,18,30440,0
49.8525633,18,30572,0
49.89423,18,30693,0
49.9358967,18,30804,1
49.9775633,18,30902,0
50.01923,18,30988,2
50.0608967,18,31059,3
50.1025633,18,31118,1
50.14423,18,31166,2
50.1858967,18,31202,2
50.2275633,18,31228,7
50.26923,18,31244,2
50.3108967,18,31252,1
50.3525633,18,31252,4
50.39423,17,31245,9
50.4358967,17,31233,8
50.4775633,17,31214,10
50.51923,17,31192,24
50.5608967,17,31166,47
50.6025633,17,31137,12
50.64423,16,31106,7
50.6858967,16,31074,3
50.7275633,16,31041,0
50.76923,16,31010,0
50.8108967,16,30979,0
50.8525633,16,30951,0
50.89423,15,30925,0
50.9358967,15,30904,1
50.9775633,15,30887,0
51.01923,15,30875,0
51.0608967,15,30870,5
51.1025633,15,30869,7
51.14423,15,30873,12
51.1858967,15,30882,4
51.2275633,15,30894,4
51.26923,15,30910,4
51.3108967,15,30929,14
51.3525633,15,30950,7
51.39423,15,30974,3
51.4358967,15,30998,14
51.4775633,15,31025,9
51.51923,15,31051,15
51.5608967,15,31078,18
51.6025633,15,31105,13
51.64423,15,31131,1
51.6858967,16,31156,3
51.7275633,16,31179,2
51.76923,16,31200,0
51.8108967,16,31219,0
51.8525633,16,31235,0
51.89423,16,31247,0
51.9358967,16,31256,0
51.9775633,16,31260,2
52.01923,16,31259,88
52.0608967,16,31254,72
52.1025633,16,31243,104
52.14423,16,31229,133
52.1858967,16,31211,91
52.2275633,16,31190,74
52.26923,16,31165,43
52.3108967,16,31138,21
52.3525633,16,31108,5
52.39423,17,31077,7
52.43589670000001,17,31044,0
52.47756329999999,17,31009,1
52.51923000000001,17,30974,0
52.56089670000001,17,30938,2
52.60256329999999,17,30902,0
52.64423000000001,17,30866,0
52.68589670000001,17,30831,0
52.72756329999999,17,30797,0
52.76923000000001,17,30764,0
52.81089670000001,17,30732,0
52.85256329999999,17,30703,2
52.89423000000001,17,30676,2
52.93589670000001,17,30651,0
52.97756329999999,17,30630,0
53.01923000000001,17,30612,7
53.06089670000001,17,30598,4
53.10256329999999,17,30587,6
53.14423000000001,17,30580,10
53.18589670000001,17,30576,10
53.22756329999999,17,30576,13
53.26923000000001,17,30579,0
53.31089670000001,17,30585,5
53.35256329999999,17,30594,7
53.39423000000001,17,30606,1
53.43589670000001,17,30621,4
53.47756329999999,17,30639,3
53.51923000000001,17,30660,0
53.56089670000001,17,30683,5
53.60256329999999,17,30709,0
53.64423000000001,17,30738,1
53.68589670000001,17,30769,3
53.72756329999999,17,30803,0
53.76923000000001,17,30839,0
53.81089670000001,17,30878,0
53.85256329999999,17,30919,1
53.89423000000001,17,30962,0
53.93589670000001,17,31007,0
53.97756329999999,17,31054,2
54.01923000000001,17,31103,4
54.06089670000001,17,31154,2
54.10256329999999,17,31206,10
54.14423000000001,17,31259,15
54.18589670000001,17,31313,14
54.22756329999999,17,31368,10
54.26923000000001,17,31423,44
54.31089670000001,17,31477,3
54.35256329999999,17,31531,3
54.39423000000001,18,31584,0
54.43589670000001,18,31636,1
54.47756329999999,18,31686,5
54.51923000000001,18,31735,2
54.56089670000001,18,31781,36
54.60256329999999,18,31824,54
54.64423000000001,18,31865,31
54.68589670000001,18,31903,11
54.72756329999999,18,31937,1
54.76923000000001,18,31967,7
54.81089670000001,18,31993,2
54.85256329999999,18,32015,2
54.89423000000001,18,32032,0
54.93589670000001,18,32043,0
54.97756329999999,18,32049,0
55.01923000000001,18,32049,0
55.06089670000001,19,32044,1
55.10256329999999,19,32033,7
55.14423000000001,19,32018,12
55.18589670000001,19,31998,50
55.22756329999999,19,31975,57
55.26923000000001,19,31948,20
55.31089670000001,19,31920,13
55.35256329999999,19,31889,22
55.39423000000001,19,31856,39
55.43589670000001,19,31823,15
55.47756329999999,18,31790,6
55.51923000000001,18,31756,2
55.56089670000001,18,31724,0
55.60256329999999,18,31692,2
55.64423000000001,18,31663,0
55.68589670000001,18,31635,1
55.72756329999999,18,31611,0
55.76923000000001,18,31590,2
55.81089670000001,18,31573,0
55.85256329999999,18,31560,0
55.89423000000001,18,31553,0
55.93589670000001,18,31551,0
55.97756329999999,18,31555,0
56.01923000000001,18,31566,0
56.06089670000001,18,31583,2
56.10256329999999,18,31606,2
56.14423000000001,18,31635,1
56.18589670000001,18,31667,1
56.22756329999999,17,31704,2
56.26923000000001,17,31743,0
56.31089670000001,17,31784,13
56.35256329999999,17,31827,50
56.39423000000001,17,31870,44
56.43589670000001,17,31913,47
56.47756329999999,17,31955,13
56.51923000000001,17,31996,7
56.56089670000001,17,32034,9
56.60256329999999,17,32069,3
56.64423000000001,17,32100,1
56.68589670000001,17,32126,1
56.72756329999999,17,32147,0
56.76923000000001,17,32162,0
56.81089670000001,17,32170,0
56.85256329999999,17,32171,0
56.89423000000001,17,32163,0
56.93589670000001,17,32146,0
56.97756329999999,17,32119,4
57.01923000000001,18,32081,46
57.06089670000001,18,32033,13
57.10256329999999,18,31975,7
57.14423000000001,18,31909,7
57.18589670000001,18,31834,3
57.22756329999999,18,31752,16
57.26923000000001,18,31663,2
57.31089670000001,19,31570,4
57.35256329999999,19,31471,3
57.39423000000001,19,31370,23
57.43589670000001,19,31265,36
57.47756329999999,20,31158,36
57.51923000000001,20,31050,50
57.56089670000001,20,30942,22
57.60256329999999,20,30835,15
57.64423000000001,20,30729,22
57.68589670000001,21,30625,1
57.72756329999999,21,30525,0
57.76923000000001,21,30429,2
57.81089670000001,21,30338,14
57.85256329999999,21,30252,14
57.89423000000001,21,30174,5
57.93589670000001,21,30103,8
57.97756329999999,22,30040,24
58.01923000000001,22,29987,20
58.06089670000001,22,29943,18
58.10256329999999,22,29908,6
58.14423000000001,22,29882,19
58.18589670000001,22,29863,16
58.22756329999999,22,29852,4
58.26923000000001,22,29849,0
58.31089670000001,22,29851,2
58.35256329999999,22,29860,7
58.39423000000001,22,29873,0
58.43589670000001,22,29892,0
58.47756329999999,22,29915,0
58.51923000000001,22,29942,2
58.56089670000001,22,29972,2
58.60256329999999,21,30005,7
58.64423000000001,21,30040,0
58.68589670000001,21,30077,1
58.72756329999999,21,30116,0
58.76923000000001,21,30155,0
58.81089670000001,21,30194,0
58.85256329999999,21,30233,0
58.89423000000001,21,30271,2
58.93589670000001,21,30307,3
58.97756329999999,21,30342,2
59.01923000000001,21,30375,31
59.06089670000001,21,30405,26
59.10256329999999,21,30432,23
59.14423000000001,21,30457,66
59.18589670000001,21,30481,14
59.22756329999999,21,30503,10
59.26923000000001,21,30523,7
59.31089670000001,21,30543,4
59.35256329999999,21,30561,6
59.39423000000001,21,30579,1
59.43589670000001,21,30596,0
59.47756329999999,21,30613,17
59.51923000000001,21,30630,35
59.56089670000001,21,30647,10
59.60256329999999,21,30665,0
59.64423000000001,21,30683,0
59.68589670000001,21,30702,1
59.72756329999999,21,30723,0
59.76923000000001,21,30744,2
59.81089670000001,21,30768,0
59.85256329999999,21,30793,1
59.89423000000001,21,30820,0
59.93589670000001,21,30850,1
59.97756329999999,21,30882,0
60.01923000000001,21,30916,0
60.06089670000001,21,30954,0
60.10256329999999,21,30994,0
60.14423000000001,22,31036,1
60.18589670000001,22,31081,1
60.22756329999999,22,31127,0
60.26923000000001,22,31175,2
60.31089670000001,22,31224,2
60.35256329999999,22,31274,0
60.39423000000001,22,31325,2
60.43589670000001,22,31376,0
60.47756329999999,22,31428,0
60.51923000000001,22,31480,4
60.56089670000001,22,31531,13
60.60256329999999,22,31582,21
60.64423000000001,22,31633,11
60.68589670000001,22,31682,1
60.72756329999999,22,31731,2
60.76923000000001,22,31778,0
60.81089670000001,22,31823,0
60.85256329999999,23,31866,1
60.89423000000001,23,31907,1
60.93589670000001,23,31946,6
60.97756329999999,23,31982,26
61.01923000000001,23,32015,22
61.06089670000001,23,32045,26
61.10256329999999,23,32072,47
61.14423000000001,23,32097,32
61.18589670000001,23,32119,16
61.22756329999999,23,32138,8
61.26923000000001,23,32155,0
61.31089670000001,23,32170,9
61.35256329999999,23,32183,14
61.39423000000001,23,32194,8
61.43589670000001,23,32204,12
61.47756329999999,23,32211,6
61.51923000000001,23,32217,4
61.56089670000001,23,32222,4
61.60256329999999,23,32225,3
61.64423000000001,23,32227,1
61.68589670000001,23,32229,1
61.72756329999999,23,32229,0
61.76923000000001,23,32229,0
