time,births,population,reported_cases
44.01923,218,229246,0
44.0608967,214,228527,1
44.1025633,210,227985,4
44.14423,207,227614,1
44.1858967,204,227405,11
44.2275633,202,227353,14
44.26923,200,227449,7
44.3108967,199,227687,17
44.3525633,198,228060,16
44.39423,197,228560,20
44.4358967,197,229180,14
44.4775633,197,229913,2
44.51923,197,230751,4
44.5608967,198,231689,0
44.6025633,199,232717,4
44.64423,200,233831,4
44.6858967,202,235021,1
44.7275633,204,236281,2
44.76923,206,237604,2
44.8108967,208,238982,8
44.8525633,211,240409,32
44.89423,213,241877,34
44.9358967,216,243379,26
44.9775633,219,244908,41
45.01923,222,246457,178
45.0608967,226,248020,233
45.1025633,229,249593,528
45.14423,233,251171,916
45.1858967,237,252752,776
45.2275633,240,254331,674
45.26923,244,255903,414
45.3108967,248,257465,137
45.3525633,252,259013,66
45.39423,256,260542,60
45.4358967,260,262049,22
45.4775633,265,263530,12
45.51923,269,264980,2
45.5608967,273,266396,4
45.6025633,277,267773,4
45.64423,281,269108,2
45.6858967,285,270396,6
45.7275633,289,271633,0
45.76923,293,272815,2
45.8108967,296,273939,2
45.8525633,300,275000,0
45.89423,304,275994,2
45.9358967,307,276917,4
45.9775633,310,277766,0
46.01923,314,278535,0
46.0608967,317,279226,0
46.1025633,319,279843,3
46.14423,322,280391,20
46.1858967,325,280875,33
46.2275633,327,281299,19
46.26923,329,281670,13
46.3108967,331,281991,5
46.3525633,333,282269,45
46.39423,335,282506,34
46.4358967,336,282710,46
46.4775633,337,282884,37
46.51923,339,283033,43
46.5608967,340,283163,22
46.6025633,340,283278,12
46.64423,341,283384,9
46.6858967,341,283485,3
46.7275633,342,283586,18
46.76923,342,283693,30
46.8108967,342,283809,41
46.8525633,341,283941,61
46.89423,341,284092,85
46.9358967,340,284268,111
46.9775633,339,284475,113
47.01923,338,284716,179
47.0608967,337,284993,228
47.1025633,335,285303,142
47.14423,334,285643,211
47.1858967,332,286009,183
47.2275633,330,286400,199
47.26923,328,286812,136
47.3108967,326,287241,152
47.3525633,324,287685,107
47.39423,322,288141,107
47.4358967,319,288606,133
47.4775633,317,289076,91
47.51923,315,289549,116
47.5608967,312,290022,104
47.6025633,310,290491,33
47.64423,307,290953,40
47.6858967,305,291406,16
47.7275633,302,291846,19
47.76923,300,292271,9
47.8108967,298,292677,9
47.8525633,296,293061,7
47.89423,294,293420,22
47.9358967,292,293751,15
47.9775633,290,294052,3
48.01923,288,294319,7
48.0608967,286,294551,25
48.1025633,285,294752,18
48.14423,284,294924,51
48.1858967,282,295069,42
48.2275633,281,295191,63
48.26923,280,295291,76
48.3108967,279,295373,50
48.3525633,279,295439,114
48.39423,278,295491,157
48.4358967,277,295533,296
48.4775633,277,295567,283
48.51923,276,295596,249
48.5608967,275,295622,306
48.6025633,275,295648,312
48.64423,275,295676,171
48.6858967,274,295710,116
48.7275633,274,295751,169
48.76923,274,295803,108
48.8108967,273,295868,222
48.8525633,273,295949,305
48.89423,273,296048,521
48.9358967,272,296168,516
48.9775633,272,296312,307
49.01923,271,296482,236
49.0608967,271,296678,165
49.1025633,271,296898,153
49.14423,270,297139,203
49.1858967,270,297398,156
49.2275633,269,297672,121
49.26923,268,297959,108
49.3108967,268,298255,154
49.3525633,267,298559,96
49.39423,267,298867,47
49.4358967,266,299176,51
49.4775633,265,299484,42
49.51923,265,299788,33
49.5608967,264,300085,52
49.6025633,263,300373,36
49.64423,263,300648,12
49.6858967,262,300909,6
49.7275633,261,301151,7
49.76923,261,301373,2
49.8108967,260,301571,7
49.8525633,259,301743,2
49.89423,259,301886,9
49.9358967,258,301997,0
49.9775633,257,302074,5
50.01923,257,302114,0
50.0608967,256,302116,9
50.1025633,256,302083,3
50.14423,255,302018,7
50.1858967,254,301924,3
50.2275633,254,301804,2
50.26923,253,301659,4
50.3108967,253,301493,4
50.3525633,252,301309,6
50.39423,251,301108,4
50.4358967,251,300895,36
50.4775633,250,300671,40
50.51923,250,300440,130
50.5608967,249,300203,158
50.6025633,249,299965,96
50.64423,248,299727,78
50.6858967,248,299492,86
50.7275633,248,299262,147
50.76923,247,299042,379
50.8108967,247,298833,677
50.8525633,246,298638,1214
50.89423,246,298459,1477
50.9358967,246,298300,1226
50.9775633,245,298164,803
51.01923,245,298052,358
51.0608967,245,297965,353
51.1025633,245,297903,80
51.14423,244,297863,86
51.1858967,244,297844,89
51.2275633,244,297844,89
51.26923,244,297862,139
51.3108967,244,297896,132
51.3525633,243,297945,85
51.39423,243,298007,60
51.4358967,243,298080,81
51.4775633,243,298164,51
51.51923,243,298255,35
51.5608967,243,298353,66
51.6025633,243,298457,37
51.64423,243,298564,41
51.6858967,243,298673,14
51.7275633,243,298783,31
51.76923,243,298891,2
51.8108967,243,298997,8
51.8525633,244,299098,30
51.89423,244,299194,57
51.9358967,244,299282,63
51.9775633,244,299362,129
52.01923,244,299430,343
52.0608967,245,299488,390
52.1025633,245,299536,535
52.14423,245,299573,734
52.1858967,245,299602,1076
52.2275633,246,299623,930
52.26923,246,299636,650
52.3108967,246,299642,392
52.3525633,247,299643,199
52.39423,247,299637,120
52.43589670000001,247,299628,104
52.47756329999999,248,299614,47
52.51923000000001,248,299597,28
52.56089670000001,248,299577,37
52.60256329999999,249,299556,30
52.64423000000001,249,299534,24
52.68589670000001,249,299511,7
52.72756329999999,249,299489,17
52.76923000000001,249,299467,22
52.81089670000001,250,299448,41
52.85256329999999,250,299430,44
52.89423000000001,250,299416,26
52.93589670000001,250,299406,9
52.97756329999999,250,299401,2
53.01923000000001,250,299401,24
53.06089670000001,249,299406,4
53.10256329999999,249,299416,25
53.14423000000001,249,299431,20
53.18589670000001,249,299450,24
53.22756329999999,249,299473,31
53.26923000000001,248,299499,69
53.31089670000001,248,299527,147
53.35256329999999,247,299558,193
53.39423000000001,247,299591,344
53.43589670000001,247,299626,286
53.47756329999999,246,299661,515
53.51923000000001,246,299697,455
53.56089670000001,245,299732,345
53.60256329999999,245,299768,214
53.64423000000001,244,299803,113
53.68589670000001,244,299836,75
53.72756329999999,243,299868,30
53.76923000000001,243,299897,33
53.81089670000001,242,299924,17
53.85256329999999,242,299948,22
53.89423000000001,241,299968,36
53.93589670000001,241,299984,30
53.97756329999999,241,299996,22
54.01923000000001,240,300003,59
54.06089670000001,240,300004,34
54.10256329999999,240,300002,13
54.14423000000001,239,299995,48
54.18589670000001,239,299984,65
54.22756329999999,239,299970,64
54.26923000000001,239,299954,113
54.31089670000001,239,299934,90
54.35256329999999,238,299913,90
54.39423000000001,238,299889,65
54.43589670000001,238,299864,56
54.47756329999999,238,299839,52
54.51923000000001,238,299812,56
54.56089670000001,238,299786,70
54.60256329999999,238,299760,74
54.64423000000001,238,299734,46
54.68589670000001,238,299710,28
54.72756329999999,238,299687,37
54.76923000000001,238,299666,87
54.81089670000001,238,299647,117
54.85256329999999,238,299631,184
54.89423000000001,238,299617,173
54.93589670000001,239,299607,141
54.97756329999999,239,299601,150
55.01923000000001,239,299600,247
55.06089670000001,239,299602,173
55.10256329999999,239,299609,159
55.14423000000001,240,299619,305
55.18589670000001,240,299633,343
55.22756329999999,240,299650,408
55.26923000000001,240,299670,468
55.31089670000001,241,299693,403
55.35256329999999,241,299718,218
55.39423000000001,241,299745,200
55.43589670000001,241,299774,187
55.47756329999999,241,299804,155
55.51923000000001,242,299836,158
55.56089670000001,242,299869,88
55.60256329999999,242,299902,38
55.64423000000001,242,299936,25
55.68589670000001,242,299970,12
55.72756329999999,243,300003,8
55.76923000000001,243,300037,0
55.81089670000001,243,300069,1
55.85256329999999,243,300101,3
55.89423000000001,243,300131,0
55.93589670000001,243,300160,7
55.97756329999999,243,300186,0
56.01923000000001,243,300211,2
56.06089670000001,243,300234,6
56.10256329999999,243,300254,1
56.14423000000001,243,300273,27
56.18589670000001,243,300290,15
56.22756329999999,243,300305,10
56.26923000000001,242,300319,35
56.31089670000001,242,300332,24
56.35256329999999,242,300343,48
56.39423000000001,242,300354,65
56.43589670000001,242,300364,153
56.47756329999999,242,300373,152
56.51923000000001,241,300381,0
56.56089670000001,241,300390,183
56.60256329999999,241,300398,257
56.64423000000001,241,300406,159
56.68589670000001,241,300415,124
56.72756329999999,241,300424,68
56.76923000000001,241,300433,54
56.81089670000001,241,300443,83
56.85256329999999,241,300453,161
56.89423000000001,241,300465,321
56.93589670000001,241,300478,463
56.97756329999999,241,300492,674
57.01923000000001,241,300507,919
57.06089670000001,241,300524,515
57.10256329999999,241,300542,508
57.14423000000001,242,300562,538
57.18589670000001,242,300583,334
57.22756329999999,242,300605,283
57.26923000000001,243,300628,115
57.31089670000001,243,300651,58
57.35256329999999,244,300676,65
57.39423000000001,244,300701,48
57.43589670000001,245,300728,37
57.47756329999999,245,300754,9
57.51923000000001,245,300781,15
57.56089670000001,246,300809,20
57.60256329999999,246,300837,17
57.64423000000001,247,300865,9
57.68589670000001,247,300893,8
57.72756329999999,247,300921,6
57.76923000000001,248,300949,2
57.81089670000001,248,300977,0
57.85256329999999,248,301005,0
57.89423000000001,249,301032,0
57.93589670000001,249,301059,2
57.97756329999999,249,301086,0
58.01923000000001,249,301112,2
58.06089670000001,249,301137,6
58.10256329999999,249,301162,0
58.14423000000001,249,301187,2
58.18589670000001,249,301211,2
58.22756329999999,249,301235,0
58.26923000000001,249,301259,4
58.31089670000001,249,301283,2
58.35256329999999,249,301308,2
58.39423000000001,248,301332,47
58.43589670000001,248,301358,75
58.47756329999999,248,301383,80
58.51923000000001,248,301410,154
58.56089670000001,248,301437,191
58.60256329999999,247,301465,180
58.64423000000001,247,301494,124
58.68589670000001,247,301524,68
58.72756329999999,247,301556,72
58.76923000000001,247,301589,176
58.81089670000001,246,301623,344
58.85256329999999,246,301659,688
58.89423000000001,246,301696,740
58.93589670000001,246,301736,640
58.97756329999999,246,301777,288
59.01923000000001,246,301820,473
59.06089670000001,246,301865,332
59.10256329999999,247,301912,317
59.14423000000001,247,301960,152
59.18589670000001,247,302008,58
59.22756329999999,247,302056,55
59.26923000000001,248,302104,7
59.31089670000001,248,302151,12
59.35256329999999,248,302197,10
59.39423000000001,249,302241,8
59.43589670000001,249,302283,7
59.47756329999999,250,302322,9
59.51923000000001,250,302358,2
59.56089670000001,250,302390,8
59.60256329999999,251,302419,7
59.64423000000001,251,302443,9
59.68589670000001,252,302462,4
59.72756329999999,252,302475,6
59.76923000000001,253,302483,2
59.81089670000001,253,302485,13
59.85256329999999,254,302479,18
59.89423000000001,254,302467,14
59.93589670000001,255,302447,11
59.97756329999999,255,302419,8
60.01923000000001,255,302382,7
60.06089670000001,256,302337,4
60.10256329999999,256,302284,0
60.14423000000001,256,302224,4
60.18589670000001,257,302159,4
60.22756329999999,257,302088,2
60.26923000000001,257,302012,4
60.31089670000001,257,301933,0
60.35256329999999,258,301851,1
60.39423000000001,258,301766,1
60.43589670000001,258,301681,4
60.47756329999999,258,301594,0
60.51923000000001,258,301508,4
60.56089670000001,259,301423,10
60.60256329999999,259,301340,53
60.64423000000001,259,301260,31
60.68589670000001,259,301182,25
60.72756329999999,259,301109,9
60.76923000000001,259,301041,9
60.81089670000001,259,300979,22
60.85256329999999,260,300923,34
60.89423000000001,260,300875,44
