time,births,population,reported_cases
44.01923,8,10254,0
44.0608967,8,10220,0
44.1025633,7,10184,0
44.14423,7,10148,0
44.1858967,7,10110,0
44.2275633,7,10073,0
44.26923,7,10035,4
44.3108967,7,9996,0
44.3525633,7,9957,0
44.39423,7,9918,0
44.4358967,7,9878,0
44.4775633,7,9839,0
44.51923,7,9800,2
44.5608967,7,9760,0
44.6025633,7,9721,0
44.64423,7,9682,0
44.6858967,7,9644,0
44.7275633,7,9606,0
44.76923,7,9569,0
44.8108967,7,9532,0
44.8525633,7,9496,0
44.89423,7,9461,0
44.9358967,7,9427,0
44.9775633,7,9394,0
45.01923,6,9362,0
45.0608967,6,9332,4
45.1025633,6,9302,6
45.14423,6,9274,12
45.1858967,6,9247,19
45.2275633,6,9221,25
45.26923,6,9197,19
45.3108967,6,9174,4
45.3525633,6,9153,1
45.39423,6,9133,3
45.4358967,6,9115,1
45.4775633,6,9098,0
45.51923,6,9083,0
45.5608967,6,9070,0
45.6025633,6,9058,0
45.64423,6,9048,0
45.6858967,6,9040,0
45.7275633,6,9033,0
45.76923,6,9029,0
45.8108967,6,9026,0
45.8525633,6,9025,0
45.89423,6,9027,0
45.9358967,6,9030,0
45.9775633,6,9035,0
46.01923,6,9043,0
46.0608967,6,9052,0
46.1025633,7,9063,0
46.14423,7,9077,0
46.1858967,7,9091,0
46.2275633,7,9108,0
46.26923,7,9125,0
46.3108967,7,9144,0
46.3525633,7,9164,0
46.39423,7,9185,0
46.4358967,7,9207,0
46.4775633,7,9229,0
46.51923,7,9252,0
46.5608967,7,9276,0
46.6025633,7,9300,0
46.64423,7,9324,0
46.6858967,7,9348,0
46.7275633,7,9371,0
46.76923,7,9395,0
46.8108967,7,9418,0
46.8525633,7,9441,1
46.89423,7,9463,0
46.9358967,7,9484,0
46.9775633,7,9504,0
47.01923,7,9524,2
47.0608967,7,9542,4
47.1025633,7,9559,1
47.14423,7,9575,31
47.1858967,7,9589,4
47.2275633,7,9603,6
47.26923,7,9615,13
47.3108967,7,9626,10
47.3525633,7,9636,0
47.39423,7,9644,0
47.4358967,7,9652,0
47.4775633,7,9658,1
47.51923,7,9662,0
47.5608967,7,9666,0
47.6025633,7,9668,2
47.64423,7,9669,0
47.6858967,7,9669,1
47.7275633,7,9667,0
47.76923,7,9664,0
47.8108967,7,9659,0
47.8525633,7,9653,0
47.89423,7,9646,0
47.9358967,7,9637,0
47.9775633,7,9627,0
48.01923,7,9615,0
48.0608967,7,9603,0
48.1025633,7,9588,0
48.14423,7,9573,0
48.1858967,7,9557,0
48.2275633,7,9540,2
48.26923,7,9522,0
48.3108967,7,9503,2
48.3525633,7,9484,0
48.39423,7,9465,1
48.4358967,7,9446,0
48.4775633,7,9426,2
48.51923,7,9406,4
48.5608967,6,9387,2
48.6025633,6,9368,0
48.64423,6,9349,0
48.6858967,6,9331,0
48.7275633,6,9313,0
48.76923,6,9296,0
48.8108967,6,9281,0
48.8525633,6,9266,0
48.89423,6,9252,0
48.9358967,6,9240,0
48.9775633,6,9229,0
49.01923,6,9220,0
49.0608967,6,9212,3
49.1025633,6,9206,43
49.14423,6,9201,38
49.1858967,5,9198,15
49.2275633,5,9196,4
49.26923,5,9194,0
49.3108967,5,9194,2
49.3525633,5,9195,0
49.39423,5,9197,0
49.4358967,5,9199,1
49.4775633,5,9202,2
49.51923,5,9206,0
49.5608967,5,9210,0
49.6025633,5,9214,0
49.64423,5,9219,1
49.6858967,5,9224,0
49.7275633,5,9229,0
49.76923,5,9234,0
49.8108967,5,9238,0
49.8525633,5,9243,0
49.89423,5,9247,0
49.9358967,5,9251,0
49.9775633,5,9254,0
50.01923,5,9257,0
50.0608967,5,9259,0
50.1025633,5,9261,0
50.14423,5,9262,1
50.1858967,5,9262,0
50.2275633,5,9261,0
50.26923,5,9260,0
50.3108967,5,9258,0
50.3525633,5,9255,0
50.39423,5,9251,0
50.4358967,5,9247,0
50.4775633,5,9242,0
50.51923,5,9236,4
50.5608967,5,9229,0
50.6025633,5,9222,1
50.64423,5,9213,2
50.6858967,5,9204,1
50.7275633,5,9194,0
50.76923,5,9183,0
50.8108967,5,9171,1
50.8525633,5,9158,1
50.89423,5,9144,1
50.9358967,5,9130,0
50.9775633,5,9114,0
51.01923,5,9097,0
51.0608967,5,9080,0
51.1025633,5,9061,2
51.14423,5,9042,0
51.1858967,5,9023,0
51.2275633,5,9003,0
51.26923,5,8983,0
51.3108967,5,8962,0
51.3525633,5,8942,1
51.39423,5,8922,1
51.4358967,5,8902,0
51.4775633,5,8883,2
51.51923,5,8864,2
51.5608967,5,8845,2
51.6025633,5,8828,0
51.64423,5,8812,2
51.6858967,5,8796,10
51.7275633,5,8782,3
51.76923,5,8769,2
51.8108967,5,8758,0
51.8525633,5,8748,0
51.89423,5,8740,0
51.9358967,5,8734,0
51.9775633,5,8730,0
52.01923,5,8728,0
52.0608967,5,8729,0
52.1025633,5,8731,0
52.14423,5,8735,0
52.1858967,5,8741,0
52.2275633,5,8748,0
52.26923,5,8757,0
52.3108967,5,8767,1
52.3525633,5,8779,0
52.39423,5,8791,0
52.43589670000001,5,8804,0
52.47756329999999,5,8818,0
52.51923000000001,5,8832,0
52.56089670000001,5,8847,2
52.60256329999999,5,8862,2
52.64423000000001,5,8877,1
52.68589670000001,5,8892,0
52.72756329999999,5,8907,0
52.76923000000001,5,8922,0
52.81089670000001,5,8936,0
52.85256329999999,5,8950,0
52.89423000000001,5,8963,2
52.93589670000001,5,8975,20
52.97756329999999,5,8986,4
53.01923000000001,5,8995,12
53.06089670000001,5,9004,10
53.10256329999999,5,9011,137
53.14423000000001,5,9017,166
53.18589670000001,5,9023,44
53.22756329999999,5,9027,9
53.26923000000001,5,9030,8
53.31089670000001,5,9032,2
53.35256329999999,5,9034,0
53.39423000000001,5,9035,1
53.43589670000001,5,9035,0
53.47756329999999,5,9034,0
53.51923000000001,5,9033,0
53.56089670000001,5,9032,0
53.60256329999999,5,9030,1
53.64423000000001,5,9027,0
53.68589670000001,5,9025,0
53.72756329999999,5,9022,0
53.76923000000001,5,9019,0
53.81089670000001,5,9015,0
53.85256329999999,5,9012,0
53.89423000000001,5,9008,0
53.93589670000001,5,9005,0
53.97756329999999,5,9002,0
54.01923000000001,5,8999,0
54.06089670000001,5,8996,0
54.10256329999999,5,8993,0
54.14423000000001,5,8990,0
54.18589670000001,5,8988,0
54.22756329999999,5,8985,0
54.26923000000001,5,8983,0
54.31089670000001,5,8981,0
54.35256329999999,5,8978,0
54.39423000000001,5,8976,0
54.43589670000001,5,8974,0
54.47756329999999,4,8971,0
54.51923000000001,4,8969,0
54.56089670000001,4,8966,2
54.60256329999999,4,8964,0
54.64423000000001,4,8961,0
54.68589670000001,4,8958,0
54.72756329999999,4,8955,0
54.76923000000001,4,8952,0
54.81089670000001,4,8949,0
54.85256329999999,4,8945,0
54.89423000000001,4,8941,0
54.93589670000001,4,8937,0
54.97756329999999,4,8933,0
55.01923000000001,4,8928,0
55.06089670000001,4,8923,0
55.10256329999999,4,8917,0
55.14423000000001,4,8912,0
55.18589670000001,4,8906,0
55.22756329999999,4,8899,0
55.26923000000001,4,8893,2
55.31089670000001,4,8887,0
55.35256329999999,4,8880,1
55.39423000000001,4,8873,1
55.43589670000001,4,8866,1
55.47756329999999,4,8860,2
55.51923000000001,4,8853,2
55.56089670000001,4,8846,2
55.60256329999999,4,8839,4
55.64423000000001,4,8832,1
55.68589670000001,4,8825,0
55.72756329999999,4,8819,0
55.76923000000001,4,8812,0
55.81089670000001,5,8806,0
55.85256329999999,5,8800,0
55.89423000000001,5,8794,0
55.93589670000001,5,8788,0
55.97756329999999,5,8783,0
56.01923000000001,5,8778,0
56.06089670000001,5,8773,3
56.10256329999999,5,8768,33
56.14423000000001,5,8764,49
56.18589670000001,5,8760,37
56.22756329999999,5,8756,6
56.26923000000001,5,8753,0
56.31089670000001,5,8749,1
56.35256329999999,5,8746,12
56.39423000000001,5,8743,16
56.43589670000001,5,8740,7
56.47756329999999,5,8737,4
56.51923000000001,5,8734,2
56.56089670000001,5,8731,2
56.60256329999999,5,8728,0
56.64423000000001,5,8726,1
56.68589670000001,5,8723,0
56.72756329999999,5,8720,0
56.76923000000001,5,8717,0
56.81089670000001,5,8714,0
56.85256329999999,5,8711,0
56.89423000000001,5,8708,0
56.93589670000001,5,8705,0
56.97756329999999,5,8702,0
57.01923000000001,5,8698,0
57.06089670000001,5,8695,0
57.10256329999999,5,8691,0
57.14423000000001,5,8687,0
57.18589670000001,5,8683,0
57.22756329999999,4,8679,0
57.26923000000001,4,8675,0
57.31089670000001,4,8671,0
57.35256329999999,4,8666,1
57.39423000000001,4,8662,1
57.43589670000001,4,8658,1
57.47756329999999,4,8654,2
57.51923000000001,4,8650,4
57.56089670000001,4,8646,0
57.60256329999999,4,8643,3
57.64423000000001,4,8639,1
57.68589670000001,4,8636,0
57.72756329999999,4,8633,0
57.76923000000001,4,8630,0
57.81089670000001,4,8628,0
57.85256329999999,4,8625,0
57.89423000000001,4,8623,0
57.93589670000001,4,8622,0
57.97756329999999,4,8621,2
58.01923000000001,4,8620,0
58.06089670000001,4,8619,0
58.10256329999999,4,8619,0
58.14423000000001,4,8619,0
58.18589670000001,4,8620,0
58.22756329999999,5,8621,0
58.26923000000001,5,8622,0
58.31089670000001,5,8623,0
58.35256329999999,5,8624,1
58.39423000000001,5,8626,0
58.43589670000001,5,8628,0
58.47756329999999,5,8629,1
58.51923000000001,5,8631,1
58.56089670000001,5,8633,11
58.60256329999999,5,8635,91
58.64423000000001,5,8637,54
58.68589670000001,5,8639,20
58.72756329999999,5,8641,5
58.76923000000001,5,8643,7
58.81089670000001,5,8645,2
58.85256329999999,5,8646,2
58.89423000000001,5,8648,1
58.93589670000001,5,8649,15
58.97756329999999,5,8650,2
59.01923000000001,5,8650,2
59.06089670000001,5,8651,5
59.10256329999999,5,8651,3
59.14423000000001,5,8651,4
59.18589670000001,5,8650,1
59.22756329999999,5,8650,1
59.26923000000001,5,8649,0
59.31089670000001,5,8648,2
59.35256329999999,5,8647,0
59.39423000000001,5,8646,0
59.43589670000001,5,8645,3
59.47756329999999,5,8643,0
59.51923000000001,5,8642,0
59.56089670000001,5,8640,0
59.60256329999999,5,8638,1
59.64423000000001,5,8636,0
59.68589670000001,5,8634,0
59.72756329999999,5,8633,0
59.76923000000001,5,8631,0
59.81089670000001,5,8629,0
59.85256329999999,5,8627,0
59.89423000000001,5,8625,0
59.93589670000001,5,8623,0
59.97756329999999,5,8621,0
60.01923000000001,5,8619,0
60.06089670000001,5,8617,0
60.10256329999999,5,8616,0
60.14423000000001,5,8614,0
60.18589670000001,5,8613,0
60.22756329999999,5,8611,0
60.26923000000001,5,8609,0
60.31089670000001,5,8608,0
60.35256329999999,5,8606,1
60.39423000000001,5,8605,0
60.43589670000001,5,8603,0
60.47756329999999,5,8602,0
60.51923000000001,5,8601,0
60.56089670000001,5,8599,0
60.60256329999999,5,8597,1
60.64423000000001,5,8596,1
60.68589670000001,5,8594,0
60.72756329999999,5,8593,0
60.76923000000001,5,8591,0
60.81089670000001,5,8589,0
60.85256329999999,5,8587,0
60.89423000000001,5,8585,1
60.93589670000001,5,8583,0
60.97756329999999,5,8581,0
61.01923000000001,5,8579,0
61.06089670000001,5,8577,0
61.10256329999999,5,8574,0
61.14423000000001,5,8572,0
61.18589670000001,5,8569,0
61.22756329999999,5,8567,2
61.26923000000001,5,8564,4
61.31089670000001,5,8561,4
61.35256329999999,5,8558,11
61.39423000000001,5,8555,83
61.43589670000001,5,8552,96
61.47756329999999,5,8549,51
61.51923000000001,5,8546,10
61.56089670000001,5,8543,6
61.60256329999999,5,8540,2
61.64423000000001,5,8537,2
61.68589670000001,5,8534,0
61.72756329999999,5,8531,0
61.76923000000001,5,8528,0
61.81089670000001,5,8524,0
61.85256329999999,4,8521,0
61.89423000000001,4,8518,0
61.93589670000001,4,8515,0
