time,births,population,reported_cases
44.01923,33,35165,0
44.0608967,32,35072,0
44.1025633,32,34986,0
44.14423,32,34908,0
44.1858967,32,34836,0
44.2275633,32,34772,0
44.26923,31,34714,0
44.3108967,31,34663,0
44.3525633,31,34617,0
44.39423,31,34578,0
44.4358967,31,34545,0
44.4775633,31,34517,2
44.51923,31,34494,0
44.5608967,30,34477,2
44.6025633,30,34465,1
44.64423,30,34457,0
44.6858967,30,34455,0
44.7275633,30,34456,0
44.76923,30,34462,0
44.8108967,30,34472,0
44.8525633,30,34485,0
44.89423,30,34502,0
44.9358967,30,34522,0
44.9775633,29,34546,0
45.01923,29,34573,2
45.0608967,29,34602,4
45.1025633,29,34634,1
45.14423,29,34668,2
45.1858967,29,34705,3
45.2275633,29,34744,4
45.26923,29,34785,56
45.3108967,29,34827,125
45.3525633,29,34872,236
45.39423,29,34918,312
45.4358967,29,34965,106
45.4775633,29,35013,22
45.51923,29,35062,18
45.5608967,29,35112,6
45.6025633,29,35163,4
45.64423,29,35214,1
45.6858967,30,35266,1
45.7275633,30,35318,2
45.76923,30,35370,0
45.8108967,30,35421,0
45.8525633,30,35473,0
45.89423,30,35524,0
45.9358967,30,35574,0
45.9775633,30,35624,0
46.01923,30,35672,0
46.0608967,30,35720,2
46.1025633,30,35766,0
46.14423,30,35812,0
46.1858967,31,35856,4
46.2275633,31,35900,0
46.26923,31,35942,0
46.3108967,31,35983,2
46.3525633,31,36024,0
46.39423,31,36063,1
46.4358967,31,36101,3
46.4775633,31,36138,1
46.51923,31,36174,0
46.5608967,32,36209,0
46.6025633,32,36243,3
46.64423,32,36275,2
46.6858967,32,36307,1
46.7275633,32,36337,2
46.76923,32,36367,0
46.8108967,32,36395,0
46.8525633,32,36422,0
46.89423,32,36449,2
46.9358967,32,36474,0
46.9775633,32,36498,0
47.01923,32,36520,2
47.0608967,32,36542,0
47.1025633,32,36563,0
47.14423,32,36582,0
47.1858967,32,36601,0
47.2275633,32,36619,0
47.26923,32,36636,2
47.3108967,32,36652,12
47.3525633,31,36667,15
47.39423,31,36682,71
47.4358967,31,36696,119
47.4775633,31,36709,136
47.51923,31,36722,118
47.5608967,31,36734,88
47.6025633,31,36746,53
47.64423,30,36757,30
47.6858967,30,36768,15
47.7275633,30,36778,3
47.76923,30,36788,6
47.8108967,30,36798,0
47.8525633,30,36807,3
47.89423,29,36817,13
47.9358967,29,36826,42
47.9775633,29,36835,27
48.01923,29,36844,45
48.0608967,29,36853,28
48.1025633,28,36862,62
48.14423,28,36871,132
48.1858967,28,36880,101
48.2275633,28,36890,61
48.26923,28,36899,52
48.3108967,27,36909,53
48.3525633,27,36918,41
48.39423,27,36928,21
48.4358967,27,36938,10
48.4775633,27,36948,3
48.51923,26,36959,4
48.5608967,26,36970,0
48.6025633,26,36981,0
48.64423,26,36993,0
48.6858967,26,37005,0
48.7275633,26,37017,2
48.76923,25,37030,2
48.8108967,25,37043,4
48.8525633,25,37057,0
48.89423,25,37071,1
48.9358967,25,37086,0
48.9775633,25,37101,0
49.01923,24,37117,4
49.0608967,24,37134,0
49.1025633,24,37151,7
49.14423,24,37168,6
49.1858967,24,37185,7
49.2275633,24,37203,9
49.26923,24,37220,0
49.3108967,24,37237,2
49.3525633,23,37253,0
49.39423,23,37269,0
49.4358967,23,37284,4
49.4775633,23,37298,0
49.51923,23,37311,0
49.5608967,23,37323,6
49.6025633,23,37333,3
49.64423,23,37342,1
49.6858967,23,37350,2
49.7275633,23,37355,0
49.76923,23,37359,2
49.8108967,23,37361,0
49.8525633,23,37361,2
49.89423,23,37358,1
49.9358967,22,37353,7
49.9775633,22,37345,4
50.01923,22,37335,13
50.0608967,22,37322,7
50.1025633,22,37306,22
50.14423,22,37288,70
50.1858967,22,37268,64
50.2275633,22,37246,103
50.26923,22,37222,108
50.3108967,22,37196,36
50.3525633,22,37170,118
50.39423,22,37142,111
50.4358967,22,37113,52
50.4775633,22,37084,11
50.51923,22,37054,9
50.5608967,23,37024,4
50.6025633,23,36994,0
50.64423,23,36964,0
50.6858967,23,36934,4
50.7275633,23,36905,0
50.76923,23,36876,0
50.8108967,23,36848,0
50.8525633,23,36822,0
50.89423,23,36797,0
50.9358967,23,36773,1
50.9775633,23,36751,2
51.01923,23,36731,2
51.0608967,23,36713,4
51.1025633,23,36697,50
51.14423,23,36683,80
51.1858967,22,36670,125
51.2275633,22,36659,108
51.26923,22,36649,74
51.3108967,22,36641,27
51.3525633,22,36634,10
51.39423,22,36628,7
51.4358967,22,36623,6
51.4775633,22,36619,13
51.51923,22,36616,11
51.5608967,22,36613,25
51.6025633,22,36611,10
51.64423,22,36610,4
51.6858967,22,36608,3
51.7275633,22,36607,0
51.76923,22,36607,4
51.8108967,22,36606,0
51.8525633,22,36605,1
51.89423,22,36604,0
51.9358967,22,36603,0
51.9775633,22,36601,2
52.01923,22,36599,0
52.0608967,22,36596,0
52.1025633,22,36593,0
52.14423,22,36589,1
52.1858967,22,36585,0
52.2275633,23,36581,0
52.26923,23,36576,0
52.3108967,23,36571,0
52.3525633,23,36566,0
52.39423,23,36561,0
52.43589670000001,23,36556,2
52.47756329999999,23,36551,3
52.51923000000001,23,36545,0
52.56089670000001,23,36540,2
52.60256329999999,23,36536,0
52.64423000000001,23,36531,2
52.68589670000001,24,36527,0
52.72756329999999,24,36523,0
52.76923000000001,24,36519,2
52.81089670000001,24,36516,4
52.85256329999999,24,36514,8
52.89423000000001,24,36512,4
52.93589670000001,24,36511,2
52.97756329999999,24,36510,5
53.01923000000001,24,36510,9
53.06089670000001,24,36511,6
53.10256329999999,24,36513,1
53.14423000000001,24,36515,3
53.18589670000001,24,36517,20
53.22756329999999,24,36521,78
53.26923000000001,24,36524,72
53.31089670000001,24,36528,54
53.35256329999999,23,36533,77
53.39423000000001,23,36537,214
53.43589670000001,23,36542,206
53.47756329999999,23,36547,35
53.51923000000001,23,36552,173
53.56089670000001,23,36556,70
53.60256329999999,23,36561,20
53.64423000000001,23,36566,2
53.68589670000001,23,36570,1
53.72756329999999,23,36574,0
53.76923000000001,22,36578,0
53.81089670000001,22,36581,0
53.85256329999999,22,36584,0
53.89423000000001,22,36587,0
53.93589670000001,22,36589,0
53.97756329999999,22,36590,0
54.01923000000001,22,36590,0
54.06089670000001,22,36590,0
54.10256329999999,22,36589,0
54.14423000000001,22,36587,0
54.18589670000001,22,36586,0
54.22756329999999,22,36583,0
54.26923000000001,22,36581,0
54.31089670000001,22,36578,7
54.35256329999999,22,36575,0
54.39423000000001,22,36573,0
54.43589670000001,22,36570,0
54.47756329999999,22,36568,0
54.51923000000001,22,36565,0
54.56089670000001,22,36564,10
54.60256329999999,22,36562,1
54.64423000000001,22,36561,1
54.68589670000001,22,36561,1
54.72756329999999,22,36562,0
54.76923000000001,22,36563,0
54.81089670000001,22,36566,0
54.85256329999999,22,36569,0
54.89423000000001,22,36573,0
