time,births,population,reported_cases
44.01923,2,2948,0
44.0608967,2,2933,0
44.1025633,2,2920,0
44.14423,2,2908,0
44.1858967,2,2897,0
44.2275633,2,2888,0
44.26923,2,2879,0
44.3108967,2,2872,0
44.3525633,2,2866,0
44.39423,2,2861,0
44.4358967,2,2857,0
44.4775633,2,2854,0
44.51923,2,2851,0
44.5608967,2,2850,0
44.6025633,2,2849,0
44.64423,2,2849,0
44.6858967,2,2849,0
44.7275633,2,2851,0
44.76923,2,2852,0
44.8108967,2,2855,0
44.8525633,2,2857,0
44.89423,2,2860,0
44.9358967,2,2864,0
44.9775633,2,2868,0
45.01923,2,2872,0
45.0608967,2,2876,0
45.1025633,2,2881,0
45.14423,2,2885,0
45.1858967,2,2890,0
45.2275633,2,2895,7
45.26923,2,2900,10
45.3108967,2,2905,9
45.3525633,2,2911,5
45.39423,2,2916,4
45.4358967,2,2921,2
45.4775633,2,2926,4
45.51923,2,2931,0
45.5608967,2,2936,0
45.6025633,2,2940,0
45.64423,2,2945,0
45.6858967,2,2949,0
45.7275633,2,2953,0
45.76923,2,2957,0
45.8108967,2,2961,0
45.8525633,2,2964,0
45.89423,2,2967,0
45.9358967,2,2970,0
45.9775633,2,2972,0
46.01923,2,2974,0
46.0608967,2,2975,0
46.1025633,2,2976,0
46.14423,2,2977,0
46.1858967,2,2977,0
46.2275633,2,2977,0
46.26923,2,2977,0
46.3108967,2,2977,0
46.3525633,2,2976,0
46.39423,2,2975,0
46.4358967,3,2975,0
46.4775633,3,2974,0
46.51923,3,2973,0
46.5608967,3,2972,0
46.6025633,3,2971,0
46.64423,3,2970,0
46.6858967,3,2969,0
46.7275633,3,2969,0
46.76923,3,2968,0
46.8108967,3,2968,0
46.8525633,3,2968,0
46.89423,3,2968,0
46.9358967,3,2969,0
46.9775633,3,2969,0
47.01923,3,2971,0
47.0608967,3,2972,0
47.1025633,3,2974,0
47.14423,3,2976,0
47.1858967,3,2979,0
47.2275633,3,2982,0
47.26923,3,2985,0
47.3108967,3,2988,0
47.3525633,3,2991,0
47.39423,3,2995,0
47.4358967,3,2999,0
47.4775633,3,3003,0
47.51923,3,3006,1
47.5608967,3,3010,7
47.6025633,2,3014,2
47.64423,2,3019,0
47.6858967,2,3023,0
47.7275633,2,3027,0
47.76923,2,3031,0
47.8108967,2,3034,0
47.8525633,2,3038,0
47.89423,2,3042,0
47.9358967,2,3045,0
47.9775633,2,3048,0
48.01923,2,3051,0
48.0608967,2,3054,0
48.1025633,2,3057,0
48.14423,2,3059,0
48.1858967,2,3061,0
48.2275633,2,3064,0
48.26923,2,3066,0
48.3108967,2,3068,0
48.3525633,2,3069,0
48.39423,2,3071,0
48.4358967,2,3073,0
48.4775633,2,3075,0
48.51923,2,3077,0
48.5608967,2,3079,0
48.6025633,2,3081,0
48.64423,2,3083,0
48.6858967,2,3086,0
48.7275633,2,3088,0
48.76923,2,3091,0
48.8108967,2,3094,0
48.8525633,2,3097,0
48.89423,2,3100,0
48.9358967,2,3104,1
48.9775633,2,3108,0
49.01923,2,3112,0
49.0608967,2,3117,0
49.1025633,2,3121,5
49.14423,2,3127,76
49.1858967,2,3132,19
49.2275633,2,3137,7
49.26923,2,3143,2
49.3108967,2,3149,0
49.3525633,2,3154,3
49.39423,2,3160,0
49.4358967,2,3166,0
49.4775633,2,3172,0
49.51923,2,3177,0
49.5608967,2,3182,0
49.6025633,2,3188,0
49.64423,2,3193,0
49.6858967,2,3197,0
49.7275633,2,3202,0
49.76923,2,3206,0
49.8108967,2,3209,0
49.8525633,2,3213,0
49.89423,2,3215,0
49.9358967,2,3218,0
49.9775633,2,3219,0
50.01923,2,3220,0
50.0608967,2,3221,0
50.1025633,2,3221,0
50.14423,2,3220,0
50.1858967,2,3219,0
50.2275633,2,3218,0
50.26923,2,3216,0
50.3108967,2,3214,0
50.3525633,2,3211,0
50.39423,2,3208,0
50.4358967,2,3204,0
50.4775633,2,3201,0
50.51923,2,3197,0
50.5608967,2,3193,0
50.6025633,2,3188,0
50.64423,2,3184,0
50.6858967,2,3179,0
50.7275633,2,3175,0
50.76923,2,3170,0
50.8108967,2,3165,0
50.8525633,2,3160,0
