time,births,population,reported_cases
44.01923,25,34716,0
44.0608967,25,34592,2
44.1025633,25,34487,0
44.14423,25,34403,2
44.1858967,25,34336,0
44.2275633,24,34288,2
44.26923,24,34257,0
44.3108967,24,34242,2
44.3525633,24,34243,0
44.39423,24,34259,3
44.4358967,24,34289,1
44.4775633,24,34333,2
44.51923,24,34390,0
44.5608967,24,34460,0
44.6025633,24,34541,1
44.64423,25,34633,0
44.6858967,25,34735,1
44.7275633,25,34846,0
44.76923,25,34966,0
44.8108967,25,35095,2
44.8525633,25,35231,0
44.89423,26,35373,2
44.9358967,26,35522,1
44.9775633,26,35675,0
45.01923,26,35834,8
45.0608967,27,35996,22
45.1025633,27,36162,42
45.14423,27,36331,55
45.1858967,28,36502,73
45.2275633,28,36676,65
45.26923,28,36851,44
45.3108967,29,37027,44
45.3525633,29,37204,11
45.39423,29,37381,20
45.4358967,30,37557,4
45.4775633,30,37733,6
45.51923,30,37907,19
45.5608967,31,38080,2
45.6025633,31,38251,1
45.64423,31,38418,0
45.6858967,32,38583,3
45.7275633,32,38744,2
45.76923,33,38900,0
45.8108967,33,39052,0
45.8525633,33,39199,1
45.89423,34,39340,0
45.9358967,34,39475,0
45.9775633,34,39604,2
46.01923,35,39725,0
46.0608967,35,39839,0
46.1025633,35,39947,0
46.14423,36,40047,2
46.1858967,36,40141,1
46.2275633,36,40229,0
46.26923,37,40310,0
46.3108967,37,40386,0
46.3525633,37,40456,1
46.39423,37,40520,7
46.4358967,37,40580,39
46.4775633,38,40634,31
46.51923,38,40684,76
46.5608967,38,40729,61
46.6025633,38,40770,32
46.64423,38,40807,8
46.6858967,38,40840,4
46.7275633,38,40870,6
46.76923,38,40896,0
46.8108967,38,40919,0
46.8525633,38,40939,0
46.89423,38,40956,3
46.9358967,38,40971,0
46.9775633,38,40984,0
47.01923,38,40995,0
47.0608967,38,41004,3
47.1025633,37,41011,17
47.14423,37,41016,33
47.1858967,37,41019,19
47.2275633,37,41021,7
47.26923,36,41021,4
47.3108967,36,41019,8
47.3525633,36,41016,7
47.39423,36,41011,3
47.4358967,35,41004,17
47.4775633,35,40996,38
47.51923,35,40987,16
47.5608967,34,40976,12
47.6025633,34,40964,6
47.64423,34,40950,8
47.6858967,33,40935,6
47.7275633,33,40918,0
47.76923,33,40900,0
47.8108967,32,40881,0
47.8525633,32,40861,0
47.89423,32,40840,0
47.9358967,32,40817,0
47.9775633,32,40793,0
48.01923,32,40768,0
48.0608967,31,40743,0
48.1025633,31,40716,0
48.14423,31,40690,5
48.1858967,31,40663,1
48.2275633,31,40637,7
48.26923,31,40612,34
48.3108967,31,40588,16
48.3525633,31,40565,32
48.39423,31,40545,51
48.4358967,31,40526,18
48.4775633,32,40510,8
48.51923,32,40497,6
48.5608967,32,40486,2
48.6025633,32,40480,1
48.64423,32,40477,2
48.6858967,32,40479,1
48.7275633,32,40485,0
48.76923,32,40496,2
48.8108967,32,40512,2
48.8525633,32,40533,0
48.89423,32,40561,0
48.9358967,32,40595,1
48.9775633,32,40635,2
49.01923,32,40683,8
49.0608967,32,40737,9
49.1025633,32,40797,14
49.14423,32,40862,93
49.1858967,32,40931,98
49.2275633,31,41004,107
49.26923,31,41079,82
49.3108967,31,41157,66
49.3525633,31,41235,29
49.39423,31,41313,8
49.4358967,30,41391,14
49.4775633,30,41467,2
49.51923,30,41540,2
49.5608967,30,41611,1
49.6025633,29,41677,4
49.64423,29,41739,0
49.6858967,29,41795,1
49.7275633,29,41844,0
49.76923,28,41886,0
49.8108967,28,41920,0
49.8525633,28,41946,0
49.89423,28,41961,0
49.9358967,27,41965,0
49.9775633,27,41959,0
50.01923,27,41940,2
50.0608967,27,41908,0
50.1025633,27,41866,11
50.14423,27,41813,31
50.1858967,26,41750,23
50.2275633,26,41678,9
50.26923,26,41599,6
50.3108967,26,41513,3
50.3525633,26,41422,10
50.39423,26,41325,3
50.4358967,26,41224,2
50.4775633,26,41120,3
50.51923,26,41013,2
50.5608967,26,40906,4
50.6025633,26,40797,1
50.64423,25,40690,0
50.6858967,25,40583,0
50.7275633,25,40479,0
50.76923,25,40379,0
50.8108967,25,40282,0
50.8525633,25,40190,0
50.89423,25,40105,1
50.9358967,25,40026,1
50.9775633,25,39955,6
51.01923,25,39892,2
51.0608967,25,39839,11
51.1025633,25,39794,13
51.14423,25,39757,20
51.1858967,25,39727,61
51.2275633,25,39705,95
51.26923,25,39689,70
51.3108967,25,39680,58
51.3525633,25,39676,37
51.39423,25,39677,16
51.4358967,25,39683,11
51.4775633,25,39693,6
51.51923,25,39707,2
51.5608967,25,39725,9
51.6025633,25,39745,0
51.64423,25,39767,0
51.6858967,25,39792,0
51.7275633,25,39818,0
51.76923,25,39845,0
51.8108967,25,39872,0
51.8525633,25,39900,0
51.89423,25,39927,0
51.9358967,25,39953,0
51.9775633,25,39977,4
52.01923,25,40000,0
52.0608967,25,40021,1
52.1025633,26,40040,1
52.14423,26,40056,2
52.1858967,26,40071,7
52.2275633,26,40083,19
52.26923,26,40094,26
52.3108967,26,40102,36
52.3525633,26,40108,14
52.39423,26,40112,62
52.43589670000001,26,40114,63
52.47756329999999,26,40114,41
52.51923000000001,26,40112,25
52.56089670000001,27,40108,9
52.60256329999999,27,40102,11
52.64423000000001,27,40094,2
52.68589670000001,27,40083,0
52.72756329999999,27,40071,0
52.76923000000001,27,40057,0
52.81089670000001,27,40040,0
52.85256329999999,27,40022,0
52.89423000000001,27,40001,0
52.93589670000001,27,39979,3
52.97756329999999,27,39954,1
53.01923000000001,27,39927,2
53.06089670000001,26,39899,11
53.10256329999999,26,39869,35
53.14423000000001,26,39837,50
53.18589670000001,26,39804,66
53.22756329999999,26,39769,39
53.26923000000001,26,39734,19
53.31089670000001,26,39698,15
53.35256329999999,25,39661,6
53.39423000000001,25,39624,5
53.43589670000001,25,39587,11
53.47756329999999,25,39550,5
53.51923000000001,25,39512,2
53.56089670000001,24,39476,0
53.60256329999999,24,39439,0
53.64423000000001,24,39404,0
53.68589670000001,24,39370,0
53.72756329999999,24,39336,0
53.76923000000001,24,39304,0
53.81089670000001,23,39274,0
53.85256329999999,23,39245,0
53.89423000000001,23,39218,0
53.93589670000001,23,39193,0
53.97756329999999,23,39171,0
54.01923000000001,23,39151,0
54.06089670000001,23,39134,0
54.10256329999999,23,39119,0
54.14423000000001,23,39106,0
54.18589670000001,23,39095,0
54.22756329999999,23,39086,2
54.26923000000001,23,39079,0
54.31089670000001,23,39073,4
54.35256329999999,23,39069,20
54.39423000000001,23,39066,70
54.43589670000001,23,39064,68
54.47756329999999,23,39064,146
54.51923000000001,23,39064,104
54.56089670000001,23,39064,23
54.60256329999999,24,39065,15
54.64423000000001,24,39067,11
54.68589670000001,24,39068,3
54.72756329999999,24,39070,1
54.76923000000001,24,39071,0
54.81089670000001,24,39073,0
54.85256329999999,24,39073,0
54.89423000000001,24,39073,0
54.93589670000001,24,39073,1
54.97756329999999,24,39071,0
55.01923000000001,24,39069,0
55.06089670000001,25,39065,0
55.10256329999999,25,39060,5
55.14423000000001,25,39054,7
55.18589670000001,25,39047,4
55.22756329999999,25,39039,0
55.26923000000001,25,39031,0
55.31089670000001,25,39021,39
55.35256329999999,25,39011,25
