time,births,population,reported_cases
44.01923,17,16530,0
44.0608967,17,16510,0
44.1025633,16,16492,0
44.14423,16,16476,1
44.1858967,16,16463,0
44.2275633,16,16452,0
44.26923,15,16443,0
44.3108967,15,16437,0
44.3525633,15,16432,0
44.39423,15,16430,0
44.4358967,15,16430,0
44.4775633,15,16432,0
44.51923,15,16437,2
44.5608967,15,16443,4
44.6025633,14,16451,0
44.64423,14,16462,0
44.6858967,14,16474,7
44.7275633,14,16489,0
44.76923,15,16505,0
44.8108967,15,16523,26
44.8525633,15,16543,4
44.89423,15,16566,36
44.9358967,15,16590,10
44.9775633,15,16615,2
45.01923,15,16643,2
45.0608967,15,16672,2
45.1025633,15,16703,7
45.14423,15,16736,7
45.1858967,15,16770,18
45.2275633,16,16806,8
45.26923,16,16844,6
45.3108967,16,16882,33
45.3525633,16,16922,1
45.39423,16,16963,1
45.4358967,16,17006,0
45.4775633,16,17049,0
45.51923,17,17093,4
45.5608967,17,17139,0
45.6025633,17,17185,0
45.64423,17,17232,0
45.6858967,17,17280,0
45.7275633,17,17329,0
45.76923,17,17378,0
45.8108967,17,17428,0
45.8525633,18,17479,1
45.89423,18,17529,1
45.9358967,18,17581,0
45.9775633,18,17632,0
46.01923,18,17684,0
46.0608967,18,17736,0
46.1025633,18,17788,0
46.14423,18,17840,0
46.1858967,18,17891,0
46.2275633,18,17942,0
46.26923,18,17993,0
46.3108967,18,18043,0
46.3525633,18,18093,1
46.39423,18,18141,0
46.4358967,18,18189,0
46.4775633,18,18235,0
46.51923,18,18280,0
46.5608967,18,18324,0
46.6025633,18,18366,0
46.64423,17,18407,0
46.6858967,17,18446,0
46.7275633,17,18483,0
46.76923,17,18518,0
46.8108967,17,18551,0
46.8525633,17,18582,0
46.89423,17,18610,1
46.9358967,17,18636,3
46.9775633,17,18659,0
47.01923,17,18679,0
47.0608967,17,18697,6
47.1025633,16,18712,16
47.14423,16,18724,69
47.1858967,16,18735,45
47.2275633,16,18743,18
47.26923,16,18749,24
47.3108967,16,18754,3
47.3525633,16,18757,0
47.39423,16,18759,6
47.4358967,16,18759,0
47.4775633,16,18758,0
47.51923,16,18757,1
47.5608967,16,18755,0
47.6025633,15,18752,4
47.64423,15,18749,2
47.6858967,15,18745,3
47.7275633,15,18742,1
47.76923,15,18738,2
47.8108967,15,18735,0
47.8525633,15,18733,0
47.89423,15,18731,0
47.9358967,15,18730,1
47.9775633,15,18730,5
48.01923,15,18731,0
48.0608967,15,18733,0
48.1025633,15,18736,0
48.14423,15,18741,0
48.1858967,15,18746,0
48.2275633,15,18752,0
48.26923,15,18759,0
48.3108967,15,18768,0
48.3525633,15,18776,3
48.39423,15,18786,16
48.4358967,15,18796,46
48.4775633,15,18806,74
48.51923,15,18818,31
48.5608967,15,18829,31
48.6025633,15,18841,5
48.64423,15,18853,5
48.6858967,15,18866,4
48.7275633,15,18878,1
48.76923,14,18891,0
48.8108967,14,18904,0
48.8525633,14,18916,4
48.89423,14,18929,7
48.9358967,14,18941,55
48.9775633,14,18954,33
49.01923,14,18965,56
49.0608967,14,18977,39
49.1025633,14,18988,19
49.14423,14,18999,17
49.1858967,14,19009,28
49.2275633,14,19019,7
49.26923,14,19028,6
49.3108967,14,19037,3
49.3525633,14,19045,3
49.39423,14,19053,1
49.4358967,14,19060,0
49.4775633,13,19066,2
49.51923,13,19071,0
49.5608967,13,19076,0
49.6025633,13,19080,1
49.64423,13,19083,2
49.6858967,13,19085,1
49.7275633,13,19086,0
49.76923,13,19087,0
49.8108967,13,19086,0
49.8525633,13,19084,0
49.89423,13,19082,0
49.9358967,12,19078,1
49.9775633,12,19073,0
50.01923,12,19067,0
50.0608967,12,19060,0
50.1025633,12,19052,1
50.14423,12,19042,0
50.1858967,12,19032,0
50.2275633,12,19021,0
50.26923,12,19009,2
50.3108967,12,18997,0
50.3525633,11,18984,1
50.39423,11,18970,1
50.4358967,11,18956,1
50.4775633,11,18941,8
50.51923,11,18926,0
50.5608967,11,18911,13
50.6025633,11,18895,5
50.64423,11,18880,4
50.6858967,11,18864,2
50.7275633,11,18848,2
50.76923,11,18833,0
50.8108967,11,18817,2
50.8525633,11,18802,5
50.89423,11,18787,8
50.9358967,11,18772,2
50.9775633,11,18758,57
51.01923,11,18744,79
51.0608967,11,18730,73
51.1025633,11,18718,36
51.14423,11,18705,16
51.1858967,11,18694,21
51.2275633,11,18682,7
51.26923,11,18672,4
51.3108967,11,18662,6
51.3525633,11,18652,7
51.39423,11,18643,16
51.4358967,11,18634,17
51.4775633,11,18626,6
51.51923,11,18619,0
51.5608967,11,18612,0
51.6025633,11,18605,0
51.64423,11,18599,0
51.6858967,11,18594,0
51.7275633,11,18589,0
51.76923,11,18585,0
51.8108967,11,18581,0
51.8525633,11,18578,0
51.89423,11,18575,0
51.9358967,11,18572,1
51.9775633,11,18571,0
52.01923,11,18570,0
52.0608967,11,18569,2
52.1025633,11,18569,0
52.14423,11,18569,0
52.1858967,11,18570,0
52.2275633,11,18571,0
52.26923,11,18572,0
52.3108967,11,18574,0
52.3525633,11,18577,1
52.39423,11,18580,0
52.43589670000001,11,18583,0
52.47756329999999,11,18586,2
52.51923000000001,11,18590,2
52.56089670000001,11,18594,2
52.60256329999999,11,18598,21
52.64423000000001,11,18603,15
52.68589670000001,11,18608,0
52.72756329999999,11,18613,1
52.76923000000001,11,18618,0
52.81089670000001,11,18624,0
52.85256329999999,11,18629,0
52.89423000000001,11,18635,0
52.93589670000001,11,18641,12
52.97756329999999,11,18647,7
53.01923000000001,11,18653,8
53.06089670000001,11,18659,0
53.10256329999999,11,18665,26
53.14423000000001,11,18672,28
53.18589670000001,11,18678,22
53.22756329999999,11,18685,135
53.26923000000001,11,18692,73
53.31089670000001,11,18700,28
53.35256329999999,11,18707,17
53.39423000000001,11,18715,4
53.43589670000001,11,18724,8
53.47756329999999,11,18733,2
53.51923000000001,11,18742,0
53.56089670000001,11,18751,0
53.60256329999999,11,18762,3
53.64423000000001,11,18772,0
53.68589670000001,11,18784,0
53.72756329999999,11,18796,2
53.76923000000001,11,18808,0
53.81089670000001,11,18821,0
53.85256329999999,11,18835,0
53.89423000000001,11,18850,0
53.93589670000001,11,18865,0
53.97756329999999,11,18881,0
54.01923000000001,11,18898,0
54.06089670000001,11,18916,0
54.10256329999999,11,18934,0
54.14423000000001,11,18953,0
54.18589670000001,12,18973,0
54.22756329999999,12,18994,0
54.26923000000001,12,19016,0
54.31089670000001,12,19038,0
54.35256329999999,12,19061,0
54.39423000000001,12,19084,0
54.43589670000001,12,19108,0
54.47756329999999,12,19133,0
54.51923000000001,12,19159,0
54.56089670000001,12,19185,0
54.60256329999999,12,19211,0
54.64423000000001,12,19238,3
54.68589670000001,12,19266,0
54.72756329999999,12,19294,0
54.76923000000001,12,19323,4
54.81089670000001,12,19352,0
54.85256329999999,12,19382,0
54.89423000000001,12,19412,1
54.93589670000001,12,19442,1
54.97756329999999,12,19473,0
55.01923000000001,12,19504,0
55.06089670000001,12,19536,0
55.10256329999999,12,19568,0
55.14423000000001,12,19600,0
55.18589670000001,12,19633,0
55.22756329999999,12,19665,0
55.26923000000001,12,19698,0
55.31089670000001,12,19731,4
55.35256329999999,12,19765,13
55.39423000000001,12,19798,91
55.43589670000001,12,19831,159
55.47756329999999,12,19864,69
55.51923000000001,11,19898,48
55.56089670000001,11,19931,24
55.60256329999999,11,19964,9
55.64423000000001,11,19997,1
55.68589670000001,11,20030,3
55.72756329999999,11,20063,2
55.76923000000001,11,20095,0
55.81089670000001,11,20128,0
55.85256329999999,11,20160,0
55.89423000000001,11,20191,0
55.93589670000001,12,20223,0
55.97756329999999,12,20254,0
56.01923000000001,12,20284,0
56.06089670000001,12,20314,0
56.10256329999999,12,20344,0
56.14423000000001,12,20373,1
56.18589670000001,12,20403,0
56.22756329999999,12,20432,0
56.26923000000001,12,20460,0
56.31089670000001,12,20489,0
56.35256329999999,12,20518,0
56.39423000000001,12,20547,0
56.43589670000001,12,20576,0
56.47756329999999,12,20605,0
56.51923000000001,13,20635,0
56.56089670000001,13,20664,0
56.60256329999999,13,20695,0
56.64423000000001,13,20725,0
56.68589670000001,13,20756,1
56.72756329999999,13,20787,0
56.76923000000001,13,20819,0
56.81089670000001,14,20852,5
56.85256329999999,14,20885,4
56.89423000000001,14,20920,0
