time,births,population,reported_cases
44.01923,2,1895,0
44.0608967,2,1899,0
44.1025633,2,1903,0
44.14423,2,1907,0
44.1858967,2,1910,0
44.2275633,2,1914,0
44.26923,2,1918,0
44.3108967,2,1922,0
44.3525633,2,1925,0
44.39423,2,1929,0
44.4358967,2,1933,0
44.4775633,2,1936,0
44.51923,2,1940,0
44.5608967,2,1943,0
44.6025633,2,1946,0
44.64423,2,1949,0
44.6858967,2,1952,0
44.7275633,2,1955,0
44.76923,2,1958,0
44.8108967,2,1961,0
44.8525633,2,1964,0
44.89423,2,1966,0
44.9358967,2,1969,0
44.9775633,2,1971,0
45.01923,1,1973,0
45.0608967,1,1975,0
45.1025633,1,1977,0
45.14423,1,1979,1
45.1858967,1,1980,7
45.2275633,1,1982,7
45.26923,1,1983,6
45.3108967,1,1984,2
45.3525633,1,1986,0
45.39423,1,1987,0
45.4358967,1,1987,0
45.4775633,1,1988,0
45.51923,1,1989,0
45.5608967,1,1989,0
45.6025633,1,1990,0
45.64423,1,1990,0
45.6858967,1,1990,0
45.7275633,1,1990,0
45.76923,1,1990,0
45.8108967,1,1989,0
45.8525633,1,1989,0
45.89423,2,1988,0
45.9358967,2,1987,0
45.9775633,2,1987,0
46.01923,2,1986,0
46.0608967,2,1984,0
46.1025633,2,1983,0
46.14423,2,1982,0
46.1858967,2,1980,0
46.2275633,2,1979,0
46.26923,2,1977,0
46.3108967,2,1976,0
46.3525633,2,1974,0
46.39423,2,1972,0
46.4358967,2,1970,0
46.4775633,2,1969,0
46.51923,2,1967,0
46.5608967,2,1965,0
46.6025633,2,1963,0
46.64423,2,1962,0
46.6858967,2,1960,0
46.7275633,2,1959,0
46.76923,2,1957,0
46.8108967,2,1956,0
46.8525633,2,1955,0
46.89423,2,1953,1
46.9358967,2,1952,0
46.9775633,2,1951,0
47.01923,2,1951,0
47.0608967,2,1950,0
47.1025633,2,1950,0
47.14423,2,1949,0
47.1858967,2,1949,0
47.2275633,2,1949,0
47.26923,2,1949,1
47.3108967,2,1949,0
47.3525633,2,1950,1
47.39423,2,1950,0
47.4358967,2,1951,0
47.4775633,2,1952,0
47.51923,2,1952,0
47.5608967,2,1953,0
47.6025633,2,1954,0
47.64423,2,1955,0
47.6858967,2,1957,0
47.7275633,2,1958,0
47.76923,2,1959,0
47.8108967,2,1961,0
47.8525633,2,1962,0
47.89423,2,1964,0
47.9358967,2,1965,0
47.9775633,2,1967,0
48.01923,2,1969,0
48.0608967,2,1971,0
48.1025633,2,1972,0
48.14423,2,1974,0
48.1858967,2,1976,0
48.2275633,2,1978,0
48.26923,2,1980,0
48.3108967,2,1982,0
48.3525633,1,1984,0
48.39423,1,1986,0
48.4358967,1,1988,0
48.4775633,1,1990,0
48.51923,1,1992,0
48.5608967,1,1993,0
48.6025633,1,1995,1
48.64423,1,1997,1
48.6858967,1,1998,0
48.7275633,1,2000,0
48.76923,1,2001,0
48.8108967,1,2003,0
48.8525633,1,2004,0
48.89423,1,2005,0
48.9358967,1,2007,0
48.9775633,1,2008,0
49.01923,1,2008,0
49.0608967,1,2009,0
49.1025633,1,2010,1
49.14423,1,2010,52
49.1858967,1,2011,19
49.2275633,1,2011,1
49.26923,1,2011,0
49.3108967,1,2011,0
49.3525633,1,2010,0
49.39423,1,2010,0
49.4358967,1,2009,1
49.4775633,1,2009,0
49.51923,1,2008,0
49.5608967,1,2007,0
49.6025633,1,2005,0
49.64423,1,2004,0
49.6858967,1,2002,0
49.7275633,1,2000,0
49.76923,1,1998,0
49.8108967,1,1996,0
49.8525633,1,1993,0
49.89423,1,1991,0
49.9358967,1,1988,0
49.9775633,1,1985,0
50.01923,1,1981,0
50.0608967,1,1978,0
50.1025633,1,1974,0
50.14423,1,1970,0
50.1858967,1,1966,0
50.2275633,1,1962,0
50.26923,1,1958,0
50.3108967,1,1953,0
50.3525633,1,1949,1
50.39423,1,1944,0
50.4358967,1,1940,0
50.4775633,1,1935,2
50.51923,1,1930,0
50.5608967,1,1926,2
50.6025633,1,1921,0
50.64423,1,1917,0
50.6858967,1,1912,0
50.7275633,1,1908,0
50.76923,1,1904,0
50.8108967,1,1899,0
50.8525633,1,1896,0
50.89423,1,1892,2
50.9358967,1,1888,0
50.9775633,1,1885,0
51.01923,1,1882,0
51.0608967,1,1879,0
51.1025633,1,1876,0
51.14423,1,1873,0
51.1858967,1,1871,0
51.2275633,1,1869,0
51.26923,1,1867,0
51.3108967,1,1865,0
51.3525633,1,1864,0
51.39423,1,1862,0
51.4358967,1,1861,0
51.4775633,1,1860,0
51.51923,1,1859,0
51.5608967,1,1858,0
51.6025633,1,1858,0
51.64423,1,1857,0
51.6858967,1,1856,0
51.7275633,1,1856,0
51.76923,1,1855,0
51.8108967,1,1855,0
51.8525633,1,1855,0
51.89423,1,1855,0
51.9358967,1,1854,0
51.9775633,1,1854,2
52.01923,1,1854,0
52.0608967,1,1854,0
52.1025633,1,1854,0
52.14423,1,1853,0
52.1858967,1,1853,0
52.2275633,1,1853,0
52.26923,1,1853,0
52.3108967,1,1853,0
52.3525633,1,1853,0
52.39423,1,1853,0
52.43589670000001,1,1853,0
52.47756329999999,1,1853,0
52.51923000000001,1,1853,0
52.56089670000001,1,1853,0
52.60256329999999,1,1853,0
52.64423000000001,1,1853,0
52.68589670000001,1,1853,1
52.72756329999999,1,1853,2
52.76923000000001,1,1853,0
52.81089670000001,1,1853,4
52.85256329999999,1,1853,29
52.89423000000001,1,1853,22
52.93589670000001,1,1854,6
52.97756329999999,1,1854,0
53.01923000000001,1,1854,0
53.06089670000001,1,1854,0
53.10256329999999,1,1855,0
53.14423000000001,1,1855,0
53.18589670000001,1,1855,0
53.22756329999999,1,1856,0
53.26923000000001,1,1856,0
53.31089670000001,1,1856,0
53.35256329999999,1,1857,0
53.39423000000001,1,1857,0
53.43589670000001,1,1857,0
53.47756329999999,1,1858,0
53.51923000000001,1,1858,0
53.56089670000001,1,1858,0
53.60256329999999,1,1859,0
53.64423000000001,1,1859,0
53.68589670000001,1,1859,0
53.72756329999999,1,1859,0
53.76923000000001,1,1860,0
53.81089670000001,1,1860,0
53.85256329999999,1,1860,0
53.89423000000001,1,1860,0
53.93589670000001,1,1860,0
53.97756329999999,1,1860,0
54.01923000000001,1,1860,0
54.06089670000001,1,1860,0
54.10256329999999,1,1860,0
54.14423000000001,1,1860,0
54.18589670000001,1,1859,0
54.22756329999999,1,1859,0
54.26923000000001,1,1859,0
54.31089670000001,1,1858,0
54.35256329999999,1,1858,0
54.39423000000001,1,1858,0
54.43589670000001,1,1857,0
54.47756329999999,2,1857,0
54.51923000000001,2,1856,0
54.56089670000001,2,1856,0
54.60256329999999,2,1855,0
54.64423000000001,2,1855,0
54.68589670000001,2,1854,0
54.72756329999999,2,1854,0
54.76923000000001,2,1853,0
54.81089670000001,2,1853,0
54.85256329999999,2,1852,0
54.89423000000001,2,1851,0
54.93589670000001,2,1851,0
54.97756329999999,2,1850,0
55.01923000000001,2,1850,0
55.06089670000001,2,1849,0
55.10256329999999,2,1849,0
55.14423000000001,2,1848,0
55.18589670000001,2,1848,0
55.22756329999999,2,1847,0
55.26923000000001,2,1847,2
55.31089670000001,2,1846,2
55.35256329999999,2,1846,0
55.39423000000001,2,1845,1
55.43589670000001,2,1845,0
55.47756329999999,2,1844,0
55.51923000000001,2,1844,0
55.56089670000001,2,1844,0
55.60256329999999,2,1843,0
55.64423000000001,2,1843,0
55.68589670000001,2,1842,1
55.72756329999999,2,1842,0
55.76923000000001,2,1842,0
55.81089670000001,2,1841,0
55.85256329999999,2,1841,1
55.89423000000001,2,1841,0
55.93589670000001,2,1840,0
55.97756329999999,2,1840,0
56.01923000000001,1,1840,0
56.06089670000001,1,1840,0
56.10256329999999,1,1839,0
56.14423000000001,1,1839,0
56.18589670000001,1,1839,0
56.22756329999999,1,1839,0
56.26923000000001,1,1839,0
56.31089670000001,1,1839,0
56.35256329999999,1,1838,7
56.39423000000001,1,1838,47
56.43589670000001,1,1838,11
56.47756329999999,1,1838,0
56.51923000000001,1,1838,15
56.56089670000001,2,1838,0
56.60256329999999,2,1838,1
56.64423000000001,2,1838,0
56.68589670000001,2,1838,0
56.72756329999999,2,1838,0
56.76923000000001,2,1839,0
56.81089670000001,2,1839,0
56.85256329999999,2,1839,0
56.89423000000001,2,1839,0
56.93589670000001,2,1840,0
56.97756329999999,2,1840,0
57.01923000000001,2,1840,0
57.06089670000001,2,1841,0
57.10256329999999,2,1841,0
57.14423000000001,2,1841,0
57.18589670000001,2,1842,1
57.22756329999999,2,1842,0
57.26923000000001,2,1843,0
57.31089670000001,2,1843,0
57.35256329999999,1,1844,0
57.39423000000001,1,1844,0
57.43589670000001,1,1845,0
57.47756329999999,1,1845,0
57.51923000000001,1,1846,0
57.56089670000001,1,1846,0
57.60256329999999,1,1847,0
57.64423000000001,1,1847,0
57.68589670000001,1,1848,0
57.72756329999999,1,1848,0
57.76923000000001,1,1849,0
57.81089670000001,1,1849,0
57.85256329999999,1,1849,0
57.89423000000001,1,1849,0
57.93589670000001,1,1850,0
57.97756329999999,1,1850,0
58.01923000000001,1,1850,0
58.06089670000001,1,1850,0
58.10256329999999,1,1850,0
58.14423000000001,1,1850,0
58.18589670000001,1,1850,0
58.22756329999999,1,1850,0
58.26923000000001,1,1850,0
58.31089670000001,1,1850,0
58.35256329999999,1,1849,0
58.39423000000001,1,1849,0
58.43589670000001,1,1849,0
58.47756329999999,1,1848,0
58.51923000000001,1,1848,0
58.56089670000001,1,1847,0
58.60256329999999,1,1847,0
58.64423000000001,1,1846,0
58.68589670000001,1,1846,0
58.72756329999999,1,1845,0
58.76923000000001,1,1844,0
58.81089670000001,1,1844,0
58.85256329999999,1,1843,0
58.89423000000001,1,1842,0
58.93589670000001,1,1841,0
58.97756329999999,1,1840,0
59.01923000000001,1,1840,2
59.06089670000001,1,1839,0
59.10256329999999,1,1838,6
59.14423000000001,1,1837,26
59.18589670000001,1,1836,10
59.22756329999999,1,1835,0
59.26923000000001,1,1834,0
59.31089670000001,1,1833,0
59.35256329999999,1,1832,0
59.39423000000001,1,1831,0
59.43589670000001,1,1830,0
59.47756329999999,1,1829,0
59.51923000000001,1,1828,0
59.56089670000001,1,1827,0
59.60256329999999,1,1826,0
59.64423000000001,1,1825,0
59.68589670000001,1,1824,0
59.72756329999999,1,1823,0
59.76923000000001,1,1823,0
59.81089670000001,1,1822,0
59.85256329999999,1,1821,0
59.89423000000001,1,1821,1
59.93589670000001,1,1821,0
59.97756329999999,1,1820,0
60.01923000000001,1,1820,0
60.06089670000001,1,1820,0
60.10256329999999,1,1820,0
60.14423000000001,1,1820,0
60.18589670000001,1,1820,0
60.22756329999999,1,1820,0
60.26923000000001,1,1820,0
60.31089670000001,1,1820,0
60.35256329999999,1,1821,0
60.39423000000001,1,1821,0
60.43589670000001,1,1822,0
60.47756329999999,1,1823,0
60.51923000000001,1,1823,0
60.56089670000001,1,1824,0
60.60256329999999,1,1825,0
60.64423000000001,1,1827,0
60.68589670000001,1,1828,0
60.72756329999999,1,1829,0
60.76923000000001,1,1830,0
60.81089670000001,1,1832,0
60.85256329999999,1,1834,0
60.89423000000001,1,1835,0
60.93589670000001,1,1837,0
60.97756329999999,1,1839,0
61.01923000000001,1,1841,0
61.06089670000001,1,1843,0
61.10256329999999,1,1845,0
61.14423000000001,1,1848,0
61.18589670000001,1,1850,8
61.22756329999999,1,1852,17
61.26923000000001,1,1855,11
61.31089670000001,1,1857,2
61.35256329999999,1,1860,0
61.39423000000001,1,1862,0
61.43589670000001,1,1864,0
61.47756329999999,1,1867,0
61.51923000000001,1,1869,0
61.56089670000001,1,1872,4
61.60256329999999,1,1874,0
61.64423000000001,1,1876,0
61.68589670000001,1,1878,0
61.72756329999999,1,1880,0
61.76923000000001,1,1882,0
61.81089670000001,1,1884,0
61.85256329999999,1,1885,0
61.89423000000001,1,1887,0
61.93589670000001,1,1888,0
61.97756329999999,1,1889,0
62.01923000000001,1,1890,0
62.06089670000001,1,1891,0
62.10256329999999,1,1892,0
62.14423000000001,1,1892,0
62.18589670000001,1,1892,0
62.22756329999999,1,1893,0
62.26923000000001,1,1893,0
62.31089670000001,1,1892,0
62.35256329999999,1,1892,0
62.39423000000001,1,1892,0
62.43589670000001,1,1891,0
62.47756329999999,1,1891,0
62.51923000000001,1,1890,0
62.56089670000001,1,1889,0
62.60256329999999,1,1889,0
62.64423000000001,1,1888,0
62.68589670000001,1,1887,0
62.72756329999999,1,1886,0
62.76923000000001,1,1885,0
62.81089670000001,1,1884,0
62.85256329999999,1,1883,0
62.89423000000001,1,1882,0
62.93589670000001,1,1881,0
62.97756329999999,1,1880,0
63.01923000000001,1,1880,0
63.06089670000001,1,1879,0
63.10256329999999,1,1878,0
63.14423000000001,1,1877,0
63.18589670000001,1,1877,0
63.22756329999999,2,1876,0
63.26923000000001,2,1876,0
63.31089670000001,2,1876,0
63.35256329999999,2,1876,0
63.39423000000001,2,1876,0
63.43589670000001,2,1877,0
63.47756329999999,2,1877,0
63.51923000000001,2,1878,0
63.56089670000001,2,1879,24
63.60256329999999,2,1880,2
63.64423000000001,2,1882,2
63.68589670000001,2,1884,5
63.72756329999999,2,1886,4
63.76923000000001,2,1889,4
63.81089670000001,2,1892,0
63.85256329999999,2,1895,0
63.89423000000001,2,1899,0
63.93589670000001,2,1903,0
63.97756329999999,1,1907,0
