time,births,population,reported_cases
44.01923,17,17867,0
44.0608967,17,17861,0
44.1025633,17,17856,0
44.14423,17,17853,1
44.1858967,17,17852,1
44.2275633,17,17853,0
44.26923,16,17855,0
44.3108967,16,17858,0
44.3525633,16,17863,5
44.39423,16,17869,3
44.4358967,16,17877,18
44.4775633,16,17886,12
44.51923,16,17897,17
44.5608967,16,17909,3
44.6025633,16,17922,5
44.64423,16,17936,2
44.6858967,16,17952,2
44.7275633,16,17969,2
44.76923,16,17988,4
44.8108967,16,18007,4
44.8525633,16,18028,4
44.89423,16,18050,17
44.9358967,16,18073,15
44.9775633,16,18097,61
45.01923,16,18122,114
45.0608967,16,18148,108
45.1025633,17,18175,38
45.14423,17,18203,13
45.1858967,17,18232,0
45.2275633,17,18262,7
45.26923,17,18293,8
45.3108967,17,18324,2
45.3525633,17,18357,4
45.39423,17,18390,8
45.4358967,17,18423,7
45.4775633,17,18457,1
45.51923,17,18492,4
45.5608967,17,18527,0
45.6025633,18,18563,1
45.64423,18,18599,1
45.6858967,18,18636,0
45.7275633,18,18673,0
45.76923,18,18710,0
45.8108967,18,18748,0
45.8525633,18,18785,0
45.89423,18,18823,0
45.9358967,18,18861,0
45.9775633,18,18899,0
46.01923,18,18938,0
46.0608967,18,18976,0
46.1025633,19,19014,1
46.14423,19,19052,0
46.1858967,19,19090,0
46.2275633,19,19127,0
46.26923,19,19164,0
46.3108967,19,19201,1
46.3525633,19,19238,0
46.39423,19,19274,4
46.4358967,19,19309,8
46.4775633,19,19344,0
46.51923,19,19378,0
46.5608967,19,19411,0
46.6025633,19,19443,1
46.64423,19,19475,1
46.6858967,19,19506,0
46.7275633,19,19535,2
46.76923,19,19564,0
46.8108967,19,19591,0
46.8525633,19,19617,1
46.89423,19,19643,1
46.9358967,19,19666,6
46.9775633,19,19689,2
47.01923,19,19709,17
47.0608967,19,19729,46
47.1025633,19,19747,102
47.14423,19,19764,88
47.1858967,19,19780,22
47.2275633,19,19794,13
47.26923,19,19807,28
47.3108967,18,19820,17
47.3525633,18,19831,21
47.39423,18,19842,26
47.4358967,18,19852,32
47.4775633,18,19861,11
47.51923,18,19870,8
47.5608967,18,19878,2
47.6025633,18,19886,2
47.64423,18,19893,4
47.6858967,18,19900,2
47.7275633,17,19907,0
47.76923,17,19913,0
47.8108967,17,19920,0
47.8525633,17,19926,0
47.89423,17,19933,0
47.9358967,17,19939,1
47.9775633,17,19946,4
48.01923,17,19953,8
48.0608967,17,19961,2
48.1025633,16,19969,0
48.14423,16,19976,2
48.1858967,16,19985,39
48.2275633,16,19993,31
48.26923,16,20001,59
