time,births,population,reported_cases
44.01923,4,5710,0
44.0608967,4,5693,0
44.1025633,4,5678,0
44.14423,4,5665,0
44.1858967,4,5652,0
44.2275633,4,5641,0
44.26923,4,5631,0
44.3108967,4,5623,0
44.3525633,4,5615,0
44.39423,4,5609,0
44.4358967,4,5603,1
44.4775633,4,5599,19
44.51923,4,5596,0
44.5608967,4,5594,0
44.6025633,4,5592,0
44.64423,4,5592,0
44.6858967,4,5592,0
44.7275633,4,5594,0
44.76923,4,5596,0
44.8108967,4,5599,8
44.8525633,4,5602,5
44.89423,4,5606,0
44.9358967,4,5611,0
44.9775633,4,5617,0
45.01923,4,5623,0
45.0608967,4,5629,0
45.1025633,4,5636,6
45.14423,4,5644,65
45.1858967,4,5652,11
45.2275633,4,5660,8
45.26923,4,5669,25
45.3108967,4,5678,4
45.3525633,4,5688,0
45.39423,4,5698,0
45.4358967,4,5708,0
45.4775633,4,5718,0
45.51923,4,5728,0
45.5608967,4,5739,0
45.6025633,4,5750,0
45.64423,4,5761,0
45.6858967,4,5772,0
45.7275633,4,5783,2
45.76923,4,5794,0
45.8108967,4,5806,0
45.8525633,4,5817,0
45.89423,4,5828,0
45.9358967,4,5839,0
45.9775633,4,5850,0
46.01923,4,5861,0
46.0608967,4,5872,0
46.1025633,4,5882,0
46.14423,4,5893,1
46.1858967,4,5903,0
46.2275633,4,5913,0
46.26923,4,5923,0
46.3108967,4,5933,0
46.3525633,4,5943,0
46.39423,4,5953,0
46.4358967,4,5963,0
46.4775633,4,5972,0
46.51923,4,5981,0
46.5608967,4,5991,0
46.6025633,4,6000,0
46.64423,4,6009,0
46.6858967,4,6018,0
46.7275633,4,6027,0
46.76923,4,6036,0
46.8108967,4,6045,0
46.8525633,4,6054,0
46.89423,4,6062,0
46.9358967,4,6071,0
46.9775633,4,6079,0
47.01923,4,6088,0
47.0608967,4,6096,0
47.1025633,4,6105,5
47.14423,4,6113,2
47.1858967,4,6121,0
47.2275633,4,6129,2
47.26923,4,6137,0
47.3108967,4,6145,4
47.3525633,4,6153,2
47.39423,4,6161,0
47.4358967,4,6168,0
47.4775633,4,6175,0
47.51923,5,6183,0
47.5608967,5,6190,0
47.6025633,5,6197,0
47.64423,5,6203,0
47.6858967,5,6210,0
47.7275633,5,6216,0
47.76923,5,6223,0
47.8108967,5,6229,0
47.8525633,5,6234,2
47.89423,5,6240,1
47.9358967,5,6245,0
47.9775633,5,6250,0
48.01923,5,6255,0
48.0608967,5,6260,0
48.1025633,5,6264,0
48.14423,5,6268,0
48.1858967,5,6272,0
48.2275633,5,6276,0
48.26923,5,6279,0
48.3108967,5,6283,6
48.3525633,5,6286,8
48.39423,5,6288,63
48.4358967,5,6291,97
48.4775633,5,6293,26
48.51923,5,6296,5
48.5608967,5,6298,5
