time,births,population,reported_cases
44.01923,3,6824,0
44.0608967,3,6791,2
44.1025633,3,6756,0
44.14423,3,6721,0
44.1858967,3,6685,0
44.2275633,3,6648,0
44.26923,3,6610,0
44.3108967,3,6572,0
44.3525633,3,6533,0
44.39423,3,6493,0
44.4358967,3,6453,0
44.4775633,3,6413,0
44.51923,3,6372,0
44.5608967,3,6331,2
44.6025633,3,6290,0
44.64423,3,6249,0
44.6858967,3,6208,0
44.7275633,3,6167,0
44.76923,3,6126,0
44.8108967,3,6085,0
44.8525633,3,6045,1
44.89423,3,6004,0
44.9358967,3,5965,1
44.9775633,3,5926,11
45.01923,3,5887,0
45.0608967,3,5849,0
45.1025633,3,5812,10
45.14423,3,5776,20
45.1858967,3,5740,6
45.2275633,3,5705,1
45.26923,3,5671,11
45.3108967,3,5638,19
45.3525633,3,5606,25
45.39423,3,5575,39
45.4358967,3,5544,9
45.4775633,3,5515,3
45.51923,3,5487,15
45.5608967,3,5459,0
45.6025633,3,5433,0
45.64423,3,5408,0
45.6858967,3,5384,0
45.7275633,3,5362,0
45.76923,3,5341,0
45.8108967,3,5321,0
45.8525633,3,5302,0
45.89423,3,5285,0
45.9358967,3,5269,0
45.9775633,3,5254,0
46.01923,3,5241,0
46.0608967,3,5230,0
46.1025633,3,5219,0
46.14423,3,5211,0
46.1858967,3,5203,0
46.2275633,3,5196,0
46.26923,3,5191,0
46.3108967,3,5187,2
46.3525633,3,5183,0
46.39423,3,5181,0
46.4358967,3,5179,0
46.4775633,3,5178,0
46.51923,3,5177,0
46.5608967,3,5178,0
46.6025633,3,5178,1
46.64423,3,5179,0
46.6858967,3,5180,0
46.7275633,3,5182,0
46.76923,3,5184,0
46.8108967,3,5186,0
46.8525633,3,5188,0
46.89423,3,5190,0
46.9358967,3,5192,0
46.9775633,3,5193,0
47.01923,3,5195,0
47.0608967,3,5196,0
47.1025633,3,5197,16
47.14423,3,5197,5
47.1858967,3,5198,9
47.2275633,3,5198,2
47.26923,3,5198,0
47.3108967,3,5198,0
47.3525633,3,5198,0
47.39423,3,5198,2
47.4358967,3,5198,0
47.4775633,3,5197,0
47.51923,3,5197,0
47.5608967,3,5197,0
47.6025633,3,5197,0
47.64423,3,5197,0
47.6858967,3,5198,0
47.7275633,3,5198,0
47.76923,3,5199,2
47.8108967,3,5199,2
47.8525633,3,5201,8
47.89423,3,5202,1
47.9358967,3,5204,2
47.9775633,3,5206,4
48.01923,3,5208,0
48.0608967,3,5211,0
48.1025633,3,5214,0
48.14423,3,5217,0
48.1858967,3,5221,0
48.2275633,3,5225,0
48.26923,3,5229,0
48.3108967,3,5233,0
48.3525633,3,5238,0
48.39423,3,5242,0
48.4358967,3,5246,2
48.4775633,3,5251,1
48.51923,3,5255,0
48.5608967,3,5259,0
48.6025633,3,5264,1
48.64423,3,5268,0
48.6858967,3,5271,0
48.7275633,3,5275,0
48.76923,3,5278,0
48.8108967,3,5281,6
48.8525633,3,5284,3
48.89423,3,5286,2
48.9358967,2,5288,0
48.9775633,2,5289,0
49.01923,2,5290,4
49.0608967,2,5291,0
49.1025633,2,5291,1
49.14423,2,5290,0
49.1858967,2,5290,0
49.2275633,2,5289,0
49.26923,2,5288,0
49.3108967,2,5287,0
49.3525633,2,5285,0
49.39423,2,5284,0
49.4358967,2,5283,0
49.4775633,2,5282,0
49.51923,2,5281,0
49.5608967,2,5280,0
49.6025633,2,5280,0
49.64423,2,5280,4
49.6858967,2,5280,0
49.7275633,2,5281,0
49.76923,2,5282,0
49.8108967,2,5285,0
49.8525633,2,5287,0
49.89423,2,5291,0
49.9358967,2,5295,0
49.9775633,2,5300,0
50.01923,2,5306,0
50.0608967,2,5313,0
50.1025633,2,5320,4
50.14423,2,5329,0
50.1858967,2,5338,0
50.2275633,2,5347,0
50.26923,2,5358,0
50.3108967,2,5368,0
50.3525633,2,5379,0
50.39423,2,5390,0
50.4358967,2,5401,0
50.4775633,2,5413,0
50.51923,2,5424,0
50.5608967,2,5435,0
50.6025633,2,5447,0
50.64423,2,5458,0
50.6858967,2,5468,0
50.7275633,2,5478,0
50.76923,2,5488,0
50.8108967,2,5497,0
50.8525633,2,5505,1
50.89423,2,5513,0
50.9358967,2,5520,0
50.9775633,2,5526,0
51.01923,2,5531,0
51.0608967,2,5535,3
51.1025633,2,5538,22
51.14423,2,5541,10
51.1858967,2,5542,1
51.2275633,2,5543,0
51.26923,2,5543,4
51.3108967,2,5542,2
51.3525633,2,5541,4
51.39423,2,5539,2
51.4358967,2,5537,4
51.4775633,2,5534,0
51.51923,2,5531,9
51.5608967,2,5528,0
51.6025633,2,5524,4
51.64423,2,5521,3
51.6858967,2,5517,0
51.7275633,2,5513,0
51.76923,2,5509,0
51.8108967,2,5505,0
51.8525633,2,5501,1
51.89423,2,5498,1
51.9358967,2,5495,0
51.9775633,2,5491,0
52.01923,2,5489,0
52.0608967,2,5486,0
52.1025633,2,5485,0
52.14423,2,5483,0
52.1858967,2,5482,0
52.2275633,2,5481,0
52.26923,2,5480,0
52.3108967,2,5479,1
52.3525633,2,5479,4
52.39423,2,5479,20
52.43589670000001,2,5479,11
52.47756329999999,2,5480,6
52.51923000000001,2,5480,0
52.56089670000001,2,5481,3
52.60256329999999,2,5482,2
52.64423000000001,2,5483,0
52.68589670000001,2,5484,2
52.72756329999999,2,5485,0
52.76923000000001,2,5487,0
52.81089670000001,2,5488,2
52.85256329999999,2,5489,1
52.89423000000001,2,5491,0
52.93589670000001,2,5492,0
52.97756329999999,2,5493,0
53.01923000000001,2,5495,2
53.06089670000001,2,5496,0
53.10256329999999,2,5497,0
53.14423000000001,2,5498,0
53.18589670000001,2,5499,0
53.22756329999999,2,5500,0
53.26923000000001,2,5501,0
53.31089670000001,2,5502,0
