time,births,population,reported_cases
44.01923,2,3443,0
44.0608967,2,3433,0
44.1025633,2,3424,1
44.14423,2,3415,6
44.1858967,2,3406,3
44.2275633,2,3398,1
44.26923,2,3390,0
44.3108967,2,3383,0
44.3525633,2,3376,0
44.39423,2,3369,0
44.4358967,2,3363,0
44.4775633,2,3357,0
44.51923,2,3352,0
44.5608967,2,3347,0
44.6025633,2,3343,0
44.64423,2,3339,0
44.6858967,2,3335,0
44.7275633,2,3332,0
44.76923,2,3329,0
44.8108967,2,3327,0
44.8525633,2,3325,0
44.89423,2,3323,1
44.9358967,2,3322,10
44.9775633,3,3321,11
45.01923,3,3321,0
45.0608967,3,3321,0
45.1025633,3,3321,1
45.14423,3,3322,1
45.1858967,3,3323,3
45.2275633,3,3324,4
45.26923,3,3326,18
45.3108967,3,3328,4
45.3525633,3,3330,1
45.39423,3,3333,0
45.4358967,3,3336,0
45.4775633,3,3339,0
45.51923,3,3343,0
45.5608967,3,3346,0
45.6025633,3,3351,0
45.64423,3,3355,0
45.6858967,3,3360,0
45.7275633,3,3365,0
45.76923,3,3370,0
45.8108967,3,3376,0
45.8525633,3,3382,0
45.89423,3,3388,0
45.9358967,3,3394,0
45.9775633,3,3400,0
46.01923,3,3407,0
46.0608967,3,3414,0
46.1025633,3,3421,0
46.14423,3,3429,0
46.1858967,3,3436,0
46.2275633,3,3444,0
46.26923,3,3451,0
46.3108967,3,3459,0
46.3525633,3,3467,0
46.39423,3,3475,0
46.4358967,3,3483,0
46.4775633,3,3491,0
46.51923,3,3499,0
46.5608967,3,3507,0
46.6025633,3,3515,0
46.64423,3,3523,0
46.6858967,3,3531,0
46.7275633,3,3539,0
46.76923,3,3547,0
46.8108967,3,3554,0
46.8525633,3,3561,0
46.89423,3,3569,0
46.9358967,3,3576,0
46.9775633,3,3582,0
47.01923,3,3589,0
47.0608967,3,3595,0
47.1025633,3,3601,1
47.14423,3,3607,1
47.1858967,3,3613,0
47.2275633,3,3618,2
47.26923,3,3623,4
47.3108967,3,3628,5
47.3525633,3,3632,0
47.39423,3,3637,0
47.4358967,3,3641,2
47.4775633,3,3645,0
47.51923,3,3648,0
47.5608967,3,3651,0
47.6025633,3,3654,0
47.64423,3,3657,0
47.6858967,3,3659,0
47.7275633,3,3661,0
47.76923,3,3663,0
47.8108967,3,3664,0
47.8525633,3,3665,0
47.89423,3,3666,0
47.9358967,2,3667,0
47.9775633,2,3667,0
48.01923,2,3667,2
48.0608967,2,3667,3
48.1025633,3,3666,0
48.14423,3,3665,0
48.1858967,3,3664,0
48.2275633,3,3663,0
48.26923,3,3662,0
48.3108967,3,3660,0
48.3525633,3,3659,0
48.39423,3,3658,0
48.4358967,3,3656,0
48.4775633,3,3655,0
48.51923,3,3654,0
48.5608967,3,3653,0
48.6025633,3,3652,0
48.64423,3,3652,0
48.6858967,3,3652,0
48.7275633,3,3652,0
48.76923,3,3652,0
48.8108967,3,3653,0
48.8525633,3,3654,0
48.89423,3,3656,0
48.9358967,3,3658,0
48.9775633,3,3661,0
49.01923,3,3665,0
49.0608967,3,3669,0
49.1025633,3,3673,0
49.14423,3,3678,0
49.1858967,3,3683,1
49.2275633,3,3689,27
49.26923,3,3695,105
49.3108967,3,3701,24
49.3525633,3,3707,7
49.39423,3,3714,0
49.4358967,3,3720,0
49.4775633,3,3727,0
49.51923,3,3733,0
49.5608967,3,3739,1
49.6025633,3,3745,0
49.64423,3,3751,0
49.6858967,3,3756,0
49.7275633,3,3761,0
49.76923,3,3766,0
49.8108967,3,3770,0
49.8525633,3,3773,0
49.89423,3,3776,0
49.9358967,3,3778,0
49.9775633,3,3780,0
50.01923,3,3780,0
50.0608967,3,3780,0
50.1025633,3,3779,0
50.14423,3,3777,0
50.1858967,3,3775,0
50.2275633,3,3772,0
50.26923,3,3769,0
50.3108967,3,3765,0
50.3525633,3,3760,0
50.39423,3,3755,0
50.4358967,3,3750,0
50.4775633,3,3745,0
