time,births,population,reported_cases
44.01923,38,43519,6
44.0608967,37,43378,6
44.1025633,37,43254,64
44.14423,37,43146,65
44.1858967,37,43054,73
44.2275633,36,42978,130
44.26923,36,42916,101
44.3108967,36,42868,70
44.3525633,36,42833,7
44.39423,36,42812,14
44.4358967,35,42803,16
44.4775633,35,42805,5
44.51923,35,42819,2
44.5608967,35,42844,0
44.6025633,35,42878,13
44.64423,35,42922,0
44.6858967,35,42975,0
44.7275633,35,43036,0
44.76923,35,43105,2
44.8108967,35,43181,0
44.8525633,35,43264,0
44.89423,35,43352,2
44.9358967,35,43446,1
44.9775633,35,43545,3
45.01923,35,43648,0
45.0608967,36,43755,1
45.1025633,36,43865,1
45.14423,36,43978,0
45.1858967,36,44094,0
45.2275633,36,44212,0
45.26923,37,44332,4
45.3108967,37,44454,3
45.3525633,37,44576,14
45.39423,37,44700,15
45.4358967,37,44824,10
45.4775633,38,44947,19
45.51923,38,45070,2
45.5608967,38,45193,18
45.6025633,39,45314,21
45.64423,39,45434,1
45.6858967,39,45552,1
45.7275633,40,45668,2
45.76923,40,45780,0
45.8108967,40,45890,0
45.8525633,41,45997,3
45.89423,41,46099,1
45.9358967,41,46198,0
45.9775633,42,46292,0
46.01923,42,46380,0
46.0608967,42,46464,0
46.1025633,43,46543,0
46.14423,43,46618,0
46.1858967,43,46688,0
46.2275633,44,46754,0
46.26923,44,46816,0
46.3108967,44,46875,0
46.3525633,45,46930,3
46.39423,45,46982,1
46.4358967,45,47031,4
46.4775633,45,47077,37
46.51923,46,47121,21
46.5608967,46,47163,13
46.6025633,46,47203,6
46.64423,46,47241,10
46.6858967,46,47278,17
46.7275633,46,47313,1
46.76923,47,47347,0
46.8108967,47,47381,5
46.8525633,47,47414,1
46.89423,47,47447,2
46.9358967,46,47479,8
46.9775633,46,47512,57
47.01923,46,47545,60
47.0608967,46,47579,301
47.1025633,46,47613,130
47.14423,46,47647,43
47.1858967,45,47682,11
47.2275633,45,47716,0
47.26923,45,47751,0
47.3108967,44,47785,0
47.3525633,44,47819,1
47.39423,44,47852,0
47.4358967,43,47885,0
47.4775633,43,47917,1
47.51923,42,47949,0
47.5608967,42,47979,1
47.6025633,41,48009,0
47.64423,41,48038,0
47.6858967,41,48065,0
47.7275633,40,48091,0
47.76923,40,48115,0
47.8108967,39,48138,0
47.8525633,39,48160,0
47.89423,39,48179,0
47.9358967,38,48197,0
47.9775633,38,48212,0
48.01923,38,48226,2
48.0608967,38,48237,0
48.1025633,37,48247,1
48.14423,37,48255,0
48.1858967,37,48261,6
48.2275633,37,48266,3
48.26923,37,48270,9
48.3108967,37,48273,9
48.3525633,37,48275,25
48.39423,37,48277,15
48.4358967,37,48278,34
48.4775633,37,48279,32
48.51923,37,48280,9
48.5608967,37,48282,10
48.6025633,37,48284,14
48.64423,37,48286,6
48.6858967,37,48289,16
48.7275633,37,48294,20
48.76923,37,48299,17
48.8108967,37,48306,27
48.8525633,37,48314,27
48.89423,37,48325,44
48.9358967,37,48337,64
48.9775633,37,48351,102
49.01923,37,48368,157
49.0608967,37,48387,50
49.1025633,37,48408,34
49.14423,37,48431,33
49.1858967,37,48456,17
49.2275633,37,48482,6
49.26923,37,48509,2
49.3108967,37,48537,2
49.3525633,37,48566,3
49.39423,37,48594,1
49.4358967,37,48623,0
49.4775633,37,48652,0
49.51923,37,48681,0
49.5608967,37,48709,5
49.6025633,37,48736,0
49.64423,36,48761,1
49.6858967,36,48786,0
49.7275633,36,48809,0
49.76923,36,48830,0
49.8108967,36,48848,0
49.8525633,36,48865,0
49.89423,36,48879,0
49.9358967,36,48889,0
49.9775633,36,48897,0
50.01923,35,48902,0
50.0608967,35,48903,0
50.1025633,35,48900,0
50.14423,35,48895,0
50.1858967,35,48887,1
50.2275633,35,48877,1
50.26923,34,48864,2
50.3108967,34,48849,3
50.3525633,34,48832,5
50.39423,34,48813,10
50.4358967,34,48793,4
50.4775633,33,48771,5
50.51923,33,48749,2
50.5608967,33,48725,5
50.6025633,33,48701,9
50.64423,33,48677,4
50.6858967,33,48652,3
50.7275633,32,48627,0
50.76923,32,48603,4
50.8108967,32,48579,21
50.8525633,32,48555,28
50.89423,32,48532,133
50.9358967,32,48511,155
50.9775633,31,48490,210
51.01923,31,48471,82
51.0608967,31,48454,42
51.1025633,31,48438,35
51.14423,31,48424,37
51.1858967,31,48410,35
51.2275633,31,48398,34
51.26923,30,48387,39
51.3108967,30,48377,18
51.3525633,30,48368,1
51.39423,30,48360,0
51.4358967,30,48353,3
51.4775633,30,48346,2
51.51923,30,48340,0
51.5608967,30,48334,2
51.6025633,30,48329,0
51.64423,30,48324,0
51.6858967,30,48319,0
51.7275633,30,48314,0
51.76923,30,48309,0
51.8108967,30,48305,0
51.8525633,30,48300,0
51.89423,30,48295,0
51.9358967,30,48289,2
51.9775633,30,48283,0
52.01923,30,48277,0
52.0608967,30,48270,0
52.1025633,30,48263,0
52.14423,30,48255,0
52.1858967,30,48247,0
52.2275633,30,48238,0
52.26923,30,48230,2
52.3108967,30,48220,2
52.3525633,30,48211,2
52.39423,31,48202,2
52.43589670000001,31,48192,2
52.47756329999999,31,48182,0
52.51923000000001,31,48173,1
52.56089670000001,31,48163,0
52.60256329999999,31,48153,8
52.64423000000001,31,48143,24
52.68589670000001,31,48134,50
52.72756329999999,31,48124,110
52.76923000000001,31,48115,89
52.81089670000001,32,48106,112
52.85256329999999,32,48098,72
52.89423000000001,32,48089,57
52.93589670000001,32,48081,48
52.97756329999999,32,48074,15
53.01923000000001,32,48067,9
53.06089670000001,32,48060,16
53.10256329999999,32,48054,11
53.14423000000001,32,48048,12
53.18589670000001,32,48043,1
53.22756329999999,32,48038,2
53.26923000000001,32,48034,4
53.31089670000001,32,48030,9
53.35256329999999,32,48026,4
53.39423000000001,32,48022,0
53.43589670000001,32,48019,4
53.47756329999999,32,48016,0
53.51923000000001,32,48013,0
53.56089670000001,32,48010,0
53.60256329999999,32,48008,0
53.64423000000001,32,48006,0
53.68589670000001,32,48004,0
53.72756329999999,32,48002,0
53.76923000000001,32,48000,0
53.81089670000001,32,47998,0
53.85256329999999,31,47996,0
53.89423000000001,31,47994,1
53.93589670000001,31,47993,0
53.97756329999999,31,47991,0
54.01923000000001,31,47989,0
54.06089670000001,31,47987,0
54.10256329999999,31,47985,0
54.14423000000001,31,47983,1
54.18589670000001,31,47981,0
54.22756329999999,31,47979,0
54.26923000000001,31,47977,0
54.31089670000001,31,47975,0
54.35256329999999,31,47972,0
54.39423000000001,31,47969,1
54.43589670000001,31,47967,0
54.47756329999999,31,47964,0
54.51923000000001,31,47961,0
54.56089670000001,31,47957,0
54.60256329999999,31,47954,0
54.64423000000001,31,47950,0
54.68589670000001,31,47946,1
54.72756329999999,31,47942,7
54.76923000000001,31,47938,15
54.81089670000001,31,47934,57
54.85256329999999,31,47929,58
54.89423000000001,31,47924,71
54.93589670000001,31,47919,54
54.97756329999999,31,47913,41
55.01923000000001,31,47907,64
55.06089670000001,31,47901,36
55.10256329999999,31,47895,31
55.14423000000001,31,47888,33
55.18589670000001,31,47882,28
55.22756329999999,31,47875,57
55.26923000000001,31,47867,41
55.31089670000001,31,47860,46
55.35256329999999,31,47853,19
55.39423000000001,31,47845,16
55.43589670000001,31,47838,2
55.47756329999999,31,47830,1
55.51923000000001,32,47823,2
55.56089670000001,32,47815,2
55.60256329999999,32,47807,0
55.64423000000001,32,47800,1
55.68589670000001,32,47792,3
55.72756329999999,32,47785,2
55.76923000000001,32,47778,4
55.81089670000001,32,47770,0
55.85256329999999,32,47763,5
55.89423000000001,32,47756,5
55.93589670000001,32,47750,11
55.97756329999999,32,47743,20
56.01923000000001,32,47737,15
56.06089670000001,32,47731,2
56.10256329999999,32,47725,1
56.14423000000001,32,47720,0
56.18589670000001,32,47715,0
56.22756329999999,32,47709,0
56.26923000000001,32,47704,2
56.31089670000001,32,47699,3
56.35256329999999,32,47694,1
56.39423000000001,32,47689,2
56.43589670000001,32,47684,0
56.47756329999999,32,47679,0
56.51923000000001,32,47674,0
