time,births,population,reported_cases
44.01923,7,9765,0
44.0608967,7,9732,0
44.1025633,7,9703,1
44.14423,6,9677,0
44.1858967,6,9654,0
44.2275633,6,9634,0
44.26923,6,9617,2
44.3108967,6,9603,0
44.3525633,6,9592,0
44.39423,6,9584,2
44.4358967,6,9578,1
44.4775633,6,9574,2
44.51923,6,9573,0
44.5608967,6,9574,2
44.6025633,6,9577,3
44.64423,6,9582,10
44.6858967,6,9589,9
44.7275633,6,9598,31
44.76923,6,9608,17
44.8108967,6,9620,23
44.8525633,6,9633,56
44.89423,6,9648,20
44.9358967,6,9664,11
44.9775633,6,9681,4
45.01923,6,9699,4
45.0608967,6,9719,11
45.1025633,6,9738,9
45.14423,7,9759,11
45.1858967,7,9781,21
45.2275633,7,9803,16
45.26923,7,9825,13
45.3108967,7,9848,4
45.3525633,7,9872,3
45.39423,7,9895,3
45.4358967,7,9919,3
45.4775633,7,9944,0
45.51923,7,9968,0
45.5608967,8,9992,2
45.6025633,8,10016,0
45.64423,8,10040,2
45.6858967,8,10064,0
45.7275633,8,10088,0
45.76923,8,10111,0
45.8108967,8,10134,0
45.8525633,8,10156,0
45.89423,9,10178,0
45.9358967,9,10199,0
45.9775633,9,10219,0
46.01923,9,10239,0
46.0608967,9,10258,0
46.1025633,9,10275,1
46.14423,9,10293,1
46.1858967,9,10309,0
46.2275633,9,10325,2
46.26923,10,10340,0
46.3108967,10,10354,0
46.3525633,10,10368,0
46.39423,10,10382,0
46.4358967,10,10394,0
46.4775633,10,10407,3
46.51923,10,10419,2
46.5608967,10,10430,0
46.6025633,10,10442,3
46.64423,10,10453,0
46.6858967,10,10464,0
46.7275633,10,10474,4
46.76923,10,10484,0
46.8108967,10,10495,1
46.8525633,10,10505,0
46.89423,10,10515,0
46.9358967,10,10525,14
46.9775633,10,10535,14
47.01923,10,10545,6
47.0608967,10,10555,28
47.1025633,10,10565,39
47.14423,10,10575,11
47.1858967,10,10585,3
47.2275633,10,10596,2
47.26923,10,10606,0
47.3108967,10,10617,6
47.3525633,10,10627,4
47.39423,10,10638,2
47.4358967,9,10649,0
47.4775633,9,10659,0
47.51923,9,10670,0
47.5608967,9,10681,2
47.6025633,9,10692,0
47.64423,9,10703,0
47.6858967,9,10714,0
47.7275633,9,10725,0
47.76923,9,10737,0
47.8108967,9,10748,0
47.8525633,8,10759,0
47.89423,8,10771,3
47.9358967,8,10782,4
47.9775633,8,10794,0
48.01923,8,10805,0
48.0608967,8,10817,0
48.1025633,8,10829,0
48.14423,8,10841,2
48.1858967,8,10852,0
48.2275633,8,10864,0
48.26923,8,10875,17
48.3108967,8,10887,5
48.3525633,8,10898,13
48.39423,8,10910,53
48.4358967,8,10921,51
48.4775633,8,10931,29
48.51923,8,10942,15
48.5608967,8,10952,0
48.6025633,8,10963,0
48.64423,8,10972,1
48.6858967,8,10982,1
48.7275633,8,10991,0
48.76923,8,11000,0
48.8108967,8,11008,5
48.8525633,8,11016,0
48.89423,8,11023,2
48.9358967,8,11030,0
48.9775633,8,11037,0
49.01923,8,11043,0
49.0608967,8,11048,0
49.1025633,8,11053,0
49.14423,8,11057,5
49.1858967,8,11061,7
49.2275633,8,11064,5
49.26923,8,11067,15
49.3108967,8,11070,17
49.3525633,8,11072,0
49.39423,8,11073,3
49.4358967,8,11074,4
49.4775633,8,11075,1
49.51923,8,11075,0
49.5608967,8,11075,0
49.6025633,8,11074,0
49.64423,8,11073,0
49.6858967,8,11071,1
49.7275633,8,11070,0
49.76923,8,11068,2
49.8108967,8,11065,0
49.8525633,8,11062,0
49.89423,8,11059,0
49.9358967,8,11056,0
49.9775633,8,11052,0
50.01923,8,11048,0
50.0608967,8,11044,0
50.1025633,8,11039,0
50.14423,7,11035,0
50.1858967,7,11030,0
50.2275633,7,11025,0
50.26923,7,11019,0
50.3108967,7,11014,0
50.3525633,7,11008,0
50.39423,7,11003,0
50.4358967,7,10997,0
50.4775633,7,10992,0
50.51923,7,10986,2
50.5608967,7,10981,11
50.6025633,7,10975,9
50.64423,7,10970,1
50.6858967,7,10964,5
50.7275633,7,10959,0
50.76923,7,10954,4
50.8108967,7,10949,8
50.8525633,7,10945,5
50.89423,7,10940,5
50.9358967,7,10936,4
