time,births,population,reported_cases
44.01923,10,9869,0
44.0608967,10,9889,0
44.1025633,9,9912,1
44.14423,9,9938,1
44.1858967,9,9966,0
44.2275633,9,9996,0
44.26923,9,10029,2
44.3108967,9,10064,5
44.3525633,9,10102,9
44.39423,9,10141,13
44.4358967,9,10182,31
44.4775633,9,10226,6
44.51923,9,10271,11
44.5608967,9,10317,11
44.6025633,9,10366,6
44.64423,9,10416,0
44.6858967,9,10467,0
44.7275633,9,10520,0
44.76923,9,10573,0
44.8108967,9,10629,0
44.8525633,9,10685,0
44.89423,9,10742,0
44.9358967,9,10799,0
44.9775633,9,10858,0
45.01923,9,10917,0
45.0608967,9,10977,0
45.1025633,10,11038,1
45.14423,10,11099,0
45.1858967,10,11160,4
45.2275633,10,11222,52
45.26923,10,11283,85
45.3108967,10,11345,22
45.3525633,10,11407,9
45.39423,10,11469,3
45.4358967,10,11531,3
45.4775633,10,11593,1
45.51923,11,11654,0
45.5608967,11,11715,0
45.6025633,11,11776,0
45.64423,11,11836,0
45.6858967,11,11896,0
45.7275633,11,11955,0
45.76923,11,12013,0
45.8108967,11,12071,0
45.8525633,11,12127,0
45.89423,11,12183,0
45.9358967,11,12238,0
45.9775633,11,12292,0
46.01923,12,12344,0
46.0608967,12,12395,0
46.1025633,12,12446,0
46.14423,12,12494,0
46.1858967,12,12542,0
46.2275633,12,12589,0
46.26923,12,12634,0
46.3108967,12,12678,0
46.3525633,12,12721,0
46.39423,12,12763,0
46.4358967,12,12803,0
46.4775633,12,12842,0
46.51923,12,12880,4
46.5608967,12,12917,1
46.6025633,12,12953,4
46.64423,12,12987,2
46.6858967,12,13020,0
46.7275633,12,13052,0
46.76923,12,13083,0
46.8108967,12,13112,2
46.8525633,12,13140,0
46.89423,12,13167,0
46.9358967,12,13193,0
46.9775633,12,13217,0
47.01923,12,13241,0
47.0608967,12,13263,2
47.1025633,12,13283,0
47.14423,12,13303,1
47.1858967,12,13322,0
47.2275633,12,13339,6
47.26923,12,13356,0
47.3108967,12,13371,0
47.3525633,12,13386,0
47.39423,12,13399,0
47.4358967,12,13412,6
47.4775633,12,13424,4
47.51923,12,13435,3
47.5608967,12,13446,5
47.6025633,12,13455,0
47.64423,12,13464,0
47.6858967,12,13473,1
47.7275633,12,13481,1
47.76923,12,13488,0
47.8108967,12,13495,0
47.8525633,12,13501,0
47.89423,12,13507,0
47.9358967,12,13512,0
47.9775633,12,13517,0
48.01923,12,13522,0
48.0608967,12,13527,0
48.1025633,12,13531,0
48.14423,11,13535,0
48.1858967,11,13539,0
48.2275633,11,13543,0
48.26923,11,13546,4
48.3108967,11,13550,9
48.3525633,11,13553,9
48.39423,11,13557,11
48.4358967,11,13560,10
48.4775633,11,13564,4
48.51923,11,13567,2
48.5608967,11,13571,13
48.6025633,11,13574,24
48.64423,11,13578,16
48.6858967,11,13582,1
48.7275633,11,13586,0
48.76923,11,13591,0
48.8108967,11,13595,0
48.8525633,11,13600,0
48.89423,11,13605,1
48.9358967,11,13611,1
48.9775633,10,13617,0
49.01923,10,13623,0
49.0608967,10,13630,3
49.1025633,10,13637,33
49.14423,10,13644,129
49.1858967,10,13652,142
49.2275633,10,13660,30
49.26923,10,13668,6
49.3108967,10,13677,22
49.3525633,10,13685,10
49.39423,10,13694,1
49.4358967,10,13704,2
49.4775633,10,13713,2
49.51923,10,13722,0
49.5608967,10,13732,0
49.6025633,10,13741,1
49.64423,10,13751,1
49.6858967,10,13760,0
49.7275633,10,13770,0
49.76923,10,13779,0
49.8108967,10,13789,0
49.8525633,10,13798,0
49.89423,10,13807,0
49.9358967,10,13816,0
49.9775633,10,13825,0
50.01923,10,13834,0
50.0608967,10,13842,0
50.1025633,10,13851,0
50.14423,10,13859,0
50.1858967,10,13867,0
50.2275633,10,13875,0
50.26923,10,13882,0
50.3108967,10,13889,0
50.3525633,10,13897,0
50.39423,9,13904,1
50.4358967,9,13910,0
50.4775633,9,13917,0
50.51923,9,13924,0
50.5608967,9,13930,3
50.6025633,9,13936,3
50.64423,9,13942,0
50.6858967,9,13948,0
50.7275633,9,13954,1
50.76923,9,13960,0
50.8108967,9,13966,2
50.8525633,9,13971,3
50.89423,9,13977,2
50.9358967,9,13982,0
