time,births,population,reported_cases
44.01923,2,3322,0
44.0608967,2,3322,0
44.1025633,2,3320,0
44.14423,2,3317,0
44.1858967,2,3312,0
44.2275633,2,3305,0
44.26923,2,3297,0
44.3108967,2,3288,0
44.3525633,2,3277,0
44.39423,2,3266,0
44.4358967,2,3253,0
44.4775633,2,3239,0
44.51923,2,3225,0
44.5608967,2,3209,0
44.6025633,2,3193,0
44.64423,2,3177,0
44.6858967,2,3160,0
44.7275633,2,3143,1
44.76923,2,3126,0
44.8108967,2,3108,14
44.8525633,2,3091,62
44.89423,2,3074,0
44.9358967,2,3057,0
44.9775633,2,3040,0
45.01923,2,3024,4
45.0608967,2,3008,0
45.1025633,2,2992,0
45.14423,2,2978,0
45.1858967,2,2964,0
45.2275633,2,2950,0
45.26923,2,2938,0
45.3108967,2,2926,0
45.3525633,2,2915,0
45.39423,2,2904,0
45.4358967,2,2895,0
45.4775633,2,2887,0
45.51923,2,2880,0
45.5608967,2,2874,0
45.6025633,2,2868,0
45.64423,2,2865,0
45.6858967,2,2862,0
45.7275633,2,2860,0
45.76923,2,2860,0
45.8108967,2,2861,0
45.8525633,2,2864,0
45.89423,2,2868,0
45.9358967,2,2873,0
45.9775633,2,2881,0
46.01923,2,2889,0
46.0608967,2,2899,0
46.1025633,2,2911,0
46.14423,2,2924,0
46.1858967,2,2938,0
46.2275633,2,2953,0
46.26923,2,2970,0
46.3108967,2,2987,0
46.3525633,2,3004,0
46.39423,2,3023,0
46.4358967,2,3042,0
46.4775633,2,3061,0
46.51923,2,3080,0
46.5608967,2,3100,0
46.6025633,2,3120,0
46.64423,2,3139,0
46.6858967,2,3159,0
46.7275633,2,3178,0
46.76923,2,3196,0
46.8108967,2,3214,0
46.8525633,2,3232,0
46.89423,2,3248,0
46.9358967,2,3264,0
46.9775633,2,3279,0
47.01923,2,3292,0
47.0608967,2,3304,0
47.1025633,2,3315,0
47.14423,2,3326,1
47.1858967,2,3335,0
47.2275633,2,3343,0
47.26923,2,3350,0
47.3108967,2,3356,0
47.3525633,2,3361,0
47.39423,2,3366,0
47.4358967,2,3370,0
47.4775633,2,3373,0
47.51923,2,3376,0
47.5608967,2,3378,0
47.6025633,2,3380,0
47.64423,2,3381,0
47.6858967,2,3382,0
47.7275633,2,3382,0
47.76923,2,3382,0
47.8108967,2,3382,0
47.8525633,2,3382,0
47.89423,2,3382,0
47.9358967,2,3382,0
47.9775633,2,3381,0
48.01923,2,3381,0
48.0608967,2,3381,0
48.1025633,2,3380,0
48.14423,2,3380,0
48.1858967,2,3380,0
48.2275633,2,3381,0
48.26923,2,3381,0
48.3108967,2,3382,0
48.3525633,2,3383,0
48.39423,2,3384,0
48.4358967,2,3385,0
48.4775633,2,3386,17
48.51923,2,3388,0
48.5608967,2,3391,4
48.6025633,2,3393,0
48.64423,2,3396,0
48.6858967,2,3399,0
48.7275633,2,3403,0
48.76923,2,3407,0
48.8108967,2,3412,0
48.8525633,2,3417,0
48.89423,2,3422,0
48.9358967,2,3428,0
48.9775633,2,3434,0
49.01923,2,3441,0
49.0608967,2,3449,0
49.1025633,2,3457,0
49.14423,2,3465,0
49.1858967,2,3473,0
49.2275633,2,3482,0
49.26923,2,3491,0
49.3108967,2,3500,0
49.3525633,2,3509,0
49.39423,2,3518,0
49.4358967,2,3526,0
49.4775633,2,3535,0
49.51923,2,3543,0
49.5608967,2,3550,0
49.6025633,2,3557,0
49.64423,2,3564,0
49.6858967,2,3570,0
49.7275633,2,3575,0
49.76923,2,3579,0
49.8108967,2,3583,0
49.8525633,2,3586,0
49.89423,2,3587,0
49.9358967,2,3588,0
49.9775633,2,3587,0
50.01923,2,3585,0
50.0608967,2,3582,0
50.1025633,2,3577,0
50.14423,2,3572,0
50.1858967,2,3565,0
50.2275633,2,3558,0
50.26923,2,3550,0
50.3108967,2,3541,0
50.3525633,2,3531,0
50.39423,2,3521,0
50.4358967,2,3511,0
50.4775633,2,3499,0
50.51923,2,3488,0
50.5608967,2,3476,0
50.6025633,2,3465,0
50.64423,2,3453,0
50.6858967,2,3441,0
50.7275633,2,3429,0
50.76923,2,3417,0
50.8108967,2,3406,0
50.8525633,2,3395,0
50.89423,2,3384,0
50.9358967,2,3374,0
50.9775633,2,3365,0
51.01923,2,3356,0
51.0608967,2,3348,5
51.1025633,2,3341,0
51.14423,2,3334,0
51.1858967,2,3328,0
51.2275633,2,3322,0
51.26923,2,3317,0
51.3108967,2,3313,0
51.3525633,2,3309,33
51.39423,2,3305,9
51.4358967,2,3302,0
51.4775633,2,3299,0
51.51923,2,3297,0
51.5608967,2,3295,0
51.6025633,2,3293,0
51.64423,2,3292,0
51.6858967,2,3291,0
51.7275633,2,3290,0
51.76923,2,3289,0
51.8108967,2,3288,0
51.8525633,2,3288,0
51.89423,2,3287,0
51.9358967,2,3287,0
51.9775633,2,3286,0
52.01923,2,3286,0
52.0608967,2,3285,0
52.1025633,2,3285,0
52.14423,2,3284,0
52.1858967,2,3284,0
52.2275633,2,3283,0
52.26923,2,3283,0
52.3108967,2,3282,0
52.3525633,2,3281,0
52.39423,2,3281,0
52.43589670000001,2,3280,0
52.47756329999999,2,3280,0
52.51923000000001,2,3279,0
52.56089670000001,2,3278,0
52.60256329999999,2,3278,0
52.64423000000001,2,3277,0
52.68589670000001,2,3277,0
52.72756329999999,2,3277,0
52.76923000000001,2,3276,0
52.81089670000001,2,3276,0
52.85256329999999,2,3276,0
52.89423000000001,2,3275,0
52.93589670000001,2,3275,0
52.97756329999999,2,3275,0
53.01923000000001,2,3275,0
53.06089670000001,2,3275,0
53.10256329999999,2,3275,0
53.14423000000001,2,3275,2
53.18589670000001,2,3275,13
53.22756329999999,2,3276,6
53.26923000000001,2,3276,0
53.31089670000001,2,3276,0
53.35256329999999,2,3277,0
53.39423000000001,2,3277,0
53.43589670000001,2,3277,0
53.47756329999999,2,3278,0
53.51923000000001,2,3278,0
53.56089670000001,2,3278,0
53.60256329999999,2,3279,0
53.64423000000001,2,3279,0
53.68589670000001,2,3279,0
53.72756329999999,2,3280,0
53.76923000000001,2,3280,0
53.81089670000001,2,3280,0
53.85256329999999,2,3280,0
53.89423000000001,2,3280,0
53.93589670000001,2,3280,0
53.97756329999999,2,3280,0
54.01923000000001,2,3280,0
54.06089670000001,2,3280,0
54.10256329999999,2,3279,0
54.14423000000001,2,3279,0
54.18589670000001,2,3279,0
54.22756329999999,2,3278,0
54.26923000000001,2,3277,0
54.31089670000001,2,3277,0
54.35256329999999,2,3276,0
54.39423000000001,2,3275,0
54.43589670000001,2,3275,0
54.47756329999999,2,3274,0
54.51923000000001,2,3273,0
54.56089670000001,2,3272,0
54.60256329999999,2,3271,0
54.64423000000001,2,3270,0
54.68589670000001,2,3269,0
54.72756329999999,2,3268,0
54.76923000000001,2,3267,0
54.81089670000001,2,3265,0
54.85256329999999,2,3264,0
54.89423000000001,2,3263,0
54.93589670000001,2,3262,0
54.97756329999999,2,3261,0
55.01923000000001,1,3259,0
55.06089670000001,1,3258,0
55.10256329999999,1,3257,0
55.14423000000001,1,3256,0
55.18589670000001,1,3254,0
55.22756329999999,1,3253,0
55.26923000000001,1,3252,0
55.31089670000001,1,3251,0
55.35256329999999,2,3249,0
55.39423000000001,2,3248,0
55.43589670000001,2,3247,0
55.47756329999999,2,3246,0
55.51923000000001,2,3244,0
55.56089670000001,2,3243,10
55.60256329999999,2,3242,0
55.64423000000001,2,3241,0
55.68589670000001,2,3239,0
55.72756329999999,2,3238,0
55.76923000000001,2,3237,0
55.81089670000001,2,3236,0
55.85256329999999,2,3234,0
55.89423000000001,2,3233,0
55.93589670000001,2,3232,0
55.97756329999999,2,3231,0
56.01923000000001,2,3229,0
56.06089670000001,2,3228,0
56.10256329999999,2,3227,0
56.14423000000001,2,3226,0
56.18589670000001,2,3225,0
56.22756329999999,2,3224,0
56.26923000000001,2,3223,0
56.31089670000001,2,3222,0
56.35256329999999,2,3221,0
56.39423000000001,2,3221,0
56.43589670000001,2,3220,0
56.47756329999999,2,3220,0
56.51923000000001,2,3220,0
56.56089670000001,2,3219,0
56.60256329999999,2,3219,0
56.64423000000001,2,3220,0
56.68589670000001,2,3220,0
56.72756329999999,2,3221,0
56.76923000000001,2,3221,0
56.81089670000001,2,3222,0
56.85256329999999,2,3224,0
56.89423000000001,2,3225,0
56.93589670000001,2,3227,0
56.97756329999999,2,3229,0
57.01923000000001,2,3231,0
57.06089670000001,2,3234,0
57.10256329999999,2,3236,0
57.14423000000001,2,3239,0
57.18589670000001,2,3243,0
57.22756329999999,2,3246,0
57.26923000000001,2,3250,0
57.31089670000001,2,3253,0
57.35256329999999,2,3257,0
57.39423000000001,2,3261,0
57.43589670000001,2,3265,0
57.47756329999999,2,3269,0
57.51923000000001,2,3274,0
57.56089670000001,2,3278,0
57.60256329999999,2,3282,0
57.64423000000001,2,3286,0
57.68589670000001,2,3291,0
57.72756329999999,2,3295,0
57.76923000000001,2,3299,14
