time,births,population,reported_cases
44.01923,2,3170,0
44.0608967,2,3165,0
44.1025633,2,3159,0
44.14423,2,3154,0
44.1858967,2,3150,0
44.2275633,2,3145,0
44.26923,2,3141,0
44.3108967,2,3137,0
44.3525633,2,3133,0
44.39423,2,3130,0
44.4358967,2,3126,0
44.4775633,2,3123,0
44.51923,2,3120,0
44.5608967,2,3117,0
44.6025633,2,3114,0
44.64423,2,3112,0
44.6858967,2,3109,0
44.7275633,2,3107,0
44.76923,2,3104,0
44.8108967,2,3102,0
44.8525633,2,3100,0
44.89423,2,3098,0
44.9358967,2,3095,0
44.9775633,2,3093,2
45.01923,2,3091,3
45.0608967,2,3089,3
45.1025633,2,3087,1
45.14423,2,3084,0
45.1858967,2,3082,2
45.2275633,2,3080,3
45.26923,2,3077,10
45.3108967,2,3075,0
45.3525633,2,3072,0
45.39423,2,3070,0
45.4358967,2,3067,0
45.4775633,2,3065,0
45.51923,2,3062,0
45.5608967,2,3059,0
45.6025633,2,3057,0
45.64423,2,3054,0
45.6858967,2,3051,0
45.7275633,2,3048,0
45.76923,2,3045,0
45.8108967,2,3041,0
45.8525633,2,3038,0
45.89423,2,3035,0
45.9358967,2,3031,0
45.9775633,2,3028,0
46.01923,2,3024,0
46.0608967,2,3021,0
46.1025633,2,3017,0
46.14423,2,3013,0
46.1858967,2,3009,0
46.2275633,2,3005,0
46.26923,2,3001,0
46.3108967,2,2997,0
46.3525633,2,2994,0
46.39423,2,2990,0
46.4358967,2,2986,0
46.4775633,2,2983,0
46.51923,2,2979,0
46.5608967,2,2976,0
46.6025633,2,2973,0
46.64423,2,2970,0
46.6858967,2,2968,0
46.7275633,2,2965,0
46.76923,2,2963,0
46.8108967,2,2961,0
46.8525633,2,2960,0
46.89423,2,2959,0
46.9358967,2,2958,0
46.9775633,2,2957,0
47.01923,2,2957,0
47.0608967,2,2957,0
47.1025633,2,2958,0
47.14423,2,2959,0
47.1858967,2,2960,0
47.2275633,2,2961,0
47.26923,2,2963,0
47.3108967,2,2965,0
47.3525633,2,2967,0
47.39423,2,2970,0
47.4358967,2,2972,3
47.4775633,2,2975,0
47.51923,2,2978,0
47.5608967,2,2981,0
47.6025633,2,2984,14
47.64423,2,2986,6
47.6858967,2,2989,0
47.7275633,2,2992,0
47.76923,2,2995,0
47.8108967,2,2998,0
47.8525633,2,3001,0
47.89423,3,3003,0
47.9358967,3,3006,0
47.9775633,3,3008,0
48.01923,3,3010,0
48.0608967,3,3012,0
48.1025633,3,3013,0
48.14423,3,3015,0
48.1858967,3,3016,8
48.2275633,3,3017,40
48.26923,3,3018,25
48.3108967,3,3019,6
48.3525633,3,3020,0
48.39423,3,3021,0
48.4358967,3,3022,0
48.4775633,3,3022,0
48.51923,3,3023,0
48.5608967,3,3024,2
48.6025633,3,3024,0
48.64423,3,3025,0
48.6858967,3,3026,0
48.7275633,3,3026,0
48.76923,3,3027,0
48.8108967,3,3028,0
48.8525633,3,3029,0
48.89423,3,3030,0
48.9358967,3,3031,0
48.9775633,3,3032,0
49.01923,3,3034,0
49.0608967,3,3035,0
49.1025633,3,3037,0
49.14423,3,3039,0
49.1858967,3,3041,0
49.2275633,3,3043,0
49.26923,3,3046,0
49.3108967,3,3048,0
49.3525633,3,3050,10
49.39423,3,3053,13
49.4358967,3,3056,11
49.4775633,3,3059,0
49.51923,3,3061,0
49.5608967,3,3064,0
49.6025633,3,3067,0
49.64423,3,3071,0
49.6858967,3,3074,0
49.7275633,3,3077,0
49.76923,3,3080,0
49.8108967,3,3083,0
49.8525633,3,3086,0
49.89423,3,3090,0
49.9358967,3,3093,0
49.9775633,3,3096,0
50.01923,3,3099,0
50.0608967,3,3103,0
50.1025633,3,3106,0
50.14423,3,3109,0
50.1858967,3,3112,0
50.2275633,3,3116,0
50.26923,3,3119,0
50.3108967,3,3122,0
50.3525633,3,3125,0
50.39423,3,3128,0
50.4358967,3,3131,0
50.4775633,3,3134,4
50.51923,3,3137,10
50.5608967,3,3140,0
50.6025633,3,3143,0
50.64423,2,3146,0
50.6858967,2,3149,0
50.7275633,2,3152,0
50.76923,2,3155,0
50.8108967,2,3158,0
50.8525633,2,3160,0
50.89423,2,3163,0
50.9358967,2,3166,0
50.9775633,2,3169,0
51.01923,2,3171,0
51.0608967,2,3174,0
51.1025633,2,3176,3
51.14423,2,3179,5
51.1858967,2,3181,6
51.2275633,2,3184,0
51.26923,2,3186,0
51.3108967,2,3189,0
51.3525633,2,3191,0
51.39423,2,3193,0
51.4358967,2,3195,0
51.4775633,2,3197,0
51.51923,2,3198,0
51.5608967,2,3200,0
51.6025633,2,3201,0
51.64423,2,3203,0
51.6858967,2,3204,2
51.7275633,2,3205,0
51.76923,2,3206,0
51.8108967,2,3206,0
51.8525633,2,3207,0
51.89423,2,3207,0
51.9358967,2,3207,0
51.9775633,2,3207,0
52.01923,2,3207,0
52.0608967,2,3206,0
52.1025633,2,3206,0
52.14423,2,3205,0
52.1858967,2,3204,0
52.2275633,2,3202,0
52.26923,2,3201,0
52.3108967,2,3200,1
52.3525633,2,3198,0
52.39423,2,3196,0
52.43589670000001,2,3195,0
52.47756329999999,2,3193,17
52.51923000000001,2,3191,0
52.56089670000001,2,3189,0
52.60256329999999,2,3187,0
52.64423000000001,2,3185,0
52.68589670000001,2,3183,0
52.72756329999999,2,3181,0
52.76923000000001,2,3180,0
52.81089670000001,2,3178,0
52.85256329999999,2,3176,0
52.89423000000001,2,3175,0
52.93589670000001,2,3173,0
52.97756329999999,2,3172,0
53.01923000000001,2,3170,0
53.06089670000001,2,3169,0
53.10256329999999,2,3168,0
53.14423000000001,2,3168,0
53.18589670000001,2,3167,0
53.22756329999999,2,3166,0
53.26923000000001,2,3166,0
53.31089670000001,2,3165,0
