time,births,population,reported_cases
44.01923,2,2377,0
44.0608967,2,2399,0
44.1025633,2,2419,0
44.14423,2,2438,0
44.1858967,2,2456,0
44.2275633,2,2472,0
44.26923,2,2487,0
44.3108967,2,2500,0
44.3525633,2,2513,0
44.39423,2,2524,0
44.4358967,2,2534,0
44.4775633,2,2544,0
44.51923,2,2552,0
44.5608967,2,2559,0
44.6025633,2,2566,0
44.64423,2,2571,0
44.6858967,2,2576,0
44.7275633,2,2580,0
44.76923,2,2583,0
44.8108967,2,2586,0
44.8525633,2,2588,6
44.89423,2,2590,4
44.9358967,2,2591,0
44.9775633,2,2592,0
45.01923,2,2592,0
45.0608967,2,2592,0
45.1025633,2,2592,0
45.14423,2,2591,0
45.1858967,2,2590,0
45.2275633,1,2589,0
45.26923,1,2588,0
45.3108967,2,2587,2
45.3525633,2,2585,0
45.39423,2,2584,0
45.4358967,2,2582,0
45.4775633,2,2580,0
45.51923,2,2578,0
45.5608967,2,2576,0
45.6025633,2,2575,0
45.64423,2,2573,0
45.6858967,2,2571,0
45.7275633,2,2570,0
45.76923,2,2568,0
45.8108967,2,2567,0
45.8525633,2,2566,0
45.89423,2,2565,0
45.9358967,2,2564,0
45.9775633,2,2564,0
46.01923,2,2564,0
46.0608967,2,2564,0
46.1025633,2,2565,0
46.14423,2,2566,0
46.1858967,2,2566,0
46.2275633,2,2568,0
46.26923,2,2569,0
46.3108967,2,2570,0
46.3525633,2,2572,0
46.39423,2,2573,0
46.4358967,2,2575,0
46.4775633,2,2576,0
46.51923,2,2577,0
46.5608967,2,2579,0
46.6025633,2,2580,0
46.64423,2,2581,0
46.6858967,2,2582,0
46.7275633,2,2583,0
46.76923,2,2583,0
46.8108967,2,2583,0
46.8525633,2,2583,0
46.89423,2,2582,0
46.9358967,2,2581,0
46.9775633,2,2580,0
47.01923,3,2578,0
47.0608967,3,2576,0
47.1025633,3,2573,0
47.14423,3,2570,0
47.1858967,2,2567,0
47.2275633,2,2564,0
47.26923,2,2560,0
47.3108967,2,2556,0
47.3525633,2,2552,0
47.39423,2,2548,0
47.4358967,2,2544,0
47.4775633,2,2540,0
47.51923,2,2537,1
47.5608967,2,2533,4
47.6025633,2,2530,6
47.64423,2,2527,0
47.6858967,2,2524,0
47.7275633,2,2521,0
47.76923,2,2519,0
47.8108967,2,2518,0
47.8525633,2,2517,0
47.89423,2,2516,0
47.9358967,2,2516,0
47.9775633,2,2517,0
48.01923,2,2519,0
48.0608967,2,2521,0
48.1025633,2,2524,0
48.14423,2,2528,0
48.1858967,2,2532,0
48.2275633,2,2536,0
48.26923,2,2542,0
48.3108967,2,2547,0
48.3525633,2,2553,0
48.39423,2,2560,0
48.4358967,2,2567,0
48.4775633,2,2574,0
48.51923,2,2581,0
48.5608967,2,2589,1
48.6025633,2,2596,0
48.64423,2,2604,0
48.6858967,2,2612,0
48.7275633,2,2620,0
48.76923,2,2628,4
48.8108967,2,2636,0
48.8525633,2,2644,0
48.89423,2,2651,0
48.9358967,3,2659,0
48.9775633,3,2666,0
49.01923,3,2673,0
49.0608967,3,2680,0
49.1025633,3,2686,0
49.14423,3,2692,0
49.1858967,3,2698,0
49.2275633,3,2704,0
49.26923,3,2709,0
49.3108967,3,2714,0
49.3525633,3,2718,0
49.39423,3,2722,1
49.4358967,3,2726,0
49.4775633,3,2729,0
49.51923,3,2732,0
49.5608967,3,2735,0
49.6025633,3,2737,1
49.64423,3,2739,0
49.6858967,3,2741,0
49.7275633,3,2742,0
49.76923,3,2742,0
49.8108967,3,2742,0
49.8525633,3,2742,0
49.89423,3,2742,0
49.9358967,3,2741,0
49.9775633,3,2739,0
50.01923,3,2737,2
50.0608967,3,2735,0
50.1025633,3,2732,0
50.14423,3,2729,0
50.1858967,2,2725,0
50.2275633,2,2721,0
50.26923,2,2717,0
50.3108967,2,2712,0
50.3525633,2,2708,0
50.39423,2,2703,0
50.4358967,2,2698,0
50.4775633,2,2693,0
50.51923,2,2687,0
50.5608967,2,2682,2
50.6025633,2,2676,0
50.64423,2,2671,0
50.6858967,2,2666,1
50.7275633,2,2660,17
50.76923,2,2655,15
50.8108967,2,2650,19
50.8525633,2,2645,10
50.89423,2,2640,16
50.9358967,2,2635,22
50.9775633,2,2630,4
51.01923,2,2626,4
51.0608967,2,2622,2
51.1025633,2,2618,0
51.14423,2,2615,0
51.1858967,2,2612,0
51.2275633,2,2609,0
51.26923,2,2606,0
51.3108967,2,2603,0
51.3525633,2,2601,0
51.39423,2,2599,0
51.4358967,2,2597,0
51.4775633,2,2595,0
51.51923,2,2594,0
51.5608967,2,2592,0
51.6025633,2,2591,0
51.64423,2,2590,0
51.6858967,2,2589,0
51.7275633,2,2589,0
51.76923,2,2588,0
51.8108967,2,2588,0
51.8525633,2,2587,0
51.89423,2,2587,0
51.9358967,2,2587,0
51.9775633,2,2587,0
52.01923,2,2587,0
52.0608967,2,2587,0
52.1025633,2,2588,0
52.14423,2,2588,0
52.1858967,2,2588,0
52.2275633,2,2589,0
52.26923,2,2590,0
52.3108967,2,2590,0
52.3525633,2,2591,0
52.39423,2,2592,2
52.43589670000001,2,2593,0
52.47756329999999,2,2594,0
52.51923000000001,2,2595,0
52.56089670000001,2,2596,0
52.60256329999999,2,2597,2
52.64423000000001,2,2598,0
52.68589670000001,2,2600,0
52.72756329999999,2,2601,0
52.76923000000001,2,2602,0
52.81089670000001,2,2603,0
52.85256329999999,2,2605,0
52.89423000000001,2,2606,0
52.93589670000001,2,2608,0
52.97756329999999,2,2609,0
53.01923000000001,2,2611,0
53.06089670000001,2,2612,0
53.10256329999999,2,2614,0
53.14423000000001,2,2615,0
53.18589670000001,2,2617,0
53.22756329999999,2,2618,0
53.26923000000001,2,2620,0
53.31089670000001,2,2621,0
53.35256329999999,2,2623,0
53.39423000000001,2,2624,0
53.43589670000001,2,2626,0
53.47756329999999,2,2627,0
53.51923000000001,2,2628,0
53.56089670000001,2,2630,0
53.60256329999999,2,2631,1
53.64423000000001,2,2632,0
53.68589670000001,2,2633,0
53.72756329999999,2,2635,0
53.76923000000001,2,2636,0
53.81089670000001,2,2637,0
53.85256329999999,2,2638,0
53.89423000000001,2,2638,0
53.93589670000001,2,2639,0
53.97756329999999,2,2640,0
54.01923000000001,2,2640,0
54.06089670000001,2,2641,0
54.10256329999999,2,2641,0
54.14423000000001,2,2641,0
54.18589670000001,2,2642,0
54.22756329999999,2,2642,0
54.26923000000001,2,2642,0
54.31089670000001,2,2642,0
54.35256329999999,2,2642,0
54.39423000000001,2,2642,0
54.43589670000001,2,2642,0
54.47756329999999,2,2641,0
54.51923000000001,2,2641,0
54.56089670000001,2,2641,0
54.60256329999999,2,2641,0
54.64423000000001,2,2641,1
54.68589670000001,2,2641,1
54.72756329999999,2,2640,0
54.76923000000001,1,2640,0
54.81089670000001,1,2640,0
54.85256329999999,1,2640,0
54.89423000000001,1,2640,0
54.93589670000001,1,2640,0
54.97756329999999,1,2640,0
55.01923000000001,1,2640,0
55.06089670000001,1,2640,0
55.10256329999999,2,2640,0
55.14423000000001,2,2641,0
55.18589670000001,2,2641,0
55.22756329999999,2,2641,0
55.26923000000001,2,2642,0
55.31089670000001,2,2642,0
55.35256329999999,2,2643,0
55.39423000000001,2,2643,0
55.43589670000001,2,2644,0
55.47756329999999,2,2644,0
55.51923000000001,2,2645,0
55.56089670000001,2,2645,32
55.60256329999999,2,2646,44
55.64423000000001,2,2646,34
55.68589670000001,2,2647,14
55.72756329999999,2,2647,7
55.76923000000001,2,2648,19
55.81089670000001,2,2648,23
55.85256329999999,2,2649,10
55.89423000000001,2,2649,7
55.93589670000001,2,2649,6
55.97756329999999,2,2650,2
56.01923000000001,2,2650,0
56.06089670000001,2,2650,0
56.10256329999999,2,2651,0
56.14423000000001,2,2651,0
56.18589670000001,2,2651,1
56.22756329999999,2,2651,0
56.26923000000001,2,2651,0
56.31089670000001,2,2651,0
56.35256329999999,2,2651,2
56.39423000000001,2,2651,2
56.43589670000001,2,2650,1
56.47756329999999,2,2650,0
56.51923000000001,2,2650,0
56.56089670000001,2,2649,2
56.60256329999999,2,2649,0
56.64423000000001,2,2648,0
56.68589670000001,2,2648,0
56.72756329999999,2,2647,0
56.76923000000001,2,2646,0
56.81089670000001,2,2645,0
56.85256329999999,2,2644,0
56.89423000000001,2,2643,0
56.93589670000001,2,2642,0
56.97756329999999,2,2641,0
57.01923000000001,2,2639,0
57.06089670000001,2,2638,0
57.10256329999999,2,2636,0
57.14423000000001,2,2635,0
57.18589670000001,2,2633,0
57.22756329999999,2,2632,0
57.26923000000001,2,2630,0
57.31089670000001,2,2628,0
