time,births,population,reported_cases
44.01923,3,4066,0
44.0608967,3,4026,0
44.1025633,3,3988,0
44.14423,3,3953,0
44.1858967,3,3921,0
44.2275633,3,3891,0
44.26923,3,3864,0
44.3108967,3,3840,0
44.3525633,3,3818,0
44.39423,3,3798,0
44.4358967,3,3780,0
44.4775633,3,3765,0
44.51923,3,3751,0
44.5608967,3,3740,0
44.6025633,3,3730,0
44.64423,3,3722,3
44.6858967,3,3716,0
44.7275633,3,3711,0
44.76923,3,3708,0
44.8108967,3,3706,0
44.8525633,3,3706,0
44.89423,3,3706,0
44.9358967,3,3708,0
44.9775633,3,3711,0
45.01923,3,3715,2
45.0608967,3,3720,1
45.1025633,3,3725,3
45.14423,3,3731,4
45.1858967,3,3738,18
45.2275633,3,3746,30
45.26923,3,3754,24
45.3108967,3,3762,26
45.3525633,3,3771,4
45.39423,3,3781,0
45.4358967,4,3790,6
45.4775633,4,3800,1
45.51923,4,3810,0
45.5608967,4,3820,1
45.6025633,4,3830,0
45.64423,4,3840,0
45.6858967,4,3850,0
45.7275633,4,3860,0
45.76923,4,3870,0
45.8108967,4,3879,0
45.8525633,4,3888,0
45.89423,4,3897,0
45.9358967,4,3905,0
45.9775633,4,3912,0
46.01923,4,3919,0
46.0608967,4,3925,0
46.1025633,4,3931,0
46.14423,4,3936,0
46.1858967,4,3941,0
46.2275633,4,3945,0
46.26923,4,3949,0
46.3108967,4,3952,0
46.3525633,4,3954,1
46.39423,4,3957,0
46.4358967,4,3958,0
46.4775633,4,3960,0
46.51923,4,3961,0
46.5608967,4,3962,0
46.6025633,4,3963,0
46.64423,4,3963,0
46.6858967,4,3963,1
46.7275633,4,3963,0
46.76923,4,3963,0
46.8108967,4,3963,0
46.8525633,4,3962,0
46.89423,4,3962,0
46.9358967,4,3961,0
46.9775633,4,3960,0
47.01923,4,3960,9
47.0608967,4,3959,6
47.1025633,4,3959,20
47.14423,4,3958,24
47.1858967,4,3957,19
47.2275633,4,3957,0
47.26923,4,3957,1
47.3108967,4,3956,0
47.3525633,4,3956,0
47.39423,4,3956,0
47.4358967,4,3956,0
47.4775633,4,3956,1
47.51923,4,3956,0
47.5608967,4,3956,0
47.6025633,4,3957,0
47.64423,4,3958,0
47.6858967,4,3958,0
47.7275633,4,3959,0
47.76923,4,3960,0
47.8108967,4,3962,0
47.8525633,4,3963,0
47.89423,4,3965,0
47.9358967,4,3967,0
47.9775633,4,3969,0
48.01923,4,3971,0
48.0608967,4,3974,0
48.1025633,4,3977,0
48.14423,4,3980,0
48.1858967,4,3983,0
48.2275633,4,3986,0
48.26923,4,3990,0
48.3108967,4,3994,0
48.3525633,4,3999,0
48.39423,4,4003,0
48.4358967,4,4008,0
48.4775633,4,4013,2
48.51923,4,4018,0
48.5608967,4,4024,0
48.6025633,4,4030,0
48.64423,3,4036,0
48.6858967,3,4042,0
48.7275633,3,4049,0
48.76923,3,4056,16
48.8108967,3,4063,35
48.8525633,3,4071,13
48.89423,3,4079,2
48.9358967,3,4087,13
48.9775633,3,4095,20
49.01923,3,4104,13
49.0608967,3,4113,7
49.1025633,3,4122,1
49.14423,3,4132,0
49.1858967,3,4141,1
49.2275633,3,4151,0
49.26923,3,4161,4
49.3108967,3,4170,0
49.3525633,3,4180,0
49.39423,3,4190,0
49.4358967,3,4200,0
49.4775633,3,4209,0
49.51923,3,4218,0
49.5608967,3,4227,0
49.6025633,3,4236,1
49.64423,3,4245,0
49.6858967,3,4253,0
49.7275633,3,4261,0
49.76923,3,4268,2
49.8108967,3,4275,0
49.8525633,3,4282,0
49.89423,3,4288,0
49.9358967,3,4293,0
49.9775633,3,4298,0
50.01923,3,4302,0
50.0608967,3,4305,0
50.1025633,3,4308,0
50.14423,3,4310,0
50.1858967,3,4312,0
50.2275633,3,4313,0
50.26923,3,4314,0
50.3108967,3,4314,2
50.3525633,3,4314,0
50.39423,4,4314,0
50.4358967,4,4314,0
50.4775633,4,4313,0
50.51923,4,4312,0
50.5608967,4,4311,0
50.6025633,4,4310,0
50.64423,4,4310,0
50.6858967,4,4309,1
50.7275633,4,4308,0
50.76923,4,4307,0
50.8108967,4,4307,20
50.8525633,4,4306,9
50.89423,4,4306,6
50.9358967,4,4307,3
50.9775633,4,4307,3
51.01923,4,4309,0
51.0608967,4,4310,0
51.1025633,4,4312,0
51.14423,4,4314,0
51.1858967,4,4317,1
51.2275633,4,4320,0
51.26923,4,4323,0
51.3108967,4,4327,0
51.3525633,4,4331,0
51.39423,4,4335,2
51.4358967,4,4339,3
51.4775633,4,4343,6
51.51923,4,4347,0
51.5608967,4,4352,0
51.6025633,4,4356,0
51.64423,4,4361,0
51.6858967,4,4366,0
51.7275633,4,4370,0
51.76923,4,4375,0
51.8108967,4,4379,2
51.8525633,4,4383,0
51.89423,4,4387,0
51.9358967,4,4391,0
51.9775633,4,4395,0
52.01923,4,4399,0
52.0608967,4,4402,0
52.1025633,4,4405,0
52.14423,4,4408,0
52.1858967,4,4410,0
52.2275633,4,4413,0
52.26923,4,4415,0
52.3108967,4,4417,6
52.3525633,4,4419,16
52.39423,4,4421,2
52.43589670000001,4,4423,0
52.47756329999999,4,4424,0
