time,births,population,reported_cases
44.01923,1,1520,0
44.0608967,1,1519,0
44.1025633,1,1518,0
44.14423,1,1518,0
44.1858967,1,1519,0
44.2275633,1,1519,0
44.26923,1,1521,0
44.3108967,1,1523,0
44.3525633,1,1525,1
44.39423,1,1528,0
44.4358967,1,1532,0
44.4775633,1,1536,0
44.51923,1,1540,0
44.5608967,1,1545,0
44.6025633,1,1550,0
44.64423,1,1555,0
44.6858967,1,1561,0
44.7275633,1,1567,0
44.76923,1,1574,0
44.8108967,1,1581,0
44.8525633,1,1588,0
44.89423,1,1596,0
44.9358967,1,1604,0
44.9775633,1,1612,0
45.01923,1,1621,0
45.0608967,1,1630,0
45.1025633,1,1639,0
45.14423,1,1648,1
45.1858967,1,1658,0
45.2275633,1,1668,0
45.26923,1,1678,0
45.3108967,1,1688,0
45.3525633,1,1699,0
45.39423,2,1709,0
45.4358967,2,1720,3
45.4775633,2,1731,2
45.51923,2,1742,0
45.5608967,2,1754,0
45.6025633,2,1765,0
45.64423,2,1777,0
45.6858967,2,1788,0
45.7275633,2,1800,0
45.76923,2,1812,0
45.8108967,2,1824,0
45.8525633,2,1836,0
45.89423,2,1848,0
45.9358967,2,1860,0
45.9775633,2,1872,0
46.01923,2,1885,0
46.0608967,2,1897,0
46.1025633,2,1909,0
46.14423,2,1921,0
46.1858967,2,1934,0
46.2275633,2,1946,0
46.26923,2,1958,0
46.3108967,2,1970,0
46.3525633,2,1982,0
46.39423,2,1994,1
46.4358967,2,2007,0
46.4775633,2,2019,0
46.51923,2,2030,0
46.5608967,2,2042,2
46.6025633,2,2054,1
46.64423,2,2066,2
46.6858967,2,2077,1
46.7275633,2,2089,0
46.76923,2,2100,0
46.8108967,2,2111,0
46.8525633,2,2122,0
46.89423,2,2133,0
46.9358967,2,2144,0
46.9775633,2,2154,0
47.01923,2,2165,3
47.0608967,2,2175,67
47.1025633,2,2185,16
47.14423,2,2195,0
47.1858967,2,2205,2
47.2275633,2,2214,0
47.26923,2,2223,0
47.3108967,2,2232,0
47.3525633,2,2241,0
47.39423,2,2249,0
47.4358967,2,2258,0
47.4775633,2,2266,0
47.51923,2,2273,0
47.5608967,2,2281,0
47.6025633,2,2288,0
47.64423,2,2294,2
47.6858967,2,2301,0
47.7275633,2,2307,0
47.76923,2,2313,0
47.8108967,2,2318,0
47.8525633,2,2323,0
47.89423,2,2328,0
47.9358967,2,2332,0
47.9775633,2,2336,0
48.01923,2,2340,0
48.0608967,2,2343,0
48.1025633,2,2346,0
48.14423,2,2348,0
48.1858967,2,2350,0
48.2275633,2,2352,0
48.26923,2,2354,0
48.3108967,2,2356,0
48.3525633,2,2358,0
48.39423,2,2359,0
48.4358967,2,2361,0
48.4775633,2,2362,2
48.51923,2,2364,0
48.5608967,2,2366,0
48.6025633,2,2368,0
48.64423,2,2370,2
48.6858967,2,2373,0
48.7275633,2,2375,0
48.76923,2,2378,0
48.8108967,2,2382,0
48.8525633,2,2386,0
48.89423,2,2390,0
48.9358967,2,2395,0
48.9775633,2,2400,0
49.01923,2,2406,0
49.0608967,2,2412,2
49.1025633,2,2419,11
49.14423,2,2427,25
49.1858967,2,2435,13
49.2275633,2,2443,5
49.26923,2,2452,2
49.3108967,2,2461,0
49.3525633,2,2470,0
49.39423,2,2480,2
49.4358967,2,2490,1
49.4775633,2,2500,2
49.51923,2,2510,0
49.5608967,2,2520,0
49.6025633,2,2530,1
49.64423,2,2541,2
49.6858967,2,2551,0
49.7275633,2,2561,0
49.76923,2,2571,0
49.8108967,2,2581,0
49.8525633,2,2591,0
49.89423,2,2600,0
49.9358967,2,2610,0
49.9775633,2,2618,0
50.01923,2,2627,0
50.0608967,2,2635,0
50.1025633,2,2643,0
50.14423,2,2650,0
50.1858967,2,2657,0
50.2275633,2,2664,0
50.26923,2,2670,0
50.3108967,2,2675,0
50.3525633,2,2681,0
50.39423,2,2685,0
50.4358967,2,2690,0
50.4775633,2,2694,0
50.51923,2,2697,2
50.5608967,2,2700,2
50.6025633,3,2703,0
50.64423,3,2705,0
50.6858967,3,2706,1
50.7275633,3,2707,0
50.76923,3,2708,0
50.8108967,3,2708,0
50.8525633,3,2708,0
50.89423,3,2707,0
50.9358967,2,2705,0
50.9775633,2,2703,0
51.01923,2,2701,2
51.0608967,2,2698,3
51.1025633,2,2694,1
51.14423,2,2690,1
51.1858967,2,2686,0
51.2275633,2,2681,0
51.26923,2,2677,0
51.3108967,2,2671,0
51.3525633,2,2666,0
51.39423,2,2660,0
51.4358967,2,2655,0
51.4775633,2,2649,3
51.51923,2,2643,0
51.5608967,2,2637,6
51.6025633,2,2631,28
51.64423,2,2626,20
51.6858967,2,2620,7
51.7275633,2,2615,1
51.76923,2,2609,0
51.8108967,2,2604,0
51.8525633,2,2600,0
51.89423,2,2595,0
51.9358967,2,2591,0
51.9775633,2,2588,0
52.01923,2,2585,0
52.0608967,1,2582,0
52.1025633,1,2580,0
52.14423,1,2578,0
52.1858967,1,2577,0
52.2275633,2,2576,0
52.26923,2,2575,0
52.3108967,2,2575,0
52.3525633,2,2575,0
52.39423,2,2575,0
52.43589670000001,2,2576,4
52.47756329999999,2,2576,0
52.51923000000001,2,2577,1
52.56089670000001,2,2579,0
52.60256329999999,2,2580,0
52.64423000000001,2,2581,29
52.68589670000001,2,2583,4
52.72756329999999,2,2584,0
52.76923000000001,2,2586,0
52.81089670000001,2,2588,0
52.85256329999999,2,2589,0
52.89423000000001,2,2591,0
52.93589670000001,2,2593,0
52.97756329999999,2,2594,0
53.01923000000001,2,2596,2
53.06089670000001,2,2597,3
53.10256329999999,2,2598,0
53.14423000000001,2,2599,10
53.18589670000001,2,2600,10
53.22756329999999,2,2601,8
53.26923000000001,2,2602,2
53.31089670000001,2,2603,0
53.35256329999999,2,2603,0
53.39423000000001,2,2604,1
53.43589670000001,2,2604,1
53.47756329999999,2,2605,0
53.51923000000001,2,2605,0
53.56089670000001,2,2605,0
53.60256329999999,2,2605,0
53.64423000000001,2,2605,0
53.68589670000001,2,2605,0
53.72756329999999,2,2604,0
53.76923000000001,2,2604,0
53.81089670000001,2,2603,2
53.85256329999999,2,2603,1
53.89423000000001,2,2602,1
53.93589670000001,2,2601,0
53.97756329999999,2,2601,0
54.01923000000001,2,2600,0
54.06089670000001,2,2599,0
54.10256329999999,2,2597,0
54.14423000000001,2,2597,0
54.18589670000001,2,2596,0
54.22756329999999,2,2595,0
54.26923000000001,2,2595,0
54.31089670000001,2,2594,0
54.35256329999999,2,2595,0
54.39423000000001,2,2595,0
54.43589670000001,2,2596,0
54.47756329999999,2,2598,0
54.51923000000001,2,2600,0
54.56089670000001,2,2603,0
54.60256329999999,2,2607,0
54.64423000000001,2,2611,0
54.68589670000001,3,2617,0
54.72756329999999,3,2623,0
54.76923000000001,3,2630,0
54.81089670000001,3,2638,0
54.85256329999999,3,2647,0
54.89423000000001,3,2658,0
54.93589670000001,3,2670,0
54.97756329999999,3,2682,0
55.01923000000001,3,2697,0
55.06089670000001,2,2712,0
55.10256329999999,2,2729,0
55.14423000000001,2,2747,0
55.18589670000001,2,2765,0
55.22756329999999,2,2785,0
55.26923000000001,2,2805,0
55.31089670000001,2,2826,0
55.35256329999999,2,2847,2
55.39423000000001,2,2868,0
55.43589670000001,2,2889,2
55.47756329999999,2,2910,0
55.51923000000001,2,2931,0
55.56089670000001,2,2952,0
55.60256329999999,2,2973,1
55.64423000000001,2,2993,0
55.68589670000001,2,3012,0
55.72756329999999,2,3030,0
55.76923000000001,2,3047,0
55.81089670000001,2,3064,0
55.85256329999999,2,3079,0
55.89423000000001,2,3092,0
55.93589670000001,2,3104,0
55.97756329999999,2,3115,0
56.01923000000001,2,3124,2
56.06089670000001,2,3131,0
56.10256329999999,2,3136,1
56.14423000000001,2,3140,1
56.18589670000001,2,3142,1
56.22756329999999,2,3144,0
56.26923000000001,2,3143,0
56.31089670000001,2,3142,0
56.35256329999999,2,3140,0
56.39423000000001,2,3137,1
56.43589670000001,2,3133,0
56.47756329999999,2,3129,0
56.51923000000001,3,3124,0
56.56089670000001,3,3119,0
56.60256329999999,3,3113,0
56.64423000000001,3,3108,0
56.68589670000001,3,3102,0
56.72756329999999,3,3096,0
56.76923000000001,3,3091,0
56.81089670000001,3,3086,0
56.85256329999999,3,3081,0
56.89423000000001,3,3077,0
56.93589670000001,3,3074,0
56.97756329999999,3,3071,0
57.01923000000001,3,3069,0
57.06089670000001,3,3068,0
57.10256329999999,3,3068,0
57.14423000000001,3,3069,0
57.18589670000001,3,3071,0
57.22756329999999,3,3073,0
57.26923000000001,3,3076,0
57.31089670000001,3,3079,0
57.35256329999999,3,3082,0
57.39423000000001,3,3086,0
57.43589670000001,3,3091,0
57.47756329999999,3,3095,2
57.51923000000001,3,3100,66
57.56089670000001,3,3104,71
57.60256329999999,2,3109,39
57.64423000000001,2,3114,16
57.68589670000001,2,3118,0
57.72756329999999,2,3122,0
57.76923000000001,2,3126,0
57.81089670000001,2,3130,0
57.85256329999999,2,3133,0
57.89423000000001,2,3136,0
57.93589670000001,2,3138,0
57.97756329999999,2,3139,0
58.01923000000001,2,3140,0
58.06089670000001,2,3140,0
58.10256329999999,2,3140,0
58.14423000000001,2,3139,0
58.18589670000001,2,3137,0
58.22756329999999,2,3135,0
58.26923000000001,2,3133,0
58.31089670000001,2,3131,0
58.35256329999999,2,3128,0
58.39423000000001,2,3126,0
58.43589670000001,2,3123,0
58.47756329999999,2,3121,3
58.51923000000001,2,3119,1
58.56089670000001,2,3117,0
58.60256329999999,2,3116,2
58.64423000000001,2,3115,0
58.68589670000001,2,3115,0
58.72756329999999,2,3115,0
58.76923000000001,2,3116,0
58.81089670000001,2,3118,0
58.85256329999999,2,3121,0
58.89423000000001,2,3125,0
58.93589670000001,2,3130,0
58.97756329999999,2,3136,0
59.01923000000001,2,3144,0
59.06089670000001,2,3152,0
59.10256329999999,2,3162,0
59.14423000000001,2,3173,0
59.18589670000001,2,3184,3
59.22756329999999,2,3195,0
59.26923000000001,2,3207,0
59.31089670000001,2,3219,0
59.35256329999999,2,3231,0
59.39423000000001,2,3243,0
59.43589670000001,2,3254,0
59.47756329999999,2,3265,0
59.51923000000001,2,3274,2
59.56089670000001,2,3283,0
59.60256329999999,2,3290,0
59.64423000000001,2,3296,2
59.68589670000001,2,3300,0
59.72756329999999,2,3303,0
59.76923000000001,2,3303,0
59.81089670000001,2,3301,0
59.85256329999999,2,3297,0
59.89423000000001,2,3290,0
59.93589670000001,2,3281,0
59.97756329999999,2,3268,0
60.01923000000001,2,3252,0
60.06089670000001,2,3234,0
60.10256329999999,2,3212,0
60.14423000000001,2,3188,0
60.18589670000001,2,3162,0
60.22756329999999,2,3134,0
60.26923000000001,2,3105,0
60.31089670000001,2,3074,0
60.35256329999999,2,3043,0
60.39423000000001,2,3011,0
60.43589670000001,2,2978,0
60.47756329999999,2,2946,0
60.51923000000001,2,2915,0
60.56089670000001,2,2884,0
60.60256329999999,2,2854,0
60.64423000000001,2,2826,0
60.68589670000001,2,2800,0
60.72756329999999,2,2775,0
60.76923000000001,2,2753,0
60.81089670000001,2,2734,0
60.85256329999999,2,2718,0
60.89423000000001,2,2705,0
60.93589670000001,2,2696,0
60.97756329999999,2,2691,0
61.01923000000001,2,2690,0
61.06089670000001,2,2694,0
61.10256329999999,2,2702,0
61.14423000000001,2,2713,0
61.18589670000001,2,2729,0
61.22756329999999,2,2748,0
61.26923000000001,2,2770,2
61.31089670000001,2,2795,2
61.35256329999999,2,2823,5
61.39423000000001,2,2854,3
61.43589670000001,2,2887,6
61.47756329999999,2,2922,0
61.51923000000001,2,2959,0
61.56089670000001,2,2997,1
61.60256329999999,2,3037,0
61.64423000000001,2,3078,0
61.68589670000001,2,3119,1
61.72756329999999,2,3162,0
61.76923000000001,2,3205,0
61.81089670000001,2,3248,0
61.85256329999999,2,3291,0
61.89423000000001,2,3334,0
61.93589670000001,2,3376,0
61.97756329999999,2,3418,0
62.01923000000001,2,3459,0
62.06089670000001,2,3498,0
62.10256329999999,3,3537,0
62.14423000000001,3,3574,0
62.18589670000001,3,3610,0
62.22756329999999,3,3644,0
62.26923000000001,3,3678,0
62.31089670000001,3,3710,0
62.35256329999999,3,3740,0
62.39423000000001,3,3769,0
62.43589670000001,3,3797,0
62.47756329999999,3,3823,0
62.51923000000001,3,3848,0
62.56089670000001,3,3870,0
62.60256329999999,3,3892,0
62.64423000000001,3,3911,0
62.68589670000001,3,3929,3
62.72756329999999,3,3944,9
62.76923000000001,3,3958,17
62.81089670000001,3,3970,51
62.85256329999999,3,3980,49
62.89423000000001,3,3989,20
62.93589670000001,3,3995,7
62.97756329999999,3,3999,1
63.01923000000001,3,4001,0
63.06089670000001,3,4000,0
63.10256329999999,3,3998,0
63.14423000000001,3,3994,83
63.18589670000001,3,3988,0
63.22756329999999,3,3979,0
63.26923000000001,3,3969,0
63.31089670000001,3,3958,0
63.35256329999999,3,3944,1
63.39423000000001,3,3929,0
63.43589670000001,3,3913,3
63.47756329999999,3,3894,6
63.51923000000001,3,3875,8
63.56089670000001,3,3854,2
63.60256329999999,3,3831,0
63.64423000000001,3,3807,0
63.68589670000001,3,3782,0
63.72756329999999,3,3756,0
63.76923000000001,3,3729,0
63.81089670000001,3,3701,0
63.85256329999999,3,3671,0
63.89423000000001,3,3641,0
63.93589670000001,3,3610,0
63.97756329999999,2,3578,0
